"School Name","State Name [Public School] Latest available year","School Name [Public School] 2013-14","School ID - NCES Assigned [Public School] Latest available year","Agency Name [Public School] 2013-14","Agency ID - NCES Assigned [Public School] Latest available year","County Name [Public School] 2013-14","County Number [Public School] 2013-14","ANSI/FIPS State Code [Public School] Latest available year","Location Address [Public School] 2013-14","Location City [Public School] 2013-14","Location State Abbr [Public School] 2013-14","Location ZIP [Public School] 2013-14","Location ZIP4 [Public School] 2013-14","Mailing Address [Public School] 2013-14","Mailing City [Public School] 2013-14","Mailing State Abbr [Public School] 2013-14","Mailing ZIP [Public School] 2013-14","Mailing ZIP4 [Public School] 2013-14","Phone Number [Public School] 2013-14","School Type [Public School] 2013-14","Latitude [Public School] 2013-14","Longitude [Public School] 2013-14","State School ID [Public School] 2013-14","State Agency ID [Public School] 2013-14","Congressional Code [Public School] 2013-14","Lowest Grade Offered [Public School] 2013-14","Highest Grade Offered [Public School] 2013-14","Total Students [Public School] 2013-14"
"""WILLIAM """"SONNY"""" NELSON SCHOOL""","Alaska","""WILLIAM """"SONNY"""" NELSON SCHOOL""","020071000465","SOUTHWEST REGION SCHOOL DISTRICT","0200710","DILLINGHAM CENSUS AREA","02070","02","SCHOOL ST","EKWOK","AK ","99580","9999","GENERAL DELIVERY","EKWOK","AK ","99580","9999","9074643344","1-Regular school","59.349600","-157.476800","450040","45","0200","Prekindergarten","8th Grade","11"
"ABBOTT LOOP ELEMENTARY","Alaska","ABBOTT LOOP ELEMENTARY","020018000053","ANCHORAGE SCHOOL DISTRICT","0200180","ANCHORAGE MUNICIPALITY","02020","02","8427 LAKE OTIS PARKWAY","ANCHORAGE","AK ","99507","3599","8427 LAKE OTIS PARKWAY","ANCHORAGE","AK ","99507","3599","9077425400","1-Regular school","61.143900","-149.832700","050010","05","0200","Prekindergarten","6th Grade","377"
"ACADEMY CHARTER SCHOOL","Alaska","ACADEMY CHARTER SCHOOL","020051000311","MATANUSKA-SUSITNA BOROUGH SCHOOL DISTRICT","0200510","MATANUSKA-SUSITNA BOROUGH","02170","02","801 EAST ARCTIC","PALMER","AK ","99645","","801 EAST ARCTIC","PALMER","AK ","99645","","9077462358","1-Regular school","61.608100","-149.094100","339010","33","0200","Kindergarten","8th Grade","235"
"ADAK SCHOOL","Alaska","ADAK SCHOOL","020001000080","ALEUTIAN REGION SCHOOL DISTRICT","0200010","ALEUTIANS WEST CENSUS AREA","02016","02","100 MECHANICS RD","ADAK","AK ","99546","","PO BOX 2083","ADAK","AK ","99546","","9075923820","1-Regular school","51.868200","-176.639900","040080","04","0200","Prekindergarten","12th Grade","21"
"AIRPORT HEIGHTS ELEMENTARY","Alaska","AIRPORT HEIGHTS ELEMENTARY","020018000054","ANCHORAGE SCHOOL DISTRICT","0200180","ANCHORAGE MUNICIPALITY","02020","02","1510 ALDER DR","ANCHORAGE","AK ","99508","2999","1510 ALDER DRIVE","ANCHORAGE","AK ","99508","2999","9077424550","1-Regular school","61.207100","-149.829800","050020","05","0200","Prekindergarten","6th Grade","310"
"AKHIOK SCHOOL","Alaska","AKHIOK SCHOOL","020048000180","KODIAK ISLAND BOROUGH SCHOOL DISTRICT","0200480","KODIAK ISLAND BOROUGH","02150","02","MAIN ST","AKHIOK","AK ","99615","5049","PO BOX 5049","AKHIOK","AK ","99615","5049","9078362223","1-Regular school","56.968400","-154.188100","280010","28","0200","Kindergarten","12th Grade","22"
"AKIACHAK SCHOOL","Alaska","AKIACHAK SCHOOL","020000400579","YUPIIT SCHOOL DISTRICT","0200004","BETHEL CENSUS AREA","02050","02","AKIACHAK 51100","AKIACHAK","AK ","99551","0190","PO BOX 51189","AKIACHAK","AK ","99551","0190","9078253616","1-Regular school","60.908400","-161.432100","540010","54","0200","Prekindergarten","12th Grade","190"
"AKIAK SCHOOL","Alaska","AKIAK SCHOOL","020000400624","YUPIIT SCHOOL DISTRICT","0200004","BETHEL CENSUS AREA","02050","02","AKIAK 5227","AKIAK","AK ","99552","0227","BOX 49","AKIAK","AK ","99552","0227","9077654600","1-Regular school","60.911800","-161.216600","540030","54","0200","Prekindergarten","12th Grade","107"
"AKIUK MEMORIAL SCHOOL","Alaska","AKIUK MEMORIAL SCHOOL","020000100619","LOWER KUSKOKWIM SCHOOL DISTRICT","0200001","BETHEL CENSUS AREA","02050","02","104 VILLAGE RD","KASIGLUK","AK ","99609","9999","GENERAL DELIVERY","KASIGLUK","AK ","99609","9999","9074776829","1-Regular school","60.873100","-162.515700","310240","31","0200","Prekindergarten","12th Grade","89"
"AKULA ELITNAURVIK SCHOOL","Alaska","AKULA ELITNAURVIK SCHOOL","020000100391","LOWER KUSKOKWIM SCHOOL DISTRICT","0200001","BETHEL CENSUS AREA","02050","02","100 AKULA HEIGHTS","KASIGLUK","AK ","99609","0079","BOX 79","KASIGLUK","AK ","99609","0079","9074776615","1-Regular school","60.873100","-162.515300","310110","31","0200","Prekindergarten","12th Grade","117"
