"School Name","State Name [Public School] Latest available year","School Name [Public School] 2013-14","School ID - NCES Assigned [Public School] Latest available year","Agency Name [Public School] 2013-14","Agency ID - NCES Assigned [Public School] Latest available year","County Name [Public School] 2013-14","County Number [Public School] 2013-14","ANSI/FIPS State Code [Public School] Latest available year","Location Address [Public School] 2013-14","Location City [Public School] 2013-14","Location State Abbr [Public School] 2013-14","Location ZIP [Public School] 2013-14","Location ZIP4 [Public School] 2013-14","Mailing Address [Public School] 2013-14","Mailing City [Public School] 2013-14","Mailing State Abbr [Public School] 2013-14","Mailing ZIP [Public School] 2013-14","Mailing ZIP4 [Public School] 2013-14","Phone Number [Public School] 2013-14","School Type [Public School] 2013-14","Latitude [Public School] 2013-14","Longitude [Public School] 2013-14","State School ID [Public School] 2013-14","State Agency ID [Public School] 2013-14","Congressional Code [Public School] 2013-14","Lowest Grade Offered [Public School] 2013-14","Highest Grade Offered [Public School] 2013-14","Total Students [Public School] 2013-14"
"A M WINDHAM ELEM SCH","Alabama","A M WINDHAM ELEM SCH","010108001767","DALEVILLE CITY","0101080","DALE COUNTY","01045","01","200 HERITAGE DR","DALEVILLE","AL ","36322","2006","626 N. DALEVILLE AVE","DALEVILLE","AL ","36322","2006","3345984466","1-Regular school","31.310000","-85.715100","0015","126","0102","Kindergarten","6th Grade","561"
"A.C. MOORE ELEM SCH","Alabama","A.C. MOORE ELEM SCH","010135000482","ESCAMBIA COUNTY","0101350","ESCAMBIA COUNTY","01053","01","501 BECK ST","ATMORE","AL ","36502","3019","501 BECK ST","ATMORE","AL ","36502","3019","2513684245","1-Regular school","31.015300","-87.485100","0010","027","0101","3rd Grade","4th Grade","250"
"ABBEVILLE ALT SCH","Alabama","ABBEVILLE ALT SCH","010174002120","HENRY COUNTY","0101740","HENRY COUNTY","01067","01","300A NORTH TRAWICK ST","ABBEVILLE","AL ","36310","","300A NORTH TRAWICK STREET","ABBEVILLE","AL ","36310","","3345852012","4-Alternative/other school","31.567400","-85.252400","0025","034","0102","1st Grade","12th Grade","–"
"ABBEVILLE ELEM SCH","Alabama","ABBEVILLE ELEM SCH","010174000602","HENRY COUNTY","0101740","HENRY COUNTY","01067","01","100 ELM ST","ABBEVILLE","AL ","36310","2413","100 ELM ST","ABBEVILLE","AL ","36310","2413","3345853679","1-Regular school","31.566900","-85.249700","0017","034","0102","Kindergarten","6th Grade","444"
"ABBEVILLE HIGH SCH","Alabama","ABBEVILLE HIGH SCH","010174000600","HENRY COUNTY","0101740","HENRY COUNTY","01067","01","411 GRABALL CUTOFF","ABBEVILLE","AL ","36310","0519","411 GRABALL CUTOFF","ABBEVILLE","AL ","36310","0519","3345852065","1-Regular school","31.582100","-85.278200","0020","034","0102","7th Grade","12th Grade","444"
"ABC ELEM","Alabama","ABC ELEM","010351001342","WILCOX COUNTY","0103510","WILCOX COUNTY","01131","01","3000 COUNTY RD 29","ALBERTA","AL ","36720","0145","P O BOX 129","ALBERTA","AL ","36720","0145","3345732550","1-Regular school","32.195600","-87.381200","0010","066","0107","Prekindergarten","6th Grade","169"
"ABRAMS ELEM SCH","Alabama","ABRAMS ELEM SCH","010033001479","BESSEMER CITY","0100330","JEFFERSON COUNTY","01073","01","1200 23RD ST NORTH","BESSEMER","AL ","35020","3443","1200 23RD ST N","BESSEMER","AL ","35020","3443","2054323100","1-Regular school","33.412600","-86.960300","0015","113","0107","Prekindergarten","5th Grade","380"
"ACAD FOR ACADEMICS & ARTS","Alabama","ACAD FOR ACADEMICS & ARTS","010180000620","HUNTSVILLE CITY","0101800","MADISON COUNTY","01089","01","2800 POPLAR ST NW","HUNTSVILLE","AL ","35816","3230","2800 POPLAR ST NW","HUNTSVILLE","AL ","35816","3230","2564287600","1-Regular school","34.738800","-86.611200","0025","159","0105","Prekindergarten","8th Grade","522"
"ACAD FOR SCIENCE & FOREIGN LANGUAGE","Alabama","ACAD FOR SCIENCE & FOREIGN LANGUAGE","010180000624","HUNTSVILLE CITY","0101800","MADISON COUNTY","01089","01","3221 MASTIN LAKE RD","HUNTSVILLE","AL ","35810","2823","3221 MASTIN LAKE RD","HUNTSVILLE","AL ","35810","2823","2564287000","1-Regular school","34.769900","-86.609700","0080","159","0105","Prekindergarten","8th Grade","474"
"ADAMS ELEM SCH","Alabama","ADAMS ELEM SCH","010162001665","GADSDEN CITY","0101620","ETOWAH COUNTY","01055","01","919 RALEY ST","GADSDEN","AL ","35903","2027","919 RALEY ST","GADSDEN","AL ","35903","2027","2564924952","1-Regular school","34.000500","-85.967000","0085","144","0104","Prekindergarten","5th Grade","325"
"ADAMSVILLE ELEM SCH","Alabama","ADAMSVILLE ELEM SCH","010192000681","JEFFERSON COUNTY","0101920","JEFFERSON COUNTY","01073","01","4600 HAZELWOOD RD","ADAMSVILLE","AL ","35005","1829","600 HAZELWOOD ROAD","ADAMSVILLE","AL ","35005","1829","2053792400","1-Regular school","33.593800","-86.957500","0030","037","0106","Kindergarten","5th Grade","321"
"ADDISON ELEM SCH","Alabama","ADDISON ELEM SCH","010358001463","WINSTON COUNTY","0103580","WINSTON COUNTY","01133","01","16411 COUNTY RD 41","ADDISON","AL ","35540","0660","P O BOX 660","ADDISON","AL ","35540","0660","2567471665","1-Regular school","34.203700","-87.181200","0015","067","0104","Kindergarten","6th Grade","331"
"ADDISON HIGH SCH","Alabama","ADDISON HIGH SCH","010358001356","WINSTON COUNTY","0103580","WINSTON COUNTY","01133","01","151 SCHOOL DR","ADDISON","AL ","35540","0240","P O BOX 240","ADDISON","AL ","35540","0240","2057472286","1-Regular school","34.204700","-87.181600","0010","067","0104","7th Grade","12th Grade","322"
"ADOLESCENT DAY TREATMENT","Alabama","ADOLESCENT DAY TREATMENT","010039001296","BIRMINGHAM CITY","0100390","JEFFERSON COUNTY","01073","01","2015 PARK PLACE NORTH","BIRMINGHAM","AL ","35203","","1632 7TH AVE S","BIRMINGHAM","AL ","35233","","2059341241","2-Special education school","33.520000","-86.809100","3000","114","0107","Kindergarten","12th Grade","2"
"AH WATWOOD ELEM SCH","Alabama","AH WATWOOD ELEM SCH","010318001209","TALLADEGA COUNTY","0103180","TALLADEGA COUNTY","01121","01","3002 LIMBAUGH BLVD","CHILDERSBURG","AL ","35044","2099","2000 LIMBAUGH BLVD","CHILDERSBURG","AL ","35044","2099","2563155460","1-Regular school","33.268400","-86.354000","0010","061","0103","Kindergarten","4th Grade","356"
"AIRPORT ROAD INTERMEDIATE SCH","Alabama","AIRPORT ROAD INTERMEDIATE SCH","010129002147","ELMORE COUNTY","0101290","ELMORE COUNTY","01051","01","384 BLACKMON FARM LN","COOSADA","AL ","36020","","384 BLACKMON FARM LANE","COOSADA","AL ","36020","","3342852115","1-Regular school","32.515800","-86.345100","0042","026","0102","3rd Grade","4th Grade","699"
