"School Name","State Name [Public School] Latest available year","School Name [Public School] 2013-14","School ID - NCES Assigned [Public School] Latest available year","Agency Name [Public School] 2013-14","Agency ID - NCES Assigned [Public School] Latest available year","County Name [Public School] 2013-14","County Number [Public School] 2013-14","ANSI/FIPS State Code [Public School] Latest available year","Location Address [Public School] 2013-14","Location City [Public School] 2013-14","Location State Abbr [Public School] 2013-14","Location ZIP [Public School] 2013-14","Location ZIP4 [Public School] 2013-14","Mailing Address [Public School] 2013-14","Mailing City [Public School] 2013-14","Mailing State Abbr [Public School] 2013-14","Mailing ZIP [Public School] 2013-14","Mailing ZIP4 [Public School] 2013-14","Phone Number [Public School] 2013-14","School Type [Public School] 2013-14","Latitude [Public School] 2013-14","Longitude [Public School] 2013-14","State School ID [Public School] 2013-14","State Agency ID [Public School] 2013-14","Congressional Code [Public School] 2013-14","Lowest Grade Offered [Public School] 2013-14","Highest Grade Offered [Public School] 2013-14","Total Students [Public School] 2013-14"
"ACADEMIC CENTER FOR EXCELLENCE","Arkansas","ACADEMIC CENTER FOR EXCELLENCE","050375001019","CABOT SCHOOL DISTRICT","0503750","LONOKE COUNTY","05085","05","21 FUNTASTIC DR","CABOT","AR ","72023","","21 FUNTASTIC DR","CABOT","AR ","72023","","5018433363","4-Alternative/other school","34.940700","-92.026600","4304703","4304000","0501","7th Grade","12th Grade","186"
"ACADEMICS PLUS CHARTER SCHOOL","Arkansas","ACADEMICS PLUS CHARTER SCHOOL","050005900603","ACADEMICS PLUS CHARTER SCHOOL","0500059","PULASKI COUNTY","05119","05","900 EDGEWOOD DR","MAUMELLE","AR ","72113","6275","900 EDGEWOOD DR","MAUMELLE","AR ","72113","6275","5018513333","1-Regular school","34.865300","-92.405000","6040702","6040700","0502","Kindergarten","5th Grade","361"
"ACADEMICS PLUS HIGH CHARTER SCHOOL","Arkansas","ACADEMICS PLUS HIGH CHARTER SCHOOL","050005900741","ACADEMICS PLUS CHARTER SCHOOL","0500059","PULASKI COUNTY","05119","05","900 EDGEWOOD DR","MAUMELLE","AR ","72113","6275","900 EDGEWOOD DR","MAUMELLE","AR ","72113","6275","5018513333","1-Regular school","34.865300","-92.405000","6040703","6040700","0502","6th Grade","12th Grade","289"
"ACADEMY OF SERVICE & TECH","Arkansas","ACADEMY OF SERVICE & TECH","051353001466","VILONIA SCHOOL DISTRICT","0513530","FAULKNER COUNTY","05045","05","49 EAGLE ST","VILONIA","AR ","72173","","P O BOX 160","VILONIA","AR ","72173","","5017962940","1-Regular school","35.085300","-92.197600","2307702","2307000","0502","5th Grade","6th Grade","109"
"ACADEMY OF TECHNOLOGY","Arkansas","ACADEMY OF TECHNOLOGY","051353000948","VILONIA SCHOOL DISTRICT","0513530","FAULKNER COUNTY","05045","05","4 BANE LN","CONWAY","AR ","72032","","P O BOX 160","VILONIA","AR ","72173","","5017962018","1-Regular school","35.080700","-92.289100","2307701","2307000","0502","2nd Grade","4th Grade","79"
"ACCELERATED LEARNING PROGRAM","Arkansas","ACCELERATED LEARNING PROGRAM","050900000462","LITTLE ROCK SCHOOL DISTRICT","0509000","PULASKI COUNTY","05119","05","7701 SCOTT HAMILTON DR","LITTLE ROCK","AR ","72209","","7701 SCOTT HAMILTON DR","LITTLE ROCK","AR ","72209","","5014471350","4-Alternative/other school","34.677600","-92.318600","6001068","6001000","0502","10th Grade","12th Grade","176"
"ACORN ELEMENTARY SCHOOL","Arkansas","ACORN ELEMENTARY SCHOOL","050007300001","OUACHITA RIVER SCHOOL DISTRICT","0500073","POLK COUNTY","05113","05","143 POLK 96","MENA","AR ","71953","","143 POLK 96","MENA","AR ","71953","","4793944833","1-Regular school","34.637100","-94.206800","5706001","5706000","0504","Prekindergarten","6th Grade","286"
"ACORN HIGH SCHOOL","Arkansas","ACORN HIGH SCHOOL","050007300002","OUACHITA RIVER SCHOOL DISTRICT","0500073","POLK COUNTY","05113","05","143 POLK 96","MENA","AR ","71953","","143 POLK 96","MENA","AR ","71953","","4793945544","1-Regular school","34.637100","-94.206800","5706002","5706000","0504","7th Grade","12th Grade","212"
"ADKINS PRE-K CENTER","Arkansas","ADKINS PRE-K CENTER","051185000901","PULASKI CO. SPEC. SCHOOL DIST.","0511850","PULASKI COUNTY","05119","05","500 CLOVERDALE RD","JACKSONVILLE","AR ","72076","5614","500 CLOVERDALE RD","JACKSONVILLE","AR ","72076","5614","5019823117","1-Regular school","34.839200","-92.137100","6003090","6003000","0502","Prekindergarten","Kindergarten","157"
"AHLF JUNIOR HIGH SCHOOL","Arkansas","AHLF JUNIOR HIGH SCHOOL","051221000986","SEARCY SCHOOL DISTRICT","0512210","WHITE COUNTY","05145","05","308 WEST VINE","SEARCY","AR ","72143","4232","308 W VINE","SEARCY","AR ","72143","4232","5012683158","1-Regular school","35.252000","-91.740200","7311051","7311000","0502","7th Grade","8th Grade","672"
