"School Name","State Name [Public School] Latest available year","School Name [Public School] 2013-14","School ID - NCES Assigned [Public School] Latest available year","Agency Name [Public School] 2013-14","Agency ID - NCES Assigned [Public School] Latest available year","County Name [Public School] 2013-14","County Number [Public School] 2013-14","ANSI/FIPS State Code [Public School] Latest available year","Location Address [Public School] 2013-14","Location City [Public School] 2013-14","Location State Abbr [Public School] 2013-14","Location ZIP [Public School] 2013-14","Location ZIP4 [Public School] 2013-14","Mailing Address [Public School] 2013-14","Mailing City [Public School] 2013-14","Mailing State Abbr [Public School] 2013-14","Mailing ZIP [Public School] 2013-14","Mailing ZIP4 [Public School] 2013-14","Phone Number [Public School] 2013-14","School Type [Public School] 2013-14","Latitude [Public School] 2013-14","Longitude [Public School] 2013-14","State School ID [Public School] 2013-14","State Agency ID [Public School] 2013-14","Congressional Code [Public School] 2013-14","Lowest Grade Offered [Public School] 2013-14","Highest Grade Offered [Public School] 2013-14","Total Students [Public School] 2013-14"
"A CHILD'S VIEW SCHOOL","Arizona","A CHILD'S VIEW SCHOOL","040043102556","A CHILD'S VIEW SCHOOL  INC.","0400431","PIMA COUNTY","04019","04","2846 DREXEL RD","TUCSON","AZ ","85746","","2846 DREXEL ROAD","TUCSON","AZ ","85746","","5205782075","1-Regular school","32.148400","-111.028000","87345","87344","0403","Kindergarten","5th Grade","45"
"A J MITCHELL ELEMENTARY SCHOOL","Arizona","A J MITCHELL ELEMENTARY SCHOOL","040553000451","NOGALES UNIFIED DISTRICT","0405530","SANTA CRUZ COUNTY","04023","04","855 NORTH BAUTISTA ST","NOGALES","AZ ","85621","1840","855 N BAUTISTA ST","NOGALES","AZ ","85621","1840","5202870840","1-Regular school","31.347600","-110.939600","5958","4457","0403","Kindergarten","5th Grade","443"
"A. C. E.","Arizona","A. C. E.","040463000999","MARANA UNIFIED DISTRICT","0404630","PIMA COUNTY","04019","04","11279 WEST GRIER RD","MARANA","AZ ","85653","9609","11279 W GRIER RD","MARANA","AZ ","85653","9609","5206824749","1-Regular school","32.453100","-111.206300","5768","4404","0401","7th Grade","12th Grade","3"
"AAEC - PARADISE VALLEY","Arizona","AAEC - PARADISE VALLEY","040010601892","ARIZONA AGRIBUSINESS & EQUINE CENTER  INC.","0400106","MARICOPA COUNTY","04013","04","17811 NORTH 32ND ST","PHOENIX","AZ ","85032","8501","17811 NORTH 32ND STREET","PHOENIX","AZ ","85032","8501","6022438004","1-Regular school","33.648500","-112.011500","6344","4331","0406","9th Grade","12th Grade","347"
"AAEC - SMCC CAMPUS","Arizona","AAEC - SMCC CAMPUS","040041701588","ARIZONA AGRIBUSINESS & EQUINE CENTER  INC.","0400417","MARICOPA COUNTY","04013","04","7050 SOUTH 24TH ST","PHOENIX","AZ ","85042","","7050 S. 24TH STREET","PHOENIX","AZ ","85042","","6022438004","1-Regular school","33.381600","-112.034000","5503","85816","0407","9th Grade","12th Grade","371"
"ABIA JUDD ELEMENTARY SCHOOL","Arizona","ABIA JUDD ELEMENTARY SCHOOL","040673001433","PRESCOTT UNIFIED DISTRICT","0406730","YAVAPAI COUNTY","04025","04","1749 WILLIAMSON VALLEY RD","PRESCOTT","AZ ","86305","","1749 WILLIAMSON VALLEY RD.","PRESCOTT","AZ ","86305","","9284455400","1-Regular school","34.571100","-112.498900","8132","4466","0404","Kindergarten","5th Grade","565"
"ABRAHAM LINCOLN TRADITIONAL SCHOOL","Arizona","ABRAHAM LINCOLN TRADITIONAL SCHOOL","040906000652","WASHINGTON ELEMENTARY SCHOOL DISTRICT","0409060","MARICOPA COUNTY","04013","04","10444 NORTH 39TH AVE","PHOENIX","AZ ","85051","1179","10444 N 39TH AVENUE","PHOENIX","AZ ","85051","1179","6023472600","1-Regular school","33.581300","-112.144200","5274","4260","0406","Kindergarten","8th Grade","623"
"ACACIA ELEMENTARY SCHOOL","Arizona","ACACIA ELEMENTARY SCHOOL","040885001510","VAIL UNIFIED DISTRICT","0408850","PIMA COUNTY","04019","04","12955 EAST COLOSSAL CAVE RD","VAIL","AZ ","85641","9003","12955 E. COLOSSAL CAVE ROAD","VAIL","AZ ","85641","9003","5208792200","1-Regular school","32.042000","-110.717000","91168","4413","0402","Kindergarten","5th Grade","717"
"ACACIA ELEMENTARY SCHOOL","Arizona","ACACIA ELEMENTARY SCHOOL","040906000915","WASHINGTON ELEMENTARY SCHOOL DISTRICT","0409060","MARICOPA COUNTY","04013","04","3021 WEST EVANS DR","PHOENIX","AZ ","85053","5799","3021 W. EVANS DR.","PHOENIX","AZ ","85053","5799","6023472600","1-Regular school","33.616200","-112.123800","5244","4260","0406","Kindergarten","6th Grade","766"
"ACADEMY ADVENTURES MID-TOWN","Arizona","ACADEMY ADVENTURES MID-TOWN","040061302861","EDUCATIONAL IMPACT  INC.","0400613","PIMA COUNTY","04019","04","825 EAST FT. LOWELL RD","TUCSON","AZ ","85719","","1950 E. PLACITA SIN NOMBRE","TUCSON","AZ ","85718","","5204071200","1-Regular school","32.265600","-110.959200","89474","81123","0402","Kindergarten","5th Grade","†"
"ACADEMY ADVENTURES MIDTOWN","Arizona","ACADEMY ADVENTURES MIDTOWN","040081703191","ED AHEAD","0400817","PIMA COUNTY","04019","04","3025 NORTH WINSTEL","TUCSON","AZ ","85716","","3025 N. WINSTEL","TUCSON","AZ ","85716","","5204651415","1-Regular school","32.262200","-110.912500","90507","90506","0402","Kindergarten","5th Grade","101"
"ACADEMY ADVENTURES PRIMARY SCHOOL","Arizona","ACADEMY ADVENTURES PRIMARY SCHOOL","040061303135","EDUCATIONAL IMPACT  INC.","0400613","PIMA COUNTY","04019","04","3902 NORTH FLOWING WELLS RD","TUCSON","AZ ","85705","","3902 NORTH FLOWING WELLS ROAD","TUCSON","AZ ","85705","","5204071200","1-Regular school","32.277800","-110.994500","81124","81123","0402","Kindergarten","5th Grade","99"
"ACADEMY DEL SOL","Arizona","ACADEMY DEL SOL","040079702994","ACADEMY DEL SOL  INC.","0400797","PIMA COUNTY","04019","04","4525 EAST BROADWAY BLVD","TUCSON","AZ ","85711","","8379 W. AVECENNA ST.","TUCSON","AZ ","85757","","5203252800","1-Regular school","32.222100","-110.896300","90200","90199","0402","Kindergarten","8th Grade","66"
"ACADEMY DEL SOL - HOPE","Arizona","ACADEMY DEL SOL - HOPE","040079703230","ACADEMY DEL SOL  INC.","0400797","PIMA COUNTY","04019","04","6740 SOUTH SANTA CLARA AVE","TUCSON","AZ ","85706","","4525 E. BROADWAY BLVD.","TUCSON","AZ ","85711","","5203252800","1-Regular school","32.129800","-110.982800","90770","90199","0403","Kindergarten","8th Grade","430"
"ACADEMY OF BUILDING INDUSTRIES","Arizona","ACADEMY OF BUILDING INDUSTRIES","040041402412","ACADEMY OF BUILDING INDUSTRIES  INC.","0400414","MOHAVE COUNTY","04015","04","1547 EAST LIPPAN BLVD","FORT MOHAVE","AZ ","86426","","1547 E. LIPPAN BLVD.","FORT MOHAVE","AZ ","86426","","9287882601","1-Regular school","34.983200","-114.595500","85541","85540","0404","9th Grade","12th Grade","113"
"ACADEMY OF EXCELLENCE","Arizona","ACADEMY OF EXCELLENCE","040012801715","ACADEMY OF EXCELLENCE  INC.","0400128","MARICOPA COUNTY","04013","04","425 NORTH 36TH ST","PHOENIX","AZ ","85008","","425 NORTH 36TH STREET","PHOENIX","AZ ","85008","","6023894271","1-Regular school","33.453400","-112.003700","5461","4296","0407","Kindergarten","8th Grade","99"
