"School Name","State Name [Public School] Latest available year","School Name [Public School] 2013-14","School ID - NCES Assigned [Public School] Latest available year","Agency Name [Public School] 2013-14","Agency ID - NCES Assigned [Public School] Latest available year","County Name [Public School] 2013-14","County Number [Public School] 2013-14","ANSI/FIPS State Code [Public School] Latest available year","Location Address [Public School] 2013-14","Location City [Public School] 2013-14","Location State Abbr [Public School] 2013-14","Location ZIP [Public School] 2013-14","Location ZIP4 [Public School] 2013-14","Mailing Address [Public School] 2013-14","Mailing City [Public School] 2013-14","Mailing State Abbr [Public School] 2013-14","Mailing ZIP [Public School] 2013-14","Mailing ZIP4 [Public School] 2013-14","Phone Number [Public School] 2013-14","School Type [Public School] 2013-14","Latitude [Public School] 2013-14","Longitude [Public School] 2013-14","State School ID [Public School] 2013-14","State Agency ID [Public School] 2013-14","Congressional Code [Public School] 2013-14","Lowest Grade Offered [Public School] 2013-14","Highest Grade Offered [Public School] 2013-14","Total Students [Public School] 2013-14"
"70 ONLINE","Colorado","70 ONLINE","080615006496","PUEBLO COUNTY SCHOOL DISTRICT 70","0806150","PUEBLO COUNTY","08101","08","301 LN 28","PUEBLO","CO ","81001","","301 LANE 28","PUEBLO","CO ","81001","","7192956518","1-Regular school","38.268900","-104.520500","5990","2700","0803","Kindergarten","12th Grade","96"
"ABRAHAM LINCOLN HIGH SCHOOL","Colorado","ABRAHAM LINCOLN HIGH SCHOOL","080336000305","SCHOOL DISTRICT NO. 1 IN THE COUNTY OF DENVER AND STATE OF C","0803360","DENVER COUNTY","08031","08","2285 SOUTH FEDERAL BLVD","DENVER","CO ","80219","5433","2285 SOUTH FEDERAL BOULEVARD","DENVER","CO ","80219","5400","7204235000","1-Regular school","39.676100","-105.026500","0010","0880","0801","9th Grade","12th Grade","1509"
"ABRAMS ELEMENTARY SCHOOL","Colorado","ABRAMS ELEMENTARY SCHOOL","080408000560","FOUNTAIN, SCHOOL DISTRICT NO. 8, IN THE COUNTY OF EL PASO AN","0804080","EL PASO COUNTY","08041","08","600 CHILES AVE","FORT CARSON","CO ","80902","2200","600 CHILES AVENUE","FORT CARSON","CO ","80902","5019","7193821490","1-Regular school","38.753100","-104.801100","1334","1000","0805","Kindergarten","5th Grade","488"
"ACADEMIA ANA MARIE SANDOVAL","Colorado","ACADEMIA ANA MARIE SANDOVAL","080336001750","SCHOOL DISTRICT NO. 1 IN THE COUNTY OF DENVER AND STATE OF C","0803360","DENVER COUNTY","08031","08","3655 WYANDOT ST","DENVER","CO ","80211","2950","3655 WYANDOT STREET","DENVER","CO ","80211","2950","7204244370","1-Regular school","39.767500","-105.015500","6397","0880","0801","Prekindergarten","6th Grade","397"
"ACADEMY 360","Colorado","ACADEMY 360","080336006592","SCHOOL DISTRICT NO. 1 IN THE COUNTY OF DENVER AND STATE OF C","0803360","DENVER COUNTY","08031","08","4605 PARIS ST","DENVER","CO ","80239","","4605 PARIS STREET","DENVER","CO ","80239","","7204320360","1-Regular school","39.779800","-104.850500","0099","0880","0801","Kindergarten","2nd Grade","99"
"ACADEMY CHARTER SCHOOL","Colorado","ACADEMY CHARTER SCHOOL","080345000492","DOUGLAS COUNTY SCHOOL DISTRICT, NO. RE 1","0803450","DOUGLAS COUNTY","08035","08","1551 PRAIRIE HAWK DR","CASTLE ROCK","CO ","80104","7900","1551 PRAIRIE HAWK DRIVE","CASTLE ROCK","CO ","80104","7900","3036604881","1-Regular school","39.385900","-104.870600","0011","0900","0804","Kindergarten","9th Grade","738"
"ACADEMY ENDEAVOUR ELEMENTARY SCHOOL","Colorado","ACADEMY ENDEAVOUR ELEMENTARY SCHOOL","080192001643","ACADEMY, SCHOOL DISTRICT NO. 20, IN THE COUNTY OF EL PASO AN","0801920","EL PASO COUNTY","08041","08","3475 HAMPTON PARK DR","COLORADO SPRINGS","CO ","80920","4611","3475 HAMPTON PARK DRIVE","COLORADO SPRINGS","CO ","80920","4611","7192345600","1-Regular school","38.951600","-104.762100","0017","1040","0805","Kindergarten","5th Grade","609"
"ACADEMY FOR ADVANCED AND CREATIVE LEARNING","Colorado","ACADEMY FOR ADVANCED AND CREATIVE LEARNING","080306006456","COLORADO SPRINGS, SCHOOL DISTRICT NO. 11, IN THE COUNTY OF E","0803060","EL PASO COUNTY","08041","08","2510 NORTH CHESTNUT ST","COLORADO SPRINGS","CO ","80907","5912","2510 NORTH CHESTNUT STREET","COLORADO SPRINGS","CO ","80907","5912","3038666600","1-Regular school","38.868300","-104.837300","0517","1010","0805","Kindergarten","8th Grade","285"
"ACADEMY HIGH SCHOOL","Colorado","ACADEMY HIGH SCHOOL","080555001872","MAPLETON, SCHOOL DISTRICT NO. 1, IN THE COUNTY OF ADAMS & ST","0805550","ADAMS COUNTY","08001","08","8970 YORK ST","THORNTON","CO ","80229","4666","8970 YORK STREET","THORNTON","CO ","80229","4684","3038531900","1-Regular school","39.857900","-104.955800","0309","0010","0807","9th Grade","12th Grade","379"
"ACADEMY INTERNATIONAL ELEMENTARY SCHOOL","Colorado","ACADEMY INTERNATIONAL ELEMENTARY SCHOOL","080192001644","ACADEMY, SCHOOL DISTRICT NO. 20, IN THE COUNTY OF EL PASO AN","0801920","EL PASO COUNTY","08041","08","8550 CHARITY DR","COLORADO SPRINGS","CO ","80920","7360","8550 CHARITY","COLORADO SPRINGS","CO ","80920","7360","7192344000","1-Regular school","38.962700","-104.765600","0019","1040","0805","Prekindergarten","5th Grade","721"
