"School Name","State Name [Public School] Latest available year","School Name [Public School] 2013-14","School ID - NCES Assigned [Public School] Latest available year","Agency Name [Public School] 2013-14","Agency ID - NCES Assigned [Public School] Latest available year","County Name [Public School] 2013-14","County Number [Public School] 2013-14","ANSI/FIPS State Code [Public School] Latest available year","Location Address [Public School] 2013-14","Location City [Public School] 2013-14","Location State Abbr [Public School] 2013-14","Location ZIP [Public School] 2013-14","Location ZIP4 [Public School] 2013-14","Mailing Address [Public School] 2013-14","Mailing City [Public School] 2013-14","Mailing State Abbr [Public School] 2013-14","Mailing ZIP [Public School] 2013-14","Mailing ZIP4 [Public School] 2013-14","Phone Number [Public School] 2013-14","School Type [Public School] 2013-14","Latitude [Public School] 2013-14","Longitude [Public School] 2013-14","State School ID [Public School] 2013-14","State Agency ID [Public School] 2013-14","Congressional Code [Public School] 2013-14","Lowest Grade Offered [Public School] 2013-14","Highest Grade Offered [Public School] 2013-14","Total Students [Public School] 2013-14"
"A. BALDWIN MIDDLE SCHOOL","Connecticut","A. BALDWIN MIDDLE SCHOOL","090180000328","GUILFORD SCHOOL DISTRICT","0901800","NEW HAVEN COUNTY","09009","09","68 BULLARD DR","GUILFORD","CT ","06437","1553","68 BULLARD DRIVE","GUILFORD","CT ","06437","1553","2034570222","1-Regular school","41.337500","-72.719300","07","060","0903","5th Grade","6th Grade","580"
"A. I. PRINCE TECHNICAL HIGH SCHOOL","Connecticut","A. I. PRINCE TECHNICAL HIGH SCHOOL","090000201136","CONNECTICUT TECHNICAL HIGH SC","0900002","HARTFORD COUNTY","09003","09","500 BROOKFIELD ST","HARTFORD","CT ","06106","3709","500 BROOKFIELD STREET","HARTFORD","CT ","06106","3709","8609517112","3-Vocational school","41.742800","-72.707000","15","900","0901","9th Grade","12th Grade","801"
"A. W. COX SCHOOL","Connecticut","A. W. COX SCHOOL","090180000329","GUILFORD SCHOOL DISTRICT","0901800","NEW HAVEN COUNTY","09009","09","143 THREE MILE COURSE","GUILFORD","CT ","06437","2522","143 THREE MILE COURSE","GUILFORD","CT ","06437","2522","2034535291","1-Regular school","41.286500","-72.696900","06","060","0903","Kindergarten","4th Grade","313"
"A. WARD SPAULDING SCHOOL","Connecticut","A. WARD SPAULDING SCHOOL","090447000903","SUFFIELD SCHOOL DISTRICT","0904470","HARTFORD COUNTY","09003","09","945 MOUNTAIN RD","SUFFIELD","CT ","06078","2014","945 MOUNTAIN ROAD","SUFFIELD","CT ","06078","2014","8606683826","1-Regular school","41.985100","-72.686900","04","139","0902","Prekindergarten","2nd Grade","481"
"A.R.T.S. ACADEMY","Connecticut","A.R.T.S. ACADEMY","090474001362","WALLINGFORD SCHOOL DISTRICT","0904740","NEW HAVEN COUNTY","09009","09","75 PARKER ST","WALLINGFORD","CT ","06492","","75 PARKER STREET","WALLINGFORD","CT ","06492","","2032946290","4-Alternative/other school","41.463400","-72.822400","90","148","0903","6th Grade","12th Grade","13"
"ABRAHAM PIERSON SCHOOL","Connecticut","ABRAHAM PIERSON SCHOOL","090081000131","CLINTON SCHOOL DISTRICT","0900810","MIDDLESEX COUNTY","09007","09","75 EAST MAIN ST","CLINTON","CT ","06413","2036","75 EAST MAIN STREET","CLINTON","CT ","06413","2036","8606646502","1-Regular school","41.278400","-72.521200","01","027","0902","4th Grade","5th Grade","296"
"ACADEMY OF AEROSPACE & ENGINEERING ELEMENTARY","Connecticut","ACADEMY OF AEROSPACE & ENGINEERING ELEMENTARY","090070001629","CAPITOL REGION EDUCATION COUN","0900700","HARTFORD COUNTY","09003","09","525 BROOK ST","ROCKY HILL","CT ","06067","","525 BROOK STREET","ROCKY HILL","CT ","06067","","8605291652","1-Regular school","41.643100","-72.664400","07","241","0901","Prekindergarten","Kindergarten","222"
"ACADEMY OF AEROSPACE AND ENGINEERING","Connecticut","ACADEMY OF AEROSPACE AND ENGINEERING","090070001513","CAPITOL REGION EDUCATION COUN","0900700","HARTFORD COUNTY","09003","09","15 VERNON ST","HARTFORD","CT ","06106","","15 VERNON STREET","HARTFORD","CT ","06106","","8607576316","1-Regular school","41.751100","-72.683700","51","241","0901","6th Grade","12th Grade","562"
"ACHIEVE","Connecticut","ACHIEVE","090492001527","WEST HARTFORD SCHOOL DISTRICT","0904920","HARTFORD COUNTY","09003","09","11 WAMPANOAG DR","WEST HARTFORD","CT ","06117","","11 WAMPANOAG DRIVE","WEST HARTFORD","CT ","06117","","8602317945","2-Special education school","41.800500","-72.750500","91","155","0901","12th Grade","12th Grade","8"
"ACHIEVEMENT FIRST BRIDGEPORT ACADEMY","Connecticut","ACHIEVEMENT FIRST BRIDGEPORT ACADEMY","090020801493","BRIDGEPORT ACHIEVEMENT FIRST","0900208","FAIRFIELD COUNTY","09001","09","655 STILLMAN ST","BRIDGEPORT","CT ","06608","","655 STILLMAN STREET","BRIDGEPORT","CT ","06608","","2033380593","1-Regular school","41.192500","-73.175900","01","285","0904","Kindergarten","11th Grade","835"
"ACHIEVEMENT FIRST HARTFORD ACADEMY INC.","Connecticut","ACHIEVEMENT FIRST HARTFORD ACADEMY INC.","090021201528","ACHIEVEMENT FIRST HARTFORD AC","0900212","HARTFORD COUNTY","09003","09","305 GREENFIELD ST","HARTFORD","CT ","06112","","305 GREENFIELD STREET","HARTFORD","CT ","06112","","8606955280","1-Regular school","41.783700","-72.697200","01","288","0901","Kindergarten","10th Grade","870"
"ACT MAGNET SCHOOL (ARTS AT THE CAPITOL THEATER) -","Connecticut","ACT MAGNET SCHOOL (ARTS AT THE CAPITOL THEATER) -","090136001507","EASTERN CONNECTICUT REGIONAL","0901360","WINDHAM COUNTY","09015","09","896 MAIN ST","WILLIMANTIC","CT ","06226","","896 MAIN STREET","WILLIMANTIC","CT ","06226","","8604655636","1-Regular school","41.712300","-72.216200","60","253","0902","9th Grade","12th Grade","145"
