"School Name","State Name [Public School] Latest available year","School Name [Public School] 2013-14","School ID - NCES Assigned [Public School] Latest available year","Agency Name [Public School] 2013-14","Agency ID - NCES Assigned [Public School] Latest available year","County Name [Public School] 2013-14","County Number [Public School] 2013-14","ANSI/FIPS State Code [Public School] Latest available year","Location Address [Public School] 2013-14","Location City [Public School] 2013-14","Location State Abbr [Public School] 2013-14","Location ZIP [Public School] 2013-14","Location ZIP4 [Public School] 2013-14","Mailing Address [Public School] 2013-14","Mailing City [Public School] 2013-14","Mailing State Abbr [Public School] 2013-14","Mailing ZIP [Public School] 2013-14","Mailing ZIP4 [Public School] 2013-14","Phone Number [Public School] 2013-14","School Type [Public School] 2013-14","Latitude [Public School] 2013-14","Longitude [Public School] 2013-14","State School ID [Public School] 2013-14","State Agency ID [Public School] 2013-14","Congressional Code [Public School] 2013-14","Lowest Grade Offered [Public School] 2013-14","Highest Grade Offered [Public School] 2013-14","Total Students [Public School] 2013-14"
"ACHIEVEMENT PREPARATORY ACADEMY PCS","District of Columbia","ACHIEVEMENT PREPARATORY ACADEMY PCS","110007200405","ACHIEVEMENT PREP ACADEMY PCS","1100072","DISTRICT OF COLUMBIA","11001","11","908 WAHLER PLACESE","WASHINGTON","DC ","20032","","908 WAHLER PL  SE","WASHINGTON","DC ","20032","","2025621214","1-Regular school","38.833900","-76.992500","1100","155","1198","4th Grade","8th Grade","382"
"ACHIEVEMENT PREPARATORY PCS-ELEMENTARY","District of Columbia","ACHIEVEMENT PREPARATORY PCS-ELEMENTARY","110007200473","ACHIEVEMENT PREP ACADEMY PCS","1100072","DISTRICT OF COLUMBIA","11001","11","1500 MISSISSIPPI AVE SE","WASHINGTON","DC ","20032","","1500 MISSISSIPPI AVENUE SE","WASHINGTON","DC ","20032","","2025621214","1-Regular school","38.841500","-76.984800","217","155","1198","Kindergarten","4th Grade","233"
"AITON ES","District of Columbia","AITON ES","110003000122","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","1100030","DISTRICT OF COLUMBIA","11001","11","533 48TH PLACENE","WASHINGTON","DC ","20019","4751","533 48TH PL  NE","WASHINGTON","DC ","20019","4751","2026716060","1-Regular school","38.896700","-76.933700","202","001","1198","Prekindergarten","5th Grade","247"
"AMIDON BOWEN  ES","District of Columbia","AMIDON BOWEN  ES","110003000121","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","1100030","DISTRICT OF COLUMBIA","11001","11","401 EYE ST SW","WASHINGTON","DC ","20024","4498","401 EYE ST  SW","WASHINGTON","DC ","20024","4498","2027244867","1-Regular school","38.879800","-77.018100","203","001","1198","Prekindergarten","5th Grade","342"
"ANACOSTIA SHS","District of Columbia","ANACOSTIA SHS","110003000085","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","1100030","DISTRICT OF COLUMBIA","11001","11","1601 16TH ST SE","WASHINGTON","DC ","20020","5503","1601 16TH ST  SE","WASHINGTON","DC ","20020","5503","2026982155","1-Regular school","38.870100","-76.983100","450","001","1198","9th Grade","12th Grade","751"
"APPLETREE EARLY LEARNING CENTER PCS COLUMBIA HEIGH","District of Columbia","APPLETREE EARLY LEARNING CENTER PCS COLUMBIA HEIGH","110005400304","APPLETREE EARLY LEARNING CENTER PCS","1100054","DISTRICT OF COLUMBIA","11001","11","2750 14TH ST NW","WASHINGTON","DC ","20009","","2750 14TH ST NW","WASHINGTON","DC ","20009","","2026679490","1-Regular school","38.925200","-77.032700","140","103","1198","Prekindergarten","Prekindergarten","161"
"APPLETREE EARLY LEARNING CENTER PCS LINCOLN PARK","District of Columbia","APPLETREE EARLY LEARNING CENTER PCS LINCOLN PARK","110005400448","APPLETREE EARLY LEARNING CENTER PCS","1100054","DISTRICT OF COLUMBIA","11001","11","138 12TH ST NE","WASHINGTON","DC ","20019","","138 12TH ST NE","WASHINGTON","DC ","20019","","2026216581","1-Regular school","38.891500","-76.990700","3073","103","1198","Prekindergarten","Prekindergarten","63"
"APPLETREE EARLY LEARNING CENTER PCS OKLAHOMA","District of Columbia","APPLETREE EARLY LEARNING CENTER PCS OKLAHOMA","110005400435","APPLETREE EARLY LEARNING CENTER PCS","1100054","DISTRICT OF COLUMBIA","11001","11","320 21ST ST NE","WASHINGTON","DC ","20002","","320 21ST ST NE","WASHINGTON","DC ","20002","","2026292179","1-Regular school","38.894100","-76.975100","1137","103","1198","Prekindergarten","Prekindergarten","172"
"APPLETREE EARLY LEARNING CENTER PCS SOUTHWEST AMID","District of Columbia","APPLETREE EARLY LEARNING CENTER PCS SOUTHWEST AMID","110005400413","APPLETREE EARLY LEARNING CENTER PCS","1100054","DISTRICT OF COLUMBIA","11001","11","680 I ST SW","WASHINGTON","DC ","20024","","680 I ST SW","WASHINGTON","DC ","20024","","2026460500","1-Regular school","38.878900","-77.021800","141","103","1198","Prekindergarten","Prekindergarten","79"
"APPLETREE EARLY LEARNING PCS SOUTHEAST","District of Columbia","APPLETREE EARLY LEARNING PCS SOUTHEAST","110005400447","APPLETREE EARLY LEARNING CENTER PCS","1100054","DISTRICT OF COLUMBIA","11001","11","2017 SAVANNAH TERR SE","WASHINGTON","DC ","20020","","2017 SAVANNAH TERR SE","WASHINGTON","DC ","20020","","2026294525","1-Regular school","38.848600","-76.974800","3072","103","1198","Prekindergarten","Prekindergarten","172"
"ARTS AND TECHNOLOGY PCS","District of Columbia","ARTS AND TECHNOLOGY PCS","110000100215","ARTS AND TECHNOLOGY PCS","1100001","DISTRICT OF COLUMBIA","11001","11","5300 BLAINE ST NE","WASHINGTON","DC ","20019","","5300 BLAINE ST NE","WASHINGTON","DC ","20019","","2023986811","1-Regular school","38.892000","-76.924600","181","104","1198","Prekindergarten","5th Grade","618"
"BALLOU SHS","District of Columbia","BALLOU SHS","110003000084","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","1100030","DISTRICT OF COLUMBIA","11001","11","3401 4TH ST SE","WASHINGTON","DC ","20032","5499","3401 4TH ST  SE","WASHINGTON","DC ","20032","5499","2026453400","1-Regular school","38.840200","-77.001600","452","001","1198","9th Grade","12th Grade","678"
"BALLOU STAY","District of Columbia","BALLOU STAY","110003000207","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","1100030","DISTRICT OF COLUMBIA","11001","11","3401 4TH ST SE","WASHINGTON","DC ","20032","5499","3401 4TH ST SE","WASHINGTON","DC ","20032","5499","2026453390","4-Alternative/other school","38.840200","-77.001600","462","001","1198","9th Grade","11th Grade","–"
"BANCROFT ES","District of Columbia","BANCROFT ES","110003000120","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","1100030","DISTRICT OF COLUMBIA","11001","11","1755 NEWTON ST NW","WASHINGTON","DC ","20010","1823","1755 NEWTON ST  NW","WASHINGTON","DC ","20010","1823","2026737280","1-Regular school","38.934400","-77.040500","204","001","1198","Prekindergarten","5th Grade","490"
"BARNARD ES","District of Columbia","BARNARD ES","110003000119","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","1100030","DISTRICT OF COLUMBIA","11001","11","430 DECATUR ST NW","WASHINGTON","DC ","20011","4745","430 DECATUR ST  NW","WASHINGTON","DC ","20011","4745","2025761100","1-Regular school","38.947900","-77.017800","205","001","1198","Prekindergarten","5th Grade","583"
"BASIS DC PCS","District of Columbia","BASIS DC PCS","110008300443","BASIS DC PCS","1100083","DISTRICT OF COLUMBIA","11001","11","410 8TH ST NW","WASHINGTON","DC ","20004","","410 8TH ST NW","WASHINGTON","DC ","20004","","2023935437","1-Regular school","38.895300","-77.023300","3068","168","1198","5th Grade","9th Grade","510"
"BEERS ES","District of Columbia","BEERS ES","110003000118","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","1100030","DISTRICT OF COLUMBIA","11001","11","3600 ALABAMA AVE SE","WASHINGTON","DC ","20020","2426","3600 ALABAMA AVE  SE","WASHINGTON","DC ","20020","2426","2029394800","1-Regular school","38.864600","-76.955900","206","001","1198","Prekindergarten","5th Grade","422"
"BENJAMIN BANNEKER ACADEMY HS","District of Columbia","BENJAMIN BANNEKER ACADEMY HS","110003000153","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","1100030","DISTRICT OF COLUMBIA","11001","11","800 EUCLID ST NW","WASHINGTON","DC ","20001","2228","800 EUCLID ST  NW","WASHINGTON","DC ","20001","2228","2026716320","1-Regular school","38.923700","-77.024000","402","001","1198","9th Grade","12th Grade","430"
"BOOKER T  WASHINGTON PCS","District of Columbia","BOOKER T  WASHINGTON PCS","110000300217","BOOKER T WASHINGTON PCS","1100003","DISTRICT OF COLUMBIA","11001","11","1346 FLORIDA AVE NW","WASHINGTON","DC ","20009","","1346 FLORIDA AVE NW","WASHINGTON","DC ","20009","","2022326090","1-Regular school","38.919900","-77.031100","151","106","1198","9th Grade","12th Grade","177"
"BRENT ES","District of Columbia","BRENT ES","110003000113","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","1100030","DISTRICT OF COLUMBIA","11001","11","301 NORTH CAROLINA AVE SE","WASHINGTON","DC ","20003","","301 NORTH CAROLINA AVE  SE","WASHINGTON","DC ","20003","","2026983363","1-Regular school","38.884600","-77.001500","212","001","1198","Prekindergarten","5th Grade","359"
