"School Name","State Name [Public School] Latest available year","School Name [Public School] 2013-14","School ID - NCES Assigned [Public School] Latest available year","Agency Name [Public School] 2013-14","Agency ID - NCES Assigned [Public School] Latest available year","County Name [Public School] 2013-14","County Number [Public School] 2013-14","ANSI/FIPS State Code [Public School] Latest available year","Location Address [Public School] 2013-14","Location City [Public School] 2013-14","Location State Abbr [Public School] 2013-14","Location ZIP [Public School] 2013-14","Location ZIP4 [Public School] 2013-14","Mailing Address [Public School] 2013-14","Mailing City [Public School] 2013-14","Mailing State Abbr [Public School] 2013-14","Mailing ZIP [Public School] 2013-14","Mailing ZIP4 [Public School] 2013-14","Phone Number [Public School] 2013-14","School Type [Public School] 2013-14","Latitude [Public School] 2013-14","Longitude [Public School] 2013-14","State School ID [Public School] 2013-14","State Agency ID [Public School] 2013-14","Congressional Code [Public School] 2013-14","Lowest Grade Offered [Public School] 2013-14","Highest Grade Offered [Public School] 2013-14","Total Students [Public School] 2013-14"
"""PEMAYETV EMAHAKV CHARTER """"OUR WAY SCHOOL""""""","Florida","""PEMAYETV EMAHAKV CHARTER """"OUR WAY SCHOOL""""""","120066004849","GLADES","1200660","GLADES COUNTY","12043","12","100 EAST HARNEY POND RD NE","OKEECHOBEE","FL ","34974","2867","100 E HARNEY POND RD NE","OKEECHOBEE","FL ","34974","2867","8634672501","1-Regular school","27.085600","-81.080500","0056","22","1217","Kindergarten","5th Grade","175"
"133-E-E-6","Florida","133-E-E-6","120144008289","ORANGE","1201440","ORANGE COUNTY","12095","12","445 WEST AMELIA ST","ORLANDO","FL ","32801","1129","PO BOX 271","ORLANDO","FL ","32802","0271","4073173209","1-Regular school","28.550200","-81.384300","1851","48","1205","†","†","†"
"63-E-SW-4","Florida","63-E-SW-4","120144008330","ORANGE","1201440","ORANGE COUNTY","12095","12","445 WEST AMELIA ST","ORLANDO","FL ","32801","1129","PO BOX 271","ORLANDO","FL ","32802","0271","4073173209","1-Regular school","28.550200","-81.384300","1482","48","1205","†","†","†"
"81-E-SW-5","Florida","81-E-SW-5","120144008283","ORANGE","1201440","ORANGE COUNTY","12095","12","445 WEST AMELIA ST","ORLANDO","FL ","32801","1129","PO BOX 271","ORLANDO","FL ","32802","0271","4073173209","1-Regular school","28.550200","-81.384300","1492","48","1205","†","†","†"
"A. CRAWFORD MOSLEY HIGH SCHOOL","Florida","A. CRAWFORD MOSLEY HIGH SCHOOL","120009000067","BAY","1200090","BAY COUNTY","12005","12","501 MOSLEY DR","LYNN HAVEN","FL ","32444","5609","501 MOSLEY DR","LYNN HAVEN","FL ","32444","5609","8507674400","1-Regular school","30.210100","-85.643900","0491","03","1202","9th Grade","12th Grade","1692"
"A. K. SUTER ELEMENTARY SCHOOL","Florida","A. K. SUTER ELEMENTARY SCHOOL","120051000811","ESCAMBIA","1200510","ESCAMBIA COUNTY","12033","12","501 PICKENS AVE","PENSACOLA","FL ","32503","6476","501 PICKENS AVE","PENSACOLA","FL ","32503","6476","8505956810","1-Regular school","30.426700","-87.182600","0501","17","1201","Prekindergarten","5th Grade","436"
"A. L. MEBANE MIDDLE SCHOOL","Florida","A. L. MEBANE MIDDLE SCHOOL","120003000018","ALACHUA","1200030","ALACHUA COUNTY","12001","12","16401 NW 140TH ST","ALACHUA","FL ","32615","4422","16401 NW 140TH ST","ALACHUA","FL ","32615","4422","3864621648","1-Regular school","29.805100","-82.493100","0221","01","1203","6th Grade","8th Grade","356"
"A. PHILIP RANDOLPH ACADEMIES","Florida","A. PHILIP RANDOLPH ACADEMIES","120048000773","DUVAL","1200480","DUVAL COUNTY","12031","12","1157 GOLFAIR BLVD","JACKSONVILLE","FL ","32209","4037","1157 GOLFAIR BLVD","JACKSONVILLE","FL ","32209","4037","9049243011","1-Regular school","30.365000","-81.672800","2851","16","1205","6th Grade","12th Grade","543"
"A.D. HENDERSON UNIVERSITY SCHOOL & FAU HIGH SCHOOL","Florida","A.D. HENDERSON UNIVERSITY SCHOOL & FAU HIGH SCHOOL","120201203140","FAU LAB SCH","1202012","PALM BEACH COUNTY","12099","12","777 GLADES RD BLDG 26","BOCA RATON","FL ","33431","6424","777 GLADES RD BLDG 26","BOCA RATON","FL ","33431","6424","5612973970","1-Regular school","26.368900","-80.099700","0011","72","1222","Kindergarten","12th Grade","943"
"A.QUINN JONES/EXCEP.STUDENT CENTER","Florida","A.QUINN JONES/EXCEP.STUDENT CENTER","120003000004","ALACHUA","1200030","ALACHUA COUNTY","12001","12","1108 NW 7TH AVE","GAINESVILLE","FL ","32601","4949","1108 NW 7TH AVE","GAINESVILLE","FL ","32601","4949","3529556840","2-Special education school","29.658000","-82.336000","0052","01","1205","Kindergarten","12th Grade","67"
"ABESS PARK ELEMENTARY SCHOOL","Florida","ABESS PARK ELEMENTARY SCHOOL","120048003173","DUVAL","1200480","DUVAL COUNTY","12031","12","12731 ABESS BLVD","JACKSONVILLE","FL ","32225","5942","12731 ABESS BLVD","JACKSONVILLE","FL ","32225","5942","9042201260","1-Regular school","30.324700","-81.487800","2631","16","1204","Prekindergarten","5th Grade","732"
"ABRAHAM LINCOLN MIDDLE SCHOOL","Florida","ABRAHAM LINCOLN MIDDLE SCHOOL","120003000010","ALACHUA","1200030","ALACHUA COUNTY","12001","12","1001 SE 12TH ST","GAINESVILLE","FL ","32641","8101","1001 SE 12TH ST","GAINESVILLE","FL ","32641","8101","3529556711","1-Regular school","29.642200","-82.308900","0112","01","1205","6th Grade","8th Grade","677"
"ACADEMIC CONNECTIONS FOR EXCELLENCE","Florida","ACADEMIC CONNECTIONS FOR EXCELLENCE","120132007933","MONROE","1201320","MONROE COUNTY","12087","12","1400 UNITED ST","KEY WEST","FL ","33040","3400","1400 UNITED ST BLDG 2","KEY WEST","FL ","33040","3400","3052931599","4-Alternative/other school","24.554500","-81.786500","0151","44","1226","6th Grade","12th Grade","13"
