"School Name","State Name [Public School] Latest available year","School Name [Public School] 2013-14","School ID - NCES Assigned [Public School] Latest available year","Agency Name [Public School] 2013-14","Agency ID - NCES Assigned [Public School] Latest available year","County Name [Public School] 2013-14","County Number [Public School] 2013-14","ANSI/FIPS State Code [Public School] Latest available year","Location Address [Public School] 2013-14","Location City [Public School] 2013-14","Location State Abbr [Public School] 2013-14","Location ZIP [Public School] 2013-14","Location ZIP4 [Public School] 2013-14","Mailing Address [Public School] 2013-14","Mailing City [Public School] 2013-14","Mailing State Abbr [Public School] 2013-14","Mailing ZIP [Public School] 2013-14","Mailing ZIP4 [Public School] 2013-14","Phone Number [Public School] 2013-14","School Type [Public School] 2013-14","Latitude [Public School] 2013-14","Longitude [Public School] 2013-14","State School ID [Public School] 2013-14","State Agency ID [Public School] 2013-14","Congressional Code [Public School] 2013-14","Lowest Grade Offered [Public School] 2013-14","Highest Grade Offered [Public School] 2013-14","Total Students [Public School] 2013-14"
"8TH GRADE CAMPUS","Georgia","8TH GRADE CAMPUS","130150004079","COWETA COUNTY","1301500","COWETA COUNTY","13077","13","160 MARTIN LUTHER KING DR","NEWNAN","GA ","30263","","160 MARTIN LUTHER KING DR","NEWNAN","GA ","30263","","6784232000","4-Alternative/other school","33.365800","-84.783300","6008","638","1303","†","†","†"
"9TH GRADE ACADEMY","Georgia","9TH GRADE ACADEMY","130258003402","HABERSHAM COUNTY","1302580","HABERSHAM COUNTY","13137","13","171 RAIDER CIRCLE","MOUNT AIRY","GA ","30563","","171 RAIDER CIRCLE","MOUNT AIRY","GA ","30563","","7067780830","1-Regular school","34.557000","-83.496000","0106","668","1309","9th Grade","9th Grade","516"
"A. S. CLARK ELEMENTARY SCHOOL","Georgia","A. S. CLARK ELEMENTARY SCHOOL","130156001512","CRISP COUNTY","1301560","CRISP COUNTY","13081","13","401 NORTH 15TH ST","CORDELE","GA ","31015","2932","PO BOX 729","CORDELE","GA ","31010","2932","2292763425","1-Regular school","31.971300","-83.795800","0297","640","1302","3rd Grade","5th Grade","352"
"AARON COHN MIDDLE SCHOOL","Georgia","AARON COHN MIDDLE SCHOOL","130387004127","MUSCOGEE COUNTY","1303870","MUSCOGEE COUNTY","13215","13","7352 GARRETT RD","MIDLAND","GA ","31820","","7352 GARRETT RD","MIDLAND","GA ","31820","","7065693801","1-Regular school","32.547700","-84.828900","0115","706","1302","6th Grade","8th Grade","480"
"AARON COHN REGIONAL YOUTH DETENTION CENTER","Georgia","AARON COHN REGIONAL YOUTH DETENTION CENTER","130002603806","DEPARTMENT OF JUVENILE JUSTICE","1300026","MUSCOGEE COUNTY","13215","13","7700 CHATTSWORTH RD","MIDLAND","GA ","31820","","7700 CHATTSWORTH RD","MIDLAND","GA ","31820","","7065682498","2-Special education school","32.527200","-84.852200","1898","891","1302","8th Grade","10th Grade","6"
"ABBOTTS HILL ELEMENTARY SCHOOL","Georgia","ABBOTTS HILL ELEMENTARY SCHOOL","130228002378","FULTON COUNTY","1302280","FULTON COUNTY","13121","13","5575 ABBOTTS BRIDGE RD","DULUTH","GA ","30097","","5575 ABBOTTS BRIDGE RD","DULUTH","GA ","30097","","7706672860","1-Regular school","34.056200","-84.196200","0101","660","1306","Prekindergarten","5th Grade","752"
"ACADEMY OF RICHMOND COUNTY HIGH SCHOOL","Georgia","ACADEMY OF RICHMOND COUNTY HIGH SCHOOL","130438001528","RICHMOND COUNTY","1304380","RICHMOND COUNTY","13245","13","910 RUSSELL ST","AUGUSTA","GA ","30904","4116","910 RUSSELL ST","AUGUSTA","GA ","30904","4116","7067377152","1-Regular school","33.473800","-82.004200","4060","721","1312","9th Grade","12th Grade","1277"
"ACWORTH INTERMEDIATE SCHOOL","Georgia","ACWORTH INTERMEDIATE SCHOOL","130129000539","COBB COUNTY","1301290","COBB COUNTY","13067","13","4220 CANTRELL RD NW","ACWORTH","GA ","30101","5316","4220 CANTRELL RD NW","ACWORTH","GA ","30101","5316","7709756600","1-Regular school","34.057700","-84.653200","0302","633","1311","2nd Grade","5th Grade","776"
"ADAIRSVILLE ELEMENTARY SCHOOL","Georgia","ADAIRSVILLE ELEMENTARY SCHOOL","130033000185","BARTOW COUNTY","1300330","BARTOW COUNTY","13015","13","122 KING ST","ADAIRSVILLE","GA ","30103","0948","122 KING ST","ADAIRSVILLE","GA ","30103","0948","7706065840","1-Regular school","34.370900","-84.940200","0177","608","1311","Prekindergarten","5th Grade","704"
"ADAIRSVILLE HIGH SCHOOL","Georgia","ADAIRSVILLE HIGH SCHOOL","130033002352","BARTOW COUNTY","1300330","BARTOW COUNTY","13015","13","519 OLD HWY 41 NW","ADAIRSVILLE","GA ","30103","","519 OLD HIGHWAY 41 NW","ADAIRSVILLE","GA ","30103","","7706064151","1-Regular school","34.340600","-84.913200","0105","608","1311","9th Grade","12th Grade","941"
