"School Name","State Name [Public School] Latest available year","School Name [Public School] 2013-14","School ID - NCES Assigned [Public School] Latest available year","Agency Name [Public School] 2013-14","Agency ID - NCES Assigned [Public School] Latest available year","County Name [Public School] 2013-14","County Number [Public School] 2013-14","ANSI/FIPS State Code [Public School] Latest available year","Location Address [Public School] 2013-14","Location City [Public School] 2013-14","Location State Abbr [Public School] 2013-14","Location ZIP [Public School] 2013-14","Location ZIP4 [Public School] 2013-14","Mailing Address [Public School] 2013-14","Mailing City [Public School] 2013-14","Mailing State Abbr [Public School] 2013-14","Mailing ZIP [Public School] 2013-14","Mailing ZIP4 [Public School] 2013-14","Phone Number [Public School] 2013-14","School Type [Public School] 2013-14","Latitude [Public School] 2013-14","Longitude [Public School] 2013-14","State School ID [Public School] 2013-14","State Agency ID [Public School] 2013-14","Congressional Code [Public School] 2013-14","Lowest Grade Offered [Public School] 2013-14","Highest Grade Offered [Public School] 2013-14","Total Students [Public School] 2013-14"
"ADMIRAL ARTHUR W RADFORD HIGH SCHOOL","Hawaii","ADMIRAL ARTHUR W RADFORD HIGH SCHOOL","150003000150","HAWAII DEPARTMENT OF EDUCATION","1500030","HONOLULU COUNTY","15003","15","4361 SALT LAKE BLVD","HONOLULU","HI ","96818","3124","4361 SALT LAKE BLVD","HONOLULU","HI ","96818","3124","8084214200","1-Regular school","21.359500","-157.928100","2-224","001","1501","9th Grade","12th Grade","1315"
"ADMIRAL CHESTER W NIMITZ ELEMENTARY SCHOOL","Hawaii","ADMIRAL CHESTER W NIMITZ ELEMENTARY SCHOOL","150003000154","HAWAII DEPARTMENT OF EDUCATION","1500030","HONOLULU COUNTY","15003","15","520 MAIN ST","HONOLULU","HI ","96818","4409","520 MAIN ST","HONOLULU","HI ","96818","4409","8084214165","1-Regular school","21.340900","-157.935300","2-221","001","1501","Prekindergarten","6th Grade","739"
"AHUIMANU ELEMENTARY SCHOOL","Hawaii","AHUIMANU ELEMENTARY SCHOOL","150003000157","HAWAII DEPARTMENT OF EDUCATION","1500030","HONOLULU COUNTY","15003","15","47470 HUI AEKO PLACE","KANEOHE","HI ","96744","4529","47-470 HUI AEKO PL","KANEOHE","HI ","96744","4529","8082393125","1-Regular school","21.435300","-157.830900","4-335","001","1502","Prekindergarten","6th Grade","330"
"AIEA ELEMENTARY SCHOOL","Hawaii","AIEA ELEMENTARY SCHOOL","150003000178","HAWAII DEPARTMENT OF EDUCATION","1500030","HONOLULU COUNTY","15003","15","99370 MOANALUA RD","AIEA","HI ","96701","3632","99-370 MOANALUA RD","AIEA","HI ","96701","3632","8084837200","1-Regular school","21.379500","-157.931900","2-200","001","1501","Prekindergarten","6th Grade","371"
"AIEA HIGH SCHOOL","Hawaii","AIEA HIGH SCHOOL","150003000177","HAWAII DEPARTMENT OF EDUCATION","1500030","HONOLULU COUNTY","15003","15","981276 ULUNE ST","AIEA","HI ","96701","3566","98-1276 ULUNE ST","AIEA","HI ","96701","3566","8084837300","1-Regular school","21.384700","-157.929700","2-202","001","1501","9th Grade","12th Grade","1083"
"AIEA INTERMEDIATE SCHOOL","Hawaii","AIEA INTERMEDIATE SCHOOL","150003000176","HAWAII DEPARTMENT OF EDUCATION","1500030","HONOLULU COUNTY","15003","15","99600 KULAWEA ST","AIEA","HI ","96701","3607","99-600 KULAWEA ST","AIEA","HI ","96701","3607","8084837230","1-Regular school","21.380600","-157.923900","2-201","001","1501","7th Grade","8th Grade","593"
"AIKAHI ELEMENTARY SCHOOL","Hawaii","AIKAHI ELEMENTARY SCHOOL","150003000101","HAWAII DEPARTMENT OF EDUCATION","1500030","HONOLULU COUNTY","15003","15","281 ILIHAU ST","KAILUA","HI ","96734","1657","281 ILIHAU ST","KAILUA","HI ","96734","1657","8082547944","1-Regular school","21.425400","-157.750000","4-300","001","1502","Prekindergarten","6th Grade","501"
"AINA HAINA ELEMENTARY SCHOOL","Hawaii","AINA HAINA ELEMENTARY SCHOOL","150003000227","HAWAII DEPARTMENT OF EDUCATION","1500030","HONOLULU COUNTY","15003","15","801 WEST HIND DR","HONOLULU","HI ","96821","1807","801 W HIND DR","HONOLULU","HI ","96821","1807","8083772419","1-Regular school","21.279500","-157.756800","1-100","001","1501","Prekindergarten","5th Grade","614"
"ALA WAI ELEMENTARY SCHOOL","Hawaii","ALA WAI ELEMENTARY SCHOOL","150003000226","HAWAII DEPARTMENT OF EDUCATION","1500030","HONOLULU COUNTY","15003","15","503 KAMOKU ST","HONOLULU","HI ","96826","5245","503 KAMOKU ST","HONOLULU","HI ","96826","5245","8089730070","1-Regular school","21.285100","-157.827100","1-101","001","1501","Prekindergarten","5th Grade","461"
"ALIAMANU ELEMENTARY SCHOOL","Hawaii","ALIAMANU ELEMENTARY SCHOOL","150003000175","HAWAII DEPARTMENT OF EDUCATION","1500030","HONOLULU COUNTY","15003","15","3265 SALT LAKE BLVD","HONOLULU","HI ","96818","2115","3265 SALT LAKE BLVD","HONOLULU","HI ","96818","2115","8084214280","1-Regular school","21.342700","-157.913300","2-203","001","1501","Prekindergarten","6th Grade","783"
"ALIAMANU MIDDLE SCHOOL","Hawaii","ALIAMANU MIDDLE SCHOOL","150003000174","HAWAII DEPARTMENT OF EDUCATION","1500030","HONOLULU COUNTY","15003","15","3271 SALT LAKE BLVD","HONOLULU","HI ","96818","2115","3271 SALT LAKE BLVD","HONOLULU","HI ","96818","2115","8084214100","1-Regular school","21.343000","-157.914700","2-204","001","1501","7th Grade","8th Grade","739"
"ALIIOLANI ELEMENTARY SCHOOL","Hawaii","ALIIOLANI ELEMENTARY SCHOOL","150003000225","HAWAII DEPARTMENT OF EDUCATION","1500030","HONOLULU COUNTY","15003","15","1240 7TH AVE","HONOLULU","HI ","96816","2644","1240 7TH AVE","HONOLULU","HI ","96816","2644","8087334750","1-Regular school","21.286700","-157.804700","1-102","001","1501","Prekindergarten","5th Grade","264"
"ALVAH A SCOTT ELEMENTARY SCHOOL","Hawaii","ALVAH A SCOTT ELEMENTARY SCHOOL","150003000147","HAWAII DEPARTMENT OF EDUCATION","1500030","HONOLULU COUNTY","15003","15","981230 MOANALUA RD","AIEA","HI ","96701","4412","98-1230 MOANALUA RD","AIEA","HI ","96701","4412","8084837220","1-Regular school","21.382400","-157.933200","2-227","001","1501","Prekindergarten","6th Grade","526"
"ANUENUE SCHOOL","Hawaii","ANUENUE SCHOOL","150003000246","HAWAII DEPARTMENT OF EDUCATION","1500030","HONOLULU COUNTY","15003","15","2528 10TH AVE","HONOLULU","HI ","96816","3031","2528 10TH AVE","HONOLULU","HI ","96816","3031","8087338465","1-Regular school","21.305500","-157.788700","1-103","001","1501","Prekindergarten","12th Grade","394"
"AUGUST AHRENS ELEMENTARY SCHOOL","Hawaii","AUGUST AHRENS ELEMENTARY SCHOOL","150003000136","HAWAII DEPARTMENT OF EDUCATION","1500030","HONOLULU COUNTY","15003","15","941170 WAIPAHU ST","WAIPAHU","HI ","96797","3647","94-1170 WAIPAHU ST","WAIPAHU","HI ","96797","3647","8086750202","1-Regular school","21.393600","-158.002300","3-250","001","1501","Prekindergarten","6th Grade","1421"
"BARBERS POINT ELEMENTARY SCHOOL","Hawaii","BARBERS POINT ELEMENTARY SCHOOL","150003000135","HAWAII DEPARTMENT OF EDUCATION","1500030","HONOLULU COUNTY","15003","15","3001 BOXER RD","KAPOLEI","HI ","96707","2103","3001 BOXER RD","KAPOLEI","HI ","96707","2103","8086737400","1-Regular school","21.322100","-158.081900","3-251","001","1501","Prekindergarten","5th Grade","697"
"BLANCHE POPE ELEMENTARY SCHOOL","Hawaii","BLANCHE POPE ELEMENTARY SCHOOL","150003000022","HAWAII DEPARTMENT OF EDUCATION","1500030","HONOLULU COUNTY","15003","15","41133 HULI ST","WAIMANALO","HI ","96795","1714","41-133 HULI ST","WAIMANALO","HI ","96795","1714","8082590450","1-Regular school","21.328400","-157.694800","4-324","001","1502","Prekindergarten","6th Grade","240"
"CASTLE HIGH SCHOOL","Hawaii","CASTLE HIGH SCHOOL","150003000100","HAWAII DEPARTMENT OF EDUCATION","1500030","HONOLULU COUNTY","15003","15","45386 KANEOHE BAY DR","KANEOHE","HI ","96744","2248","45-386 KANEOHE BAY DR","KANEOHE","HI ","96744","2248","8082335600","1-Regular school","21.403300","-157.794500","4-301","001","1502","9th Grade","12th Grade","1200"
"CENTRAL MIDDLE SCHOOL","Hawaii","CENTRAL MIDDLE SCHOOL","150003000223","HAWAII DEPARTMENT OF EDUCATION","1500030","HONOLULU COUNTY","15003","15","1302 QUEEN EMMA ST","HONOLULU","HI ","96813","2312","1302 QUEEN EMMA ST","HONOLULU","HI ","96813","2312","8085874400","1-Regular school","21.311800","-157.856600","1-104","001","1501","6th Grade","8th Grade","351"
"CHIEFESS KAMAKAHELEI MIDDLE SCHOOL","Hawaii","CHIEFESS KAMAKAHELEI MIDDLE SCHOOL","150003000266","HAWAII DEPARTMENT OF EDUCATION","1500030","KAUAI COUNTY","15007","15","4431 NUHOU ST","LIHUE","HI ","96766","8001","4431 NUHOU ST","LIHUE","HI ","96766","8001","8082413200","1-Regular school","21.967200","-159.388200","7-448","001","1502","6th Grade","8th Grade","898"
