"School Name","State Name [Public School] Latest available year","School Name [Public School] 2013-14","School ID - NCES Assigned [Public School] Latest available year","Agency Name [Public School] 2013-14","Agency ID - NCES Assigned [Public School] Latest available year","County Name [Public School] 2013-14","County Number [Public School] 2013-14","ANSI/FIPS State Code [Public School] Latest available year","Location Address [Public School] 2013-14","Location City [Public School] 2013-14","Location State Abbr [Public School] 2013-14","Location ZIP [Public School] 2013-14","Location ZIP4 [Public School] 2013-14","Mailing Address [Public School] 2013-14","Mailing City [Public School] 2013-14","Mailing State Abbr [Public School] 2013-14","Mailing ZIP [Public School] 2013-14","Mailing ZIP4 [Public School] 2013-14","Phone Number [Public School] 2013-14","School Type [Public School] 2013-14","Latitude [Public School] 2013-14","Longitude [Public School] 2013-14","State School ID [Public School] 2013-14","State Agency ID [Public School] 2013-14","Congressional Code [Public School] 2013-14","Lowest Grade Offered [Public School] 2013-14","Highest Grade Offered [Public School] 2013-14","Total Students [Public School] 2013-14"
"A H BUSH ELEMENTARY SCHOOL","Idaho","A H BUSH ELEMENTARY SCHOOL","160153000252","IDAHO FALLS DISTRICT","1601530","BONNEVILLE COUNTY","16019","16","380 WEST ANDERSON ST","IDAHO FALLS","ID ","83402","2141","380 W ANDERSON ST","IDAHO FALLS","ID ","83402","2141","2085257602","1-Regular school","43.511900","-112.037100","091 113","091","1602","Prekindergarten","6th Grade","521"
"A J WINTERS ELEMENTARY SCHOOL","Idaho","A J WINTERS ELEMENTARY SCHOOL","160024000016","BEAR LAKE COUNTY DISTRICT","1600240","BEAR LAKE COUNTY","16007","16","535 CLAY ST","MONTPELIER","ID ","83254","1234","535 CLAY STREET","MONTPELIER","ID ","83254","1234","2088470477","1-Regular school","42.320800","-111.301800","033 108","033","1602","Prekindergarten","5th Grade","334"
"A W JOHNSON ELEMENTARY SCHOOL","Idaho","A W JOHNSON ELEMENTARY SCHOOL","160108000196","FIRTH DISTRICT","1601080","BINGHAM COUNTY","16011","16","735 NORTH 600 EAST","FIRTH","ID ","83236","1128","735 N 600 E","FIRTH","ID ","83236","1128","2083466848","1-Regular school","43.301800","-112.177000","059 101","059","1602","Prekindergarten","4th Grade","291"
"A.B. MC DONALD ELEMENTARY SCH","Idaho","A.B. MC DONALD ELEMENTARY SCH","160222000390","MOSCOW DISTRICT","1602220","LATAH COUNTY","16057","16","2323 EAST D ST","MOSCOW","ID ","83843","9577","2323 EAST D STREET","MOSCOW","ID ","83843","9577","2088820228","1-Regular school","46.736900","-116.972100","281 104","281","1601","Prekindergarten","5th Grade","393"
"ABERDEEN ELEMENTARY SCHOOL","Idaho","ABERDEEN ELEMENTARY SCHOOL","160003000828","ABERDEEN DISTRICT","1600030","BINGHAM COUNTY","16011","16","382 WEST WASHINGTON","ABERDEEN","ID ","83210","0610","PO BOX 610","ABERDEEN","ID ","83210","0610","2083974115","1-Regular school","42.943500","-112.844500","058 101","058","1602","Prekindergarten","5th Grade","370"
"ABERDEEN HIGH SCHOOL","Idaho","ABERDEEN HIGH SCHOOL","160003000002","ABERDEEN DISTRICT","1600030","BINGHAM COUNTY","16011","16","268 SOUTH FOURTH WEST","ABERDEEN","ID ","83210","0610","PO BOX 610","ABERDEEN","ID ","83210","0610","2083974152","1-Regular school","42.941400","-112.845200","058 401","058","1602","9th Grade","12th Grade","224"
"ABERDEEN MIDDLE SCHOOL","Idaho","ABERDEEN MIDDLE SCHOOL","160003000829","ABERDEEN DISTRICT","1600030","BINGHAM COUNTY","16011","16","136 SOUTH FOURTH WEST","ABERDEEN","ID ","83210","0610","PO BOX 610","ABERDEEN","ID ","83210","0610","2083973280","1-Regular school","42.942400","-112.845200","058 602","058","1602","6th Grade","8th Grade","167"
"ACEQUIA ELEMENTARY SCHOOL","Idaho","ACEQUIA ELEMENTARY SCHOOL","160219000380","MINIDOKA COUNTY JOINT DISTRICT","1602190","MINIDOKA COUNTY","16067","16","360 NORTH 350 EAST","RUPERT","ID ","83350","9428","360 N 350 E","RUPERT","ID ","83350","9428","2084366985","1-Regular school","42.676700","-113.598900","331 101","331","1602","Prekindergarten","5th Grade","321"
"ADA PROFESSIONAL-TECHNICAL CTR","Idaho","ADA PROFESSIONAL-TECHNICAL CTR","160210000789","MERIDIAN JOINT DISTRICT","1602100","ADA COUNTY","16001","16","1900 WEST PINE","MERIDIAN","ID ","83642","6295","1900 W PINE","MERIDIAN","ID ","83642","6295","2088554198","3-Vocational school","43.613700","-116.416300","002 851","002","1601","9th Grade","12th Grade","†"
"ADAMS ELEMENTARY SCHOOL","Idaho","ADAMS ELEMENTARY SCHOOL","160192000333","MADISON DISTRICT","1601920","MADISON COUNTY","16065","16","110 NORTH SECOND EAST ST","REXBURG","ID ","83440","1620","110 N SECOND E STREET","REXBURG","ID ","83440","1620","2083593335","1-Regular school","43.828700","-111.777600","321 108","321","1602","Kindergarten","4th Grade","355"
"ADAMS ELEMENTARY SCHOOL","Idaho","ADAMS ELEMENTARY SCHOOL","160036000042","BOISE INDEPENDENT DISTRICT","1600360","ADA COUNTY","16001","16","1725 EAST WARM SPRINGS AVE","BOISE","ID ","83712","8149","1725 E WARM SPRINGS AVE","BOISE","ID ","83712","8149","2088544190","1-Regular school","43.603000","-116.174100","001 101","001","1602","Prekindergarten","6th Grade","365"
"ALAMEDA MIDDLE SCHOOL","Idaho","ALAMEDA MIDDLE SCHOOL","160264001047","POCATELLO DISTRICT","1602640","BANNOCK COUNTY","16005","16","955 WEST ALAMEDA RD","POCATELLO","ID ","83201","4952","845 MCKINLEY AVE","POCATELLO","ID ","83201","4952","2082320378","1-Regular school","42.890900","-112.470100","025 204","025","1602","6th Grade","8th Grade","–"
"ALBION ELEMENTARY SCHOOL","Idaho","ALBION ELEMENTARY SCHOOL","160066000122","CASSIA COUNTY JOINT DISTRICT","1600660","CASSIA COUNTY","16031","16","401 MARKET ST","ALBION","ID ","83311","0038","PO BOX 38","ALBION","ID ","83311","0038","2086736653","1-Regular school","42.411600","-113.583600","151 111","151","1602","Prekindergarten","5th Grade","34"
