"School Name","State Name [Public School] Latest available year","School Name [Public School] 2013-14","School ID - NCES Assigned [Public School] Latest available year","Agency Name [Public School] 2013-14","Agency ID - NCES Assigned [Public School] Latest available year","County Name [Public School] 2013-14","County Number [Public School] 2013-14","ANSI/FIPS State Code [Public School] Latest available year","Location Address [Public School] 2013-14","Location City [Public School] 2013-14","Location State Abbr [Public School] 2013-14","Location ZIP [Public School] 2013-14","Location ZIP4 [Public School] 2013-14","Mailing Address [Public School] 2013-14","Mailing City [Public School] 2013-14","Mailing State Abbr [Public School] 2013-14","Mailing ZIP [Public School] 2013-14","Mailing ZIP4 [Public School] 2013-14","Phone Number [Public School] 2013-14","School Type [Public School] 2013-14","Latitude [Public School] 2013-14","Longitude [Public School] 2013-14","State School ID [Public School] 2013-14","State Agency ID [Public School] 2013-14","Congressional Code [Public School] 2013-14","Lowest Grade Offered [Public School] 2013-14","Highest Grade Offered [Public School] 2013-14","Total Students [Public School] 2013-14"
"21ST CENTURY PREPARATORY CENTER","Illinois","21ST CENTURY PREPARATORY CENTER","173081003429","PARK FOREST SD 163","1730810","COOK COUNTY","17031","17","240 SOUTH ORCHARD DR","PARK FOREST","IL ","60466","2045","240 S ORCHARD DR","PARK FOREST","IL ","60466","2045","7086689425","1-Regular school","41.477600","-87.682600","0701616302008","07-016-1630-02","1702","Prekindergarten","3rd Grade","305"
"7TH GRADE ACADEMY","Illinois","7TH GRADE ACADEMY","170804006232","CAHOKIA CUSD 187","1708040","ST. CLAIR COUNTY","17163","17","1900 MOUSETTE LN","CAHOKIA","IL ","62206","2922","1900 MOUSETTE LN","CAHOKIA","IL ","62206","2922","6183325901","1-Regular school","38.560700","-90.128400","5008218701014","50-082-1870-26","1712","7th Grade","7th Grade","244"
"8 POINTS CHARTER SCHOOL","Illinois","8 POINTS CHARTER SCHOOL","172028006190","JACKSONVILLE SD 117","1720280","MORGAN COUNTY","17137","17","630 EAST STATE ST","JACKSONVILLE","IL ","62650","2153","630 E STATE ST","JACKSONVILLE","IL ","62650","2153","2172454384","1-Regular school","39.734200","-90.218600","460691170102C","46-069-1170-22","1718","5th Grade","8th Grade","96"
"8TH GRADE ACADEMY","Illinois","8TH GRADE ACADEMY","170804006210","CAHOKIA CUSD 187","1708040","ST. CLAIR COUNTY","17163","17","1900 MOUSETTE LN","CAHOKIA","IL ","62206","2922","1900 MOUSETTE LN","CAHOKIA","IL ","62206","2922","6183323700","1-Regular school","38.560700","-90.128400","5008218701015","50-082-1870-26","1712","8th Grade","8th Grade","227"
"A B SHEPARD HIGH SCH (CAMPUS)","Illinois","A B SHEPARD HIGH SCH (CAMPUS)","170654000339","CHSD 218","1706540","COOK COUNTY","17031","17","13049 SOUTH RIDGELAND AVE","PALOS HEIGHTS","IL ","60463","2625","13049 S RIDGELAND AVE","PALOS HEIGHTS","IL ","60463","2625","7083711111","1-Regular school","41.655500","-87.776500","0701621800007","07-016-2180-16","1701","9th Grade","12th Grade","1814"
"A C THOMPSON ELEM SCHOOL","Illinois","A C THOMPSON ELEM SCHOOL","173451003593","ROCKFORD SD 205","1734510","WINNEBAGO COUNTY","17201","17","4949 MARION AVE","ROCKFORD","IL ","61108","6534","4949 MARION AVE","ROCKFORD","IL ","61108","6534","8152292830","1-Regular school","42.248300","-89.016600","0410120502059","04-101-2050-25","1716","Kindergarten","5th Grade","307"
"A E R O EDUCATIONAL CENTER","Illinois","A E R O EDUCATIONAL CENTER","170002404632","A E R O  SPEC EDUC COOP","1700024","COOK COUNTY","17031","17","7600 MASON AVE","BURBANK","IL ","60459","1200","7600 MASON AVE","BURBANK","IL ","60459","1200","7084963330","2-Special education school","41.752700","-87.769900","0701680606001","07-016-8060-60","1703","Prekindergarten","12th Grade","94"
"A F AMES ELEM SCHOOL","Illinois","A F AMES ELEM SCHOOL","173399003491","RIVERSIDE SD 96","1733990","COOK COUNTY","17031","17","86 SOUTHCOTE RD","RIVERSIDE","IL ","60546","1633","86 SOUTHCOTE RD","RIVERSIDE","IL ","60546","1633","7084475007","1-Regular school","41.840200","-87.819200","0601609602001","06-016-0960-02","1704","Kindergarten","5th Grade","341"
"A J KATZENMAIER ELEM SCHOOL","Illinois","A J KATZENMAIER ELEM SCHOOL","170011004814","NORTH CHICAGO SD 187","1700110","LAKE COUNTY","17097","17","1829 KENNEDY DR","NORTH CHICAGO","IL ","60064","2335","1829 KENNEDY DR","NORTH CHICAGO","IL ","60064","2335","8476896330","1-Regular school","42.326000","-87.862700","3404918702008","34-049-1870-26","1710","Kindergarten","5th Grade","359"
"A O MARSHALL ELEM SCHOOL","Illinois","A O MARSHALL ELEM SCHOOL","172058002323","JOLIET PSD 86","1720580","WILL COUNTY","17197","17","319 HARWOOD ST","JOLIET","IL ","60432","2716","319 HARWOOD ST","JOLIET","IL ","60432","2716","8157274919","1-Regular school","41.531400","-88.045100","5609908602011","56-099-0860-05","1711","Prekindergarten","5th Grade","591"
"A R GRAIFF ELEM SCHOOL","Illinois","A R GRAIFF ELEM SCHOOL","173759005630","STAUNTON CUSD 6","1737590","MADISON COUNTY","17119","17","665 LIVINGSTON AVE","LIVINGSTON","IL ","62058","0400","PO BOX 400","LIVINGSTON","IL ","62058","0400","6186372131","1-Regular school","38.965500","-89.761700","4005600602002","40-056-0060-26","1713","Prekindergarten","4th Grade","110"
"A VITO MARTINEZ MIDDLE SCHOOL","Illinois","A VITO MARTINEZ MIDDLE SCHOOL","174007004037","VALLEY VIEW CUSD 365U","1740070","WILL COUNTY","17197","17","590 BELMONT DR","ROMEOVILLE","IL ","60446","1400","590 BELMONT DR","ROMEOVILLE","IL ","60446","1400","8158866100","1-Regular school","41.640500","-88.101000","56099365U1003","56-099-365U-26","1703","6th Grade","8th Grade","772"
"A-C CENTRAL ELEMENTARY SCHOOL","Illinois","A-C CENTRAL ELEMENTARY SCHOOL","170010505359","A-C CENTRAL CUSD 262","1700105","CASS COUNTY","17017","17","191 SOUTH BLUFF ST","CHANDLERVILLE","IL ","62627","9128","191 S BLUFF ST","CHANDLERVILLE","IL ","62627","9128","2174763312","1-Regular school","40.047100","-90.149000","4600926202001","46-009-2620-26","1718","Kindergarten","4th Grade","166"
"A-C CENTRAL HIGH SCHOOL","Illinois","A-C CENTRAL HIGH SCHOOL","170010505357","A-C CENTRAL CUSD 262","1700105","CASS COUNTY","17017","17","501 EAST BUCHANAN ST","ASHLAND","IL ","62612","7624","PO BOX 260","ASHLAND","IL ","62612","0260","2174763312","1-Regular school","39.892400","-90.002800","4600926200002","46-009-2620-26","1718","9th Grade","12th Grade","125"
