"School Name","State Name [Public School] Latest available year","School Name [Public School] 2013-14","School ID - NCES Assigned [Public School] Latest available year","Agency Name [Public School] 2013-14","Agency ID - NCES Assigned [Public School] Latest available year","County Name [Public School] 2013-14","County Number [Public School] 2013-14","ANSI/FIPS State Code [Public School] Latest available year","Location Address [Public School] 2013-14","Location City [Public School] 2013-14","Location State Abbr [Public School] 2013-14","Location ZIP [Public School] 2013-14","Location ZIP4 [Public School] 2013-14","Mailing Address [Public School] 2013-14","Mailing City [Public School] 2013-14","Mailing State Abbr [Public School] 2013-14","Mailing ZIP [Public School] 2013-14","Mailing ZIP4 [Public School] 2013-14","Phone Number [Public School] 2013-14","School Type [Public School] 2013-14","Latitude [Public School] 2013-14","Longitude [Public School] 2013-14","State School ID [Public School] 2013-14","State Agency ID [Public School] 2013-14","Congressional Code [Public School] 2013-14","Lowest Grade Offered [Public School] 2013-14","Highest Grade Offered [Public School] 2013-14","Total Students [Public School] 2013-14"
"21ST CENTURY CHARTER SCH OF GARY","Indiana","21ST CENTURY CHARTER SCH OF GARY","180004602162","21ST CENTURY CHARTER SCH OF GARY","1800046","LAKE COUNTY","18089","18","556 WASHINGTON ST","GARY","IN ","46402","","556 WASHINGTON ST","GARY","IN ","46402","","2198869339","1-Regular school","41.601000","-87.338900","4164","9545","1801","Kindergarten","12th Grade","632"
"A K SMITH AREA CAREER CTR","Indiana","A K SMITH AREA CAREER CTR","180657000433","MICHIGAN CITY AREA SCHOOLS","1806570","LAPORTE COUNTY","18091","18","817 LAFAYETTE ST","MICHIGAN CITY","IN ","46360","0568","817 LAFAYETTE ST","MICHIGAN CITY","IN ","46360","0568","2198732120","3-Vocational school","41.709400","-86.894100","4792","4925","1801","9th Grade","12th Grade","0"
"ABOITE ELEMENTARY SCHOOL","Indiana","ABOITE ELEMENTARY SCHOOL","180003000001","M S D SOUTHWEST ALLEN COUNTY SCHLS","1800030","ALLEN COUNTY","18003","18","5004 HOMESTEAD RD","FORT WAYNE","IN ","46814","5495","5004 HOMESTEAD RD","FORT WAYNE","IN ","46814","5495","2604312101","1-Regular school","41.038500","-85.286100","0045","0125","1803","Kindergarten","5th Grade","521"
"ABRAHAM LINCOLN ELEM SCH","Indiana","ABRAHAM LINCOLN ELEM SCH","180432000730","SCHOOL CITY OF HAMMOND","1804320","LAKE COUNTY","18089","18","4221 TOWLE AVE","HAMMOND","IN ","46327","1375","4221 TOWLE AVE","HAMMOND","IN ","46327","1375","2199332475","1-Regular school","41.636600","-87.515100","4463","4710","1801","Prekindergarten","5th Grade","633"
"ABRAHAM LINCOLN ELEM SCH","Indiana","ABRAHAM LINCOLN ELEM SCH","180882001455","M S D PERRY TOWNSHIP","1808820","MARION COUNTY","18097","18","5241 BREHOB RD","INDIANAPOLIS","IN ","46217","3503","5241 BREHOB RD","INDIANAPOLIS","IN ","46217","3503","3177893800","1-Regular school","39.688800","-86.165600","5337","5340","1807","Kindergarten","5th Grade","835"
"ABRAHAM LINCOLN ELEMENTARY SCH","Indiana","ABRAHAM LINCOLN ELEMENTARY SCH","180288000362","SCHOOL CITY OF EAST CHICAGO","1802880","LAKE COUNTY","18089","18","2001 EAST 135TH ST","EAST CHICAGO","IN ","46312","2099","2001 E 135TH ST","EAST CHICAGO","IN ","46312","2099","2193914096","1-Regular school","41.648900","-87.447500","3945","4670","1801","Prekindergarten","4th Grade","580"
"ACADEMY FOR INNOVATIVE STUDIES","Indiana","ACADEMY FOR INNOVATIVE STUDIES","180345002462","EVANSVILLE VANDERBURGH SCH CORP","1803450","VANDERBURGH COUNTY","18163","18","3013 FIRST AVE","EVANSVILLE","IN ","47710","","3013 FIRST AVE","EVANSVILLE","IN ","47710","","8124358316","1-Regular school","38.006300","-87.572800","8270","7995","1808","Kindergarten","12th Grade","573"
"ACHIEVE VIRTUAL EDUCATION ACADEMY","Indiana","ACHIEVE VIRTUAL EDUCATION ACADEMY","181281002516","M S D WAYNE TOWNSHIP","1812810","MARION COUNTY","18097","18","1250 NORTH HIGH SCHOOL RD","INDIANAPOLIS","IN ","46214","","1250 N HIGH SCHOOL RD","INDIANAPOLIS","IN ","46214","","3179887144","1-Regular school","39.782900","-86.268700","5288","5375","1807","9th Grade","12th Grade","134"
"ADAMS CENTRAL ELEMENTARY SCH","Indiana","ADAMS CENTRAL ELEMENTARY SCH","180006000006","ADAMS CENTRAL COMMUNITY SCHOOLS","1800060","ADAMS COUNTY","18001","18","222 WEST WASHINGTON ST","MONROE","IN ","46772","9436","222 W WASHINGTON ST","MONROE","IN ","46772","9436","2606926629","1-Regular school","40.746100","-84.942800","0020","0015","1803","Kindergarten","5th Grade","567"
"ADAMS CENTRAL HIGH SCHOOL","Indiana","ADAMS CENTRAL HIGH SCHOOL","180006000007","ADAMS CENTRAL COMMUNITY SCHOOLS","1800060","ADAMS COUNTY","18001","18","222 WEST WASHINGTON ST","MONROE","IN ","46772","9436","222 W WASHINGTON ST","MONROE","IN ","46772","9436","2606926151","1-Regular school","40.746300","-84.943500","0021","0015","1803","9th Grade","12th Grade","395"
"ADAMS CENTRAL MIDDLE SCHOOL","Indiana","ADAMS CENTRAL MIDDLE SCHOOL","180006000008","ADAMS CENTRAL COMMUNITY SCHOOLS","1800060","ADAMS COUNTY","18001","18","222 WEST WASHINGTON ST","MONROE","IN ","46772","9436","222 W WASHINGTON ST","MONROE","IN ","46772","9436","2606926151","1-Regular school","40.746300","-84.942600","0013","0015","1803","6th Grade","8th Grade","262"
"ADAMS ELEMENTARY SCHOOL","Indiana","ADAMS ELEMENTARY SCHOOL","180363000511","FORT WAYNE COMMUNITY SCHOOLS","1803630","ALLEN COUNTY","18003","18","3000 NEW HAVEN AVE","FORT WAYNE","IN ","46803","2796","3000 NEW HAVEN AVE","FORT WAYNE","IN ","46803","2796","2604675850","1-Regular school","41.068600","-85.099400","0141","0235","1803","Prekindergarten","5th Grade","330"
"ADAMS HIGH SCHOOL","Indiana","ADAMS HIGH SCHOOL","181029001662","SOUTH BEND COMMUNITY SCH CORP","1810290","ST. JOSEPH COUNTY","18141","18","808 SOUTH TWYCKENHAM DR","SOUTH BEND","IN ","46615","1191","808 S TWYCKENHAM DR","SOUTH BEND","IN ","46615","1191","5742837700","1-Regular school","41.666900","-86.224100","7505","7205","1802","9th Grade","12th Grade","1800"
"ADELAIDE DE VANEY ELEM SCH","Indiana","ADELAIDE DE VANEY ELEM SCH","181209002172","VIGO COUNTY SCHOOL CORP","1812090","VIGO COUNTY","18167","18","1011 SOUTH BROWN AVE","TERRE HAUTE","IN ","47803","2899","1011 S BROWN AVE","TERRE HAUTE","IN ","47803","2899","8124624497","1-Regular school","39.456200","-87.370000","8510","8030","1808","Kindergarten","5th Grade","488"
"AKRON ELEMENTARY SCHOOL","Indiana","AKRON ELEMENTARY SCHOOL","181137001836","TIPPECANOE VALLEY SCHOOL CORP","1811370","FULTON COUNTY","18049","18","202 EAST RURAL ST","AKRON","IN ","46910","0008","PO BOX 8","AKRON","IN ","46910","0008","5748934646","1-Regular school","41.043200","-86.027300","2139","4445","1802","Kindergarten","5th Grade","394"
"ALBANY ELEMENTARY SCHOOL","Indiana","ALBANY ELEMENTARY SCHOOL","180266000318","DELAWARE COMMUNITY SCHOOL CORP","1802660","DELAWARE COUNTY","18035","18","700 WEST STATE ST","ALBANY","IN ","47320","1399","700 W STATE ST","ALBANY","IN ","47320","1399","7657896102","1-Regular school","40.300200","-85.245500","1520","1875","1806","Kindergarten","5th Grade","289"
"ALBION ELEMENTARY SCHOOL","Indiana","ALBION ELEMENTARY SCHOOL","180171000228","CENTRAL NOBLE COM SCHOOL CORP","1801710","NOBLE COUNTY","18113","18","202 COUGAR CT","ALBION","IN ","46701","1399","202 COUGAR CT","ALBION","IN ","46701","1399","2606367538","1-Regular school","41.396700","-85.418200","6454","6055","1803","Kindergarten","5th Grade","310"
"ALEXANDER HAMILTON ELEMENTARY SCH","Indiana","ALEXANDER HAMILTON ELEMENTARY SCH","180291000376","LAKE STATION COMMUNITY SCHOOLS","1802910","LAKE COUNTY","18089","18","2900 LAKE ST","LAKE STATION","IN ","46405","1927","2900 LAKE ST","LAKE STATION","IN ","46405","1927","2199621824","1-Regular school","41.565100","-87.266600","3973","4680","1801","1st Grade","6th Grade","260"
"ALEXANDRIA-MONROE ELEMENTARY","Indiana","ALEXANDRIA-MONROE ELEMENTARY","180012000009","ALEXANDRIA COM SCHOOL CORP","1800120","MADISON COUNTY","18095","18","800 NORTH CENTRAL","ALEXANDRIA","IN ","46001","9504","800 N CENTRAL","ALEXANDRIA","IN ","46001","9504","7657247788","1-Regular school","40.269300","-85.681600","5069","5265","1805","Prekindergarten","2nd Grade","358"
"ALEXANDRIA-MONROE HIGH SCHOOL","Indiana","ALEXANDRIA-MONROE HIGH SCHOOL","180012000011","ALEXANDRIA COM SCHOOL CORP","1800120","MADISON COUNTY","18095","18","1 BURDEN CT","ALEXANDRIA","IN ","46001","2699","1 BURDEN CT","ALEXANDRIA","IN ","46001","2699","7657244413","1-Regular school","40.252100","-85.678400","5041","5265","1805","7th Grade","12th Grade","749"
"ALEXANDRIA-MONROE INTERMEDIATE","Indiana","ALEXANDRIA-MONROE INTERMEDIATE","180012000010","ALEXANDRIA COM SCHOOL CORP","1800120","MADISON COUNTY","18095","18","308 WEST 11TH ST","ALEXANDRIA","IN ","46001","2897","308 W 11TH ST","ALEXANDRIA","IN ","46001","2897","7657244166","1-Regular school","40.249300","-85.677900","5065","5265","1805","3rd Grade","6th Grade","458"
"ALLEN CO JUVENILE CENTER","Indiana","ALLEN CO JUVENILE CENTER","180363002174","FORT WAYNE COMMUNITY SCHOOLS","1803630","ALLEN COUNTY","18003","18","2929 NORTH WELLS","FORT WAYNE","IN ","46808","","2929 N WELLS","FORT WAYNE","IN ","46808","","2604498066","1-Regular school","41.103700","-85.148500","0100","0235","1803","6th Grade","12th Grade","14"
"ALLEN CO YOUTH SERVICES CTR","Indiana","ALLEN CO YOUTH SERVICES CTR","180825002160","NORTHWEST ALLEN COUNTY SCHOOLS","1808250","ALLEN COUNTY","18003","18","11805 LIMA RD","FORT WAYNE","IN ","46818","9502","11805 LIMA RD","FORT WAYNE","IN ","46818","9502","2604493561","4-Alternative/other school","41.190500","-85.167400","0145","0225","1803","6th Grade","11th Grade","12"
"ALLEN ELEMENTARY SCHOOL","Indiana","ALLEN ELEMENTARY SCHOOL","180639001107","MARION COMMUNITY SCHOOLS","1806390","GRANT COUNTY","18053","18","1115 EAST BRADFORD ST","MARION","IN ","46952","3040","1115 E BRADFORD ST","MARION","IN ","46952","3040","7656647355","1-Regular school","40.568500","-85.642000","2369","2865","1805","Kindergarten","4th Grade","394"
"ALLEN J WARREN ELEM SCH","Indiana","ALLEN J WARREN ELEM SCH","180456000762","SCHOOL TOWN OF HIGHLAND","1804560","LAKE COUNTY","18089","18","2901 100TH ST","HIGHLAND","IN ","46322","3362","2901 100TH ST","HIGHLAND","IN ","46322","3362","2199225660","1-Regular school","41.533100","-87.458100","4303","4720","1801","Kindergarten","5th Grade","311"
"ALLISONVILLE ELEMENTARY SCH","Indiana","ALLISONVILLE ELEMENTARY SCH","181272002010","M S D WASHINGTON TOWNSHIP","1812720","MARION COUNTY","18097","18","4900 EAST 79TH ST","INDIANAPOLIS","IN ","46240","1615","4900 E 79TH ST","INDIANAPOLIS","IN ","46240","1615","3178459441","1-Regular school","39.899300","-86.087400","5403","5370","1805","1st Grade","5th Grade","767"
"AMELIA EARHART ELEM SCH","Indiana","AMELIA EARHART ELEM SCH","180540000545","LAFAYETTE SCHOOL CORPORATION","1805400","TIPPECANOE COUNTY","18157","18","3280 SOUTH 9TH ST","LAFAYETTE","IN ","47909","2989","3280 S 9TH ST","LAFAYETTE","IN ","47909","2989","7657724740","1-Regular school","40.378900","-86.887800","8119","7855","1804","Kindergarten","4th Grade","510"
"AMY BEVERLAND ELEMENTARY","Indiana","AMY BEVERLAND ELEMENTARY","180567002339","M S D LAWRENCE TOWNSHIP","1805670","MARION COUNTY","18097","18","11650 FOX RD","INDIANAPOLIS","IN ","46236","1306","11650 FOX RD","INDIANAPOLIS","IN ","46236","1306","3179644000","1-Regular school","39.903800","-85.960000","5287","5330","1805","1st Grade","6th Grade","719"
"ANDERSON ELEMENTARY SCHOOL","Indiana","ANDERSON ELEMENTARY SCHOOL","180015001847","ANDERSON COMMUNITY SCHOOL CORP","1800150","MADISON COUNTY","18095","18","2035 SOUTH RAIBLE AVE","ANDERSON","IN ","46011","4042","2035 S RAIBLE AVE","ANDERSON","IN ","46011","4042","7656412092","1-Regular school","40.095800","-85.713700","5142","5275","1805","Kindergarten","5th Grade","559"
"ANDERSON HIGH SCHOOL","Indiana","ANDERSON HIGH SCHOOL","180015000029","ANDERSON COMMUNITY SCHOOL CORP","1800150","MADISON COUNTY","18095","18","4610 MADISON AVE","ANDERSON","IN ","46013","1399","4610 MADISON AVE","ANDERSON","IN ","46013","1399","7656412037","1-Regular school","40.066100","-85.691200","4945","5275","1805","9th Grade","12th Grade","1854"
"ANDERSON PREPARATORY ACADEMY","Indiana","ANDERSON PREPARATORY ACADEMY","180007702425","ANDERSON PREPARATORY ACADEMY","1800077","MADISON COUNTY","18095","18","101 WEST 29TH ST","ANDERSON","IN ","46016","","101 W 29TH ST","ANDERSON","IN ","46016","","7656498472","1-Regular school","40.087300","-85.680600","5092","9790","1805","Kindergarten","12th Grade","906"
"ANDREW ACADEMY","Indiana","ANDREW ACADEMY","180009202493","ANDREW ACADEMY","1800092","MARION COUNTY","18097","18","4050 EAST 38TH ST","INDIANAPOLIS","IN ","46218","","4050 E 38TH ST","INDIANAPOLIS","IN ","46218","","3175496305","1-Regular school","39.826000","-86.099200","5785","9715","1807","Kindergarten","8th Grade","220"
"ANDREW J BROWN ACADEMY","Indiana","ANDREW J BROWN ACADEMY","180004201816","ANDREW J BROWN ACADEMY","1800042","MARION COUNTY","18097","18","3600 NORTH GERMAN CHURCH RD","INDIANAPOLIS","IN ","46236","8504","3600 N GERMAN CHURCH RD","INDIANAPOLIS","IN ","46235","8504","3178910730","1-Regular school","39.822400","-85.973900","5488","9615","1807","Kindergarten","8th Grade","677"
"ANDREWS ELEMENTARY SCHOOL","Indiana","ANDREWS ELEMENTARY SCHOOL","180471000782","HUNTINGTON CO COM SCH CORP","1804710","HUNTINGTON COUNTY","18069","18","509 EAST JEFFERSON ST","ANDREWS","IN ","46702","0428","509 E JEFFERSON ST","ANDREWS","IN ","46702","0428","2607863021","1-Regular school","40.857900","-85.594300","3021","3625","1803","Kindergarten","5th Grade","360"
"ANGOLA HIGH SCHOOL","Indiana","ANGOLA HIGH SCHOOL","181110001797","M S D STEUBEN COUNTY","1811100","STEUBEN COUNTY","18151","18","350 SOUTH JOHN MCBRIDE AVE","ANGOLA","IN ","46703","1991","350 S JOHN MCBRIDE AVE","ANGOLA","IN ","46703","1991","2606652186","1-Regular school","41.632000","-84.972300","7893","7615","1803","9th Grade","12th Grade","886"
"ANGOLA MIDDLE SCHOOL","Indiana","ANGOLA MIDDLE SCHOOL","181110001798","M S D STEUBEN COUNTY","1811100","STEUBEN COUNTY","18151","18","1350 EAST MAUMEE ST","ANGOLA","IN ","46703","9207","1350 E MAUMEE ST","ANGOLA","IN ","46703","9207","2606659581","1-Regular school","41.632900","-84.978400","7895","7615","1803","6th Grade","8th Grade","712"
"ANNA BROCHHAUSEN SCHOOL 88","Indiana","ANNA BROCHHAUSEN SCHOOL 88","180477000797","INDIANAPOLIS PUBLIC SCHOOLS","1804770","MARION COUNTY","18097","18","5801 EAST 16TH ST","INDIANAPOLIS","IN ","46218","5101","5801 E 16TH ST","INDIANAPOLIS","IN ","46218","5101","3172264288","1-Regular school","39.787100","-86.068500","5588","5385","1807","Prekindergarten","6th Grade","376"
"ARCOLA SCHOOL","Indiana","ARCOLA SCHOOL","180825001413","NORTHWEST ALLEN COUNTY SCHOOLS","1808250","ALLEN COUNTY","18003","18","11006 ARCOLA RD","ARCOLA","IN ","46704","","11006 ARCOLA RD","ARCOLA","IN ","46704","","2606253161","1-Regular school","41.103800","-85.289000","0069","0225","1803","Kindergarten","5th Grade","178"
"AREA 30 CAREER CENTER","Indiana","AREA 30 CAREER CENTER","180003402107","AREA 30 CAREER CENTER EDU INTER","1800034","PUTNAM COUNTY","18133","18","1 NORTH CALBERT WAY","GREENCASTLE","IN ","46135","0628","1 N CALBERT WAY SUITE A","GREENCASTLE","IN ","46135","0628","7656533515","3-Vocational school","39.640300","-86.855900","7080","6700","1804","9th Grade","12th Grade","0"
"AREA CAREER CENTER","Indiana","AREA CAREER CENTER","180432000737","SCHOOL CITY OF HAMMOND","1804320","LAKE COUNTY","18089","18","5727 SOHL AVE","HAMMOND","IN ","46320","2356","5727 SOHL AVE","HAMMOND","IN ","46320","2356","2199332428","3-Vocational school","41.609100","-87.511500","4419","4710","1801","9th Grade","12th Grade","0"
