"School Name","State Name [Public School] Latest available year","School Name [Public School] 2013-14","School ID - NCES Assigned [Public School] Latest available year","Agency Name [Public School] 2013-14","Agency ID - NCES Assigned [Public School] Latest available year","County Name [Public School] 2013-14","County Number [Public School] 2013-14","ANSI/FIPS State Code [Public School] Latest available year","Location Address [Public School] 2013-14","Location City [Public School] 2013-14","Location State Abbr [Public School] 2013-14","Location ZIP [Public School] 2013-14","Location ZIP4 [Public School] 2013-14","Mailing Address [Public School] 2013-14","Mailing City [Public School] 2013-14","Mailing State Abbr [Public School] 2013-14","Mailing ZIP [Public School] 2013-14","Mailing ZIP4 [Public School] 2013-14","Phone Number [Public School] 2013-14","School Type [Public School] 2013-14","Latitude [Public School] 2013-14","Longitude [Public School] 2013-14","State School ID [Public School] 2013-14","State Agency ID [Public School] 2013-14","Congressional Code [Public School] 2013-14","Lowest Grade Offered [Public School] 2013-14","Highest Grade Offered [Public School] 2013-14","Total Students [Public School] 2013-14"
"A. A. NELSON ELEMENTARY SCHOOL","Louisiana","A. A. NELSON ELEMENTARY SCHOOL","220033000255","CALCASIEU PARISH","2200330","CALCASIEU PARISH","22019","22","1001 COUNTRY CLUB RD","LAKE CHARLES","LA ","70605","","1001 COUNTRY CLUB ROAD","LAKE CHARLES","LA ","70605","","3372174790","1-Regular school","30.167900","-93.235000","010042","010","2203","Prekindergarten","5th Grade","699"
"A. A. SONGY SR. KINDERGARTEN CENTER","Louisiana","A. A. SONGY SR. KINDERGARTEN CENTER","220144001151","ST. CHARLES PARISH","2201440","ST. CHARLES PARISH","22089","22","523 EAST HEATHER DR","LULING","LA ","70070","","523 EAST HEATHER DRIVE","LULING","LA ","70070","","9857850299","1-Regular school","29.900900","-90.349700","045016","045","2202","Prekindergarten","Kindergarten","206"
"A. C. STEERE ELEMENTARY SCHOOL","Louisiana","A. C. STEERE ELEMENTARY SCHOOL","220030000198","CADDO PARISH","2200300","CADDO PARISH","22017","22","4009 YOUREE DR","SHREVEPORT","LA ","71105","","4009 YOUREE DRIVE","SHREVEPORT","LA ","71105","","3188655675","1-Regular school","32.466800","-93.721300","009060","009","2204","Prekindergarten","5th Grade","440"
"A. E. PHILLIPS LABORATORY SCHOOL","Louisiana","A. E. PHILLIPS LABORATORY SCHOOL","220005600750","A.E. PHILLIPS LABORATORY SCHOOL","2200056","LINCOLN PARISH","22061","22","HERGOT ST LA TECH CAMPUS","RUSTON","LA ","71272","","BOX 10168 TECH STATION","RUSTON","LA ","71272","","3182573469","1-Regular school","32.525500","-92.649700","322001","322","2205","Kindergarten","8th Grade","382"
"A. J. BROWN ELEMENTARY SCHOOL","Louisiana","A. J. BROWN ELEMENTARY SCHOOL","220005500740","GRAMBLING STATE LAB SCHOOLS","2200055","LINCOLN PARISH","22061","22","300 RALPH JONES DR","GRAMBLING","LA ","71245","","300 RALPH JONES DRIVE","GRAMBLING","LA ","71245","","3182743118","1-Regular school","32.525700","-92.714600","323001","323","2205","Kindergarten","5th Grade","154"
"A.C. ALEXANDER ELEMENTARY SCHOOL","Louisiana","A.C. ALEXANDER ELEMENTARY SCHOOL","220084000578","JEFFERSON PARISH","2200840","JEFFERSON PARISH","22051","22","600 WEST ESPLANADE AVE","KENNER","LA ","70065","2799","600 WEST ESPLANADE AVENUE","KENNER","LA ","70065","2799","5044697326","1-Regular school","30.022800","-90.261500","026003","026","2201","Prekindergarten","5th Grade","585"
"A.P. TUREAUD ELEMENTARY SCHOOL","Louisiana","A.P. TUREAUD ELEMENTARY SCHOOL","220005400869","RECOVERY SCHOOL DISTRICT-LDE","2200054","ORLEANS PARISH","22071","22","2021 PAUGER ST","NEW ORLEANS","LA ","70112","","2021 PAUGER STREET","NEW ORLEANS","LA ","70112","","5043736219","1-Regular school","29.970800","-90.060300","396019","396","2202","Prekindergarten","6th Grade","204"
"ABBEVILLE HIGH SCHOOL","Louisiana","ABBEVILLE HIGH SCHOOL","220180001385","VERMILION PARISH","2201800","VERMILION PARISH","22113","22","1305 WILDCAT DR","ABBEVILLE","LA ","70510","","1305 WILDCAT DR","ABBEVILLE","LA ","70510","","3378931874","1-Regular school","29.983100","-92.105300","057001","057","2203","9th Grade","12th Grade","644"
"ABITA SPRINGS ELEMENTARY SCHOOL","Louisiana","ABITA SPRINGS ELEMENTARY SCHOOL","220165001263","ST. TAMMANY PARISH","2201650","ST. TAMMANY PARISH","22103","22","22410 LEVEL ST","ABITA SPRINGS","LA ","70420","","22410 LEVEL STREET","ABITA SPRINGS","LA ","70420","","9858928184","1-Regular school","30.476600","-90.028400","052001","052","2201","Prekindergarten","3rd Grade","738"
"ABITA SPRINGS MIDDLE SCHOOL","Louisiana","ABITA SPRINGS MIDDLE SCHOOL","220165001565","ST. TAMMANY PARISH","2201650","ST. TAMMANY PARISH","22103","22","72079 MAPLE ST","ABITA SPRINGS","LA ","70420","","72079 MAPLE STREET","ABITA SPRINGS","LA ","70420","","9858922070","1-Regular school","30.480200","-90.038500","052002","052","2201","4th Grade","6th Grade","440"
