"School Name","State Name [Public School] Latest available year","School Name [Public School] 2013-14","School ID - NCES Assigned [Public School] Latest available year","Agency Name [Public School] 2013-14","Agency ID - NCES Assigned [Public School] Latest available year","County Name [Public School] 2013-14","County Number [Public School] 2013-14","ANSI/FIPS State Code [Public School] Latest available year","Location Address [Public School] 2013-14","Location City [Public School] 2013-14","Location State Abbr [Public School] 2013-14","Location ZIP [Public School] 2013-14","Location ZIP4 [Public School] 2013-14","Mailing Address [Public School] 2013-14","Mailing City [Public School] 2013-14","Mailing State Abbr [Public School] 2013-14","Mailing ZIP [Public School] 2013-14","Mailing ZIP4 [Public School] 2013-14","Phone Number [Public School] 2013-14","School Type [Public School] 2013-14","Latitude [Public School] 2013-14","Longitude [Public School] 2013-14","State School ID [Public School] 2013-14","State Agency ID [Public School] 2013-14","Congressional Code [Public School] 2013-14","Lowest Grade Offered [Public School] 2013-14","Highest Grade Offered [Public School] 2013-14","Total Students [Public School] 2013-14"
"1 LT CHARLES W. WHITCOMB SCHOOL","Massachusetts","1 LT CHARLES W. WHITCOMB SCHOOL","250732002639","MARLBOROUGH","2507320","MIDDLESEX COUNTY","25017","25","25 UNION ST","MARLBOROUGH","MA ","01752","","25 UNION STREET","MARLBOROUGH","MA ","01752","","5084603502","1-Regular school","42.357400","-71.548600","01700045","0170","2503","5th Grade","8th Grade","1365"
"21ST CENTURY SKILLS ACADEMY","Massachusetts","21ST CENTURY SKILLS ACADEMY","251251002790","WEST SPRINGFIELD","2512510","HAMPDEN COUNTY","25013","25","174 BRUSH HILL AVE","WEST SPRINGFIELD","MA ","01089","","174 BRUSH HILL AVENUE","WEST SPRINGFIELD","MA ","01089","","4137352200","1-Regular school","42.145300","-72.634400","03320515","0332","2501","9th Grade","12th Grade","14"
"A DREWICZ ELEMENTARY","Massachusetts","A DREWICZ ELEMENTARY","250711001062","LYNN","2507110","ESSEX COUNTY","25009","25","34 HOOD ST","LYNN","MA ","01905","2330","34 HOOD STREET","LYNN","MA ","01905","2330","7814777350","1-Regular school","42.460500","-70.969200","01630016","0163","2506","Kindergarten","5th Grade","458"
"A E ANGIER","Massachusetts","A E ANGIER","250861001356","NEWTON","2508610","MIDDLESEX COUNTY","25017","25","1697 BEACON ST","WABAN","MA ","02468","1314","1697 BEACON STREET","WABAN","MA ","02468","1314","6175599300","1-Regular school","42.326600","-71.232600","02070005","0207","2504","Kindergarten","5th Grade","417"
"A F MALONEY","Massachusetts","A F MALONEY","250271501078","BLACKSTONE-MILLVILLE","2502715","WORCESTER COUNTY","25027","25","200 LINCOLN ST","BLACKSTONE","MA ","01504","1200","200 LINCOLN STREET","BLACKSTONE","MA ","01504","1200","5088760119","1-Regular school","42.019600","-71.535400","06220015","0622","2502","4th Grade","5th Grade","206"
"A. C. WHELAN ELEMENTARY SCHOOL","Massachusetts","A. C. WHELAN ELEMENTARY SCHOOL","251005001619","REVERE","2510050","SUFFOLK COUNTY","25025","25","107 NEWHALL ST","REVERE","MA ","02151","2326","107 NEWHALL STREET","REVERE","MA ","02151","2326","7813887510","1-Regular school","42.419300","-71.019900","02480003","0248","2505","Kindergarten","5th Grade","747"
"A. IRVIN STUDLEY ELEMENTARY SCHOOL","Massachusetts","A. IRVIN STUDLEY ELEMENTARY SCHOOL","250219000097","ATTLEBORO","2502190","BRISTOL COUNTY","25005","25","299 RATHBUN WILLARD DR","ATTLEBORO","MA ","02703","2710","299 RATHBUN WILLARD DRIVE","ATTLEBORO","MA ","02703","2710","5082222621","1-Regular school","41.939400","-71.301900","00160001","0016","2504","Kindergarten","4th Grade","430"
"ABBOT ELEMENTARY","Massachusetts","ABBOT ELEMENTARY","251266000163","WESTFORD","2512660","MIDDLESEX COUNTY","25017","25","25 DEPOT ST","WESTFORD","MA ","01886","2698","25 DEPOT STREET","WESTFORD","MA ","01886","2698","9786925580","1-Regular school","42.587900","-71.432400","03260004","0326","2503","3rd Grade","5th Grade","438"
"ABBOTT MEMORIAL","Massachusetts","ABBOTT MEMORIAL","250492000706","FLORIDA","2504920","BERKSHIRE COUNTY","25003","25","56 NORTH COUNTY RD","FLORIDA","MA ","01247","9614","56 NORTH COUNTY RD","FLORIDA","MA ","01247","9614","4136646023","1-Regular school","42.693200","-73.037500","00980005","0098","2501","Prekindergarten","8th Grade","95"
"ABBY KELLEY FOSTER CHARTER PUBLIC SCHOOL","Massachusetts","ABBY KELLEY FOSTER CHARTER PUBLIC SCHOOL","250005101247","ABBY KELLEY FOSTER CHARTER PUBLIC (DISTRICT)","2500051","WORCESTER COUNTY","25027","25","10 NEW BOND ST","WORCESTER","MA ","01606","","10 NEW BOND STREET","WORCESTER","MA ","01606","","5088548400","1-Regular school","42.305600","-71.801600","04450105","0445","2502","Kindergarten","12th Grade","1426"
"ABIGAIL ADAMS MIDDLE SCHOOL","Massachusetts","ABIGAIL ADAMS MIDDLE SCHOOL","251284002607","WEYMOUTH","2512840","NORFOLK COUNTY","25021","25","89 MIDDLE ST","EAST WEYMOUTH","MA ","02189","1359","89 MIDDLE STREET","EAST WEYMOUTH","MA ","02189","1359","7813351100","1-Regular school","42.220800","-70.939800","03360310","0336","2508","5th Grade","6th Grade","970"
"ABINGTON HIGH","Massachusetts","ABINGTON HIGH","250165000001","ABINGTON","2501650","PLYMOUTH COUNTY","25023","25","201 GLINIEWICZ WAY","ABINGTON","MA ","02351","1999","201 GLINIEWICZ WAY","ABINGTON","MA ","02351","1999","7819822160","1-Regular school","42.119000","-70.953400","00010505","0001","2508","9th Grade","12th Grade","460"
"ABNER GIBBS","Massachusetts","ABNER GIBBS","251263002061","WESTFIELD","2512630","HAMPDEN COUNTY","25013","25","50 WEST SILVER ST","WESTFIELD","MA ","01085","3899","50 WEST SILVER STREET","WESTFIELD","MA ","01085","3899","4135726418","1-Regular school","42.114600","-72.753700","03250020","0325","2501","Kindergarten","5th Grade","229"
"ABORN","Massachusetts","ABORN","250711001061","LYNN","2507110","ESSEX COUNTY","25009","25","409 EASTERN AVE","LYNN","MA ","01902","1671","409 EASTERN AVENUE","LYNN","MA ","01902","1671","7814777320","1-Regular school","42.479200","-70.933000","01630011","0163","2506","Kindergarten","5th Grade","248"
"ABRAHAM LINCOLN","Massachusetts","ABRAHAM LINCOLN","251005001618","REVERE","2510050","SUFFOLK COUNTY","25025","25","68 TUCKERMAN ST","REVERE","MA ","02151","2335","68 TUCKERMAN STREET","REVERE","MA ","02151","2335","7812868270","1-Regular school","42.416900","-71.009600","02480025","0248","2505","Prekindergarten","5th Grade","661"
"ABRAHAM LINCOLN","Massachusetts","ABRAHAM LINCOLN","250702001023","LOWELL","2507020","MIDDLESEX COUNTY","25017","25","300 CHELMSFORD ST","LOWELL","MA ","01851","3309","300 CHELMSFORD STREET","LOWELL","MA ","01851","3309","9789372846","1-Regular school","42.630400","-71.320400","01600020","0160","2503","Prekindergarten","4th Grade","523"
"ABRAHAM LINCOLN","Massachusetts","ABRAHAM LINCOLN","250843001318","NEW BEDFORD","2508430","BRISTOL COUNTY","25005","25","445 ASHLEY BLVD","NEW BEDFORD","MA ","02745","5213","445 ASHLEY BLVD","NEW BEDFORD","MA ","02745","5213","5089974511","1-Regular school","41.669500","-70.931400","02010095","0201","2509","Kindergarten","5th Grade","801"
"ACADEMY AVENUE","Massachusetts","ACADEMY AVENUE","251284002103","WEYMOUTH","2512840","NORFOLK COUNTY","25021","25","94 ACADEMY AVE","WEYMOUTH","MA ","02189","1311","94 ACADEMY AVENUE","WEYMOUTH","MA ","02189","1311","7813354717","1-Regular school","42.219700","-70.941800","03360005","0336","2508","Kindergarten","4th Grade","337"
"ACADEMY OF THE PACIFIC RIM CHARTER PUBLIC SCHOOL","Massachusetts","ACADEMY OF THE PACIFIC RIM CHARTER PUBLIC SCHOOL","250002100511","ACADEMY OF THE PACIFIC RIM CHARTER PUBLIC (DISTRICT)","2500021","SUFFOLK COUNTY","25025","25","1 WESTINGHOUSE PLAZA","HYDE PARK","MA ","02136","0190","1 WESTINGHOUSE PLAZA","HYDE PARK","MA ","02136","0190","6173610050","1-Regular school","42.244200","-71.132100","04120530","0412","2507","5th Grade","12th Grade","498"
"ACESE","Massachusetts","ACESE","250483000276","FALL RIVER","2504830","BRISTOL COUNTY","25005","25","803 BEDFORD ST","FALL RIVER","MA ","02723","1203","803 BEDFORD STREET","FALL RIVER","MA ","02723","1203","5086754730","4-Alternative/other school","41.699000","-71.141100","00950055","0095","2504","2nd Grade","5th Grade","15"
"ACTON-BOXBOROUGH REGIONAL HIGH","Massachusetts","ACTON-BOXBOROUGH REGIONAL HIGH","250171000012","ACTON-BOXBOROUGH","2501710","MIDDLESEX COUNTY","25017","25","36 CHARTER RD","ACTON","MA ","01720","3011","36 CHARTER RD","ACTON","MA ","01720","3011","9782644700","1-Regular school","42.480100","-71.458200","06000505","0600","2503","9th Grade","12th Grade","1960"
"ACUSHNET ELEMENTARY SCHOOL","Massachusetts","ACUSHNET ELEMENTARY SCHOOL","250174000014","ACUSHNET","2501740","BRISTOL COUNTY","25005","25","800 MIDDLE RD","ACUSHNET","MA ","02743","1410","800 MIDDLE ROAD","ACUSHNET","MA ","02743","1410","5089980255","1-Regular school","41.725900","-70.906600","00030025","0003","2509","Prekindergarten","4th Grade","536"
"ADAMS SCHOOL","Massachusetts","ADAMS SCHOOL","250477002804","EVERETT","2504770","MIDDLESEX COUNTY","25017","25","78 TILESTON ST","EVERETT","MA ","02149","1994","78 TILESTON STREET","EVERETT","MA ","02149","1994","6173942400","1-Regular school","42.404900","-71.065400","00930003","0093","2507","Prekindergarten","Prekindergarten","166"
"ADVANCED MATH AND SCIENCE ACADEMY CHARTER SCHOOL","Massachusetts","ADVANCED MATH AND SCIENCE ACADEMY CHARTER SCHOOL","250008501984","ADVANCED MATH AND SCIENCE ACADEMY CHARTER (DISTRICT)","2500085","MIDDLESEX COUNTY","25017","25","201 FOREST ST","MARLBOROUGH","MA ","01752","","201 FOREST STREET","MARLBOROUGH","MA ","01752","","5085972400","1-Regular school","42.333700","-71.577400","04300305","0430","2503","6th Grade","12th Grade","997"
"AGAWAM EARLY CHILDHOOD CENTER","Massachusetts","AGAWAM EARLY CHILDHOOD CENTER","250180001499","AGAWAM","2501800","HAMPDEN COUNTY","25013","25","108 PERRY LN","AGAWAM","MA ","01001","2459","108 PERRY LANE","AGAWAM","MA ","01001","2459","4138210598","1-Regular school","42.067200","-72.626400","00050003","0005","2501","Prekindergarten","Prekindergarten","144"
"AGAWAM HIGH","Massachusetts","AGAWAM HIGH","250180000024","AGAWAM","2501800","HAMPDEN COUNTY","25013","25","760 COOPER ST","AGAWAM","MA ","01001","2177","760 COOPER STREET","AGAWAM","MA ","01001","2177","4138210521","1-Regular school","42.074200","-72.645600","00050505","0005","2501","9th Grade","12th Grade","1290"
"AGAWAM JUNIOR HIGH","Massachusetts","AGAWAM JUNIOR HIGH","250180000025","AGAWAM","2501800","HAMPDEN COUNTY","25013","25","1305 SPRINGFIELD ST","FEEDING HILLS","MA ","01030","2180","1305 SPRINGFIELD ST","FEEDING HILLS","MA ","01030","2180","4138210561","1-Regular school","42.064100","-72.673600","00050405","0005","2501","7th Grade","8th Grade","629"
"ALBERT F FORD MIDDLE SCHOOL","Massachusetts","ALBERT F FORD MIDDLE SCHOOL","250174000015","ACUSHNET","2501740","BRISTOL COUNTY","25005","25","708 MIDDLE RD","ACUSHNET","MA ","02743","1499","708 MIDDLE ROAD","ACUSHNET","MA ","02743","1499","5089980265","1-Regular school","41.723100","-70.905500","00030305","0003","2509","5th Grade","8th Grade","456"
