"School Name","State Name [Public School] Latest available year","School Name [Public School] 2013-14","School ID - NCES Assigned [Public School] Latest available year","Agency Name [Public School] 2013-14","Agency ID - NCES Assigned [Public School] Latest available year","County Name [Public School] 2013-14","County Number [Public School] 2013-14","ANSI/FIPS State Code [Public School] Latest available year","Location Address [Public School] 2013-14","Location City [Public School] 2013-14","Location State Abbr [Public School] 2013-14","Location ZIP [Public School] 2013-14","Location ZIP4 [Public School] 2013-14","Mailing Address [Public School] 2013-14","Mailing City [Public School] 2013-14","Mailing State Abbr [Public School] 2013-14","Mailing ZIP [Public School] 2013-14","Mailing ZIP4 [Public School] 2013-14","Phone Number [Public School] 2013-14","School Type [Public School] 2013-14","Latitude [Public School] 2013-14","Longitude [Public School] 2013-14","State School ID [Public School] 2013-14","State Agency ID [Public School] 2013-14","Congressional Code [Public School] 2013-14","Lowest Grade Offered [Public School] 2013-14","Highest Grade Offered [Public School] 2013-14","Total Students [Public School] 2013-14"
"""MARY HARRIS """"MOTHER"""" JONES ELEMENTARY""","Maryland","""MARY HARRIS """"MOTHER"""" JONES ELEMENTARY""","240051001257","PRINCE GEORGE'S COUNTY PUBLIC SCHOOLS","2400510","PRINCE GEORGE'S COUNTY","24033","24","2405 TECUMSEH ST","ADELPHI","MD ","20783","1658","2405 TECUMSEH ST","ADELPHI","MD ","20783","1658","3014087900","1-Regular school","38.999900","-76.966100","161730","16","2404","Prekindergarten","6th Grade","1029"
"A. MARIO LOIEDERMAN MIDDLE","Maryland","A. MARIO LOIEDERMAN MIDDLE","240048001446","MONTGOMERY COUNTY PUBLIC SCHOOLS","2400480","MONTGOMERY COUNTY","24031","24","12701 GOODHILL RD","SILVER SPRING","MD ","20906","","12701 GOODHILL RD","SILVER SPRING","MD ","20906","","3019292282","1-Regular school","39.065200","-77.070800","150787","15","2408","6th Grade","8th Grade","835"
"ABBOTTSTON ELEMENTARY","Maryland","ABBOTTSTON ELEMENTARY","240009000143","BALTIMORE CITY PUBLIC SCHOOLS","2400090","BALTIMORE CITY","24510","24","1300 GORSUCH AVE","BALTIMORE","MD ","21218","3620","1300 GORSUCH AVE","BALTIMORE","MD ","21218","3620","4439842685","1-Regular school","39.325000","-76.599400","300050","30","2407","Prekindergarten","5th Grade","150"
"ABERDEEN HIGH","Maryland","ABERDEEN HIGH","240039000679","HARFORD COUNTY PUBLIC SCHOOLS","2400390","HARFORD COUNTY","24025","24","251 PARADISE RD","ABERDEEN","MD ","21001","2399","251 PARADISE RD","ABERDEEN","MD ","21001","2399","4102735500","1-Regular school","39.516300","-76.171100","120270","12","2402","9th Grade","12th Grade","1418"
"ABERDEEN MIDDLE","Maryland","ABERDEEN MIDDLE","240039000678","HARFORD COUNTY PUBLIC SCHOOLS","2400390","HARFORD COUNTY","24025","24","111 MOUNT ROYAL AVE","ABERDEEN","MD ","21001","2492","111 MOUNT ROYAL AVE","ABERDEEN","MD ","21001","2492","4102735510","1-Regular school","39.515500","-76.164800","120265","12","2402","6th Grade","8th Grade","1115"
"ABINGDON ELEMENTARY","Maryland","ABINGDON ELEMENTARY","240039000162","HARFORD COUNTY PUBLIC SCHOOLS","2400390","HARFORD COUNTY","24025","24","399 SINGER RD","ABINGDON","MD ","21009","1614","399 SINGER RD","ABINGDON","MD ","21009","1614","4106383910","1-Regular school","39.477100","-76.325400","120123","12","2401","Prekindergarten","5th Grade","832"
"ACADEMY FOR COLLEGE AND CAREER EXPLORATION","Maryland","ACADEMY FOR COLLEGE AND CAREER EXPLORATION","240009001381","BALTIMORE CITY PUBLIC SCHOOLS","2400090","BALTIMORE CITY","24510","24","1300 WEST 36TH ST","BALTIMORE","MD ","21211","","1300 W 36TH ST","BALTIMORE","MD ","21211","","4103967607","1-Regular school","39.330800","-76.637800","300427","30","2403","6th Grade","12th Grade","669"
"ACADEMY OF HEALTH SCIENCES AT PGCC","Maryland","ACADEMY OF HEALTH SCIENCES AT PGCC","240051001704","PRINCE GEORGE'S COUNTY PUBLIC SCHOOLS","2400510","PRINCE GEORGE'S COUNTY","24033","24","301 LARGO RD","LARGO","MD ","20774","","301 LARGO RD","LARGO","MD ","20774","","3015831593","1-Regular school","38.889800","-76.823600","161350","16","2404","9th Grade","11th Grade","303"
"ACCIDENT ELEMENTARY","Maryland","ACCIDENT ELEMENTARY","240036000662","GARRETT COUNTY PUBLIC SCHOOLS","2400360","GARRETT COUNTY","24023","24","534 ACCIDENTBITTINGER RD","ACCIDENT","MD ","21520","1340","534 ACCIDENT-BITTINGER RD","ACCIDENT","MD ","21520","1340","3017468863","1-Regular school","39.626300","-79.310800","110501","11","2406","Prekindergarten","5th Grade","235"
"ACCOKEEK ACADEMY","Maryland","ACCOKEEK ACADEMY","240051001686","PRINCE GEORGE'S COUNTY PUBLIC SCHOOLS","2400510","PRINCE GEORGE'S COUNTY","24033","24","14400 BERRY RD","ACCOKEEK","MD ","20607","","14400 BERRY RD","ACCOKEEK","MD ","20607","","3012033200","1-Regular school","38.687900","-76.978800","160509","16","2405","Prekindergarten","8th Grade","1369"
