"School Name","State Name [Public School] Latest available year","School Name [Public School] 2013-14","School ID - NCES Assigned [Public School] Latest available year","Agency Name [Public School] 2013-14","Agency ID - NCES Assigned [Public School] Latest available year","County Name [Public School] 2013-14","County Number [Public School] 2013-14","ANSI/FIPS State Code [Public School] Latest available year","Location Address [Public School] 2013-14","Location City [Public School] 2013-14","Location State Abbr [Public School] 2013-14","Location ZIP [Public School] 2013-14","Location ZIP4 [Public School] 2013-14","Mailing Address [Public School] 2013-14","Mailing City [Public School] 2013-14","Mailing State Abbr [Public School] 2013-14","Mailing ZIP [Public School] 2013-14","Mailing ZIP4 [Public School] 2013-14","Phone Number [Public School] 2013-14","School Type [Public School] 2013-14","Latitude [Public School] 2013-14","Longitude [Public School] 2013-14","State School ID [Public School] 2013-14","State Agency ID [Public School] 2013-14","Congressional Code [Public School] 2013-14","Lowest Grade Offered [Public School] 2013-14","Highest Grade Offered [Public School] 2013-14","Total Students [Public School] 2013-14"
"ABRAHAM LINCOLN SCHOOL","Maine","ABRAHAM LINCOLN SCHOOL","230282000046","BANGOR PUBLIC SCHOOLS","2302820","PENOBSCOT COUNTY","23019","23","45 FOREST AVE","BANGOR","ME ","04401","5313","45 FOREST AVENUE","BANGOR","ME ","04401","5313","2079416280","1-Regular school","44.806400","-68.762300","1158","1011","2302","Prekindergarten","3rd Grade","237"
"ACADEMY HILL SCHOOL","Maine","ACADEMY HILL SCHOOL","231480900933","RSU 09","2314809","FRANKLIN COUNTY","23007","23","585 DEPOT ST","WILTON","ME ","04294","","585 DEPOT STREET","WILTON","ME ","04294","","2076454488","1-Regular school","44.592800","-70.226100","1513","3206","2302","3rd Grade","6th Grade","174"
"ACTON ELEMENTARY SCHOOL","Maine","ACTON ELEMENTARY SCHOOL","230222000001","ACTON PUBLIC SCHOOLS","2302220","YORK COUNTY","23031","23","700 MILTON MILLS RD","ACTON","ME ","04001","5409","700 MILTON MILLS ROAD","ACTON","ME ","04001","5409","2076362100","1-Regular school","43.506900","-70.897200","1129","1000","2301","Kindergarten","8th Grade","207"
"ADAMS SCHOOL","Maine","ADAMS SCHOOL","230408000117","CASTINE PUBLIC SCHOOLS","2304080","HANCOCK COUNTY","23009","23","NO PHYSICAL LOCATION AVAILABLE","CASTINE","ME ","04421","0029","PO BOX 29","CASTINE","ME ","04421","0029","2073268608","1-Regular school","44.390500","-68.799000","1214","1032","2302","Prekindergarten","8th Grade","48"
"AGNES GRAY SCHOOL","Maine","AGNES GRAY SCHOOL","231077000354","RSU 17/MSAD 17","2310770","OXFORD COUNTY","23017","23","170 MAIN ST","WEST PARIS","ME ","04289","","170 MAIN STREET","WEST PARIS","ME ","04289","","2076742332","1-Regular school","44.325400","-70.571000","1549","1211","2302","Prekindergarten","4th Grade","89"
"AIRLINE COMMUNITY SCHOOL","Maine","AIRLINE COMMUNITY SCHOOL","230250000007","AIRLINE CSD","2302500","HANCOCK COUNTY","23009","23","26 GREAT POND RD","AURORA","ME ","04408","9703","26 GREAT POND ROAD","AURORA","ME ","04408","9703","2075843012","1-Regular school","44.864400","-68.307800","1835","1284","2302","Prekindergarten","8th Grade","37"
"ALBERT S HALL SCHOOL","Maine","ALBERT S HALL SCHOOL","231335000605","WATERVILLE PUBLIC SCHOOLS","2313350","KENNEBEC COUNTY","23011","23","27 PLEASANT ST","WATERVILLE","ME ","04901","7500","27 PLEASANT STREET","WATERVILLE","ME ","04901","7500","2078728071","1-Regular school","44.549800","-69.635900","1418","1170","2301","4th Grade","5th Grade","234"
"ALBION ELEMENTARY SCHOOL","Maine","ALBION ELEMENTARY SCHOOL","231433000691","RSU 49/MSAD 49","2314330","KENNEBEC COUNTY","23011","23","20 SCHOOL ST","ALBION","ME ","04910","9762","20 SCHOOL STREET","ALBION","ME ","04910","9762","2074372616","1-Regular school","44.530900","-69.440500","1673","1243","2302","Kindergarten","6th Grade","130"
"ALEXANDER ELEMENTARY","Maine","ALEXANDER ELEMENTARY","230228000975","ALEXANDER PUBLIC SCHOOLS","2302280","WASHINGTON COUNTY","23029","23","1430 AIRLINE RD","ALEXANDER","ME ","04694","6110","1430 AIRLINE ROAD","ALEXANDER","ME ","04694","6110","2074542623","1-Regular school","45.107400","-67.433100","1130","1001","2302","Prekindergarten","8th Grade","43"
"ALFRED ELEMENTARY SCHOOL","Maine","ALFRED ELEMENTARY SCHOOL","231467000999","RSU 57/MSAD 57","2314670","YORK COUNTY","23031","23","21 SANFORD RD","ALFRED","ME ","04002","0579","21 SANFORD ROAD","ALFRED","ME ","04002","0579","2073243831","1-Regular school","43.471300","-70.722500","1723","1251","2301","Kindergarten","5th Grade","200"
"ALTON ELEMENTARY SCHOOL","Maine","ALTON ELEMENTARY SCHOOL","231478201041","RSU 34","2314782","PENOBSCOT COUNTY","23019","23","22 ARGYLE RD","ALTON","ME ","04468","","22 ARGYLE RD","ALTON","ME ","04468","","2073942331","1-Regular school","45.045500","-68.734000","1131","3172","2302","Prekindergarten","4th Grade","57"
"AMES ELEMENTARY SCHOOL","Maine","AMES ELEMENTARY SCHOOL","231479100450","RSU 20","2314791","WALDO COUNTY","23027","23","165 NEW ENGLAND RD","SEARSMONT","ME ","04973","","165 NEW ENGLAND ROAD","SEARSMONT","ME ","04973","","2073425100","1-Regular school","44.371800","-69.202700","1605","3166","2302","2nd Grade","5th Grade","136"
"ANDOVER ELEMENTARY SCHOOL","Maine","ANDOVER ELEMENTARY SCHOOL","231167000505","RSU 44/MSAD 44","2311670","OXFORD COUNTY","23017","23","85 PINE ST  70","ANDOVER","ME ","04216","0070","85 PINE ST PO BOX 70","ANDOVER","ME ","04216","0070","2073924381","1-Regular school","44.633900","-70.754100","1643","1238","2302","Kindergarten","5th Grade","20"
"APPLETON VILLAGE SCHOOL","Maine","APPLETON VILLAGE SCHOOL","230251000906","APPLETON PUBLIC SCHOOLS","2302510","KNOX COUNTY","23013","23","737 UNION RD","APPLETON","ME ","04862","6602","737 UNION ROAD","APPLETON","ME ","04862","6602","2077854504","1-Regular school","44.282800","-69.259000","1132","1004","2301","Kindergarten","8th Grade","139"
"ARTHUR R. GOULD SCH--LCYDC","Maine","ARTHUR R. GOULD SCH--LCYDC","230005000377","ARTHUR R. GOULD SCH--LCYDC","2300050","CUMBERLAND COUNTY","23005","23","675 WESTBROOK ST","SOUTH PORTLAND","ME ","04106","","675 WESTBROOK STREET","SOUTH PORTLAND","ME ","04106","","2078222660","1-Regular school","43.638700","-70.308800","1854","1296","2301","8th Grade","12th Grade","29"
"ASA C ADAMS SCHOOL","Maine","ASA C ADAMS SCHOOL","231477800251","RSU 26","2314778","PENOBSCOT COUNTY","23019","23","6 GOODRIDGE DR","ORONO","ME ","04473","","6 GOODRIDGE DRIVE","ORONO","ME ","04473","","2078662151","1-Regular school","44.882500","-68.674500","1328","3171","2302","Prekindergarten","5th Grade","246"
"ASHLAND DISTRICT SCHOOL","Maine","ASHLAND DISTRICT SCHOOL","231128023125","RSU 32/MSAD 32","2311280","AROOSTOOK COUNTY","23003","23","NO PHYSICAL LOCATION AVAILABLE","ASHLAND","ME ","04732","","PO BOX 369","ASHLAND","ME ","04732","","2074353481","1-Regular school","46.627100","-68.393200","2619","1226","2302","Prekindergarten","12th Grade","277"
"ASHLEY BRYAN SCHOOL","Maine","ASHLEY BRYAN SCHOOL","230462000123","CRANBERRY ISLES PUBLIC SCHOOLS","2304620","HANCOCK COUNTY","23009","23","NO PHYSICAL LOCATION AVAILABLE","ISLESFORD","ME ","04646","","P.O. BOX 8","ISLESFORD","ME ","04646","","2072443961","1-Regular school","44.261900","-68.234300","1221","1040","2302","2nd Grade","8th Grade","12"
"ATHENS ELEMENTARY SCHOOL","Maine","ATHENS ELEMENTARY SCHOOL","231481700742","ATHENS PUBLIC SCHOOLS","2314817","SOMERSET COUNTY","23025","23","NO PHYSICAL LOCATION AVAILABLE","ATHENS","ME ","04912","","PO BOX 167","ATHENS","ME ","04912","","2076542561","1-Regular school","44.924100","-69.672500","1737","3231","2302","Prekindergarten","8th Grade","111"
"AUBURN MIDDLE SCHOOL","Maine","AUBURN MIDDLE SCHOOL","230261000907","AUBURN PUBLIC SCHOOLS","2302610","ANDROSCOGGIN COUNTY","23001","23","38 FALCON DR","AUBURN","ME ","04210","4363","38 FALCON DRIVE","AUBURN","ME ","04210","4363","2073336655","1-Regular school","44.092000","-70.250500","1144","1007","2302","7th Grade","8th Grade","521"
"BALDWIN CONSOLIDATED SCHOOL","Maine","BALDWIN CONSOLIDATED SCHOOL","231419000661","RSU 55/MSAD 55","2314190","CUMBERLAND COUNTY","23005","23","536 PEQUAWKET TRAIL","WEST BALDWIN","ME ","04091","0051","536 PEQUAWKET TRAIL","WEST BALDWIN","ME ","04091","0051","2076254076","1-Regular school","43.807600","-70.723100","1712","1249","2301","1st Grade","4th Grade","75"
"BANGOR HIGH SCHOOL","Maine","BANGOR HIGH SCHOOL","230282000047","BANGOR PUBLIC SCHOOLS","2302820","PENOBSCOT COUNTY","23019","23","885 BROADWAY","BANGOR","ME ","04401","2916","885 BROADWAY","BANGOR","ME ","04401","2916","2079925500","1-Regular school","44.829600","-68.785100","1165","1011","2302","9th Grade","12th Grade","1053"
"BATH MIDDLE SCHOOL","Maine","BATH MIDDLE SCHOOL","231477200062","RSU 01 - LKRSU","2314772","SAGADAHOC COUNTY","23023","23","6 OLD BRUNSWICK RD","BATH","ME ","04530","","6 OLD BRUNSWICK ROAD","BATH","ME ","04530","","2074438270","1-Regular school","43.920100","-69.829400","1170","3152","2301","6th Grade","8th Grade","352"
"BATH REGIONAL CAREER & TECHNICAL","Maine","BATH REGIONAL CAREER & TECHNICAL","231477200063","RSU 01 - LKRSU","2314772","SAGADAHOC COUNTY","23023","23","800 HIGH ST","BATH","ME ","04530","","800 HIGH STREET","BATH","ME ","04530","","2074438257","3-Vocational school","43.913200","-69.819600","1172","3152","2301","9th Grade","12th Grade","†"
"BAXTER ACADEMY FOR TECH & SCIENCES","Maine","BAXTER ACADEMY FOR TECH & SCIENCES","231481223141","BAXTER ACADEMY FOR TECHNOLOGY AND SCIENCE","2314812","CUMBERLAND COUNTY","23005","23","54 YORK ST","PORTLAND","ME ","04101","","54 YORK STREET","PORTLAND","ME ","04101","","2076995500","1-Regular school","43.652500","-70.257100","2665","3232","2301","9th Grade","10th Grade","125"
"BAY RIDGE ELEMENTARY","Maine","BAY RIDGE ELEMENTARY","230006501020","CUTLER PUBLIC SCHOOLS","2300065","WASHINGTON COUNTY","23029","23","2066 CUTLER RD  240","CUTLER","ME ","04626","","2066 CUTLER RD PO BOX 240","CUTLER","ME ","04626","","2072593347","1-Regular school","44.670200","-67.255700","1809","3136","2302","Prekindergarten","8th Grade","58"
"BEALS ELEMENTARY SCHOOL","Maine","BEALS ELEMENTARY SCHOOL","230295000070","BEALS PUBLIC SCHOOLS","2302950","WASHINGTON COUNTY","23029","23","24 MILL POND RD  220","BEALS","ME ","04611","0220","24 MILL POND RD PO BOX 220","BEALS","ME ","04611","0220","2074975449","1-Regular school","44.516100","-67.612500","1173","1014","2302","Prekindergarten","8th Grade","50"
"BEECH HILL SCHOOL","Maine","BEECH HILL SCHOOL","230939000257","OTIS PUBLIC SCHOOLS","2309390","HANCOCK COUNTY","23009","23","105 OTIS RD","OTIS","ME ","04605","","105 OTIS ROAD","OTIS","ME ","04605","","2075372203","1-Regular school","44.671700","-68.426800","1333","1125","2302","Prekindergarten","8th Grade","61"
