"School Name","State Name [Public School] Latest available year","School Name [Public School] 2013-14","School ID - NCES Assigned [Public School] Latest available year","Agency Name [Public School] 2013-14","Agency ID - NCES Assigned [Public School] Latest available year","County Name [Public School] 2013-14","County Number [Public School] 2013-14","ANSI/FIPS State Code [Public School] Latest available year","Location Address [Public School] 2013-14","Location City [Public School] 2013-14","Location State Abbr [Public School] 2013-14","Location ZIP [Public School] 2013-14","Location ZIP4 [Public School] 2013-14","Mailing Address [Public School] 2013-14","Mailing City [Public School] 2013-14","Mailing State Abbr [Public School] 2013-14","Mailing ZIP [Public School] 2013-14","Mailing ZIP4 [Public School] 2013-14","Phone Number [Public School] 2013-14","School Type [Public School] 2013-14","Latitude [Public School] 2013-14","Longitude [Public School] 2013-14","State School ID [Public School] 2013-14","State Agency ID [Public School] 2013-14","Congressional Code [Public School] 2013-14","Lowest Grade Offered [Public School] 2013-14","Highest Grade Offered [Public School] 2013-14","Total Students [Public School] 2013-14"
"""EDWARD """"DUKE"""" ELLINGTON @ BECKHAM""","Michigan","""EDWARD """"DUKE"""" ELLINGTON @ BECKHAM""","261200004838","DETROIT CITY SCHOOL DISTRICT","2612000","WAYNE COUNTY","26163","26","9860 PARK DR","DETROIT","MI ","48213","7102","9860 PARK DRIVE","DETROIT","MI ","48213","7102","3138528500","1-Regular school","42.408400","-82.978600","03737","82010","2614","Prekindergarten","8th Grade","697"
"12TH STREET ELEMENTARY","Michigan","12TH STREET ELEMENTARY","262895007802","PORTAGE PUBLIC SCHOOLS","2628950","KALAMAZOO COUNTY","26077","26","6501 SOUTH 12TH ST","PORTAGE","MI ","49024","1705","6501 SOUTH 12TH ST","PORTAGE","MI ","49024","1705","2693236900","1-Regular school","42.220400","-85.646600","09848","39140","2606","Prekindergarten","5th Grade","573"
"A.A. RATHER SCHOOL","Michigan","A.A. RATHER SCHOOL","261925005600","IONIA PUBLIC SCHOOLS","2619250","IONIA COUNTY","26067","26","380 EAST TUTTLE RD","IONIA","MI ","48846","8615","380 EAST TUTTLE RD","IONIA","MI ","48846","8615","6165271720","1-Regular school","42.951900","-85.066700","00001","34010","2603","Prekindergarten","5th Grade","318"
"A.C. EDGERTON ELEMENTARY SCHOOL","Michigan","A.C. EDGERTON ELEMENTARY SCHOOL","261011004497","CLIO AREA SCHOOL DISTRICT","2610110","GENESEE COUNTY","26049","26","11218 NORTH LINDEN RD","CLIO","MI ","48420","8585","11218 NORTH LINDEN RD","CLIO","MI ","48420","8585","8105917650","1-Regular school","43.168200","-83.772800","00002","25150","2605","Kindergarten","4th Grade","391"
"A.D. JOHNSTON JR/SR HIGH SCHOOL","Michigan","A.D. JOHNSTON JR/SR HIGH SCHOOL","260000603854","BESSEMER AREA SCHOOL DISTRICT","2600006","GOGEBIC COUNTY","26053","26","100 WEST LEAD ST","BESSEMER","MI ","49911","1007","100 WEST LEAD ST","BESSEMER","MI ","49911","1007","9066670413","1-Regular school","46.481700","-90.053600","00003","27010","2601","7th Grade","12th Grade","219"
"A.I.M.","Michigan","A.I.M.","260663000839","BRECKENRIDGE COMMUNITY SCHOOLS","2606630","GRATIOT COUNTY","26057","26","700 WRIGHT ST","BRECKENRIDGE","MI ","48615","9804","700 WRIGHT ST","BRECKENRIDGE","MI ","48615","9804","9898423182","4-Alternative/other school","43.414700","-84.476000","07412","29040","2604","6th Grade","12th Grade","36"
"ABBOT SCHOOL","Michigan","ABBOT SCHOOL","260282004004","ANN ARBOR PUBLIC SCHOOLS","2602820","WASHTENAW COUNTY","26161","26","2670 SEQUOIA PARKWAY","ANN ARBOR","MI ","48103","2662","2670 SEQUOIA PKWY","ANN ARBOR","MI ","48103","2662","7349941901","1-Regular school","42.294200","-83.785200","00006","81010","2612","Kindergarten","5th Grade","298"
"ABBOTT MIDDLE SCHOOL","Michigan","ABBOTT MIDDLE SCHOOL","263582007182","WEST BLOOMFIELD SCHOOL DISTRICT","2635820","OAKLAND COUNTY","26125","26","3380 ORCHARD LAKE RD","ORCHARD LAKE","MI ","48324","1635","3380 ORCHARD LAKE RD","ORCHARD LAKE","MI ","48324","1635","2488653670","1-Regular school","42.599700","-83.350200","06292","63160","2614","6th Grade","8th Grade","667"
"ABERDEEN ELEMENTARY SCHOOL","Michigan","ABERDEEN ELEMENTARY SCHOOL","261644008574","GRAND RAPIDS PUBLIC SCHOOLS","2616440","KENT COUNTY","26081","26","928 ABERDEEN ST NE","GRAND RAPIDS","MI ","49505","3817","928 ABERDEEN ST NE","GRAND RAPIDS","MI ","49505","3817","6168192868","1-Regular school","43.006200","-85.646600","02044","41010","2603","Kindergarten","8th Grade","311"
"ACADEMIC AND CAREER EDUCATION ACADEMY","Michigan","ACADEMIC AND CAREER EDUCATION ACADEMY","260033004509","ACADEMIC AND CAREER EDUCATION ACADEMY","2600330","MIDLAND COUNTY","26111","26","884 EAST ISABELLA RD","MIDLAND","MI ","48640","8326","884 EAST ISABELLA RD","MIDLAND","MI ","48640","8326","9896315202","4-Alternative/other school","43.611800","-84.335200","09696","56903","2604","9th Grade","12th Grade","115"
