"School Name","State Name [Public School] Latest available year","School Name [Public School] 2013-14","School ID - NCES Assigned [Public School] Latest available year","Agency Name [Public School] 2013-14","Agency ID - NCES Assigned [Public School] Latest available year","County Name [Public School] 2013-14","County Number [Public School] 2013-14","ANSI/FIPS State Code [Public School] Latest available year","Location Address [Public School] 2013-14","Location City [Public School] 2013-14","Location State Abbr [Public School] 2013-14","Location ZIP [Public School] 2013-14","Location ZIP4 [Public School] 2013-14","Mailing Address [Public School] 2013-14","Mailing City [Public School] 2013-14","Mailing State Abbr [Public School] 2013-14","Mailing ZIP [Public School] 2013-14","Mailing ZIP4 [Public School] 2013-14","Phone Number [Public School] 2013-14","School Type [Public School] 2013-14","Latitude [Public School] 2013-14","Longitude [Public School] 2013-14","State School ID [Public School] 2013-14","State Agency ID [Public School] 2013-14","Congressional Code [Public School] 2013-14","Lowest Grade Offered [Public School] 2013-14","Highest Grade Offered [Public School] 2013-14","Total Students [Public School] 2013-14"
"112 ALC AFTER SCHOOL & SUMMER SCH","Minnesota","112 ALC AFTER SCHOOL & SUMMER SCH","270819004415","EASTERN CARVER COUNTY PUBLIC SCHOOL","2708190","CARVER COUNTY","27019","27","11 PEAVEY RD","CHASKA","MN ","55317","2321","11 PEAVEY RD","CHASKA","MN ","55317","2321","9525566211","4-Alternative/other school","44.841700","-93.596800","010112067","010112","2703","9th Grade","12th Grade","2"
"112 ALC MIDDLE SCHOOL","Minnesota","112 ALC MIDDLE SCHOOL","270819004622","EASTERN CARVER COUNTY PUBLIC SCHOOL","2708190","CARVER COUNTY","27019","27","11 PEAVEY RD","CHASKA","MN ","55318","8888","11 PEAVEY RD","CHASKA","MN ","55318","8888","9525566211","4-Alternative/other school","44.841700","-93.596800","010112066","010112","2703","6th Grade","8th Grade","59"
"270 - HAP - IS","Minnesota","270 - HAP - IS","270002504573","INTERMEDIATE SCHOOL DISTRICT 287","2700025","HENNEPIN COUNTY","27053","27","1001 WEST HWY 7","HOPKINS","MN ","55305","8888","1001 W. HIGHWAY 7","HOPKINS","MN ","55305","8888","9529884497","4-Alternative/other school","44.934100","-93.412900","060287794","060287","2705","10th Grade","12th Grade","0"
"270 HOPKINS ALTERNATIVE","Minnesota","270 HOPKINS ALTERNATIVE","270002502875","INTERMEDIATE SCHOOL DISTRICT 287","2700025","HENNEPIN COUNTY","27053","27","2400 LINDBERGH DR","MINNETONKA","MN ","55305","8888","2400 LINDBERGH DR","MINNETONKA","MN ","55305","8888","9529884680","4-Alternative/other school","44.958300","-93.411800","060287626","060287","2703","9th Grade","12th Grade","0"
"270 HOPKINS HS IS ALC","Minnesota","270 HOPKINS HS IS ALC","270002504088","INTERMEDIATE SCHOOL DISTRICT 287","2700025","HENNEPIN COUNTY","27053","27","11000 EXCELSIOR BLVD","HOPKINS","MN ","55423","8888","11000 EXCELSIOR BLVD.","HOPKINS","MN ","55423","8888","9529886726","4-Alternative/other school","44.921000","-93.416800","060287749","060287","2705","10th Grade","12th Grade","0"
"270 HOPKINS IS","Minnesota","270 HOPKINS IS","270002503114","INTERMEDIATE SCHOOL DISTRICT 287","2700025","HENNEPIN COUNTY","27053","27","1101 WEST HWY 7.","HOPKINS","MN ","55305","8888","1101 W HWY 7.","HOPKINS","MN ","55305","8888","9529884508","4-Alternative/other school","44.924500","-93.411700","060287627","060287","2705","9th Grade","12th Grade","–"
"270 HOPKINS NORTH JR HIGH ALC","Minnesota","270 HOPKINS NORTH JR HIGH ALC","270002503397","INTERMEDIATE SCHOOL DISTRICT 287","2700025","HENNEPIN COUNTY","27053","27","10700 CEDAR LAKE RD","MINNETONKA","MN ","55305","6499","10700 CEDAR LAKE RD","MINNETONKA","MN ","55305","6499","9529884800","4-Alternative/other school","44.954600","-93.413800","060287709","060287","2703","7th Grade","12th Grade","0"
"270 HOPKINS WEST JR HIGH ALC","Minnesota","270 HOPKINS WEST JR HIGH ALC","270002503396","INTERMEDIATE SCHOOL DISTRICT 287","2700025","HENNEPIN COUNTY","27053","27","3830 BAKER RD","MINNETONKA","MN ","55305","6898","3830 BAKER RD","MINNETONKA","MN ","55305","6898","9529884400","4-Alternative/other school","44.933000","-93.449500","060287710","060287","2703","7th Grade","9th Grade","0"
"271 METRO SOUTH ABE","Minnesota","271 METRO SOUTH ABE","270579004531","BLOOMINGTON PUBLIC SCHOOL DISTRICT","2705790","HENNEPIN COUNTY","27053","27","2575 WEST 88TH ST","BLOOMINGTON","MN ","55431","8888","2575 W 88TH ST","BLOOMINGTON","MN ","55431","8888","9526816172","4-Alternative/other school","44.844400","-93.312400","010271620","010271","2703","9th Grade","12th Grade","61"
"271 METRO SOUTH ABE IS","Minnesota","271 METRO SOUTH ABE IS","270579004481","BLOOMINGTON PUBLIC SCHOOL DISTRICT","2705790","HENNEPIN COUNTY","27053","27","2575 WEST 88TH ST","BLOOMINGTON","MN ","55431","8888","2575 W 88TH ST","BLOOMINGTON","MN ","55431","8888","9526816172","4-Alternative/other school","44.844400","-93.312400","010271734","010271","2703","9th Grade","12th Grade","0"
