"School Name","State Name [Public School] Latest available year","School Name [Public School] 2013-14","School ID - NCES Assigned [Public School] Latest available year","Agency Name [Public School] 2013-14","Agency ID - NCES Assigned [Public School] Latest available year","County Name [Public School] 2013-14","County Number [Public School] 2013-14","ANSI/FIPS State Code [Public School] Latest available year","Location Address [Public School] 2013-14","Location City [Public School] 2013-14","Location State Abbr [Public School] 2013-14","Location ZIP [Public School] 2013-14","Location ZIP4 [Public School] 2013-14","Mailing Address [Public School] 2013-14","Mailing City [Public School] 2013-14","Mailing State Abbr [Public School] 2013-14","Mailing ZIP [Public School] 2013-14","Mailing ZIP4 [Public School] 2013-14","Phone Number [Public School] 2013-14","School Type [Public School] 2013-14","Latitude [Public School] 2013-14","Longitude [Public School] 2013-14","State School ID [Public School] 2013-14","State Agency ID [Public School] 2013-14","Congressional Code [Public School] 2013-14","Lowest Grade Offered [Public School] 2013-14","Highest Grade Offered [Public School] 2013-14","Total Students [Public School] 2013-14"
"1050 ADAIR CO. HIGH","Missouri","1050 ADAIR CO. HIGH","290579000125","ADAIR CO. R-II","2905790","ADAIR COUNTY","29001","29","205 WEST DEWEY","BRASHEAR","MO ","63533","2429","205 W DEWEY","BRASHEAR","MO ","63533","2429","6603235272","1-Regular school","40.149700","-92.380200","1050001092","001092","2906","7th Grade","12th Grade","96"
"5TH AND 6TH GRADE CTR.","Missouri","5TH AND 6TH GRADE CTR.","292826001741","SIKESTON R-6","2928260","SCOTT COUNTY","29201","29","100 TWITTY DR","SIKESTON","MO ","63801","3202","100 TWITTY DR","SIKESTON","MO ","63801","3202","5734710792","1-Regular school","36.875200","-89.569200","3050100063","100063","2908","5th Grade","6th Grade","525"
"6TH GRADE CENTER","Missouri","6TH GRADE CENTER","293144003207","WAYNESVILLE R-VI","2931440","PULASKI COUNTY","29169","29","810 ROOSEVELT ST","WAYNESVILLE","MO ","65583","2513","810 ROOSEVELT STREET","WAYNESVILLE","MO ","65583","2513","5734332300","1-Regular school","37.818800","-92.212500","3010085046","085046","2904","6th Grade","6th Grade","469"
"7TH AND 8TH GRADE CTR.","Missouri","7TH AND 8TH GRADE CTR.","292826001737","SIKESTON R-6","2928260","SCOTT COUNTY","29201","29","510 LINDENWOOD AVE","SIKESTON","MO ","63801","4675","510 LINDENWOOD AVE","SIKESTON","MO ","63801","4675","5734710792","1-Regular school","36.892500","-89.605300","2050100063","100063","2908","7th Grade","8th Grade","504"
"A. D. STOWELL ELEM.","Missouri","A. D. STOWELL ELEM.","291365000587","HANNIBAL 60","2913650","MARION COUNTY","29127","29","500 UNION","HANNIBAL","MO ","63401","5111","500 UNION","HANNIBAL","MO ","63401","5111","5732210980","1-Regular school","39.702900","-91.350500","4020064075","064075","2906","Prekindergarten","5th Grade","316"
"A. J. MARTIN ELEM.","Missouri","A. J. MARTIN ELEM.","291122000385","EAST PRAIRIE R-II","2911220","MISSISSIPPI COUNTY","29133","29","510 WILKINSON","EAST PRAIRIE","MO ","63845","1899","PO BOX 10","EAST PRAIRIE","MO ","63845","1899","5736493521","1-Regular school","36.778600","-89.376300","4060067055","067055","2908","3rd Grade","6th Grade","342"
"ABRAHAM MALLINSON ELEMENTARY","Missouri","ABRAHAM MALLINSON ELEMENTARY","291548003210","INDEPENDENCE 30","2915480","JACKSON COUNTY","29095","29","709 NORTH FOREST AVE","SUGAR CREEK","MO ","64054","2319","709 NORTH FOREST AVE","SUGAR CREEK","MO ","64054","2319","8165215530","1-Regular school","39.099100","-94.436000","6130048077","048077","2905","2nd Grade","5th Grade","312"
"AC PREP ELEMENTARY","Missouri","AC PREP ELEMENTARY","291640001718","KANSAS CITY 33","2916400","JACKSON COUNTY","29095","29","6410 SWOPE PARKWAY","KANSAS CITY","MO ","64132","1212","6410 SWOPE PARKWAY","KANSAS CITY","MO ","64132","1212","8164187704","1-Regular school","39.009800","-94.543300","5670048078","048078","2905","Prekindergarten","6th Grade","369"
"ACAD OF ENVT SCI/MATH ELEM","Missouri","ACAD OF ENVT SCI/MATH ELEM","292928003211","ST. LOUIS CITY","2929280","ST. LOUIS CITY","29510","29","1008 SOUTH SPRING","ST. LOUIS","MO ","63110","2513","1008 S SPRING","ST. LOUIS","MO ","63110","2513","3149321464","1-Regular school","38.626200","-90.240300","4990115115","115115","2901","Kindergarten","5th Grade","505"
"ACAD OF ENVT SCI/MATH MIDDLE","Missouri","ACAD OF ENVT SCI/MATH MIDDLE","292928003215","ST. LOUIS CITY","2929280","ST. LOUIS CITY","29510","29","1008 SOUTH SPRING","ST. LOUIS","MO ","63110","2513","1008 S SPRING","ST. LOUIS","MO ","63110","2513","3149321465","1-Regular school","38.626200","-90.240300","3250115115","115115","2901","6th Grade","8th Grade","306"
