"School Name","State Name [Public School] Latest available year","School Name [Public School] 2013-14","School ID - NCES Assigned [Public School] Latest available year","Agency Name [Public School] 2013-14","Agency ID - NCES Assigned [Public School] Latest available year","County Name [Public School] 2013-14","County Number [Public School] 2013-14","ANSI/FIPS State Code [Public School] Latest available year","Location Address [Public School] 2013-14","Location City [Public School] 2013-14","Location State Abbr [Public School] 2013-14","Location ZIP [Public School] 2013-14","Location ZIP4 [Public School] 2013-14","Mailing Address [Public School] 2013-14","Mailing City [Public School] 2013-14","Mailing State Abbr [Public School] 2013-14","Mailing ZIP [Public School] 2013-14","Mailing ZIP4 [Public School] 2013-14","Phone Number [Public School] 2013-14","School Type [Public School] 2013-14","Latitude [Public School] 2013-14","Longitude [Public School] 2013-14","State School ID [Public School] 2013-14","State Agency ID [Public School] 2013-14","Congressional Code [Public School] 2013-14","Lowest Grade Offered [Public School] 2013-14","Highest Grade Offered [Public School] 2013-14","Total Students [Public School] 2013-14"
"A W JAMES ELEM","Mississippi","A W JAMES ELEM","280420000199","SUNFLOWER CO SCHOOL DIST","2804200","SUNFLOWER COUNTY","28133","28","400 SOUTH BLVD","DREW","MS ","38737","","400 SOUTH BLVD","DREW","MS ","38737","","6017458892","1-Regular school","33.804700","-90.540200","6700010","6700","2802","Kindergarten","5th Grade","279"
"ABERDEEN ELEM","Mississippi","ABERDEEN ELEM","280036001372","ABERDEEN SCHOOL DIST","2800360","MONROE COUNTY","28095","28","508 WEST COMMERCE ST","ABERDEEN","MS ","39730","","P.O. BOX 607","ABERDEEN","MS ","39730","","6623694782","1-Regular school","33.825500","-88.548900","4820006","4820","2801","Prekindergarten","2nd Grade","415"
"ABERDEEN HIGH SCHOOL","Mississippi","ABERDEEN HIGH SCHOOL","280036000009","ABERDEEN SCHOOL DIST","2800360","MONROE COUNTY","28095","28","205 HWY 145 NORTH","ABERDEEN","MS ","39730","","P.O. BOX 607","ABERDEEN","MS ","39730","","6623698933","1-Regular school","33.831200","-88.566100","4820008","4820","2801","9th Grade","12th Grade","371"
"ACKERMAN ELEM","Mississippi","ACKERMAN ELEM","280099000110","CHOCTAW CO SCHOOL DIST","2800990","CHOCTAW COUNTY","28019","28","8475 MS HWY 15","ACKERMAN","MS ","39735","9200","8475 MS HWY 15","ACKERMAN","MS ","39735","9200","6622854052","1-Regular school","33.308600","-89.177700","1000004","1000","2801","Prekindergarten","6th Grade","507"
"AGRICOLA ELEMENTARY","Mississippi","AGRICOLA ELEMENTARY","280156000226","GEORGE CO SCHOOL DIST","2801560","GEORGE COUNTY","28039","28","6165 HWY 613S","AGRICOLA","MS ","39452","9701","6165 HWY 613S","AGRICOLA","MS ","39452","9701","6019478447","1-Regular school","30.817300","-88.519500","2000004","2000","2804","Kindergarten","6th Grade","527"
"AKIN ELEMENTARY","Mississippi","AKIN ELEMENTARY","280162000236","GREENVILLE PUBLIC SCHOOLS","2801620","WASHINGTON COUNTY","28151","28","361 BOWMAN BLVD","GREENVILLE","MS ","38701","7513","361 BOWMAN BLVD.","GREENVILLE","MS ","38701","7513","6623347161","1-Regular school","33.373900","-91.048800","7620004","7620","2802","Kindergarten","5th Grade","550"
"ALCORN ALTERNATIVE SCHOOL","Mississippi","ALCORN ALTERNATIVE SCHOOL","280039000837","ALCORN SCHOOL DIST","2800390","ALCORN COUNTY","28003","28","2101A NORMAN RD","CORINTH","MS ","38834","9310","2101A  NORMAN ROAD","CORINTH","MS ","38834","9310","6622867734","4-Alternative/other school","34.912100","-88.557700","0200092","0200","2801","5th Grade","12th Grade","–"
"ALCORN CENTRAL ELEM","Mississippi","ALCORN CENTRAL ELEM","280039001150","ALCORN SCHOOL DIST","2800390","ALCORN COUNTY","28003","28","20 CR 254","GLEN","MS ","38846","","20 CR 254","GLEN","MS ","38846","","6622866899","1-Regular school","34.903200","-88.432300","0200006","0200","2801","Kindergarten","4th Grade","445"
"ALCORN CENTRAL HI","Mississippi","ALCORN CENTRAL HI","280039000018","ALCORN SCHOOL DIST","2800390","ALCORN COUNTY","28003","28","8 CR 254","GLEN","MS ","38846","9401","8 CR 254","GLEN","MS ","38846","9401","6622868720","1-Regular school","34.902400","-88.431700","0200008","0200","2801","9th Grade","12th Grade","432"
"ALCORN CENTRAL MIDDLE","Mississippi","ALCORN CENTRAL MIDDLE","280039001188","ALCORN SCHOOL DIST","2800390","ALCORN COUNTY","28003","28","8A CR 254","GLEN","MS ","38846","9401","8A CR 254","GLEN","MS ","38846","9401","6622863674","1-Regular school","34.903900","-88.433100","0200010","0200","2801","5th Grade","8th Grade","390"
