"School Name","State Name [Public School] Latest available year","School Name [Public School] 2013-14","School ID - NCES Assigned [Public School] Latest available year","Agency Name [Public School] 2013-14","Agency ID - NCES Assigned [Public School] Latest available year","County Name [Public School] 2013-14","County Number [Public School] 2013-14","ANSI/FIPS State Code [Public School] Latest available year","Location Address [Public School] 2013-14","Location City [Public School] 2013-14","Location State Abbr [Public School] 2013-14","Location ZIP [Public School] 2013-14","Location ZIP4 [Public School] 2013-14","Mailing Address [Public School] 2013-14","Mailing City [Public School] 2013-14","Mailing State Abbr [Public School] 2013-14","Mailing ZIP [Public School] 2013-14","Mailing ZIP4 [Public School] 2013-14","Phone Number [Public School] 2013-14","School Type [Public School] 2013-14","Latitude [Public School] 2013-14","Longitude [Public School] 2013-14","State School ID [Public School] 2013-14","State Agency ID [Public School] 2013-14","Congressional Code [Public School] 2013-14","Lowest Grade Offered [Public School] 2013-14","Highest Grade Offered [Public School] 2013-14","Total Students [Public School] 2013-14"
"ABSAROKEE 7-8","Montana","ABSAROKEE 7-8","300171001063","ABSAROKEE ELEM","3001710","STILLWATER COUNTY","30095","30","327 SOUTH WOODARD AVE","ABSAROKEE","MT ","59001","","327 S WOODARD AVE","ABSAROKEE","MT ","59001","","4063284583","1-Regular school","45.513700","-109.447400","1775","0861","3000","7th Grade","8th Grade","49"
"ABSAROKEE HIGH SCHOOL","Montana","ABSAROKEE HIGH SCHOOL","300174000002","ABSAROKEE H S","3001740","STILLWATER COUNTY","30095","30","327 SOUTH WOODARD AVE","ABSAROKEE","MT ","59001","","327 S WOODARD AVE","ABSAROKEE","MT ","59001","","4063284583","1-Regular school","45.513700","-109.447400","1126","0862","3000","9th Grade","12th Grade","78"
"ABSAROKEE SCHOOL","Montana","ABSAROKEE SCHOOL","300171000001","ABSAROKEE ELEM","3001710","STILLWATER COUNTY","30095","30","327 SOUTH WOODARD AVE","ABSAROKEE","MT ","59001","","327 S WOODARD AVE","ABSAROKEE","MT ","59001","","4063284581","1-Regular school","45.513700","-109.447400","1125","0861","3000","Prekindergarten","6th Grade","128"
"ALBERTON 7-8","Montana","ALBERTON 7-8","300186001007","ALBERTON K-12 SCHOOLS","3001860","MINERAL COUNTY","30061","30","306 RAILROAD AVE","ALBERTON","MT ","59820","","PO BOX 330","ALBERTON","MT ","59820","","4067224413","1-Regular school","47.004600","-114.481500","1730","0577","3000","7th Grade","8th Grade","21"
"ALBERTON HIGH SCHOOL","Montana","ALBERTON HIGH SCHOOL","300186000004","ALBERTON K-12 SCHOOLS","3001860","MINERAL COUNTY","30061","30","306 RAILROAD AVE","ALBERTON","MT ","59820","","PO BOX 330","ALBERTON","MT ","59820","","4067223381","1-Regular school","47.004600","-114.481500","0766","0577","3000","9th Grade","12th Grade","46"
"ALBERTON SCHOOL","Montana","ALBERTON SCHOOL","300186000003","ALBERTON K-12 SCHOOLS","3001860","MINERAL COUNTY","30061","30","306 RAILROAD AVE","ALBERTON","MT ","59820","","PO BOX 330","ALBERTON","MT ","59820","","4067224413","1-Regular school","47.004600","-114.481500","0765","0577","3000","Prekindergarten","6th Grade","76"
"ALDER SCHOOL","Montana","ALDER SCHOOL","301746000541","ALDER ELEM","3017460","MADISON COUNTY","30057","30","36 UPPER RUBY RIVER RD","ALDER","MT ","59710","","PO BOX 127","ALDER","MT ","59710","","4068425285","1-Regular school","45.319700","-112.109400","0719","0536","3000","Prekindergarten","8th Grade","11"
"ALKALI CREEK SCHOOL","Montana","ALKALI CREEK SCHOOL","300387000808","BILLINGS ELEM","3003870","YELLOWSTONE COUNTY","30111","30","681 ALKALI CREEK RD","BILLINGS","MT ","59105","","415 NORTH 30TH STREET","BILLINGS","MT ","59101","","4062816200","1-Regular school","45.811200","-108.505800","1597","0965","3000","Prekindergarten","6th Grade","393"
"ALZADA SCHOOL","Montana","ALZADA SCHOOL","300195000006","ALZADA ELEM","3001950","CARTER COUNTY","30011","30","236 SPRING ST","ALZADA","MT ","59311","","BOX 8","ALZADA","MT ","59311","","4068284445","1-Regular school","45.022600","-104.414100","0132","0096","3000","Prekindergarten","8th Grade","3"
"AMSTERDAM SCHOOL","Montana","AMSTERDAM SCHOOL","300198000007","AMSTERDAM ELEM","3001980","GALLATIN COUNTY","30031","30","6360 CAMP CREEK RD","MANHATTAN","MT ","59741","","6360 CAMP CREEK ROAD","MANHATTAN","MT ","59741","","4062827216","1-Regular school","45.754200","-111.321800","0498","0376","3000","Prekindergarten","6th Grade","165"
