"School Name","State Name [Public School] Latest available year","School Name [Public School] 2013-14","School ID - NCES Assigned [Public School] Latest available year","Agency Name [Public School] 2013-14","Agency ID - NCES Assigned [Public School] Latest available year","County Name [Public School] 2013-14","County Number [Public School] 2013-14","ANSI/FIPS State Code [Public School] Latest available year","Location Address [Public School] 2013-14","Location City [Public School] 2013-14","Location State Abbr [Public School] 2013-14","Location ZIP [Public School] 2013-14","Location ZIP4 [Public School] 2013-14","Mailing Address [Public School] 2013-14","Mailing City [Public School] 2013-14","Mailing State Abbr [Public School] 2013-14","Mailing ZIP [Public School] 2013-14","Mailing ZIP4 [Public School] 2013-14","Phone Number [Public School] 2013-14","School Type [Public School] 2013-14","Latitude [Public School] 2013-14","Longitude [Public School] 2013-14","State School ID [Public School] 2013-14","State Agency ID [Public School] 2013-14","Congressional Code [Public School] 2013-14","Lowest Grade Offered [Public School] 2013-14","Highest Grade Offered [Public School] 2013-14","Total Students [Public School] 2013-14"
"A G COX MIDDLE","North Carolina","A G COX MIDDLE","370001201488","PITT COUNTY SCHOOLS","3700012","PITT COUNTY","37147","37","2657 CHURCH ST","WINTERVILLE","NC ","28590","1489","2657 CHURCH STREET","WINTERVILLE","NC ","28590","1489","2527563105","1-Regular school","35.524500","-77.401100","302","740","3703","6th Grade","8th Grade","841"
"A H SNIPES ACADEMY OF ARTS/DES","North Carolina","A H SNIPES ACADEMY OF ARTS/DES","370333001392","NEW HANOVER COUNTY SCHOOLS","3703330","NEW HANOVER COUNTY","37129","37","2150 CHESTNUT ST","WILMINGTON","NC ","28405","3250","2150 CHESTNUT STREET","WILMINGTON","NC ","28405","3250","9102516175","1-Regular school","34.239600","-77.920300","384","650","3703","Prekindergarten","5th Grade","485"
"A L BROWN HIGH","North Carolina","A L BROWN HIGH","370243001039","KANNAPOLIS CITY SCHOOLS","3702430","CABARRUS COUNTY","37025","37","415 EAST 1ST ST","KANNAPOLIS","NC ","28083","4501","415 E 1ST STREET","KANNAPOLIS","NC ","28083","4501","7049326125","1-Regular school","35.496300","-80.618600","304","132","3708","9th Grade","12th Grade","1409"
"A L STANBACK MIDDLE","North Carolina","A L STANBACK MIDDLE","370348001441","ORANGE COUNTY SCHOOLS","3703480","ORANGE COUNTY","37135","37","3700 NC 86 SOUTH","HILLSBOROUGH","NC ","27278","2032","3700 NC 86 SOUTH","HILLSBOROUGH","NC ","27278","2032","9196443200","1-Regular school","36.027100","-79.077900","304","680","3704","6th Grade","8th Grade","632"
"A T ALLEN ELEMENTARY","North Carolina","A T ALLEN ELEMENTARY","370053000208","CABARRUS COUNTY SCHOOLS","3700530","CABARRUS COUNTY","37025","37","3939 ABILENE RD","CONCORD","NC ","28025","0443","3939 ABILENE RD","CONCORD","NC ","28025","0443","7047882182","1-Regular school","35.362700","-80.513700","304","130","3708","Kindergarten","5th Grade","873"
"A.C.E. ACADEMY","North Carolina","A.C.E. ACADEMY","370037203324","A.C.E. ACADEMY","3700372","CABARRUS COUNTY","37025","37","TBD","TBD","NC ","28075","","TBD","HARRISBURG","NC ","28075","","7042589213","1-Regular school","35.308400","-80.673100","000","13C","3708","†","†","†"
"ABERDEEN ELEMENTARY","North Carolina","ABERDEEN ELEMENTARY","370309001315","MOORE COUNTY SCHOOLS","3703090","MOORE COUNTY","37125","37","503 SANDHILLS BLVD NORTH","ABERDEEN","NC ","28315","2111","503 SANDHILLS BLVD N","ABERDEEN","NC ","28315","2111","9109441124","1-Regular school","35.139700","-79.426000","308","630","3702","3rd Grade","5th Grade","315"
"ABERDEEN PRIMARY","North Carolina","ABERDEEN PRIMARY","370309001314","MOORE COUNTY SCHOOLS","3703090","MOORE COUNTY","37125","37","310 KEYSER ST","ABERDEEN","NC ","28315","3499","310 KEYSER ST","ABERDEEN","NC ","28315","3499","9109441523","1-Regular school","35.124400","-79.423100","304","630","3702","Prekindergarten","2nd Grade","320"
"ACME DELCO ELEMENTARY","North Carolina","ACME DELCO ELEMENTARY","370096000357","COLUMBUS COUNTY SCHOOLS","3700960","COLUMBUS COUNTY","37047","37","16337 OLD LAKE RD","RIEGELWOOD","NC ","28456","0704","PO BOX 704","RIEGELWOOD","NC ","28456","0704","9106552957","1-Regular school","34.347500","-78.254600","308","240","3707","Prekindergarten","5th Grade","327"
"ACME DELCO MIDDLE","North Carolina","ACME DELCO MIDDLE","370096000358","COLUMBUS COUNTY SCHOOLS","3700960","COLUMBUS COUNTY","37047","37","26133 ANDREW JACKSON HWY","DELCO","NC ","28436","0040","PO BOX 40","DELCO","NC ","28436","0040","9106553200","1-Regular school","34.315800","-78.216400","304","240","3707","6th Grade","8th Grade","155"
"ADAMS ELEMENTARY","North Carolina","ADAMS ELEMENTARY","370472001826","WAKE COUNTY SCHOOLS","3704720","WAKE COUNTY","37183","37","805 CARY TOWNE BLVD","CARY","NC ","27511","4255","805 CARY TOWNE BLVD","CARY","NC ","27511","4255","9194603431","1-Regular school","35.776900","-78.762200","304","920","3702","Prekindergarten","5th Grade","780"
"AHOSKIE ELEMENTARY","North Carolina","AHOSKIE ELEMENTARY","370216000931","HERTFORD COUNTY SCHOOLS","3702160","HERTFORD COUNTY","37091","37","200 NORTH TALMAGE ST","AHOSKIE","NC ","27910","2546","200 N TALMAGE ST","AHOSKIE","NC ","27910","2546","2523322588","1-Regular school","36.291600","-76.994800","308","460","3701","4th Grade","6th Grade","531"
"ALAMANCE ELEMENTARY","North Carolina","ALAMANCE ELEMENTARY","370192000814","GUILFORD COUNTY SCHOOLS","3701920","GUILFORD COUNTY","37081","37","3600 WILLIAMS DAIRY RD","GREENSBORO","NC ","27406","9632","3600 WILLIAMS DAIRY ROAD","GREENSBORO","NC ","27406","9632","3366973177","1-Regular school","36.014800","-79.708800","304","410","3706","Prekindergarten","5th Grade","821"
"ALAMANCE-BURLINGTON MIDDLE COLLEGE","North Carolina","ALAMANCE-BURLINGTON MIDDLE COLLEGE","370003002972","ALAMANCE-BURLINGTON SCHOOLS","3700030","ALAMANCE COUNTY","37001","37","1247 JIMMIE KERR RD","GRAHAM","NC ","27253","","PO BOX 8000","GRAHAM","NC ","27253","","3365064001","1-Regular school","36.066500","-79.357700","303","010","3706","9th Grade","12th Grade","74"
"ALBEMARLE HIGH","North Carolina","ALBEMARLE HIGH","370432000022","STANLY COUNTY SCHOOLS","3704320","STANLY COUNTY","37167","37","311 PARK RIDGE RD","ALBEMARLE","NC ","28001","2818","311 PARK RIDGE ROAD","ALBEMARLE","NC ","28001","2818","7049613000","1-Regular school","35.371300","-80.193200","302","840","3708","9th Grade","12th Grade","433"
