"School Name","State Name [Public School] Latest available year","School Name [Public School] 2013-14","School ID - NCES Assigned [Public School] Latest available year","Agency Name [Public School] 2013-14","Agency ID - NCES Assigned [Public School] Latest available year","County Name [Public School] 2013-14","County Number [Public School] 2013-14","ANSI/FIPS State Code [Public School] Latest available year","Location Address [Public School] 2013-14","Location City [Public School] 2013-14","Location State Abbr [Public School] 2013-14","Location ZIP [Public School] 2013-14","Location ZIP4 [Public School] 2013-14","Mailing Address [Public School] 2013-14","Mailing City [Public School] 2013-14","Mailing State Abbr [Public School] 2013-14","Mailing ZIP [Public School] 2013-14","Mailing ZIP4 [Public School] 2013-14","Phone Number [Public School] 2013-14","School Type [Public School] 2013-14","Latitude [Public School] 2013-14","Longitude [Public School] 2013-14","State School ID [Public School] 2013-14","State Agency ID [Public School] 2013-14","Congressional Code [Public School] 2013-14","Lowest Grade Offered [Public School] 2013-14","Highest Grade Offered [Public School] 2013-14","Total Students [Public School] 2013-14"
"A L HAGEN JUNIOR HIGH SCHOOL","North Dakota","A L HAGEN JUNIOR HIGH SCHOOL","380003800131","DICKINSON 1","3800038","STARK COUNTY","38089","38","402 4TH ST WEST","DICKINSON","ND ","58601","4951","444 4TH ST W","DICKINSON","ND ","58601","4951","7014560020","1-Regular school","46.883500","-102.791300","00102","45001","3800","7th Grade","8th Grade","456"
"ALEXANDER ELEMENTARY SCHOOL","North Dakota","ALEXANDER ELEMENTARY SCHOOL","380176000003","ALEXANDER 2","3801760","MCKENZIE COUNTY","38053","38","601 DELANEY ST","ALEXANDER","ND ","58831","0066","PO BOX 66","ALEXANDER","ND ","58831","0066","7018283334","1-Regular school","47.842500","-103.638300","03151","27002","3800","Prekindergarten","6th Grade","106"
"ALEXANDER HIGH SCHOOL","North Dakota","ALEXANDER HIGH SCHOOL","380176000004","ALEXANDER 2","3801760","MCKENZIE COUNTY","38053","38","601 DELANEY ST","ALEXANDER","ND ","58831","0066","PO BOX 66","ALEXANDER","ND ","58831","0066","7018283334","1-Regular school","47.842500","-103.638300","03153","27002","3800","7th Grade","12th Grade","55"
"AMIDON ELEMENTARY SCHOOL","North Dakota","AMIDON ELEMENTARY SCHOOL","380003700101","CENTRAL ELEM 32","3800037","SLOPE COUNTY","38087","38","106 COURT AVE","AMIDON","ND ","58620","0448","PO BOX MM","AMIDON","ND ","58620","0448","7018796231","1-Regular school","46.483200","-103.325600","03731","44032","3800","Kindergarten","8th Grade","8"
"ANAMOOSE ELEMENTARY SCHOOL","North Dakota","ANAMOOSE ELEMENTARY SCHOOL","380195000007","ANAMOOSE 14","3801950","MCHENRY COUNTY","38049","38","706 3RD ST WEST","ANAMOOSE","ND ","58710","4109","706 3RD ST W","ANAMOOSE","ND ","58710","4109","7014653258","1-Regular school","47.883100","-100.245200","03891","25014","3800","Prekindergarten","6th Grade","101"
"APPLE CREEK ELEMENTARY SCHOOL","North Dakota","APPLE CREEK ELEMENTARY SCHOOL","380201400012","APPLE CREEK 39","3802014","BURLEIGH COUNTY","38015","38","2000 93RD ST SE","BISMARCK","ND ","58504","3907","2000 93RD ST SE","BISMARCK","ND ","58504","3907","7012237349","1-Regular school","46.784100","-100.647700","04861","08039","3800","Prekindergarten","6th Grade","56"
"ASHLEY ELEMENTARY SCHOOL","North Dakota","ASHLEY ELEMENTARY SCHOOL","380217000013","ASHLEY 9","3802170","MCINTOSH COUNTY","38051","38","703 WEST MAIN ST","ASHLEY","ND ","58413","7130","703 W MAIN ST","ASHLEY","ND ","58413","7130","7012883456","1-Regular school","46.033700","-99.380800","05391","26009","3800","Prekindergarten","6th Grade","70"
"ASHLEY HIGH SCHOOL","North Dakota","ASHLEY HIGH SCHOOL","380217000014","ASHLEY 9","3802170","MCINTOSH COUNTY","38051","38","703 WEST MAIN ST","ASHLEY","ND ","58413","7130","703 W MAIN ST","ASHLEY","ND ","58413","7130","7012883456","1-Regular school","46.033700","-99.380800","05393","26009","3800","7th Grade","12th Grade","64"
"AURORA ELEMENTARY SCHOOL","North Dakota","AURORA ELEMENTARY SCHOOL","381941000830","WEST FARGO 6","3819410","CASS COUNTY","38017","38","3420 9TH ST WEST","WEST FARGO","ND ","58078","7761","3420 9TH ST W","WEST FARGO","ND ","58078","7761","7013562130","1-Regular school","46.828900","-96.916000","05451","09006","3800","1st Grade","5th Grade","486"
"BAKKER ELEMENTARY SCHOOL","North Dakota","BAKKER ELEMENTARY SCHOOL","380224000016","BAKKER 10","3802240","EMMONS COUNTY","38029","38","880 96TH ST SE","HAGUE","ND ","58542","9327","880 96TH ST SE","HAGUE","ND ","58542","9327","7013367284","1-Regular school","46.029000","-100.192200","07721","15010","3800","Kindergarten","8th Grade","5"
