"School Name","State Name [Public School] Latest available year","School Name [Public School] 2013-14","School ID - NCES Assigned [Public School] Latest available year","Agency Name [Public School] 2013-14","Agency ID - NCES Assigned [Public School] Latest available year","County Name [Public School] 2013-14","County Number [Public School] 2013-14","ANSI/FIPS State Code [Public School] Latest available year","Location Address [Public School] 2013-14","Location City [Public School] 2013-14","Location State Abbr [Public School] 2013-14","Location ZIP [Public School] 2013-14","Location ZIP4 [Public School] 2013-14","Mailing Address [Public School] 2013-14","Mailing City [Public School] 2013-14","Mailing State Abbr [Public School] 2013-14","Mailing ZIP [Public School] 2013-14","Mailing ZIP4 [Public School] 2013-14","Phone Number [Public School] 2013-14","School Type [Public School] 2013-14","Latitude [Public School] 2013-14","Longitude [Public School] 2013-14","State School ID [Public School] 2013-14","State Agency ID [Public School] 2013-14","Congressional Code [Public School] 2013-14","Lowest Grade Offered [Public School] 2013-14","Highest Grade Offered [Public School] 2013-14","Total Students [Public School] 2013-14"
"1R ELEMENTARY","Nebraska","1R ELEMENTARY","317458000209","NORTHWEST PUBLIC SCHOOLS","3174580","HALL COUNTY","31079","31","3301 WEST ONER RD","GRAND ISLAND","NE ","68803","9331","3301 W ONE-R ROAD","GRAND ISLAND","NE ","68803","9331","3083856352","1-Regular school","41.003000","-98.379900","400082003","400082000","3103","Prekindergarten","8th Grade","173"
"ABC PRESCHOOL","Nebraska","ABC PRESCHOOL","310282002230","BOONE CENTRAL SCHOOLS","3102820","BOONE COUNTY","31011","31","605 SOUTH 6TH ST","ALBION","NE ","68620","0391","605 S 6TH STREET","ALBION","NE ","68620","0391","4023952134","1-Regular school","41.687700","-98.003900","060001006","060001000","3103","Prekindergarten","Prekindergarten","40"
"ACCELERE","Nebraska","ACCELERE","317482002255","OMAHA PUBLIC SCHOOLS","3174820","DOUGLAS COUNTY","31055","31","2606 HAMILTON ST","OMAHA","NE ","68131","1640","2606 HAMILTON ST","OMAHA","NE ","68131","1640","4028981568","4-Alternative/other school","41.273100","-95.950000","280001217","280001000","3102","†","†","†"
"ACKERMAN ELEMENTARY SCHOOL","Nebraska","ACKERMAN ELEMENTARY SCHOOL","317374001834","MILLARD PUBLIC SCHOOLS","3173740","DOUGLAS COUNTY","31055","31","5110 SOUTH 156TH ST","OMAHA","NE ","68135","1008","5110 S 156TH ST","OMAHA","NE ","68135","1008","4027158420","1-Regular school","41.206200","-96.159500","280017024","280017000","3102","Prekindergarten","5th Grade","467"
"ADAMS CENTRAL JR-SR HIGH SCH","Nebraska","ADAMS CENTRAL JR-SR HIGH SCH","310277000003","ADAMS CENTRAL PUBLIC SCHOOLS","3102770","ADAMS COUNTY","31001","31","1090 SOUTH ADAMS RD","HASTINGS","NE ","68901","1088","1090 S ADAMS RD","HASTINGS","NE ","68902","1088","4024633285","1-Regular school","40.569500","-98.460300","010090001","010090000","3103","7th Grade","12th Grade","454"
"ADAMS CO EARLY LEARNING CNTR","Nebraska","ADAMS CO EARLY LEARNING CNTR","318009000196","EDUCATIONAL SERVICE UNIT 09","3180090","ADAMS COUNTY","31001","31","123 MARIAN RD","HASTINGS","NE ","68901","4673","123 MARIAN RD","HASTINGS","NE ","68902","2047","4024624187","1-Regular school","40.584200","-98.422600","000009015","000009000","3103","Prekindergarten","Prekindergarten","–"
"ADAMS ELEM SCHOOL","Nebraska","ADAMS ELEM SCHOOL","317482001348","OMAHA PUBLIC SCHOOLS","3174820","DOUGLAS COUNTY","31055","31","3420 NORTH 78TH ST","OMAHA","NE ","68134","5099","3420 N 78TH ST","OMAHA","NE ","68134","5099","4025729072","1-Regular school","41.290700","-96.034500","280001055","280001000","3102","Prekindergarten","6th Grade","316"
"ADAMS ELEMENTARY SCHOOL","Nebraska","ADAMS ELEMENTARY SCHOOL","317284002211","LINCOLN PUBLIC SCHOOLS","3172840","LANCASTER COUNTY","31109","31","7401 JACOBS CREEK DR","LINCOLN","NE ","68512","9548","7401 JACOBS CREEK DRIVE","LINCOLN","NE ","68512","9548","4024361121","1-Regular school","40.735000","-96.688900","550001076","550001000","3101","Prekindergarten","5th Grade","758"
"ADAMS MIDDLE SCHOOL","Nebraska","ADAMS MIDDLE SCHOOL","310002201321","NORTH PLATTE PUBLIC SCHOOLS","3100022","LINCOLN COUNTY","31111","31","1200 SOUTH MC DONALD RD","NORTH PLATTE","NE ","69103","1557","1200 S MC DONALD RD","NORTH PLATTE","NE ","69101","1557","3085357112","1-Regular school","41.123300","-100.780700","560001002","560001000","3103","6th Grade","8th Grade","672"
"AINSWORTH ELEMENTARY SCHOOL","Nebraska","AINSWORTH ELEMENTARY SCHOOL","310279000005","AINSWORTH COMMUNITY SCHOOLS","3102790","BROWN COUNTY","31017","31","520 EAST 2ND ST","AINSWORTH","NE ","69210","0065","520 E 2ND ST","AINSWORTH","NE ","69210","0065","4023872083","1-Regular school","42.547200","-99.855400","090010002","090010000","3103","Prekindergarten","4th Grade","150"
"AINSWORTH HIGH SCHOOL","Nebraska","AINSWORTH HIGH SCHOOL","310279000006","AINSWORTH COMMUNITY SCHOOLS","3102790","BROWN COUNTY","31017","31","520 EAST 2ND ST","AINSWORTH","NE ","69210","0065","520 E 2ND ST","AINSWORTH","NE ","69210","0065","4023872082","1-Regular school","42.547200","-99.855400","090010001","090010000","3103","9th Grade","12th Grade","157"
"AINSWORTH LITTLE PAWS PRESCHOOL","Nebraska","AINSWORTH LITTLE PAWS PRESCHOOL","310279002242","AINSWORTH COMMUNITY SCHOOLS","3102790","BROWN COUNTY","31017","31","119 NORTH MAIN","AINSWORTH","NE ","69210","1357","119 NORTH MAIN","AINSWORTH","NE ","69210","1357","4023871035","1-Regular school","42.545900","-99.862500","090010011","090010000","3103","Prekindergarten","Prekindergarten","41"
"AINSWORTH MIDDLE SCHOOL","Nebraska","AINSWORTH MIDDLE SCHOOL","310279000202","AINSWORTH COMMUNITY SCHOOLS","3102790","BROWN COUNTY","31017","31","520 EAST 2ND ST","AINSWORTH","NE ","69210","0065","520 E 2ND ST","AINSWORTH","NE ","69210","0065","4023872082","1-Regular school","42.547200","-99.855400","090010003","090010000","3103","5th Grade","8th Grade","133"
"ALCOTT ELEMENTARY SCHOOL","Nebraska","ALCOTT ELEMENTARY SCHOOL","317158001050","HASTINGS PUBLIC SCHOOLS","3171580","ADAMS COUNTY","31001","31","313 NORTH CEDAR","HASTINGS","NE ","68901","5399","313 N CEDAR","HASTINGS","NE ","68901","5399","4024617580","1-Regular school","40.582000","-98.374200","010018003","010018000","3103","Prekindergarten","5th Grade","289"
"ALDRICH ELEMENTARY","Nebraska","ALDRICH ELEMENTARY","317374000244","MILLARD PUBLIC SCHOOLS","3173740","DOUGLAS COUNTY","31055","31","506 NORTH 162 AVE","OMAHA","NE ","68118","2529","506 N 162 AVE","OMAHA","NE ","68118","2529","4027152020","1-Regular school","41.264300","-96.169600","280017031","280017000","3102","Prekindergarten","5th Grade","471"
"ALEGENT/IMMANUEL RTC","Nebraska","ALEGENT/IMMANUEL RTC","310018102199","ALEGENT/IMMANUEL RTC","3100181","DOUGLAS COUNTY","31055","31","6845 NORTH 68TH PLAZA","OMAHA","NE ","68122","1709","6901 N 72ND STREET","OMAHA","NE ","68122","1709","4025722040","4-Alternative/other school","41.320500","-96.016200","284015001","284015000","3102","†","†","†"
"ALFONZA W DAVIS MIDDLE SCHOOL","Nebraska","ALFONZA W DAVIS MIDDLE SCHOOL","317482002278","OMAHA PUBLIC SCHOOLS","3174820","DOUGLAS COUNTY","31055","31","8050 NORTH 129TH AVE","OMAHA","NE ","68142","1804","8050 N 129TH AVENUE","OMAHA","NE ","68142","1804","4025616130","1-Regular school","41.333900","-96.117500","280001225","280001000","3102","6th Grade","7th Grade","376"
"ALICE BUFFETT MAGNET ELEM SCH","Nebraska","ALICE BUFFETT MAGNET ELEM SCH","317482001434","OMAHA PUBLIC SCHOOLS","3174820","DOUGLAS COUNTY","31055","31","14101 LARIMORE AVE","OMAHA","NE ","68164","5135","14101 LARIMORE AVENUE","OMAHA","NE ","68164","5135","4025616160","1-Regular school","41.301300","-96.135800","280001024","280001000","3102","5th Grade","6th Grade","571"
"ALICE BUFFETT MAGNET MS","Nebraska","ALICE BUFFETT MAGNET MS","317482001431","OMAHA PUBLIC SCHOOLS","3174820","DOUGLAS COUNTY","31055","31","14101 LARIMORE AVE","OMAHA","NE ","68164","5135","14101 LARIMORE AVENUE","OMAHA","NE ","68164","5135","4025616160","1-Regular school","41.301100","-96.135700","280001022","280001000","3102","7th Grade","8th Grade","726"
"ALLEN ELEMENTARY SCHOOL","Nebraska","ALLEN ELEMENTARY SCHOOL","310288000009","ALLEN CONSOLIDATED SCHOOLS","3102880","DIXON COUNTY","31051","31","126 EAST 5TH","ALLEN","NE ","68710","0190","126 E 5TH","ALLEN","NE ","68710","0190","4026352484","1-Regular school","42.412600","-96.843400","260070002","260070000","3103","Prekindergarten","6th Grade","102"
"ALLEN HIGH SCHOOL","Nebraska","ALLEN HIGH SCHOOL","310288000010","ALLEN CONSOLIDATED SCHOOLS","3102880","DIXON COUNTY","31051","31","126 EAST 5TH","ALLEN","NE ","68710","0190","126 E 5TH","ALLEN","NE ","68710","0190","4026352484","1-Regular school","42.412600","-96.843400","260070001","260070000","3103","7th Grade","12th Grade","117"
"ALLIANCE EARLY CHILD ED PROG","Nebraska","ALLIANCE EARLY CHILD ED PROG","310291001854","ALLIANCE PUBLIC SCHOOLS","3102910","BOX BUTTE COUNTY","31013","31","212 EAST 24TH ST","ALLIANCE","NE ","69301","2134","1604 SWEETWATER","ALLIANCE","NE ","69301","2668","3087624425","2-Special education school","42.118500","-102.869500","070006006","070006000","3103","Prekindergarten","Prekindergarten","61"
"ALLIANCE HIGH SCHOOL","Nebraska","ALLIANCE HIGH SCHOOL","310291000011","ALLIANCE PUBLIC SCHOOLS","3102910","BOX BUTTE COUNTY","31013","31","1450 BOX BUTTE","ALLIANCE","NE ","69301","2668","1604 SWEETWATER","ALLIANCE","NE ","69301","2668","3087623359","1-Regular school","42.107800","-102.871200","070006001","070006000","3103","9th Grade","12th Grade","492"
"ALLIANCE MIDDLE SCHOOL","Nebraska","ALLIANCE MIDDLE SCHOOL","310291000012","ALLIANCE PUBLIC SCHOOLS","3102910","BOX BUTTE COUNTY","31013","31","11TH AND LARAMIE","ALLIANCE","NE ","69301","2668","1604 SWEETWATER","ALLIANCE","NE ","69301","2668","3087623079","1-Regular school","42.106100","-102.871900","070006002","070006000","3103","5th Grade","8th Grade","475"
"ALMA ELEMENTARY AT ALMA","Nebraska","ALMA ELEMENTARY AT ALMA","310008000016","ALMA PUBLIC SCHOOLS","3100080","HARLAN COUNTY","31083","31","515 JEWELL","ALMA","NE ","68920","0170","515 JEWELL","ALMA","NE ","68920","0170","3089282131","1-Regular school","40.103300","-99.361200","420002002","420002000","3103","Prekindergarten","6th Grade","159"
"ALMA HIGH SCHOOL","Nebraska","ALMA HIGH SCHOOL","310008000017","ALMA PUBLIC SCHOOLS","3100080","HARLAN COUNTY","31083","31","515 JEWELL","ALMA","NE ","68920","0170","515 JEWELL","ALMA","NE ","68920","0170","3089282131","1-Regular school","40.103300","-99.361200","420002001","420002000","3103","7th Grade","12th Grade","128"
"ALTERNATIVES ACADEMY/JOURNEYS","Nebraska","ALTERNATIVES ACADEMY/JOURNEYS","310017302012","ALTERNATIVES ACADEMY/JOURNEYS","3100173","DOUGLAS COUNTY","31055","31","11111 M ST","OMAHA","NE ","68137","1700","11111 M STREET","OMAHA","NE ","68137","1700","4029394696","4-Alternative/other school","41.211000","-96.087300","284011001","284011000","3102","†","†","†"
"ALTERNATIVES FOR SUCCESS SCH","Nebraska","ALTERNATIVES FOR SUCCESS SCH","317443001040","NORFOLK PUBLIC SCHOOLS","3174430","MADISON COUNTY","31119","31","1122 SOUTH 13TH ST","NORFOLK","NE ","68702","0139","1122 S 13TH ST","NORFOLK","NE ","68702","0139","4028443515","4-Alternative/other school","42.019700","-97.426100","590002016","590002000","3101","†","†","†"
