"School Name","State Name [Public School] Latest available year","School Name [Public School] 2013-14","School ID - NCES Assigned [Public School] Latest available year","Agency Name [Public School] 2013-14","Agency ID - NCES Assigned [Public School] Latest available year","County Name [Public School] 2013-14","County Number [Public School] 2013-14","ANSI/FIPS State Code [Public School] Latest available year","Location Address [Public School] 2013-14","Location City [Public School] 2013-14","Location State Abbr [Public School] 2013-14","Location ZIP [Public School] 2013-14","Location ZIP4 [Public School] 2013-14","Mailing Address [Public School] 2013-14","Mailing City [Public School] 2013-14","Mailing State Abbr [Public School] 2013-14","Mailing ZIP [Public School] 2013-14","Mailing ZIP4 [Public School] 2013-14","Phone Number [Public School] 2013-14","School Type [Public School] 2013-14","Latitude [Public School] 2013-14","Longitude [Public School] 2013-14","State School ID [Public School] 2013-14","State Agency ID [Public School] 2013-14","Congressional Code [Public School] 2013-14","Lowest Grade Offered [Public School] 2013-14","Highest Grade Offered [Public School] 2013-14","Total Students [Public School] 2013-14"
"A. CROSBY KENNETT MIDDLE SCHOOL","New Hampshire","A. CROSBY KENNETT MIDDLE SCHOOL","330249000043","CONWAY SCHOOL DISTRICT","3302490","CARROLL COUNTY","33003","33","176 MAIN ST","CONWAY","NH ","03818","6164","176 MAIN ST.","CONWAY","NH ","03818","6164","6034476364","1-Regular school","43.979700","-71.125800","10911311327010","113","3301","7th Grade","8th Grade","296"
"ABBOT-DOWNING SCHOOL","New Hampshire","ABBOT-DOWNING SCHOOL","330246000054","CONCORD SCHOOL DISTRICT","3302460","MERRIMACK COUNTY","33013","33","152 SOUTH ST","CONCORD","NH ","03301","2705","152 SOUTH ST.","CONCORD","NH ","03301","2705","6032250827","1-Regular school","43.188400","-71.542400","60811111120240","111","3302","Kindergarten","5th Grade","428"
"ACADEMY FOR SCIENCE AND DESIGN CHARTER (H)","New Hampshire","ACADEMY FOR SCIENCE AND DESIGN CHARTER (H)","330004000684","ACADEMY FOR SCIENCE AND DESIGN CHARTER SCHOOL","3300040","HILLSBOROUGH COUNTY","33011","33","486 AMHERST ST","NASHUA","NH ","03063","1282","486 AMHERST STREET","NASHUA","NH ","03063","1282","6035954705","1-Regular school","42.792200","-71.521700","672572528615","725","3302","9th Grade","12th Grade","142"
"ACADEMY FOR SCIENCE AND DESIGN CHARTER (M)","New Hampshire","ACADEMY FOR SCIENCE AND DESIGN CHARTER (M)","330004000678","ACADEMY FOR SCIENCE AND DESIGN CHARTER SCHOOL","3300040","HILLSBOROUGH COUNTY","33011","33","486 AMHERST ST","NASHUA","NH ","03063","1282","486 AMHERST STREET","NASHUA","NH ","03063","1282","6035954705","1-Regular school","42.792200","-71.521700","672572528580","725","3302","6th Grade","8th Grade","305"
"ACWORTH ELEMENTARY SCHOOL","New Hampshire","ACWORTH ELEMENTARY SCHOOL","330299000112","FALL MOUNTAIN REGIONAL SCHOOL DISTRICT","3302990","SULLIVAN COUNTY","33019","33","TURKEY SHOOT RD","ACWORTH","NH ","03601","0069","PO BOX 69","ACWORTH","NH ","03601","0069","6038352270","1-Regular school","43.217200","-72.292700","96017400322960","174","3302","1st Grade","4th Grade","21"
"ADELINE C. MARSTON SCHOOL","New Hampshire","ADELINE C. MARSTON SCHOOL","330351000470","HAMPTON SCHOOL DISTRICT","3303510","ROCKINGHAM COUNTY","33015","33","4 MARSTON WAY","HAMPTON","NH ","03842","2055","4 MARSTON WAY","HAMPTON","NH ","03842","2055","6039268708","1-Regular school","42.940400","-70.827100","72122522520795","225","3301","3rd Grade","5th Grade","419"
"ALLENSTOWN ELEMENTARY SCHOOL","New Hampshire","ALLENSTOWN ELEMENTARY SCHOOL","330138000001","ALLENSTOWN SCHOOL DISTRICT","3301380","MERRIMACK COUNTY","33013","33","30 SOUTH MAIN ST","ALLENSTOWN","NH ","03275","2197","30 S. MAIN ST.","ALLENSTOWN","NH ","03275","2197","6034859574","1-Regular school","43.124800","-71.459800","65300900922580","009","3302","Kindergarten","5th Grade","253"
"ALSTEAD PRIMARY SCHOOL","New Hampshire","ALSTEAD PRIMARY SCHOOL","330299000113","FALL MOUNTAIN REGIONAL SCHOOL DISTRICT","3302990","CHESHIRE COUNTY","33005","33","58 MECHANIC ST","ALSTEAD","NH ","03602","0098","PO BOX 670","ALSTEAD","NH ","03602","0098","6038352482","1-Regular school","43.149500","-72.356400","26017401122965","174","3302","Prekindergarten","4th Grade","116"
"ALTON CENTRAL SCHOOL (ELEM)","New Hampshire","ALTON CENTRAL SCHOOL (ELEM)","330144000003","ALTON SCHOOL DISTRICT","3301440","BELKNAP COUNTY","33001","33","41 SCHOOL ST","ALTON","NH ","03809","0910","PO BOX 910","ALTON","NH ","03809","0910","6038757500","1-Regular school","43.452500","-71.221700","07201501522480","015","3301","Prekindergarten","8th Grade","536"
"ALVIRNE HIGH SCHOOL","New Hampshire","ALVIRNE HIGH SCHOOL","330393000179","HUDSON SCHOOL DISTRICT","3303930","HILLSBOROUGH COUNTY","33011","33","200 DERRY RD","HUDSON","NH ","03051","3320","200 DERRY RD.","HUDSON","NH ","03051","3320","6038861260","1-Regular school","42.794300","-71.438200","58126726721050","267","3302","9th Grade","12th Grade","1392"
"AMHERST MIDDLE SCHOOL","New Hampshire","AMHERST MIDDLE SCHOOL","330147000007","AMHERST SCHOOL DISTRICT","3301470","HILLSBOROUGH COUNTY","33011","33","CROSS RD","AMHERST","NH ","03031","0966","PO BOX 966","AMHERST","NH ","03031","0966","6036738944","1-Regular school","42.824300","-71.577200","53901701721745","017","3302","5th Grade","8th Grade","684"
"AMHERST STREET SCHOOL","New Hampshire","AMHERST STREET SCHOOL","330498000310","NASHUA SCHOOL DISTRICT","3304980","HILLSBOROUGH COUNTY","33011","33","71 AMHERST ST","NASHUA","NH ","03064","2597","71 AMHERST ST.","NASHUA","NH ","03064","2597","6035944385","1-Regular school","42.768800","-71.475500","54237137121940","371","3302","Kindergarten","5th Grade","323"
"ANDOVER ELEMENTARY SCHOOL","New Hampshire","ANDOVER ELEMENTARY SCHOOL","330150000008","ANDOVER SCHOOL DISTRICT","3301500","MERRIMACK COUNTY","33013","33","20 SCHOOL ST","ANDOVER","NH ","03216","3651","20 SCHOOL ST.","ANDOVER","NH ","03216","3651","6037355494","1-Regular school","43.434700","-71.821900","64601901922130","019","3302","Kindergarten","8th Grade","237"
"ANTRIM ELEMENTARY SCHOOL","New Hampshire","ANTRIM ELEMENTARY SCHOOL","330248000065","CONTOOCOOK VALLEY SCHOOL DISTRICT","3302480","HILLSBOROUGH COUNTY","33011","33","10 SCHOOL ST","ANTRIM","NH ","03440","3607","10 SCHOOL ST.","ANTRIM","NH ","03440","3607","6035886371","1-Regular school","43.029100","-71.943000","50111202122215","112","3302","Prekindergarten","4th Grade","155"
"ARMAND R. DUPONT SCHOOL","New Hampshire","ARMAND R. DUPONT SCHOOL","330138000002","ALLENSTOWN SCHOOL DISTRICT","3301380","MERRIMACK COUNTY","33013","33","10 1/2 SCHOOL ST","ALLENSTOWN","NH ","03275","1998","10 1/2 SCHOOL ST.","ALLENSTOWN","NH ","03275","1998","6034854474","1-Regular school","43.127200","-71.453200","65300900922575","009","3302","6th Grade","8th Grade","137"
"ASHLAND ELEMENTARY SCHOOL","New Hampshire","ASHLAND ELEMENTARY SCHOOL","330156000010","ASHLAND SCHOOL DISTRICT","3301560","GRAFTON COUNTY","33009","33","16 EDUCATION DR","ASHLAND","NH ","03217","4210","16 EDUCATION DR.","ASHLAND","NH ","03217","4210","6039687622","1-Regular school","43.696600","-71.634500","40202302320010","023","3302","Kindergarten","8th Grade","165"
"ATKINSON ACADEMY","New Hampshire","ATKINSON ACADEMY","330672000434","TIMBERLANE REGIONAL SCHOOL DISTRICT","3306720","ROCKINGHAM COUNTY","33015","33","17 ACADEMY AVE","ATKINSON","NH ","03811","2298","17 ACADEMY AVE.","ATKINSON","NH ","03811","2298","6033625521","1-Regular school","42.839400","-71.145400","75553402722740","534","3302","Prekindergarten","5th Grade","370"
"AUBURN VILLAGE SCHOOL","New Hampshire","AUBURN VILLAGE SCHOOL","330159000011","AUBURN SCHOOL DISTRICT","3301590","ROCKINGHAM COUNTY","33015","33","11 EATON HILL RD","AUBURN","NH ","03032","1228","11 EATON HILL RD.","AUBURN","NH ","03032","1228","6034832769","1-Regular school","43.006500","-71.347100","71502902920530","029","3301","Kindergarten","8th Grade","566"
"BAKERSVILLE SCHOOL","New Hampshire","BAKERSVILLE SCHOOL","330459000240","MANCHESTER SCHOOL DISTRICT","3304590","HILLSBOROUGH COUNTY","33011","33","20 ELM ST","MANCHESTER","NH ","03101","2702","20 ELM ST.","MANCHESTER","NH ","03101","2702","6036246312","1-Regular school","42.974000","-71.463600","53733533521545","335","3301","Prekindergarten","5th Grade","389"
"BARNSTEAD ELEMENTARY SCHOOL","New Hampshire","BARNSTEAD ELEMENTARY SCHOOL","330162000012","BARNSTEAD SCHOOL DISTRICT","3301620","BELKNAP COUNTY","33001","33","91 MAPLE ST","CTR. BARNSTEAD","NH ","03225","0289","PO BOX 289","CTR. BARNSTEAD","NH ","03225","0289","6032695161","1-Regular school","43.348500","-71.263300","08603103122485","031","3301","Prekindergarten","8th Grade","497"
"BARRINGTON ELEMENTARY SCHOOL","New Hampshire","BARRINGTON ELEMENTARY SCHOOL","330165000013","BARRINGTON SCHOOL DISTRICT","3301650","STRAFFORD COUNTY","33017","33","570 CALEF HWY","BARRINGTON","NH ","03825","3630","570 CALEF HIGHWAY","BARRINGTON","NH ","03825","3630","6036642641","1-Regular school","43.208100","-70.996600","87403303322045","033","3301","1st Grade","4th Grade","407"
"BARRINGTON MIDDLE SCHOOL","New Hampshire","BARRINGTON MIDDLE SCHOOL","330165000014","BARRINGTON SCHOOL DISTRICT","3301650","STRAFFORD COUNTY","33017","33","51 HALEY DR","BARRINGTON","NH ","03825","3403","51 HALEY DR.","BARRINGTON","NH ","03825","3403","6036642127","1-Regular school","43.209100","-70.986500","87403303322030","033","3301","5th Grade","8th Grade","429"
"BARTLETT ELEMENTARY SCHOOL","New Hampshire","BARTLETT ELEMENTARY SCHOOL","330324000138","GOFFSTOWN SCHOOL DISTRICT","3303240","HILLSBOROUGH COUNTY","33011","33","689 MAST RD","MANCHESTER","NH ","03102","1448","689 MAST RD.","MANCHESTER","NH ","03102","1448","6036238088","1-Regular school","42.993600","-71.505500","51919919920695","199","3301","1st Grade","4th Grade","200"
"BATH VILLAGE SCHOOL","New Hampshire","BATH VILLAGE SCHOOL","330171000016","BATH SCHOOL DISTRICT","3301710","GRAFTON COUNTY","33009","33","61 LISBON RD","BATH","NH ","03740","0141","PO BOX 141","BATH","NH ","03740","0141","6037472004","1-Regular school","44.170500","-71.961800","42303903920860","039","3302","Kindergarten","6th Grade","59"
"BEAVER MEADOW SCHOOL","New Hampshire","BEAVER MEADOW SCHOOL","330246000496","CONCORD SCHOOL DISTRICT","3302460","MERRIMACK COUNTY","33013","33","40 SEWALLS FALL RD","CONCORD","NH ","03301","4649","40 SEWALLS FALL RD.","CONCORD","NH ","03301","4649","6032250853","1-Regular school","43.252000","-71.569200","60811111126490","111","3302","Prekindergarten","5th Grade","388"
"BEDFORD HIGH SCHOOL","New Hampshire","BEDFORD HIGH SCHOOL","330174000680","BEDFORD SCHOOL DISTRICT","3301740","HILLSBOROUGH COUNTY","33011","33","47B NASHUA RD","BEDFORD","NH ","03110","5527","47B NASHUA RD.","BEDFORD","NH ","03110","5527","6033109000","1-Regular school","42.937100","-71.518600","52504104128555","041","3301","9th Grade","12th Grade","1408"
"BEECH STREET SCHOOL","New Hampshire","BEECH STREET SCHOOL","330459000241","MANCHESTER SCHOOL DISTRICT","3304590","HILLSBOROUGH COUNTY","33011","33","333 BEECH ST","MANCHESTER","NH ","03103","5499","333 BEECH ST.","MANCHESTER","NH ","03103","5499","6036246314","1-Regular school","42.984100","-71.454700","53733533521600","335","3301","Kindergarten","5th Grade","604"
"BELMONT ELEMENTARY SCHOOL","New Hampshire","BELMONT ELEMENTARY SCHOOL","330618000490","SHAKER REGIONAL SCHOOL DISTRICT","3306180","BELKNAP COUNTY","33001","33","26 BEST ST","BELMONT","NH ","03220","4201","26 BEST ST.","BELMONT","NH ","03220","4201","6032676568","1-Regular school","43.442800","-71.469700","08048604322135","486","3301","Prekindergarten","4th Grade","452"
"BELMONT HIGH SCHOOL","New Hampshire","BELMONT HIGH SCHOOL","330618000411","SHAKER REGIONAL SCHOOL DISTRICT","3306180","BELKNAP COUNTY","33001","33","255 SEAVEY RD","BELMONT","NH ","03220","3905","255 SEAVEY RD.","BELMONT","NH ","03220","3905","6032676525","1-Regular school","43.450900","-71.480200","08048604322145","486","3301","9th Grade","12th Grade","412"
"BELMONT MIDDLE SCHOOL","New Hampshire","BELMONT MIDDLE SCHOOL","330618000413","SHAKER REGIONAL SCHOOL DISTRICT","3306180","BELKNAP COUNTY","33001","33","38 SCHOOL ST","BELMONT","NH ","03220","4511","38 SCHOOL ST.","BELMONT","NH ","03220","4511","6032679220","1-Regular school","43.439700","-71.480900","08048604322150","486","3301","5th Grade","8th Grade","371"
"BERLIN MIDDLE SCHOOL","New Hampshire","BERLIN MIDDLE SCHOOL","330186000024","BERLIN SCHOOL DISTRICT","3301860","COOS COUNTY","33007","33","200 STATE ST","BERLIN","NH ","03570","1897","200 STATE ST.","BERLIN","NH ","03570","1897","6037525311","1-Regular school","44.475600","-71.182300","30305105120045","051","3302","6th Grade","8th Grade","314"
"BERLIN SENIOR HIGH SCHOOL","New Hampshire","BERLIN SENIOR HIGH SCHOOL","330186000027","BERLIN SCHOOL DISTRICT","3301860","COOS COUNTY","33007","33","550 WILLARD ST","BERLIN","NH ","03570","1499","550 WILLARD ST.","BERLIN","NH ","03570","1499","6037524122","1-Regular school","44.482300","-71.188400","30305105120050","051","3302","9th Grade","12th Grade","443"
"BERNICE A. RAY SCHOOL","New Hampshire","BERNICE A. RAY SCHOOL","330360000155","HANOVER SCHOOL DISTRICT","3303600","GRAFTON COUNTY","33009","33","26 RESERVOIR RD","HANOVER","NH ","03755","1323","26 RESERVOIR RD.","HANOVER","NH ","03755","1323","6036436655","1-Regular school","43.721400","-72.265000","47023323320830","233","3302","Kindergarten","5th Grade","451"
"BETHLEHEM ELEMENTARY SCHOOL","New Hampshire","BETHLEHEM ELEMENTARY SCHOOL","330189000028","BETHLEHEM SCHOOL DISTRICT","3301890","GRAFTON COUNTY","33009","33","2297 MAIN ST","BETHLEHEM","NH ","03574","0430","2297 MAIN ST.","BETHLEHEM","NH ","03574","0430","6038695842","1-Regular school","44.281400","-71.683100","43505305321400","053","3302","Kindergarten","6th Grade","156"
"BICENTENNIAL ELEMENTARY SCHOOL","New Hampshire","BICENTENNIAL ELEMENTARY SCHOOL","330498000312","NASHUA SCHOOL DISTRICT","3304980","HILLSBOROUGH COUNTY","33011","33","296 EAST DUNSTABLE RD","NASHUA","NH ","03062","2396","296 E. DUNSTABLE RD.","NASHUA","NH ","03062","2396","6035944382","1-Regular school","42.713600","-71.472300","54237137121865","371","3302","Prekindergarten","5th Grade","624"
"BIRCH HILL ELEMENTARY SCHOOL","New Hampshire","BIRCH HILL ELEMENTARY SCHOOL","330498000313","NASHUA SCHOOL DISTRICT","3304980","HILLSBOROUGH COUNTY","33011","33","17 BIRCH HILL DR","NASHUA","NH ","03063","2541","17 BIRCH HILL DR.","NASHUA","NH ","03063","2541","6035944340","1-Regular school","42.766100","-71.513400","54237137121895","371","3302","Kindergarten","5th Grade","511"
"BIRCHES ACADEMY FOR ACADEMIC AND ART A PUBLIC","New Hampshire","BIRCHES ACADEMY FOR ACADEMIC AND ART A PUBLIC","330328600704","BIRCHES ACADEMY FOR ACADEMIC & ART: A PUBLIC CHARTER SCHOOL","3303286","ROCKINGHAM COUNTY","33015","33","419 SOUTH BROADWAY 2ND FLOOR","SALEM","NH ","03079","4323","419 SOUTH BROADWAY 2ND FLOOR","SALEM","NH ","03079","4323","6034586399","1-Regular school","42.748600","-71.203000","40173129055","731","3302","1st Grade","8th Grade","168"
"BLUFF SCHOOL","New Hampshire","BLUFF SCHOOL","330234000038","CLAREMONT SCHOOL DISTRICT","3302340","SULLIVAN COUNTY","33019","33","1 SUMMIT RD","CLAREMONT","NH ","03743","2467","1 SUMMIT RD.","CLAREMONT","NH ","03743","2467","6035434273","1-Regular school","43.372900","-72.347600","90610110120145","101","3302","Kindergarten","5th Grade","226"
"BOSCAWEN ELEMENTARY SCHOOL","New Hampshire","BOSCAWEN ELEMENTARY SCHOOL","330476000281","MERRIMACK VALLEY SCHOOL DISTRICT","3304760","MERRIMACK COUNTY","33013","33","1 BEST AVE","BOSCAWEN","NH ","03303","1100","1 BEST AVE.","BOSCAWEN","NH ","03303","1100","6037536512","1-Regular school","43.300300","-71.611000","64635205522155","352","3302","Prekindergarten","5th Grade","265"
"BOW ELEMENTARY SCHOOL","New Hampshire","BOW ELEMENTARY SCHOOL","330195000480","BOW SCHOOL DISTRICT","3301950","MERRIMACK COUNTY","33013","33","22 BOW CENTER RD","BOW","NH ","03304","3410","22 BOW CENTER RD.","BOW","NH ","03304","3410","6032253049","1-Regular school","43.149500","-71.539600","66705705720680","057","3302","Prekindergarten","4th Grade","416"
"BOW HIGH SCHOOL","New Hampshire","BOW HIGH SCHOOL","330195000563","BOW SCHOOL DISTRICT","3301950","MERRIMACK COUNTY","33013","33","32 WHITE ROCK HILL RD","BOW","NH ","03304","4219","32 WHITE ROCK HILL RD.","BOW","NH ","03304","4219","6032282210","1-Regular school","43.154100","-71.547400","66705705727375","057","3302","9th Grade","12th Grade","486"
"BOW MEMORIAL SCHOOL","New Hampshire","BOW MEMORIAL SCHOOL","330195000029","BOW SCHOOL DISTRICT","3301950","MERRIMACK COUNTY","33013","33","20 BOW CENTER RD","BOW","NH ","03304","3410","20 BOW CENTER RD.","BOW","NH ","03304","3410","6032253212","1-Regular school","43.150400","-71.538900","66705705720675","057","3302","5th Grade","8th Grade","484"
"BOYNTON MIDDLE SCHOOL","New Hampshire","BOYNTON MIDDLE SCHOOL","330467000515","MASCENIC REGIONAL SCHOOL DISTRICT","3304670","HILLSBOROUGH COUNTY","33011","33","500 TURNPIKE RD","NEW IPSWICH","NH ","03071","9665","500 TURNPIKE RD.","NEW IPSWICH","NH ","03071","9665","6038784800","1-Regular school","42.756700","-71.847500","58734239326685","342","3302","5th Grade","8th Grade","336"
"BRIDGEWATER-HEBRON VILLAGE SCHOOL","New Hampshire","BRIDGEWATER-HEBRON VILLAGE SCHOOL","330522000590","NEWFOUND AREA SCHOOL DISTRICT","3305220","GRAFTON COUNTY","33009","33","25 SCHOOLHOUSE RD","BRISTOL","NH ","03222","5338","25 SCHOOLHOUSE ROAD","BRISTOL","NH ","03222","5338","6037446969","1-Regular school","43.660900","-71.727000","40438806527685","388","3302","Prekindergarten","5th Grade","159"
"BRISTOL ELEMENTARY SCHOOL","New Hampshire","BRISTOL ELEMENTARY SCHOOL","330522000332","NEWFOUND AREA SCHOOL DISTRICT","3305220","GRAFTON COUNTY","33009","33","55 SCHOOL ST","BRISTOL","NH ","03222","1216","55 SCHOOL ST.","BRISTOL","NH ","03222","1216","6037442761","1-Regular school","43.593000","-71.737900","40438806720090","388","3302","Kindergarten","5th Grade","232"
"BROAD STREET ELEMENTARY SCHOOL","New Hampshire","BROAD STREET ELEMENTARY SCHOOL","330498000314","NASHUA SCHOOL DISTRICT","3304980","HILLSBOROUGH COUNTY","33011","33","390 BROAD ST","NASHUA","NH ","03063","3040","390 BROAD ST.","NASHUA","NH ","03063","3040","6035944404","1-Regular school","42.757900","-71.513200","54237137121925","371","3302","Prekindergarten","5th Grade","373"
"BROKEN GROUND SCHOOL","New Hampshire","BROKEN GROUND SCHOOL","330246000053","CONCORD SCHOOL DISTRICT","3302460","MERRIMACK COUNTY","33013","33","51 SOUTH CURTISVILLE RD","CONCORD","NH ","03301","5834","51 SOUTH CURTISVILLE ROAD","CONCORD","NH ","03301","5834","6032250855","1-Regular school","43.197300","-71.538900","60811111120260","111","3302","3rd Grade","5th Grade","368"
"BROWN ELEMENTARY SCHOOL","New Hampshire","BROWN ELEMENTARY SCHOOL","330186000022","BERLIN SCHOOL DISTRICT","3301860","COOS COUNTY","33007","33","190 NORWAY ST","BERLIN","NH ","03570","3049","190 NORWAY ST.","BERLIN","NH ","03570","3049","6037521471","1-Regular school","44.483700","-71.168000","30305105120055","051","3302","Kindergarten","2nd Grade","278"
"BUD CARLSON ACADEMY","New Hampshire","BUD CARLSON ACADEMY","330594000694","ROCHESTER SCHOOL DISTRICT","3305940","STRAFFORD COUNTY","33017","33","ROCHESTER SCHOOL DEPARTMENT","ROCHESTER","NH ","03867","1348","ROCHESTER SCHOOL DEPARTMENT","ROCHESTER","NH ","03867","1348","6033323678","1-Regular school","43.322600","-70.956100","85446146122675","461","3301","9th Grade","12th Grade","63"
"CAMPBELL HIGH SCHOOL","New Hampshire","CAMPBELL HIGH SCHOOL","330435000674","LITCHFIELD SCHOOL DISTRICT","3304350","HILLSBOROUGH COUNTY","33011","33","1 HIGHLANDER CT.","LITCHFIELD","NH ","03052","8401","1 HIGHLANDER CT.","LITCHFIELD","NH ","03052","8401","6035460300","1-Regular school","42.825100","-71.445300","52731531527715","315","3302","9th Grade","12th Grade","469"
"CAMPTON ELEMENTARY SCHOOL","New Hampshire","CAMPTON ELEMENTARY SCHOOL","330210000032","CAMPTON SCHOOL DISTRICT","3302100","GRAFTON COUNTY","33009","33","1110 NH RTE. 175","CAMPTON","NH ","03223","9743","1110 NH RTE. 175","CAMPTON","NH ","03223","9743","6037263931","1-Regular school","43.851400","-71.634600","44807507522335","075","3301","Prekindergarten","8th Grade","346"
"CANAAN ELEMENTARY SCHOOL","New Hampshire","CANAAN ELEMENTARY SCHOOL","330468000273","MASCOMA VALLEY REG SCHOOL DISTRICT","3304680","GRAFTON COUNTY","33009","33","31 SCHOOL ST","CANAAN","NH ","03741","0018","PO BOX 18","CANAAN","NH ","03741","0018","6035234312","1-Regular school","43.647800","-72.013400","46234307721315","343","3302","Prekindergarten","4th Grade","264"
"CANTERBURY ELEMENTARY SCHOOL","New Hampshire","CANTERBURY ELEMENTARY SCHOOL","330618000412","SHAKER REGIONAL SCHOOL DISTRICT","3306180","MERRIMACK COUNTY","33013","33","15 BAPTIST RD","CANTERBURY","NH ","03224","2515","15 BAPTIST RD.","CANTERBURY","NH ","03224","2515","6037839944","1-Regular school","43.335400","-71.562300","68048608122165","486","3302","Kindergarten","5th Grade","126"
