"School Name","State Name [Public School] Latest available year","School Name [Public School] 2013-14","School ID - NCES Assigned [Public School] Latest available year","Agency Name [Public School] 2013-14","Agency ID - NCES Assigned [Public School] Latest available year","County Name [Public School] 2013-14","County Number [Public School] 2013-14","ANSI/FIPS State Code [Public School] Latest available year","Location Address [Public School] 2013-14","Location City [Public School] 2013-14","Location State Abbr [Public School] 2013-14","Location ZIP [Public School] 2013-14","Location ZIP4 [Public School] 2013-14","Mailing Address [Public School] 2013-14","Mailing City [Public School] 2013-14","Mailing State Abbr [Public School] 2013-14","Mailing ZIP [Public School] 2013-14","Mailing ZIP4 [Public School] 2013-14","Phone Number [Public School] 2013-14","School Type [Public School] 2013-14","Latitude [Public School] 2013-14","Longitude [Public School] 2013-14","State School ID [Public School] 2013-14","State Agency ID [Public School] 2013-14","Congressional Code [Public School] 2013-14","Lowest Grade Offered [Public School] 2013-14","Highest Grade Offered [Public School] 2013-14","Total Students [Public School] 2013-14"
"A A ANASTASIA ELEMENTARY SCHOOL","New Jersey","A A ANASTASIA ELEMENTARY SCHOOL","340894003908","LONG BRANCH PUBLIC SCHOOLS","3408940","MONMOUTH COUNTY","34025","34","92 SEVENTH AVE","LONG BRANCH","NJ ","07740","6587","92 SEVENTH AVENUE","LONG BRANCH","NJ ","07740","6587","7322223428","1-Regular school","40.305600","-73.998200","065","252770","3406","Prekindergarten","5th Grade","715"
"A CHESTER REDSHAW SCHOOL","New Jersey","A CHESTER REDSHAW SCHOOL","341122003456","NEW BRUNSWICK PUBLIC SCHOOLS","3411220","MIDDLESEX COUNTY","34023","34","40 VAN DYKE AVE","NEW BRUNSWICK","NJ ","08901","2930","40 VAN DYKE AVENUE","NEW BRUNSWICK","NJ ","08901","2930","7327455300","1-Regular school","40.483000","-74.471700","060","233530","3406","Kindergarten","5th Grade","711"
"A E BURLING ELEMENTARY SCHOOL","New Jersey","A E BURLING ELEMENTARY SCHOOL","341287002927","PENNSAUKEN TOWNSHIP BOARD OF EDUCATION","3412870","CAMDEN COUNTY","34007","34","3600 HARRIS AVE","PENNSAUKEN","NJ ","08105","","3600 HARRIS AVENUE","PENNSAUKEN","NJ ","08105","","8566621923","1-Regular school","39.937200","-75.081600","104","074060","3401","Kindergarten","4th Grade","122"
"A. RUSSELL KNIGHT ELEMENTARY SCHOOL","New Jersey","A. RUSSELL KNIGHT ELEMENTARY SCHOOL","340300001422","CHERRY HILL PUBLIC SCHOOLS","3403000","CAMDEN COUNTY","34007","34","140 OLD CARRIAGE RD","CHERRY HILL","NJ ","08034","3332","140 OLD CARRIAGE RD","CHERRY HILL","NJ ","08034","3332","8564280830","1-Regular school","39.900300","-75.011300","058","070800","3401","Kindergarten","5th Grade","357"
"A.P. MORRIS EARLY CHILDHOOD CENTER","New Jersey","A.P. MORRIS EARLY CHILDHOOD CENTER","340729005548","HILLSIDE BOARD OF EDUCATION","3407290","UNION COUNTY","34039","34","143 COE AVE","HILLSIDE","NJ ","07205","2830","143 COE AVE","HILLSIDE","NJ ","07205","2830","9083527644","1-Regular school","40.691700","-74.221300","090","392190","3410","Prekindergarten","1st Grade","648"
"AARON DECKER SCHOOL","New Jersey","AARON DECKER SCHOOL","340252004168","BUTLER PUBLIC SCHOOLS","3402520","MORRIS COUNTY","34027","34","98 DECKER RD","BUTLER","NJ ","07405","","98 DECKER ROAD","BUTLER","NJ ","07405","","9734922037","1-Regular school","41.006600","-74.357100","025","270630","3411","Prekindergarten","4th Grade","393"
"ABINGTON AVENUE SCHOOL","New Jersey","ABINGTON AVENUE SCHOOL","341134002222","THE NEWARK PUBLIC SCHOOLS","3411340","ESSEX COUNTY","34013","34","209 ABINGTON AVE","NEWARK","NJ ","07107","2507","209 ABINGTON AVE","NEWARK","NJ ","07107","2507","9732685230","1-Regular school","40.770300","-74.181500","170","133570","3408","Prekindergarten","8th Grade","698"
"ABRAHAM CLARK HIGH SCHOOL","New Jersey","ABRAHAM CLARK HIGH SCHOOL","341428005650","ROSELLE PUBLIC SCHOOLS","3414280","UNION COUNTY","34039","34","122 EAST 6TH AVE","ROSELLE","NJ ","07203","2026","122 EAST 6TH AVE","ROSELLE","NJ ","07203","2026","9082982004","1-Regular school","40.653400","-74.260900","010","394540","3410","9th Grade","12th Grade","714"
"ABRAHAM LINCOLN ELEMENTARY SCHOOL","New Jersey","ABRAHAM LINCOLN ELEMENTARY SCHOOL","341836000940","WYCKOFF TOWNSHIP PUBLIC SCHOOLS","3418360","BERGEN COUNTY","34003","34","325 MASON AVE","WYCKOFF","NJ ","07481","2822","325 MASON AVE","WYCKOFF","NJ ","07481","2822","2018485720","1-Regular school","41.015200","-74.161100","010","035920","3405","Kindergarten","5th Grade","320"
"ABRAHAM LINCOLN SCHOOL #6","New Jersey","ABRAHAM LINCOLN SCHOOL #6","340576000472","GARFIELD PUBLIC SCHOOL DISTRICT","3405760","BERGEN COUNTY","34003","34","111 PALISADE AVE","GARFIELD","NJ ","07026","3099","111 PALISADE AVE","GARFIELD","NJ ","07026","3099","9733405036","1-Regular school","40.867700","-74.107900","080","031700","3409","Prekindergarten","5th Grade","412"
