"School Name","State Name [Public School] Latest available year","School Name [Public School] 2013-14","School ID - NCES Assigned [Public School] Latest available year","Agency Name [Public School] 2013-14","Agency ID - NCES Assigned [Public School] Latest available year","County Name [Public School] 2013-14","County Number [Public School] 2013-14","ANSI/FIPS State Code [Public School] Latest available year","Location Address [Public School] 2013-14","Location City [Public School] 2013-14","Location State Abbr [Public School] 2013-14","Location ZIP [Public School] 2013-14","Location ZIP4 [Public School] 2013-14","Mailing Address [Public School] 2013-14","Mailing City [Public School] 2013-14","Mailing State Abbr [Public School] 2013-14","Mailing ZIP [Public School] 2013-14","Mailing ZIP4 [Public School] 2013-14","Phone Number [Public School] 2013-14","School Type [Public School] 2013-14","Latitude [Public School] 2013-14","Longitude [Public School] 2013-14","State School ID [Public School] 2013-14","State Agency ID [Public School] 2013-14","Congressional Code [Public School] 2013-14","Lowest Grade Offered [Public School] 2013-14","Highest Grade Offered [Public School] 2013-14","Total Students [Public School] 2013-14"
"A. MONTOYA ELEMENTARY","New Mexico","A. MONTOYA ELEMENTARY","350006000017","ALBUQUERQUE PUBLIC SCHOOLS","3500060","BERNALILLO COUNTY","35001","35","24 PUBLIC SCHOOL RD","TIJERAS","NM ","87059","8600","24 PUBLIC SCHOOL RD","TIJERAS","NM ","87059","8600","5058803744","1-Regular school","35.076600","-106.394500","321","001","3501","Prekindergarten","5th Grade","366"
"A:SHIWI ELEMENTARY","New Mexico","A:SHIWI ELEMENTARY","350280000454","ZUNI PUBLIC SCHOOLS","3502800","MCKINLEY COUNTY","35031","35","10 NORTH SANDY SPRINGS RD","ZUNI","NM ","87327","","P O DRAWER A","ZUNI","NM ","87327","0310","5057825511","1-Regular school","35.072000","-108.825600","025","089","3502","Prekindergarten","2nd Grade","403"
"ABIQUIU ELEMENTARY","New Mexico","ABIQUIU ELEMENTARY","350090000259","ESPANOLA PUBLIC SCHOOLS","3500900","RIO ARRIBA COUNTY","35039","35","HWY 84/285 213412","ESPANOLA","NM ","87532","","714 CALLE DON DIEGO","ESPANOLA","NM ","87532","","5057532254","1-Regular school","36.208000","-106.319200","005","055","3503","Kindergarten","6th Grade","116"
"ABQ SCHOOL OF EXCELLENCE","New Mexico","ABQ SCHOOL OF EXCELLENCE","350012201071","ABQ SCHOOL OF EXCELLENCE","3500122","BERNALILLO COUNTY","35001","35","1904 BOLD RULER ST SE","ALBUQUERQUE","NM ","87123","","13201 LOMAS BLVD NE","ALBUQUERQUE","NM ","87123","","5053534325","1-Regular school","35.048700","-106.511200","001","516","3501","1st Grade","11th Grade","300"
"ABQ SIGN LANGUAGE ACADEMY","New Mexico","ABQ SIGN LANGUAGE ACADEMY","350012301066","ABQ SIGN LANGUAGE ACADEMY","3500123","BERNALILLO COUNTY","35001","35","620 LOMAS BLVD NW","ALBUQUERQUE","NM ","87102","","620 LOMAS BLVD NW","ALBUQUERQUE","NM ","87102","","5052447553","1-Regular school","35.091100","-106.653700","001","517","3501","Kindergarten","8th Grade","85"
"ACADEMY AT LARRAGOITE","New Mexico","ACADEMY AT LARRAGOITE","350237000788","SANTA FE PUBLIC SCHOOLS","3502370","SANTA FE COUNTY","35049","35","2516 CERRILLOS RD","SANTA FE","NM ","87505","","2516 CERRILLOS ROAD","SANTA FE","NM ","87505","","5054672003","4-Alternative/other school","35.658200","-105.982500","012","071","3503","7th Grade","12th Grade","117"
"ACADEMY DEL SOL ALT.","New Mexico","ACADEMY DEL SOL ALT.","350003000799","ALAMOGORDO PUBLIC SCHOOLS","3500030","OTERO COUNTY","35035","35","1200 FLORIDA AVE BLDG C","ALAMOGORDO","NM ","88310","","1200 FLORIDA AVE  BLDG C","ALAMOGORDO","NM ","88310","","5054393270","4-Alternative/other school","32.877900","-105.952600","004","046","3502","10th Grade","12th Grade","187"
"ACADEMY FOR TECH & CLASS","New Mexico","ACADEMY FOR TECH & CLASS","350237000841","SANTA FE PUBLIC SCHOOLS","3502370","SANTA FE COUNTY","35049","35","74 A VAN NU PO RD","SANTA FE","NM ","87508","","PO BOX 8646","SANTA FE","NM ","87508","","5054672003","1-Regular school","35.584000","-106.012000","024","071","3503","7th Grade","12th Grade","362"
"ACADEMY OF TRADES AND TECH","New Mexico","ACADEMY OF TRADES AND TECH","350012900928","ACADEMY OF TRADES AND TECH","3500129","BERNALILLO COUNTY","35001","35","1718 YALE BLVD SE","ALBUQUERQUE","NM ","87106","","1718 YALE BLVD SE","ALBUQUERQUE","NM ","87106","","5057655517","1-Regular school","35.062800","-106.621600","001","523","3501","9th Grade","12th Grade","114"
"ACE LEADERSHIP HIGH SCHOOL","New Mexico","ACE LEADERSHIP HIGH SCHOOL","350012801074","ACE LEADERSHIP HIGH SCHOOL","3500128","BERNALILLO COUNTY","35001","35","800 B 20TH ST NW","ALBUQUERQUE","NM ","87104","","800 B 20TH STREET NW","ALBUQUERQUE","NM ","87104","","5052424733","1-Regular school","35.100100","-106.667200","001","522","3501","9th Grade","12th Grade","308"
