"School Name","State Name [Public School] Latest available year","School Name [Public School] 2013-14","School ID - NCES Assigned [Public School] Latest available year","Agency Name [Public School] 2013-14","Agency ID - NCES Assigned [Public School] Latest available year","County Name [Public School] 2013-14","County Number [Public School] 2013-14","ANSI/FIPS State Code [Public School] Latest available year","Location Address [Public School] 2013-14","Location City [Public School] 2013-14","Location State Abbr [Public School] 2013-14","Location ZIP [Public School] 2013-14","Location ZIP4 [Public School] 2013-14","Mailing Address [Public School] 2013-14","Mailing City [Public School] 2013-14","Mailing State Abbr [Public School] 2013-14","Mailing ZIP [Public School] 2013-14","Mailing ZIP4 [Public School] 2013-14","Phone Number [Public School] 2013-14","School Type [Public School] 2013-14","Latitude [Public School] 2013-14","Longitude [Public School] 2013-14","State School ID [Public School] 2013-14","State Agency ID [Public School] 2013-14","Congressional Code [Public School] 2013-14","Lowest Grade Offered [Public School] 2013-14","Highest Grade Offered [Public School] 2013-14","Total Students [Public School] 2013-14"
"ACADEMY FOR INDIVIDUALIZED STUDY/INDEPENDENT STUDY","Nevada","ACADEMY FOR INDIVIDUALIZED STUDY/INDEPENDENT STUDY","320006000675","CLARK COUNTY SCHOOL DISTRICT","3200060","CLARK COUNTY","32003","32","4601 WEST BONANZA RD","LAS VEGAS","NV ","89107","","4601 W. BONANZA RD","LAS VEGAS","NV ","89107","","7027998636","4-Alternative/other school","36.175600","-115.203500","02925","02","3201","7th Grade","12th Grade","612"
"ACADEMY OF ART  CAREERS AND TECHNOLOGY","Nevada","ACADEMY OF ART  CAREERS AND TECHNOLOGY","320048000664","WASHOE COUNTY SCHOOL DISTRICT","3200480","WASHOE COUNTY","32031","32","380 EDISON WAY","RENO","NV ","89502","","380 EDISON WAY","RENO","NV ","89502","","7758614418","3-Vocational school","39.507000","-119.754600","16611","16","3202","9th Grade","12th Grade","504"
"ACADEMY OF CAREER EDUCATION CHARTER SCHOOL","Nevada","ACADEMY OF CAREER EDUCATION CHARTER SCHOOL","320048000562","WASHOE COUNTY SCHOOL DISTRICT","3200480","WASHOE COUNTY","32031","32","2800 VASSAR ST","RENO","NV ","89502","","2800 VASSAR STREET","RENO","NV ","89502","","7753243900","1-Regular school","39.513000","-119.775300","16608","16","3202","9th Grade","12th Grade","191"
"ADDELIAR GUY ELEMENTARY SCHOOL","Nevada","ADDELIAR GUY ELEMENTARY SCHOOL","320006000458","CLARK COUNTY SCHOOL DISTRICT","3200060","CLARK COUNTY","32003","32","4028 LA MADRE WAY","NORTH LAS VEGAS","NV ","89031","","4028 LA MADRE WAY","NORTH LAS VEGAS","NV ","89031","","7027993150","1-Regular school","36.251300","-115.195200","02161","02","3204","Prekindergarten","5th Grade","636"
"ADOBE MIDDLE SCHOOL","Nevada","ADOBE MIDDLE SCHOOL","320012000326","ELKO COUNTY SCHOOL DISTRICT","3200120","ELKO COUNTY","32007","32","3375 JENNINGS WAY","ELKO","NV ","89801","2677","3375 JENNINGS WAY","ELKO","NV ","89801","2677","7757387236","1-Regular school","40.844100","-115.802800","04503","04","3202","5th Grade","8th Grade","642"
"ADVANCED TECHNOLOGIES ACADEMY","Nevada","ADVANCED TECHNOLOGIES ACADEMY","320006000419","CLARK COUNTY SCHOOL DISTRICT","3200060","CLARK COUNTY","32003","32","2501 VEGAS DR","LAS VEGAS","NV ","89106","1643","2501 VEGAS DRIVE","LAS VEGAS","NV ","89106","1643","7027997870","1-Regular school","36.186200","-115.176900","02420","02","3204","9th Grade","12th Grade","1090"
"AGGIE ROBERTS ELEMENTARY SCHOOL","Nevada","AGGIE ROBERTS ELEMENTARY SCHOOL","320006000436","CLARK COUNTY SCHOOL DISTRICT","3200060","CLARK COUNTY","32003","32","227 CHARTER OAK ST","HENDERSON","NV ","89074","","227 CHARTER OAK STREET","HENDERSON","NV ","89074","","7027991320","1-Regular school","36.045100","-115.105200","02150","02","3203","Prekindergarten","5th Grade","784"
"AGNES RISLEY ELEMENTARY SCHOOL","Nevada","AGNES RISLEY ELEMENTARY SCHOOL","320048000201","WASHOE COUNTY SCHOOL DISTRICT","3200480","WASHOE COUNTY","32031","32","1900 SULLIVAN LN","SPARKS","NV ","89431","1052","1900 SULLIVAN LANE","SPARKS","NV ","89431","1052","7753535760","1-Regular school","39.550700","-119.770500","16221","16","3202","Prekindergarten","6th Grade","502"
"AL SEELIGER ELEMENTARY SCHOOL","Nevada","AL SEELIGER ELEMENTARY SCHOOL","320039000282","CARSON CITY SCHOOL DISTRICT","3200390","CARSON CITY","32510","32","2800 SOUTH SALIMAN RD","CARSON CITY","NV ","89706","6167","2800 SOUTH SALIMAN ROAD","CARSON CITY","NV ","89706","6167","7752832200","1-Regular school","39.142000","-119.753600","13207","13","3202","Kindergarten","5th Grade","601"
"ALBERT M LOWRY HIGH SCHOOL","Nevada","ALBERT M LOWRY HIGH SCHOOL","320021000149","HUMBOLDT COUNTY SCHOOL DISTRICT","3200210","HUMBOLDT COUNTY","32013","32","5375 KLUNCY CANYON RD","WINNEMUCCA","NV ","89445","0831","5375 KLUNCY CANYON ROAD","WINNEMUCCA","NV ","89445","0831","7756238130","1-Regular school","40.971600","-117.708200","07501","07","3202","9th Grade","12th Grade","931"
"ALDEANE COMITO RIES ELEMENTARY","Nevada","ALDEANE COMITO RIES ELEMENTARY","320006000655","CLARK COUNTY SCHOOL DISTRICT","3200060","CLARK COUNTY","32003","32","9805 SOUTH LINDELL RD","LAS VEGAS","NV ","89141","","9805 S. LINDELL ROAD","LAS VEGAS","NV ","89141","","7027991240","1-Regular school","36.009100","-115.217200","02194","02","3203","Prekindergarten","5th Grade","975"
"ALICE L SMITH ELEMENTARY SCHOOL","Nevada","ALICE L SMITH ELEMENTARY SCHOOL","320048000388","WASHOE COUNTY SCHOOL DISTRICT","3200480","WASHOE COUNTY","32031","32","1070 BECKWOURTH DR","RENO","NV ","89506","7605","1070 BECKWOURTH DRIVE","RENO","NV ","89506","7605","7756775410","1-Regular school","39.606800","-119.837200","16260","16","3202","Prekindergarten","6th Grade","746"
"ALICE MAXWELL ELEMENTARY SCHOOL","Nevada","ALICE MAXWELL ELEMENTARY SCHOOL","320048000202","WASHOE COUNTY SCHOOL DISTRICT","3200480","WASHOE COUNTY","32031","32","2300 NORTH ROCK BLVD","SPARKS","NV ","89431","2055","2300 NORTH ROCK BOULEVARD","SPARKS","NV ","89431","2055","7753535580","1-Regular school","39.552200","-119.761400","16222","16","3202","Prekindergarten","6th Grade","608"
"ALPINE ACADEMY","Nevada","ALPINE ACADEMY","320000100800","STATE-SPONSORED CHARTER SCHOOLS","3200001","WASHOE COUNTY","32031","32","605 BOXINGTON WAY","SPARKS","NV ","89434","","605 BOXINGTON WAY SUITE 112","SPARKS","NV ","89434","","7753561166","1-Regular school","39.540500","-119.713000","18412","18","3202","9th Grade","12th Grade","80"
"ALTERNATIVE EDUCATION","Nevada","ALTERNATIVE EDUCATION","320033000763","MINERAL COUNTY SCHOOL DISTRICT","3200330","MINERAL COUNTY","32021","32","751 A ST ROOM 14","HAWTHORNE","NV ","89415","","BOX BUTTE 938","HAWTHORNE","NV ","89415","","7759453332","4-Alternative/other school","38.528700","-118.628500","11901","11","3204","3rd Grade","12th Grade","4"
"ALYCE SAVAGE TAYLOR ELEMENTARY SCHOOL","Nevada","ALYCE SAVAGE TAYLOR ELEMENTARY SCHOOL","320048000390","WASHOE COUNTY SCHOOL DISTRICT","3200480","WASHOE COUNTY","32031","32","252 EGYPTIAN WAY","SPARKS","NV ","89431","","252 EGYPTIAN WAY","SPARKS","NV ","89431","","7754257700","1-Regular school","39.653000","-119.710300","16265","16","3202","Prekindergarten","6th Grade","663"
"AMARGOSA MIDDLE SCHOOL","Nevada","AMARGOSA MIDDLE SCHOOL","320036000564","NYE COUNTY SCHOOL DISTRICT","3200360","NYE COUNTY","32023","32","777 EAST AMARGOSA FARM RD","AMARGOSA","NV ","89020","","HC 15 BOX 401Z","AMARGOSA","NV ","89020","","7753725324","1-Regular school","36.569400","-116.460700","12316","12","3204","6th Grade","8th Grade","60"
"AMARGOSA VALLEY ELEMENTARY SCHOOL","Nevada","AMARGOSA VALLEY ELEMENTARY SCHOOL","320036000185","NYE COUNTY SCHOOL DISTRICT","3200360","NYE COUNTY","32023","32","777 EAST AMARGOSA FARM RD","AMARGOSA","NV ","89020","","777 E. FARM ROAD","AMARGOSA","NV ","89020","","7753725324","1-Regular school","36.569300","-116.460700","12106","12","3204","Prekindergarten","5th Grade","97"
"ANDERSON ELEMENTARY SCHOOL","Nevada","ANDERSON ELEMENTARY SCHOOL","320048000203","WASHOE COUNTY SCHOOL DISTRICT","3200480","WASHOE COUNTY","32031","32","1055 BERRUM LN","RENO","NV ","89509","","1055 BERRUM LANE","RENO","NV ","89509","","7756892500","1-Regular school","39.494600","-119.809600","16201","16","3202","Prekindergarten","6th Grade","441"
"ANDRE AGASSI COLLEGE PREPARATORY ACADEMY","Nevada","ANDRE AGASSI COLLEGE PREPARATORY ACADEMY","320006000533","CLARK COUNTY SCHOOL DISTRICT","3200060","CLARK COUNTY","32003","32","1201 WEST LAKE MEAD BLVD","LAS VEGAS","NV ","89106","","1201 W. LAKE MEAD BLVD","LAS VEGAS","NV ","89106","","7029486000","1-Regular school","36.195100","-115.157000","02288","02","3204","Kindergarten","5th Grade","482"
"ANDRE AGASSI COLLEGE PREPARATORY ACADEMY","Nevada","ANDRE AGASSI COLLEGE PREPARATORY ACADEMY","320006000666","CLARK COUNTY SCHOOL DISTRICT","3200060","CLARK COUNTY","32003","32","1201 WEST LAKE MEAD BLVD","LAS VEGAS","NV ","89106","","1201 W. LAKE MEAD BLVD","LAS VEGAS","NV ","89106","","7029486000","1-Regular school","36.195300","-115.157800","02617","02","3204","6th Grade","12th Grade","680"
"ANDREW MITCHELL ELEMENTARY SCHOOL","Nevada","ANDREW MITCHELL ELEMENTARY SCHOOL","320006000012","CLARK COUNTY SCHOOL DISTRICT","3200060","CLARK COUNTY","32003","32","900 AVE B","BOULDER CITY","NV ","89005","","""900 AVENUE """"B""""""","BOULDER CITY","NV ","89005","","7027998280","1-Regular school","35.971000","-114.838100","02250","02","3203","Prekindergarten","2nd Grade","410"
"ANN LYNCH ELEMENTARY SCHOOL","Nevada","ANN LYNCH ELEMENTARY SCHOOL","320006000371","CLARK COUNTY SCHOOL DISTRICT","3200060","CLARK COUNTY","32003","32","4850 KELL LN","LAS VEGAS","NV ","89115","","4850 KELL LANE","LAS VEGAS","NV ","89115","","7027998820","1-Regular school","36.192500","-115.067900","02115","02","3201","Prekindergarten","5th Grade","763"
"ANTHONY SAVILLE MIDDLE SCHOOL","Nevada","ANTHONY SAVILLE MIDDLE SCHOOL","320006000565","CLARK COUNTY SCHOOL DISTRICT","3200060","CLARK COUNTY","32003","32","8101 NORTH TORREY PINES DR","LAS VEGAS","NV ","89131","","8101 N TORREY PINES DRIVE","LAS VEGAS","NV ","89131","","7027993460","1-Regular school","36.306300","-115.234400","02354","02","3204","6th Grade","8th Grade","1509"
"ARBOR VIEW HIGH SCHOOL","Nevada","ARBOR VIEW HIGH SCHOOL","320006000661","CLARK COUNTY SCHOOL DISTRICT","3200060","CLARK COUNTY","32003","32","7500 WHISPERING SANDS DR","LAS VEGAS","NV ","89131","","7500 WHISPERING SANDS DRIVE","LAS VEGAS","NV ","89131","","7027996660","1-Regular school","36.302500","-115.257500","02618","02","3204","9th Grade","12th Grade","2847"
"ARCHIE CLAYTON PRE-AP ACADEMY MIDDLE SCHOOL","Nevada","ARCHIE CLAYTON PRE-AP ACADEMY MIDDLE SCHOOL","320048000204","WASHOE COUNTY SCHOOL DISTRICT","3200480","WASHOE COUNTY","32031","32","1295 WYOMING AVE","RENO","NV ","89503","3231","1295 WYOMING AVENUE","RENO","NV ","89503","3231","7757465860","1-Regular school","39.536600","-119.847100","16301","16","3202","6th Grade","8th Grade","728"
"ARTURO CAMBEIRO ELEMENTARY SCHOOL","Nevada","ARTURO CAMBEIRO ELEMENTARY SCHOOL","320006000441","CLARK COUNTY SCHOOL DISTRICT","3200060","CLARK COUNTY","32003","32","2851 EAST HARRIS AVE","LAS VEGAS","NV ","89101","","2851 E. HARRIS AVE.","LAS VEGAS","NV ","89101","","7027991700","1-Regular school","36.178400","-115.111000","02155","02","3201","Prekindergarten","5th Grade","599"
"ASPIRE ACADEMY HIGH SCHOOL","Nevada","ASPIRE ACADEMY HIGH SCHOOL","320009000832","DOUGLAS COUNTY SCHOOL DISTRICT","3200090","DOUGLAS COUNTY","32005","32","1617 WATER ST","MINDEN","NV ","89423","","1617 WATER STREET","MINDEN","NV ","89423","","7753921475","4-Alternative/other school","38.955200","-119.764800","03504","03","3202","9th Grade","12th Grade","71"
"AUSTIN SCHOOL","Nevada","AUSTIN SCHOOL","320024000162","LANDER COUNTY SCHOOL DISTRICT","3200240","LANDER COUNTY","32015","32","200 HWY 305 NORTH","AUSTIN","NV ","89310","0160","BOX BUTTE 160","AUSTIN","NV ","89310","0160","7759642467","1-Regular school","39.509200","-117.086100","08602","08","3202","Prekindergarten","12th Grade","26"
"B  MAHLON BROWN JUNIOR HIGH SCHOOL","Nevada","B  MAHLON BROWN JUNIOR HIGH SCHOOL","320006000301","CLARK COUNTY SCHOOL DISTRICT","3200060","CLARK COUNTY","32003","32","307 NORTH CANNES ST","HENDERSON","NV ","89015","5617","307 NORTH CANNES STREET","HENDERSON","NV ","89015","5617","7027998900","1-Regular school","36.051700","-114.955200","02319","02","3203","6th Grade","8th Grade","902"
"B D BILLINGHURST MIDDLE SCHOOL","Nevada","B D BILLINGHURST MIDDLE SCHOOL","320048000391","WASHOE COUNTY SCHOOL DISTRICT","3200480","WASHOE COUNTY","32031","32","6685 CHESTERFIELD LN","RENO","NV ","89523","2700","6685 CHESTERFIELD LANE","RENO","NV ","89523","2700","7757465870","1-Regular school","39.522300","-119.894400","16310","16","3202","6th Grade","8th Grade","1001"
"BAILEY CHARTER SCHOOL","Nevada","BAILEY CHARTER SCHOOL","320048000544","WASHOE COUNTY SCHOOL DISTRICT","3200480","WASHOE COUNTY","32031","32","210 GENTRY WAY","RENO","NV ","89502","","210 GENTRY WAY","RENO","NV ","89502","","7753236767","1-Regular school","39.494300","-119.795000","16278","16","3202","Kindergarten","6th Grade","267"
"BAKER ELEMENTARY SCHOOL","Nevada","BAKER ELEMENTARY SCHOOL","320051000254","WHITE PINE COUNTY SCHOOL DISTRICT","3200510","WHITE PINE COUNTY","32033","32","120 MAIN ST","BAKER","NV ","89311","0016","BOX BUTTE 120","BAKER","NV ","89311","0016","7752347333","1-Regular school","39.030100","-114.182500","17103","17","3204","3rd Grade","8th Grade","14"
"BARBARA AND HANK GREENSPUN JUNIOR HIGH SCHOOL","Nevada","BARBARA AND HANK GREENSPUN JUNIOR HIGH SCHOOL","320006000402","CLARK COUNTY SCHOOL DISTRICT","3200060","CLARK COUNTY","32003","32","140 NORTH VALLEY VERDE DR","HENDERSON","NV ","89074","","140 NORTH VALLEY VERDE DRIVE","HENDERSON","NV ","89074","","7027990920","1-Regular school","36.035400","-115.065400","02324","02","3203","6th Grade","8th Grade","1433"
"BASIC HIGH SCHOOL","Nevada","BASIC HIGH SCHOOL","320006000007","CLARK COUNTY SCHOOL DISTRICT","3200060","CLARK COUNTY","32003","32","400 PALO VERDE DR","HENDERSON","NV ","89015","6028","400 PALO VERDE DR.","HENDERSON","NV ","89015","6028","7027998000","1-Regular school","36.033100","-114.961600","02406","02","3203","9th Grade","12th Grade","2251"
"BATTLE MOUNTAIN ELEMENTARY SCHOOL","Nevada","BATTLE MOUNTAIN ELEMENTARY SCHOOL","320024000165","LANDER COUNTY SCHOOL DISTRICT","3200240","LANDER COUNTY","32015","32","450 EAST 6TH SOUTH","BATTLE MOUNTAIN","NV ","89820","1390","BOX BUTTE 1390","BATTLE MOUNTAIN","NV ","89820","1390","7756352889","1-Regular school","40.634500","-116.937500","08201","08","3202","Prekindergarten","3rd Grade","373"
"BATTLE MOUNTAIN HIGH SCHOOL","Nevada","BATTLE MOUNTAIN HIGH SCHOOL","320024000163","LANDER COUNTY SCHOOL DISTRICT","3200240","LANDER COUNTY","32015","32","425 WEAVER AVE","BATTLE MOUNTAIN","NV ","89820","1330","BOX BUTTE 1330","BATTLE MOUNTAIN","NV ","89820","1330","7756355436","1-Regular school","40.634600","-116.936900","08601","08","3202","9th Grade","12th Grade","341"
"BATTLE MOUNTAIN JUNIOR HIGH SCHOOL","Nevada","BATTLE MOUNTAIN JUNIOR HIGH SCHOOL","320024000309","LANDER COUNTY SCHOOL DISTRICT","3200240","LANDER COUNTY","32015","32","650 ALTENBURG AVE","BATTLE MOUNTAIN","NV ","89820","1360","BOX BUTTE 1360","BATTLE MOUNTAIN","NV ","89820","1360","7756352415","1-Regular school","40.636200","-116.938900","08301","08","3202","7th Grade","8th Grade","165"
"BEACON ACADEMY OF NEVADA","Nevada","BEACON ACADEMY OF NEVADA","320000100751","STATE-SPONSORED CHARTER SCHOOLS","3200001","CLARK COUNTY","32003","32","7360 WEST FLAMINGO RD","LAS VEGAS","NV ","89147","","7360 W. FLAMINGO ROAD","LAS VEGAS","NV ","89147","","7027268600","1-Regular school","36.115600","-115.252300","18409","18","3201","9th Grade","12th Grade","811"
"BEATTY ELEMENTARY SCHOOL","Nevada","BEATTY ELEMENTARY SCHOOL","320036000186","NYE COUNTY SCHOOL DISTRICT","3200360","NYE COUNTY","32023","32","110 4TH ST","BEATTY","NV ","89003","0369","BOX BUTTE 369","BEATTY","NV ","89003","0369","7755532902","1-Regular school","36.907200","-116.758700","12201","12","3204","Prekindergarten","5th Grade","59"
"BEATTY HIGH SCHOOL","Nevada","BEATTY HIGH SCHOOL","320036000187","NYE COUNTY SCHOOL DISTRICT","3200360","NYE COUNTY","32023","32","1 HORNET CIRCLE","BEATTY","NV ","89003","","BOX BUTTE 806","BEATTY","NV ","89003","","7755532595","1-Regular school","36.900900","-116.757200","12601","12","3204","9th Grade","12th Grade","107"
"BEATTY MIDDLE SCHOOL","Nevada","BEATTY MIDDLE SCHOOL","320036000566","NYE COUNTY SCHOOL DISTRICT","3200360","NYE COUNTY","32023","32","110 4TH ST","BEATTY","NV ","89003","","BOX BUTTE 369","BEATTY","NV ","89003","","7755532902","1-Regular school","36.907200","-116.758700","12311","12","3204","6th Grade","8th Grade","22"
"BERKELEY L BUNKER ELEMENTARY SCHOOL","Nevada","BERKELEY L BUNKER ELEMENTARY SCHOOL","320006000469","CLARK COUNTY SCHOOL DISTRICT","3200060","CLARK COUNTY","32003","32","6350 PEAK DR","LAS VEGAS","NV ","89108","","6350 PEAK DRIVE","LAS VEGAS","NV ","89108","","7027993420","1-Regular school","36.211200","-115.232600","02163","02","3204","Prekindergarten","5th Grade","689"
"BERNICE MATHEWS ELEMENTARY SCHOOL","Nevada","BERNICE MATHEWS ELEMENTARY SCHOOL","320048000466","WASHOE COUNTY SCHOOL DISTRICT","3200480","WASHOE COUNTY","32031","32","2750 ELEMENTARY DR","RENO","NV ","89512","","2750 ELEMENTARY DRIVE","RENO","NV ","89512","","7753535950","1-Regular school","39.541800","-119.779000","16273","16","3202","Prekindergarten","5th Grade","651"
"BERTHA RONZONE ELEMENTARY SCHOOL","Nevada","BERTHA RONZONE ELEMENTARY SCHOOL","320006000008","CLARK COUNTY SCHOOL DISTRICT","3200060","CLARK COUNTY","32003","32","5701 STACEY AVE","LAS VEGAS","NV ","89108","","5701 STACEY AVENUE","LAS VEGAS","NV ","89108","","7027994780","1-Regular school","36.196800","-115.218800","02201","02","3204","Prekindergarten","5th Grade","955"
"BETSY A RHODES ELEMENTARY","Nevada","BETSY A RHODES ELEMENTARY","320006000457","CLARK COUNTY SCHOOL DISTRICT","3200060","CLARK COUNTY","32003","32","7350 TEALWOOD ST","LAS VEGAS","NV ","89131","","7350 TEALWOOD STREET","LAS VEGAS","NV ","89131","","7027993450","1-Regular school","36.294300","-115.261900","02160","02","3204","Prekindergarten","5th Grade","663"
"BILL Y TOMIYASU ELEMENTARY SCHOOL","Nevada","BILL Y TOMIYASU ELEMENTARY SCHOOL","320006000009","CLARK COUNTY SCHOOL DISTRICT","3200060","CLARK COUNTY","32003","32","5445 SOUTH ANNIE OAKLEY DR","LAS VEGAS","NV ","89120","2080","5445 SOUTH ANNIE OAKLEY DRIVE","LAS VEGAS","NV ","89120","2080","7027997770","1-Regular school","36.090400","-115.087700","02265","02","3201","Prekindergarten","5th Grade","554"
"BILTMORE CONTINUATION HS","Nevada","BILTMORE CONTINUATION HS","320006000501","CLARK COUNTY SCHOOL DISTRICT","3200060","CLARK COUNTY","32003","32","801 VETERAN'S MEMORIAL DR","LAS VEGAS","NV ","89101","","801 VETERAN'S MEMORIAL DR","LAS VEGAS","NV ","89101","","7027997880","4-Alternative/other school","36.180000","-115.137300","02930","02","3201","9th Grade","12th Grade","92"
"BLUE DIAMOND ELEMENTARY SCHOOL","Nevada","BLUE DIAMOND ELEMENTARY SCHOOL","320006000010","CLARK COUNTY SCHOOL DISTRICT","3200060","CLARK COUNTY","32003","32","912 VILLAGE LN","BLUE DIAMOND","NV ","89004","","912 VILLAGE LANE","BLUE DIAMOND","NV ","89004","","7028754226","1-Regular school","36.047400","-115.405700","02101","02","3203","Kindergarten","5th Grade","40"
"BOB MILLER MIDDLE SCHOOL","Nevada","BOB MILLER MIDDLE SCHOOL","320006000514","CLARK COUNTY SCHOOL DISTRICT","3200060","CLARK COUNTY","32003","32","2400 COZY HILLS CIRCLE","HENDERSON","NV ","89052","","2400 COZY HILLS CIRCLE","HENDERSON","NV ","89052","","7027992260","1-Regular school","36.013000","-115.093200","02338","02","3203","6th Grade","8th Grade","1661"
"BONANZA HIGH SCHOOL","Nevada","BONANZA HIGH SCHOOL","320006000011","CLARK COUNTY SCHOOL DISTRICT","3200060","CLARK COUNTY","32003","32","6665 WEST DEL REY AVE","LAS VEGAS","NV ","89146","","6665 WEST DEL REY AVENUE","LAS VEGAS","NV ","89146","","7027994000","1-Regular school","36.153700","-115.236800","02411","02","3201","9th Grade","12th Grade","1994"
"BOULDER CITY HIGH SCHOOL","Nevada","BOULDER CITY HIGH SCHOOL","320006000013","CLARK COUNTY SCHOOL DISTRICT","3200060","CLARK COUNTY","32003","32","1101 FIFTH ST AVE","BOULDER CITY","NV ","89005","3707","1101 FIFTH STREET AVENUE","BOULDER CITY","NV ","89005","3707","7027998200","1-Regular school","35.971800","-114.834000","02601","02","3203","9th Grade","12th Grade","640"
