"School Name","State Name [Public School] Latest available year","School Name [Public School] 2013-14","School ID - NCES Assigned [Public School] Latest available year","Agency Name [Public School] 2013-14","Agency ID - NCES Assigned [Public School] Latest available year","County Name [Public School] 2013-14","County Number [Public School] 2013-14","ANSI/FIPS State Code [Public School] Latest available year","Location Address [Public School] 2013-14","Location City [Public School] 2013-14","Location State Abbr [Public School] 2013-14","Location ZIP [Public School] 2013-14","Location ZIP4 [Public School] 2013-14","Mailing Address [Public School] 2013-14","Mailing City [Public School] 2013-14","Mailing State Abbr [Public School] 2013-14","Mailing ZIP [Public School] 2013-14","Mailing ZIP4 [Public School] 2013-14","Phone Number [Public School] 2013-14","School Type [Public School] 2013-14","Latitude [Public School] 2013-14","Longitude [Public School] 2013-14","State School ID [Public School] 2013-14","State Agency ID [Public School] 2013-14","Congressional Code [Public School] 2013-14","Lowest Grade Offered [Public School] 2013-14","Highest Grade Offered [Public School] 2013-14","Total Students [Public School] 2013-14"
"2 SCHOOL","New York","2 SCHOOL","361683001500","LAWRENCE UNION FREE SCHOOL DISTRICT","3616830","NASSAU COUNTY","36059","36","1 DONAHUE AVE","INWOOD","NY ","11096","1293","1 DONAHUE AVE","INWOOD","NY ","11096","1293","5162956200","1-Regular school","40.618500","-73.748500","280215030002","280215030000","3605","1st Grade","4th Grade","414"
"4 SCHOOL","New York","4 SCHOOL","361683001501","LAWRENCE UNION FREE SCHOOL DISTRICT","3616830","NASSAU COUNTY","36059","36","WANSER AVE","INWOOD","NY ","11096","","WANSER AVE","INWOOD","NY ","11096","","5162956400","1-Regular school","40.615900","-73.741100","280215030004","280215030000","3605","Prekindergarten","Kindergarten","343"
"47 AMERICAN SIGN LANGUAGE AND ENGLISH LOWER SCHOOL","New York","47 AMERICAN SIGN LANGUAGE AND ENGLISH LOWER SCHOOL","360007705767","NEW YORK CITY GEOGRAPHIC DISTRICT # 2","3600077","NEW YORK COUNTY","36061","36","223 EAST 23RD ST","NEW YORK","NY ","10010","","223 E 23RD ST","NEW YORK","NY ","10010","","9143266609","1-Regular school","40.738300","-73.981400","310200010347","310200010000","3612","Prekindergarten","8th Grade","214"
"5 SCHOOL","New York","5 SCHOOL","361683001502","LAWRENCE UNION FREE SCHOOL DISTRICT","3616830","NASSAU COUNTY","36059","36","305 CEDARHURST AVE","CEDARHURST","NY ","11516","1629","305 CEDARHURST AVE","CEDARHURST","NY ","11516","1629","5162956500","1-Regular school","40.625500","-73.727400","280215030005","280215030000","3604","1st Grade","4th Grade","385"
"51ST AVENUE ACADEMY (THE PATH TO ACADEMIC EXCELLEN","New York","51ST AVENUE ACADEMY (THE PATH TO ACADEMIC EXCELLEN","360009805726","NEW YORK CITY GEOGRAPHIC DISTRICT #24","3600098","QUEENS COUNTY","36081","36","7605 51ST AVE","ELMHURST","NY ","11373","","76-05 51ST AVE","ELMHURST","NY ","11373","","7184295287","1-Regular school","40.737200","-73.887100","342400010877","342400010000","3606","4th Grade","5th Grade","526"
"A A GATES ELEMENTARY SCHOOL","New York","A A GATES ELEMENTARY SCHOOL","362343003270","PORT BYRON CENTRAL SCHOOL DISTRICT","3623430","CAYUGA COUNTY","36011","36","30 MAPLE AVE","PORT BYRON","NY ","13140","9647","30 MAPLE AVE","PORT BYRON","NY ","13140","9647","3157765728","1-Regular school","43.041600","-76.616900","051101040001","051101040000","3624","Prekindergarten","6th Grade","497"
"A A KINGSTON MIDDLE SCHOOL","New York","A A KINGSTON MIDDLE SCHOOL","362367003299","POTSDAM CENTRAL SCHOOL DISTRICT","3623670","ST. LAWRENCE COUNTY","36089","36","29 LEROY ST","POTSDAM","NY ","13676","1787","29 LEROY ST","POTSDAM","NY ","13676","1787","3152652000","1-Regular school","44.675700","-74.980400","512902060004","512902060000","3621","5th Grade","8th Grade","384"
"A D OLIVER MIDDLE SCHOOL","New York","A D OLIVER MIDDLE SCHOOL","360558000286","BROCKPORT CENTRAL SCHOOL DISTRICT","3605580","MONROE COUNTY","36055","36","40 ALLEN ST","BROCKPORT","NY ","14420","2296","40 ALLEN ST","BROCKPORT","NY ","14420","2296","5856371860","1-Regular school","43.207400","-77.946600","261801060005","261801060000","3625","6th Grade","8th Grade","851"
"A F PALMER ELEMENTARY SCHOOL / WINDSOR CENTRAL MID","New York","A F PALMER ELEMENTARY SCHOOL / WINDSOR CENTRAL MID","360273000048","WINDSOR CENTRAL SCHOOL DISTRICT","3602730","BROOME COUNTY","36007","36","213 MAIN ST","WINDSOR","NY ","13865","4134","213 MAIN ST","WINDSOR","NY ","13865","4134","6076558227","1-Regular school","42.083500","-75.641900","031701060004","031701060000","3622","Prekindergarten","8th Grade","634"
"A J SCHMIDT ELEMENTARY SCHOOL","New York","A J SCHMIDT ELEMENTARY SCHOOL","361656001462","EVANS-BRANT CENTRAL SCHOOL DISTRICT (LAKE SHORE)","3616560","ERIE COUNTY","36029","36","9455 LAKE SHORE RD","ANGOLA","NY ","14006","9400","9455 LAKE SHORE RD","ANGOLA","NY ","14006","9400","7169262351","1-Regular school","42.626800","-79.088200","141401060008","141401060000","3627","Kindergarten","5th Grade","301"
"A M COSGROVE MIDDLE SCHOOL","New York","A M COSGROVE MIDDLE SCHOOL","362778003761","SPENCERPORT CENTRAL SCHOOL DISTRICT","3627780","MONROE COUNTY","36055","36","2749 SPENCERPORT RD","SPENCERPORT","NY ","14559","1991","2749 SPENCERPORT RD","SPENCERPORT","NY ","14559","1991","5853495302","1-Regular school","43.186700","-77.785200","261001060005","261001060000","3625","6th Grade","8th Grade","865"
"A MACARTHUR BARR MIDDLE SCHOOL","New York","A MACARTHUR BARR MIDDLE SCHOOL","362019001853","NANUET UNION FREE SCHOOL DISTRICT","3620190","ROCKLAND COUNTY","36087","36","143 CHURCH ST","NANUET","NY ","10954","3089","143 CHURCH ST","NANUET","NY ","10954","3089","8456274044","1-Regular school","41.089000","-74.001400","500108030003","500108030000","3617","5th Grade","8th Grade","715"
"A PHILIP RANDOLPH CAMPUS HIGH SCHOOL","New York","A PHILIP RANDOLPH CAMPUS HIGH SCHOOL","360008304305","NEW YORK CITY GEOGRAPHIC DISTRICT # 6","3600083","NEW YORK COUNTY","36061","36","433 WEST 135TH ST","NEW YORK","NY ","10031","","433 W 135TH ST","NEW YORK","NY ","10031","","2129260113","1-Regular school","40.818300","-73.950100","310600011540","310600010000","3613","9th Grade","12th Grade","1374"
