"School Name","State Name [Public School] Latest available year","School Name [Public School] 2013-14","School ID - NCES Assigned [Public School] Latest available year","Agency Name [Public School] 2013-14","Agency ID - NCES Assigned [Public School] Latest available year","County Name [Public School] 2013-14","County Number [Public School] 2013-14","ANSI/FIPS State Code [Public School] Latest available year","Location Address [Public School] 2013-14","Location City [Public School] 2013-14","Location State Abbr [Public School] 2013-14","Location ZIP [Public School] 2013-14","Location ZIP4 [Public School] 2013-14","Mailing Address [Public School] 2013-14","Mailing City [Public School] 2013-14","Mailing State Abbr [Public School] 2013-14","Mailing ZIP [Public School] 2013-14","Mailing ZIP4 [Public School] 2013-14","Phone Number [Public School] 2013-14","School Type [Public School] 2013-14","Latitude [Public School] 2013-14","Longitude [Public School] 2013-14","State School ID [Public School] 2013-14","State Agency ID [Public School] 2013-14","Congressional Code [Public School] 2013-14","Lowest Grade Offered [Public School] 2013-14","Highest Grade Offered [Public School] 2013-14","Total Students [Public School] 2013-14"
"A J JORDAK ELEMENTARY SCHOOL","Ohio","A J JORDAK ELEMENTARY SCHOOL","390471702784","CARDINAL LOCAL","3904717","GEAUGA COUNTY","39055","39","16000 EAST HIGH ST","MIDDLEFIELD","OH ","44062","9401","PO BOX 188","MIDDLEFIELD","OH ","44062","0188","4406320262","1-Regular school","41.463300","-81.071300","024547","047175","3914","Kindergarten","3rd Grade","358"
"A+ ARTS ACADEMY","Ohio","A+ ARTS ACADEMY","390030504842","A+ ARTS ACADEMY","3900305","FRANKLIN COUNTY","39049","39","270 SOUTH NAPOLEON AVE","COLUMBUS","OH ","43213","4235","270 S NAPOLEON AVE","COLUMBUS","OH ","43213","4235","6143380767","1-Regular school","39.967000","-82.905100","000556","000556","3903","Kindergarten","8th Grade","383"
"A+ CHILDREN'S ACADEMY","Ohio","A+ CHILDREN'S ACADEMY","390148005718","A+ CHILDREN'S ACADEMY","3901480","FRANKLIN COUNTY","39049","39","100 OBETZ RD","COLUMBUS","OH ","43207","4031","100 OBETZ RD","COLUMBUS","OH ","43207","4031","6144918502","1-Regular school","39.882300","-82.997900","013232","013232","3903","Kindergarten","6th Grade","104"
"A. I. ROOT MIDDLE SCHOOL","Ohio","A. I. ROOT MIDDLE SCHOOL","390443800365","MEDINA CITY SD","3904438","MEDINA COUNTY","39103","39","333 WEST STURBRIDGE DR","MEDINA","OH ","44256","3891","333 W STURBRIDGE DR","MEDINA","OH ","44256","3891","3306363500","1-Regular school","41.122700","-81.873100","115873","044388","3916","6th Grade","8th Grade","846"
"A.B. GRAHAM ACADEMY","Ohio","A.B. GRAHAM ACADEMY","390135805530","A.B. GRAHAM ACADEMY","3901358","CHAMPAIGN COUNTY","39021","39","370 EAST MAIN ST","SAINT PARIS","OH ","43072","9200","370 E MAIN ST","SAINT PARIS","OH ","43072","9200","9376630370","1-Regular school","40.127700","-83.953200","011470","011470","3904","Kindergarten","12th Grade","274"
"ABRAHAM LINCOLN SCHOOL","Ohio","ABRAHAM LINCOLN SCHOOL","390443005353","MAPLE HEIGHTS CITY","3904430","CUYAHOGA COUNTY","39035","39","6009 DUNHAM RD","MAPLE HEIGHTS","OH ","44137","4407","6009 DUNHAM RD","MAPLE HEIGHTS","OH ","44137","4407","2164386030","1-Regular school","41.395900","-81.575100","009030","044305","3911","Prekindergarten","1st Grade","552"
"ACADEMY FOR MULTILINGUAL IMMERSION STUDIES","Ohio","ACADEMY FOR MULTILINGUAL IMMERSION STUDIES","390437504258","CINCINNATI CITY","3904375","HAMILTON COUNTY","39061","39","1908 SEYMOUR AVE","CINCINNATI","OH ","45237","4007","1908 SEYMOUR AVE","CINCINNATI","OH ","45237","4007","5133631800","1-Regular school","39.188300","-84.458600","145581","043752","3901","Prekindergarten","8th Grade","445"
"ACADEMY FOR URBAN SCHOLARS YOUNGSTOWN","Ohio","ACADEMY FOR URBAN SCHOLARS YOUNGSTOWN","390147205727","ACADEMY FOR URBAN SCHOLARS YOUNGSTOWN","3901472","MAHONING COUNTY","39099","39","1350 5TH AVE","YOUNGSTOWN","OH ","44504","1765","1350 5TH AVE STE 100 106","YOUNGSTOWN","OH ","44504","1765","3307449070","1-Regular school","41.118200","-80.652000","013249","013249","3913","9th Grade","9th Grade","89"
"ACADEMY OF ARTS AND SCIENCES","Ohio","ACADEMY OF ARTS AND SCIENCES","390059405085","ACADEMY OF ARTS AND SCIENCES","3900594","LORAIN COUNTY","39093","39","201 WEST ERIE AVE","LORAIN","OH ","44052","1641","201 W ERIE AVE","LORAIN","OH ","44052","1641","4402440156","1-Regular school","41.467700","-82.178700","008064","008064","3909","Kindergarten","2nd Grade","264"
"ACADEMY OF EDUCATIONAL EXCELLENCE","Ohio","ACADEMY OF EDUCATIONAL EXCELLENCE","390150205733","ACADEMY OF EDUCATIONAL EXCELLENCE","3901502","LUCAS COUNTY","39095","39","4747 HEATHERDOWNS BLVD","TOLEDO","OH ","43614","","4747 HEATHERDOWNS BLVD.","TOLEDO","OH ","43614","","4193822280","1-Regular school","41.592300","-83.653600","013195","013195","3905","Kindergarten","4th Grade","82"
