"School Name","State Name [Public School] Latest available year","School Name [Public School] 2013-14","School ID - NCES Assigned [Public School] Latest available year","Agency Name [Public School] 2013-14","Agency ID - NCES Assigned [Public School] Latest available year","County Name [Public School] 2013-14","County Number [Public School] 2013-14","ANSI/FIPS State Code [Public School] Latest available year","Location Address [Public School] 2013-14","Location City [Public School] 2013-14","Location State Abbr [Public School] 2013-14","Location ZIP [Public School] 2013-14","Location ZIP4 [Public School] 2013-14","Mailing Address [Public School] 2013-14","Mailing City [Public School] 2013-14","Mailing State Abbr [Public School] 2013-14","Mailing ZIP [Public School] 2013-14","Mailing ZIP4 [Public School] 2013-14","Phone Number [Public School] 2013-14","School Type [Public School] 2013-14","Latitude [Public School] 2013-14","Longitude [Public School] 2013-14","State School ID [Public School] 2013-14","State Agency ID [Public School] 2013-14","Congressional Code [Public School] 2013-14","Lowest Grade Offered [Public School] 2013-14","Highest Grade Offered [Public School] 2013-14","Total Students [Public School] 2013-14"
"8TH AND 9TH GRADE CTR","Oklahoma","8TH AND 9TH GRADE CTR","401074000496","ELK CITY","4010740","BECKHAM COUNTY","40009","40","400 NORTH BOONE","ELK CITY","OK ","73644","3644","222 WEST BROADWAY AVENUE","ELK CITY","OK ","73644","3644","5802250476","1-Regular school","35.413500","-99.412300","05-I006-610","05-I006","4003","7th Grade","9th Grade","492"
"ACADEMY CENTRAL ES","Oklahoma","ACADEMY CENTRAL ES","403024029854","TULSA","4030240","OSAGE COUNTY","40113","40","1789 WEST SEMINOLE ST","TULSA","OK ","74127","4127","1789 WEST SEMINOLE STREET","TULSA","OK ","74127","4127","9188338760","1-Regular school","36.181000","-96.013100","72-I001-103","72-I001","4003","Prekindergarten","6th Grade","356"
"ACADEMY ES","Oklahoma","ACADEMY ES","401359000635","GUYMON","4013590","TEXAS COUNTY","40139","40","712 NORTH ACADEMY","GUYMON","OK ","73942","3942","712 NORTH ACADEMY","GUYMON","OK ","73942","3942","5803384370","1-Regular school","36.685100","-101.485500","70-I008-105","70-I008","4003","3rd Grade","4th Grade","417"
"ACHILLE ES","Oklahoma","ACHILLE ES","400237000001","ACHILLE","4002370","BRYAN COUNTY","40013","40","201 NORTH 5TH AVE","ACHILLE","OK ","74720","4720","POST OFFICE BOX 280","ACHILLE","OK ","74720","4720","5802833002","1-Regular school","33.835900","-96.393300","07-I003-105","07-I003","4002","Prekindergarten","8th Grade","205"
"ACHILLE HS","Oklahoma","ACHILLE HS","400237000002","ACHILLE","4002370","BRYAN COUNTY","40013","40","101 NORTH 5TH AVE","ACHILLE","OK ","74720","4720","POST OFFICE BOX 280","ACHILLE","OK ","74720","4720","5802833260","1-Regular school","33.836300","-96.393300","07-I003-705","07-I003","4002","9th Grade","12th Grade","97"
"ADA EC CTR","Oklahoma","ADA EC CTR","400243000005","ADA","4002430","PONTOTOC COUNTY","40123","40","603 WEST 33RD ST","ADA","OK ","74820","4820","603 WEST 33RD STREET","ADA","OK ","74820","4820","5803107283","1-Regular school","34.748600","-96.684000","62-I019-105","62-I019","4004","Prekindergarten","Kindergarten","456"
"ADA HS","Oklahoma","ADA HS","400243000003","ADA","4002430","PONTOTOC COUNTY","40123","40","1400 STADIUM DR","ADA","OK ","74820","4820","1400 STADIUM DRIVE","ADA","OK ","74820","4820","5803107220","1-Regular school","34.760200","-96.657800","62-I019-705","62-I019","4004","10th Grade","12th Grade","482"
"ADA JHS","Oklahoma","ADA JHS","400243000725","ADA","4002430","PONTOTOC COUNTY","40123","40","223 WEST 18TH ST","ADA","OK ","74820","4820","223 WEST 18TH STREET","ADA","OK ","74820","4820","5803107260","1-Regular school","34.766400","-96.681500","62-I019-610","62-I019","4004","7th Grade","9th Grade","557"
"ADAIR HS","Oklahoma","ADAIR HS","400246000009","ADAIR","4002460","MAYES COUNTY","40097","40","101 SOUTH HARLEY HUGHES AVE","ADAIR","OK ","74330","4330","POST OFFICE BOX 197","ADAIR","OK ","74330","4330","9187852424","1-Regular school","36.434300","-95.268900","46-I002-705","46-I002","4002","9th Grade","12th Grade","295"
"ADAIR MS","Oklahoma","ADAIR MS","400246000010","ADAIR","4002460","MAYES COUNTY","40097","40","101 SOUTH HARLEY HUGHES AVE","ADAIR","OK ","74330","4330","POST OFFICE BOX 197","ADAIR","OK ","74330","4330","9187852425","1-Regular school","36.435900","-95.267500","46-I002-505","46-I002","4002","6th Grade","8th Grade","224"
"ADAMS ES","Oklahoma","ADAMS ES","402277001112","OKLAHOMA CITY","4022770","OKLAHOMA COUNTY","40109","40","3416 SOUTHWEST 37TH ST","OKLAHOMA CITY","OK ","73119","3119","3416 SOUTHWEST 37TH STREET","OKLAHOMA CITY","OK ","73119","3119","4055871600","1-Regular school","35.426900","-97.577600","55-I089-105","55-I089","4005","Prekindergarten","6th Grade","715"
"ADAMS ES","Oklahoma","ADAMS ES","401092000506","ENID","4010920","GARFIELD COUNTY","40047","40","2200 EAST RANDOLPH AVE","ENID","OK ","73701","3701","2200 EAST RANDOLPH AVENUE","ENID","OK ","73701","3701","5803667600","1-Regular school","36.398300","-97.845600","24-I057-105","24-I057","4003","Prekindergarten","5th Grade","386"
"ADAMS ES","Oklahoma","ADAMS ES","401725000798","LAWTON","4017250","COMANCHE COUNTY","40031","40","3501 NORTHWEST FERRIS AVE","LAWTON","OK ","73505","3505","3501 NORTHWEST FERRIS AVENUE","LAWTON","OK ","73505","3505","5803537983","1-Regular school","34.617100","-98.435300","16-I008-105","16-I008","4004","Kindergarten","5th Grade","185"
"ADAMS ES","Oklahoma","ADAMS ES","402172001068","NORMAN","4021720","CLEVELAND COUNTY","40027","40","817 DENISON DR","NORMAN","OK ","73069","3069","817 DENISON DRIVE","NORMAN","OK ","73069","3069","4053665972","1-Regular school","35.228400","-97.457000","14-I029-110","14-I029","4004","Prekindergarten","5th Grade","550"
"AFTON ES","Oklahoma","AFTON ES","400252000013","AFTON","4002520","OTTAWA COUNTY","40115","40","410 SOUTH MAIN","AFTON","OK ","74331","4331","PO BOX 100","AFTON","OK ","74331","4331","9182578304","1-Regular school","36.688700","-94.958600","58-I026-105","58-I026","4002","Prekindergarten","8th Grade","384"
"AFTON HS","Oklahoma","AFTON HS","400252000014","AFTON","4002520","OTTAWA COUNTY","40115","40","410 SOUTH MAIN","AFTON","OK ","74331","4331","PO BOX 100","AFTON","OK ","74331","4331","9182578305","1-Regular school","36.688700","-94.958600","58-I026-705","58-I026","4002","9th Grade","12th Grade","150"
"AGRA ES","Oklahoma","AGRA ES","400255000015","AGRA","4002550","LINCOLN COUNTY","40081","40","112 SOUTH MAIN","AGRA","OK ","74824","4824","POST OFFICE BOX 279","AGRA","OK ","74824","4824","9183752261","1-Regular school","35.893300","-96.872000","41-I134-105","41-I134","4003","Prekindergarten","8th Grade","326"
"AGRA HS","Oklahoma","AGRA HS","400255000016","AGRA","4002550","LINCOLN COUNTY","40081","40","516 LINCOLN","AGRA","OK ","74824","4824","POST OFFICE BOX 279","AGRA","OK ","74824","4824","9183752261","1-Regular school","35.896100","-96.871100","41-I134-705","41-I134","4003","9th Grade","12th Grade","104"
"ALBION PUBLIC SCHOOL","Oklahoma","ALBION PUBLIC SCHOOL","400258000017","ALBION","4002580","PUSHMATAHA COUNTY","40127","40","206 NORTH TEXAS AVE 35000 HWY","ALBION","OK ","74521","4521","PO BOX 100","ALBION","OK ","74521","4521","9185634331","1-Regular school","34.662800","-95.096400","64-C002-105","64-C002","4002","Prekindergarten","8th Grade","80"
"ALCOTT MS","Oklahoma","ALCOTT MS","402172002117","NORMAN","4021720","CLEVELAND COUNTY","40027","40","1919 WEST BOYD ST","NORMAN","OK ","73069","3069","1919 WEST BOYD STREET","NORMAN","OK ","73069","3069","4053665845","1-Regular school","35.212500","-97.470200","14-I029-501","14-I029","4004","6th Grade","8th Grade","722"
"ALEX ES","Oklahoma","ALEX ES","400267000019","ALEX","4002670","GRADY COUNTY","40051","40","209 SOUTH 2ND ST","ALEX","OK ","73002","3002","POST OFFICE BOX 188","ALEX","OK ","73002","3002","4057852217","1-Regular school","34.916600","-97.776900","26-I056-105","26-I056","4004","Prekindergarten","8th Grade","214"
