"School Name","State Name [Public School] Latest available year","School Name [Public School] 2013-14","School ID - NCES Assigned [Public School] Latest available year","Agency Name [Public School] 2013-14","Agency ID - NCES Assigned [Public School] Latest available year","County Name [Public School] 2013-14","County Number [Public School] 2013-14","ANSI/FIPS State Code [Public School] Latest available year","Location Address [Public School] 2013-14","Location City [Public School] 2013-14","Location State Abbr [Public School] 2013-14","Location ZIP [Public School] 2013-14","Location ZIP4 [Public School] 2013-14","Mailing Address [Public School] 2013-14","Mailing City [Public School] 2013-14","Mailing State Abbr [Public School] 2013-14","Mailing ZIP [Public School] 2013-14","Mailing ZIP4 [Public School] 2013-14","Phone Number [Public School] 2013-14","School Type [Public School] 2013-14","Latitude [Public School] 2013-14","Longitude [Public School] 2013-14","State School ID [Public School] 2013-14","State Agency ID [Public School] 2013-14","Congressional Code [Public School] 2013-14","Lowest Grade Offered [Public School] 2013-14","Highest Grade Offered [Public School] 2013-14","Total Students [Public School] 2013-14"
"A C HOUGHTON ELEMENTARY SCHOOL","Oregon","A C HOUGHTON ELEMENTARY SCHOOL","410852000858","MORROW SD 1","4108520","MORROW COUNTY","41049","41","1105 NORTH MAIN AVE","IRRIGON","OR ","97844","7050","1105 N MAIN AVE","IRRIGON","OR ","97844","7050","5419223321","1-Regular school","45.898100","-119.487800","00000000000000000813","00000000002147","4102","Kindergarten","3rd Grade","270"
"ABERNETHY ELEMENTARY SCHOOL","Oregon","ABERNETHY ELEMENTARY SCHOOL","411004000865","PORTLAND SD 1J","4110040","MULTNOMAH COUNTY","41051","41","2421 SE ORANGE AVE","PORTLAND","OR ","97214","5398","2421 SE ORANGE AVE","PORTLAND","OR ","97214","5398","5039166190","1-Regular school","45.505800","-122.651400","00000000000000000822","00000000002180","4103","Kindergarten","5th Grade","529"
"ABRAHAM LINCOLN ELEMENTARY","Oregon","ABRAHAM LINCOLN ELEMENTARY","410804000963","MEDFORD SD 549C","4108040","JACKSON COUNTY","41029","41","3101 MCLOUGHLIN DR","MEDFORD","OR ","97504","9237","3101 MCLOUGHLIN DR","MEDFORD","OR ","97504","9237","5418423730","1-Regular school","42.362800","-122.837200","00000000000000001350","00000000002048","4102","Kindergarten","6th Grade","466"
"ACADEMY FOR CHARACTER EDUCATION","Oregon","ACADEMY FOR CHARACTER EDUCATION","411158001727","SOUTH LANE SD 45J3","4111580","LANE COUNTY","41039","41","195 NORTH 6TH ST","COTTAGE GROVE","OR ","97424","","PO BOX 1652","COTTAGE GROVE","OR ","97424","","5419429707","1-Regular school","43.798800","-123.062100","00000000000000004555","00000000002087","4104","Kindergarten","12th Grade","170"
"ACADEMY OF ARTS AND ACADEMICS","Oregon","ACADEMY OF ARTS AND ACADEMICS","411167001641","SPRINGFIELD SD 19","4111670","LANE COUNTY","41039","41","615 MAIN ST","SPRINGFIELD","OR ","97477","4764","615 MAIN ST","SPRINGFIELD","OR ","97477","4764","5417446728","1-Regular school","44.046000","-123.018100","00000000000000004440","00000000002083","4104","9th Grade","12th Grade","326"
"ACADEMY OF INTERNATIONAL STUDIES (AT WOODBURN)","Oregon","ACADEMY OF INTERNATIONAL STUDIES (AT WOODBURN)","411353001714","WOODBURN SD 103","4113530","MARION COUNTY","41047","41","1785 NORTH FRONT ST","WOODBURN","OR ","97071","9799","1785 N FRONT ST","WOODBURN","OR ","97071","9799","5039806100","1-Regular school","45.153400","-122.847800","00000000000000004540","00000000002146","4105","9th Grade","12th Grade","‡"
"ACE ACADEMY","Oregon","ACE ACADEMY","411052001763","REYNOLDS SD 7","4110520","MULTNOMAH COUNTY","41051","41","4222 NE 158TH AVE","PORTLAND","OR ","97230","","4222 NE 158TH AVE","PORTLAND","OR ","97230","","5035469928","1-Regular school","45.553500","-122.498800","00000000000000004648","00000000002182","4103","11th Grade","12th Grade","–"
"ADAMS ELEMENTARY SCHOOL","Oregon","ADAMS ELEMENTARY SCHOOL","410474000530","EUGENE SD 4J","4104740","LANE COUNTY","41039","41","950 WEST 22ND AVE","EUGENE","OR ","97405","2199","950 W 22ND AVE","EUGENE","OR ","97405","2199","5417905000","1-Regular school","44.035000","-123.107800","00000000000000000503","00000000002082","4104","Kindergarten","5th Grade","421"
"ADAMS ELEMENTARY SCHOOL","Oregon","ADAMS ELEMENTARY SCHOOL","410348000032","CORVALLIS SD 509J","4103480","BENTON COUNTY","41003","41","1615 SW 35TH ST","CORVALLIS","OR ","97333","1197","1615 SW 35TH ST","CORVALLIS","OR ","97333","1197","5417575938","1-Regular school","44.551100","-123.288200","00000000000000000027","00000000001901","4104","Kindergarten","5th Grade","380"
"ADEL ELEMENTARY SCHOOL","Oregon","ADEL ELEMENTARY SCHOOL","410099000524","ADEL SD 21","4100990","LAKE COUNTY","41037","41","18286 TWENTY MILE RD","ADEL","OR ","97620","0117","PO BOX 117","ADEL","OR ","97620","0117","5419473371","1-Regular school","42.174800","-119.898500","00000000000000000498","00000000002063","4102","4th Grade","8th Grade","6"
