"School Name","State Name [Public School] Latest available year","School Name [Public School] 2013-14","School ID - NCES Assigned [Public School] Latest available year","Agency Name [Public School] 2013-14","Agency ID - NCES Assigned [Public School] Latest available year","County Name [Public School] 2013-14","County Number [Public School] 2013-14","ANSI/FIPS State Code [Public School] Latest available year","Location Address [Public School] 2013-14","Location City [Public School] 2013-14","Location State Abbr [Public School] 2013-14","Location ZIP [Public School] 2013-14","Location ZIP4 [Public School] 2013-14","Mailing Address [Public School] 2013-14","Mailing City [Public School] 2013-14","Mailing State Abbr [Public School] 2013-14","Mailing ZIP [Public School] 2013-14","Mailing ZIP4 [Public School] 2013-14","Phone Number [Public School] 2013-14","School Type [Public School] 2013-14","Latitude [Public School] 2013-14","Longitude [Public School] 2013-14","State School ID [Public School] 2013-14","State Agency ID [Public School] 2013-14","Congressional Code [Public School] 2013-14","Lowest Grade Offered [Public School] 2013-14","Highest Grade Offered [Public School] 2013-14","Total Students [Public School] 2013-14"
"21ST CENTURY CYBER CS","Pennsylvania","21ST CENTURY CYBER CS","420009100597","21ST CENTURY CYBER CS","4200091","CHESTER COUNTY","42029","42","805 SPRINGDALE DR","EXTON","PA ","19341","3043","805 SPRINGDALE DR.","EXTON","PA ","19341","3043","4848755400","1-Regular school","40.027400","-75.600000","7691","124150002","4206","6th Grade","12th Grade","846"
"A J MCMULLEN SCH","Pennsylvania","A J MCMULLEN SCH","422415006933","UNIONTOWN AREA SD","4224150","FAYETTE COUNTY","42051","42","4773 NATIONAL PK","MARKLEYSBURG","PA ","15459","9638","4773 NATIONAL PIKE","MARKLEYSBURG","PA ","15459","9638","7243298811","1-Regular school","39.774200","-79.486600","6933","101268003","4209","6th Grade","8th Grade","202"
"A L WILSON EL SCH","Pennsylvania","A L WILSON EL SCH","420210002115","ALBERT GALLATIN AREA SD","4202100","FAYETTE COUNTY","42051","42","100 AL WILSON DR","FAIRCHANCE","PA ","15436","1308","100 AL WILSON DRIVE","FAIRCHANCE","PA ","15436","1308","7245647434","1-Regular school","39.831200","-79.744800","2115","101260303","4209","Kindergarten","5th Grade","244"
"A W BEATTIE CAREER CENTER","Pennsylvania","A W BEATTIE CAREER CENTER","428001007041","A W BEATTIE CAREER CENTER","4280010","ALLEGHENY COUNTY","42003","42","9600 BABCOCK BLVD","ALLISON PARK","PA ","15101","2005","9600 BABCOCK BOULEVARD","ALLISON PARK","PA ","15101","2005","4128471900","3-Vocational school","40.579100","-80.006000","5273","103020407","4212","9th Grade","12th Grade","–"
"ABINGTON HEIGHTS HS","Pennsylvania","ABINGTON HEIGHTS HS","420201005091","ABINGTON HEIGHTS SD","4202010","LACKAWANNA COUNTY","42069","42","222 NOBLE RD","CLARKS SUMMIT","PA ","18411","9407","222 NOBLE ROAD","CLARKS SUMMIT","PA ","18411","9407","5705855300","1-Regular school","41.493400","-75.723500","5091","119350303","4210","9th Grade","12th Grade","1066"
"ABINGTON HEIGHTS MS","Pennsylvania","ABINGTON HEIGHTS MS","420201006839","ABINGTON HEIGHTS SD","4202010","LACKAWANNA COUNTY","42069","42","1555 NEWTON RANSOM BLVD","CLARKS SUMMIT","PA ","18411","9804","1555 NEWTON RANSOM BLVD","CLARKS SUMMIT","PA ","18411","9804","5705854300","1-Regular school","41.477300","-75.749100","6839","119350303","4210","5th Grade","8th Grade","1041"
"ABINGTON JHS","Pennsylvania","ABINGTON JHS","420204003242","ABINGTON SD","4202040","MONTGOMERY COUNTY","42091","42","2056 SUSQUEHANNA ST","ABINGTON","PA ","19001","4406","2056 SUSQUEHANNA ST","ABINGTON","PA ","19001","4406","2158844700","1-Regular school","40.115600","-75.129600","3242","123460302","4213","7th Grade","9th Grade","1717"
"ABINGTON SHS","Pennsylvania","ABINGTON SHS","420204003241","ABINGTON SD","4202040","MONTGOMERY COUNTY","42091","42","900 HIGHLAND AVE","ABINGTON","PA ","19001","4590","900 HIGHLAND AVENUE","ABINGTON","PA ","19001","4590","2158844700","1-Regular school","40.112100","-75.131800","3241","123460302","4213","10th Grade","12th Grade","1745"
"ABRAHAM LINCOLN EL SCH","Pennsylvania","ABRAHAM LINCOLN EL SCH","420351004802","BETHEL PARK SD","4203510","ALLEGHENY COUNTY","42003","42","1524 HAMILTON RD","PITTSBURGH","PA ","15234","2099","1524 HAMILTON RD","PITTSBURGH","PA ","15234","2099","4128548618","1-Regular school","40.357000","-80.016100","4802","103021252","4218","Kindergarten","4th Grade","328"
"ACADAMY AT WESTINGHOUSE","Pennsylvania","ACADAMY AT WESTINGHOUSE","421917007412","PITTSBURGH SD","4219170","ALLEGHENY COUNTY","42003","42","1101 NORTH MURTLAND AVE","PITTSBURGH","PA ","15208","","1101 N. MURTLAND AVENUE","PITTSBURGH","PA ","15208","","4126653940","1-Regular school","40.461000","-79.901200","8203","102027451","4214","6th Grade","12th Grade","489"
