"School Name","State Name [Public School] Latest available year","School Name [Public School] 2013-14","School ID - NCES Assigned [Public School] Latest available year","Agency Name [Public School] 2013-14","Agency ID - NCES Assigned [Public School] Latest available year","County Name [Public School] 2013-14","County Number [Public School] 2013-14","ANSI/FIPS State Code [Public School] Latest available year","Location Address [Public School] 2013-14","Location City [Public School] 2013-14","Location State Abbr [Public School] 2013-14","Location ZIP [Public School] 2013-14","Location ZIP4 [Public School] 2013-14","Mailing Address [Public School] 2013-14","Mailing City [Public School] 2013-14","Mailing State Abbr [Public School] 2013-14","Mailing ZIP [Public School] 2013-14","Mailing ZIP4 [Public School] 2013-14","Phone Number [Public School] 2013-14","School Type [Public School] 2013-14","Latitude [Public School] 2013-14","Longitude [Public School] 2013-14","State School ID [Public School] 2013-14","State Agency ID [Public School] 2013-14","Congressional Code [Public School] 2013-14","Lowest Grade Offered [Public School] 2013-14","Highest Grade Offered [Public School] 2013-14","Total Students [Public School] 2013-14"
"ACADEMY FOR CAREER EXPLORATION","Rhode Island","ACADEMY FOR CAREER EXPLORATION","440090000055","PROVIDENCE","4400900","PROVIDENCE COUNTY","44007","44","130 BROADWAY","PROVIDENCE","RI ","02903","","130 BROADWAY","PROVIDENCE","RI ","02903","","4014561738","4-Alternative/other school","41.821300","-71.421300","28178","28","4402","9th Grade","12th Grade","168"
"ACHIEVEMENT FIRST RHODE ISLAND","Rhode Island","ACHIEVEMENT FIRST RHODE ISLAND","440002100486","ACHIEVEMENT FIRST RHODE ISLAND","4400021","PROVIDENCE COUNTY","44007","44","370 HARTFORD AVE","PROVIDENCE","RI ","02909","","370 HARTFORD AVENUE","PROVIDENCE","RI ","02909","","4013180221","1-Regular school","41.817400","-71.456200","28609","41","4402","Kindergarten","1st Grade","180"
"AGNES B. HENNESSEY SCHOOL","Rhode Island","AGNES B. HENNESSEY SCHOOL","440033000091","EAST PROVIDENCE","4400330","PROVIDENCE COUNTY","44007","44","75 FORT ST","EAST PROVIDENCE","RI ","02914","","75 FORT STREET","EAST PROVIDENCE","RI ","02914","","4014357831","1-Regular school","41.812500","-71.382400","10116","10","4401","Kindergarten","5th Grade","296"
"AGNES E. LITTLE SCHOOL","Rhode Island","AGNES E. LITTLE SCHOOL","440084000187","PAWTUCKET","4400840","PROVIDENCE COUNTY","44007","44","60 SOUTH BEND ST","PAWTUCKET","RI ","02860","","60 SOUTH BEND STREET","PAWTUCKET","RI ","02860","","4017296256","1-Regular school","41.876400","-71.371900","26122","26","4401","Kindergarten","6th Grade","467"
"ALAN SHAWN FEINSTEIN ELEM.","Rhode Island","ALAN SHAWN FEINSTEIN ELEM.","440090000215","PROVIDENCE","4400900","PROVIDENCE COUNTY","44007","44","1450 BROAD ST","PROVIDENCE","RI ","02905","","1450 BROAD STREET","PROVIDENCE","RI ","02905","","4014569367","1-Regular school","41.788000","-71.402900","28116","28","4401","Kindergarten","5th Grade","456"
"ALAN SHAWN FEINSTEIN MS OF COV","Rhode Island","ALAN SHAWN FEINSTEIN MS OF COV","440021000465","COVENTRY","4400210","KENT COUNTY","44003","44","15 FOSTER DR","COVENTRY","RI ","02816","","15 FOSTER DRIVE","COVENTRY","RI ","02816","","4018229426","1-Regular school","41.696600","-71.561200","06104","06","4402","6th Grade","8th Grade","1172"
"ALDRICH JUNIOR HIGH","Rhode Island","ALDRICH JUNIOR HIGH","440111000283","WARWICK","4401110","KENT COUNTY","44003","44","789 POST RD","WARWICK","RI ","02888","","789 POST ROAD","WARWICK","RI ","02888","","4017343500","1-Regular school","41.754400","-71.414500","35118","35","4402","7th Grade","8th Grade","500"
"ALFRED LIMA, SR. EL SCHOOL","Rhode Island","ALFRED LIMA, SR. EL SCHOOL","440090000124","PROVIDENCE","4400900","PROVIDENCE COUNTY","44007","44","222 DABOLL ST","PROVIDENCE","RI ","02907","","222 DABOLL STREET","PROVIDENCE","RI ","02907","","4012780504","1-Regular school","41.804500","-71.428300","28121","28","4401","2nd Grade","5th Grade","580"
"ANNA M. MCCABE SCHOOL","Rhode Island","ANNA M. MCCABE SCHOOL","440099000256","SMITHFIELD","4400990","PROVIDENCE COUNTY","44007","44","100 PLEASANT VIEW AVE","SMITHFIELD","RI ","02917","","100 PLEASANT VIEW AVENUE","SMITHFIELD","RI ","02917","","4019492058","1-Regular school","41.881100","-71.541600","31105","31","4401","Prekindergarten","5th Grade","322"
"ANTHONY CARNEVALE ELEMENTARY","Rhode Island","ANTHONY CARNEVALE ELEMENTARY","440090000162","PROVIDENCE","4400900","PROVIDENCE COUNTY","44007","44","50 SPRINGFIELD ST","PROVIDENCE","RI ","02909","","50 SPRINGFIELD STREET","PROVIDENCE","RI ","02909","","4012780554","1-Regular school","41.816700","-71.464600","28181","28","4402","Prekindergarten","5th Grade","638"
