"School Name","State Name [Public School] Latest available year","School Name [Public School] 2013-14","School ID - NCES Assigned [Public School] Latest available year","Agency Name [Public School] 2013-14","Agency ID - NCES Assigned [Public School] Latest available year","County Name [Public School] 2013-14","County Number [Public School] 2013-14","ANSI/FIPS State Code [Public School] Latest available year","Location Address [Public School] 2013-14","Location City [Public School] 2013-14","Location State Abbr [Public School] 2013-14","Location ZIP [Public School] 2013-14","Location ZIP4 [Public School] 2013-14","Mailing Address [Public School] 2013-14","Mailing City [Public School] 2013-14","Mailing State Abbr [Public School] 2013-14","Mailing ZIP [Public School] 2013-14","Mailing ZIP4 [Public School] 2013-14","Phone Number [Public School] 2013-14","School Type [Public School] 2013-14","Latitude [Public School] 2013-14","Longitude [Public School] 2013-14","State School ID [Public School] 2013-14","State Agency ID [Public School] 2013-14","Congressional Code [Public School] 2013-14","Lowest Grade Offered [Public School] 2013-14","Highest Grade Offered [Public School] 2013-14","Total Students [Public School] 2013-14"
"A. C. CORCORAN ELEMENTARY","South Carolina","A. C. CORCORAN ELEMENTARY","450144000199","CHARLESTON 01","4501440","CHARLESTON COUNTY","45019","45","8585 VISTAVIA RD","NORTH CHARLESTON","SC ","29406","9752","8585 VISTAVIA ROAD","NORTH CHARLESTON","SC ","29406","9752","8437642218","1-Regular school","32.960300","-80.059900","036","1001","4501","Prekindergarten","5th Grade","673"
"A. C. FLORA HIGH","South Carolina","A. C. FLORA HIGH","450336000952","RICHLAND 01","4503360","RICHLAND COUNTY","45079","45","1 FALCON DR","COLUMBIA","SC ","29204","3998","1 FALCON DRIVE","COLUMBIA","SC ","29204","3998","8037387300","1-Regular school","34.017500","-80.982500","007","4001","4502","9th Grade","12th Grade","1311"
"A. C. MOORE ELEMENTARY","South Carolina","A. C. MOORE ELEMENTARY","450336000926","RICHLAND 01","4503360","RICHLAND COUNTY","45079","45","333 ETIWAN AVE","COLUMBIA","SC ","29205","3307","333 ETIWAN AVENUE","COLUMBIA","SC ","29205","3307","8033432910","1-Regular school","33.986600","-81.010300","048","4001","4502","Prekindergarten","5th Grade","415"
"A. J. LEWIS GREENVIEW ELEMENTARY","South Carolina","A. J. LEWIS GREENVIEW ELEMENTARY","450336000919","RICHLAND 01","4503360","RICHLAND COUNTY","45079","45","726 EASTER ST","COLUMBIA","SC ","29203","5146","726 EASTER STREET","COLUMBIA","SC ","29203","5146","8037353417","1-Regular school","34.069100","-80.993900","038","4001","4506","Prekindergarten","5th Grade","405"
"A. R. LEWIS ELEMENTARY","South Carolina","A. R. LEWIS ELEMENTARY","450333000889","PICKENS 01","4503330","PICKENS COUNTY","45077","45","1755 SHADY GROVE RD","PICKENS","SC ","29671","9631","1755 SHADY GROVE ROAD","PICKENS","SC ","29671","9631","8643971300","1-Regular school","34.898800","-82.791800","021","3901","4503","Prekindergarten","5th Grade","225"
"A. R. RUCKER MIDDLE","South Carolina","A. R. RUCKER MIDDLE","450258001260","LANCASTER 01","4502580","LANCASTER COUNTY","45057","45","422 OLD DIXIE RD","LANCASTER","SC ","29720","2642","422 OLD DIXIE ROAD","LANCASTER","SC ","29720","2642","8034168555","1-Regular school","34.718800","-80.737500","003","2901","4505","6th Grade","8th Grade","550"
"A.J. WHITTENBURG ELEMENTARY","South Carolina","A.J. WHITTENBURG ELEMENTARY","450231001551","GREENVILLE 01","4502310","GREENVILLE COUNTY","45045","45","402 WESTFIELD ST","GREEENVILLE","SC ","29601","","402 WESTFIELD STREET","GREEENVILLE","SC ","29601","","8644520500","1-Regular school","34.848600","-82.406800","119","2301","4504","Prekindergarten","5th Grade","512"
"ABBEVILLE COUNTY CAREER CENTER","South Carolina","ABBEVILLE COUNTY CAREER CENTER","450069001188","ABBEVILLE 60","4500690","ABBEVILLE COUNTY","45001","45","100 OLD CALHOUN FALLS HWY","ABBEVILLE","SC ","29620","0280","100 OLD CALHOUN FALLS HIGHWAY","ABBEVILLE","SC ","29620","0280","8643669069","3-Vocational school","34.166800","-82.412700","995","0160","4503","10th Grade","12th Grade","–"
"ABBEVILLE HIGH","South Carolina","ABBEVILLE HIGH","450069000011","ABBEVILLE 60","4500690","ABBEVILLE COUNTY","45001","45","701 WASHINGTON ST","ABBEVILLE","SC ","29620","0927","701 WASHINGTON STREET","ABBEVILLE","SC ","29620","0927","8643665916","1-Regular school","34.187300","-82.374700","001","0160","4503","9th Grade","12th Grade","554"
"ABNER CREEK ACADEMY","South Carolina","ABNER CREEK ACADEMY","450360001503","SPARTANBURG 05","4503600","SPARTANBURG COUNTY","45083","45","2050 ABNER CREEK RD","DUNCAN","SC ","29334","","2050 ABNER CREEK ROAD","DUNCAN","SC ","29334","","8649492334","1-Regular school","34.869400","-82.163800","094","4205","4504","Prekindergarten","4th Grade","482"
