"School Name","State Name [Public School] Latest available year","School Name [Public School] 2013-14","School ID - NCES Assigned [Public School] Latest available year","Agency Name [Public School] 2013-14","Agency ID - NCES Assigned [Public School] Latest available year","County Name [Public School] 2013-14","County Number [Public School] 2013-14","ANSI/FIPS State Code [Public School] Latest available year","Location Address [Public School] 2013-14","Location City [Public School] 2013-14","Location State Abbr [Public School] 2013-14","Location ZIP [Public School] 2013-14","Location ZIP4 [Public School] 2013-14","Mailing Address [Public School] 2013-14","Mailing City [Public School] 2013-14","Mailing State Abbr [Public School] 2013-14","Mailing ZIP [Public School] 2013-14","Mailing ZIP4 [Public School] 2013-14","Phone Number [Public School] 2013-14","School Type [Public School] 2013-14","Latitude [Public School] 2013-14","Longitude [Public School] 2013-14","State School ID [Public School] 2013-14","State Agency ID [Public School] 2013-14","Congressional Code [Public School] 2013-14","Lowest Grade Offered [Public School] 2013-14","Highest Grade Offered [Public School] 2013-14","Total Students [Public School] 2013-14"
"ABBOTT HOUSE ELEMENTARY - 06","South Dakota","ABBOTT HOUSE ELEMENTARY - 06","464839001338","MITCHELL SCHOOL DISTRICT 17-2","4648390","DAVISON COUNTY","46035","46","909 COURT MERRILL ST","MITCHELL","SD ","57301","","909 COURT MERRILL ST","MITCHELL","SD ","57301","","6059953010","1-Regular school","43.701700","-98.029600","06","17002","4600","Kindergarten","8th Grade","8"
"ABBOTT HOUSE HIGH SCHOOL - 07","South Dakota","ABBOTT HOUSE HIGH SCHOOL - 07","464839001337","MITCHELL SCHOOL DISTRICT 17-2","4648390","DAVISON COUNTY","46035","46","909 COURT MERRILL ST","MITCHELL","SD ","57301","","909 COURT MERRILL ST","MITCHELL","SD ","57301","","6059953010","1-Regular school","43.701700","-98.029600","07","17002","4600","9th Grade","12th Grade","24"
"ABERDEEN ALTERNATIVE - 12","South Dakota","ABERDEEN ALTERNATIVE - 12","460207001230","ABERDEEN SCHOOL DISTRICT 06-1","4602070","BROWN COUNTY","46013","46","1300 3 ST SOUTH","ABERDEEN","SD ","57401","6956","1300 3 ST S","ABERDEEN","SD ","57401","6956","6057257900","4-Alternative/other school","45.450600","-98.493700","12","06001","4600","6th Grade","12th Grade","2"
"ALCESTER-HUDSON ELEMENTARY - 04","South Dakota","ALCESTER-HUDSON ELEMENTARY - 04","460002800013","ALCESTER-HUDSON SCHOOL DISTRICT 61-1","4600028","UNION COUNTY","46127","46","409 EAST 6TH ST","ALCESTER","SD ","57001","9999","409 E 6TH ST","ALCESTER","SD ","57001","9999","6059342171","1-Regular school","43.024600","-96.623600","04","61001","4600","Prekindergarten","6th Grade","203"
"ALCESTER-HUDSON HIGH SCHOOL - 01","South Dakota","ALCESTER-HUDSON HIGH SCHOOL - 01","460002800014","ALCESTER-HUDSON SCHOOL DISTRICT 61-1","4600028","UNION COUNTY","46127","46","102 EAST 5TH","ALCESTER","SD ","57001","0198","PO BOX 198","ALCESTER","SD ","57001","0198","6059341890","1-Regular school","43.025200","-96.630600","01","61001","4600","9th Grade","12th Grade","82"
"ALCESTER-HUDSON JR. HIGH - 03","South Dakota","ALCESTER-HUDSON JR. HIGH - 03","460002800874","ALCESTER-HUDSON SCHOOL DISTRICT 61-1","4600028","UNION COUNTY","46127","46","102 EAST 5TH","ALCESTER","SD ","57001","0198","PO BOX 198","ALCESTER","SD ","57001","0198","6059341890","1-Regular school","43.025200","-96.630600","03","61001","4600","7th Grade","8th Grade","52"
"ALL CITY ELEMENTARY - 50","South Dakota","ALL CITY ELEMENTARY - 50","466627001128","SIOUX FALLS SCHOOL DISTRICT 49-5","4666270","MINNEHAHA COUNTY","46099","46","2511 WEST BROOKINGS ST","SIOUX FALLS","SD ","57104","1426","2511 W BROOKINGS ST","SIOUX FALLS","SD ","57104","1726","6053676120","1-Regular school","43.559800","-96.760300","50","49005","4600","Kindergarten","5th Grade","142"
"ANDES CENTRAL ELEMENTARY - 02","South Dakota","ANDES CENTRAL ELEMENTARY - 02","463954000359","ANDES CENTRAL SCHOOL DISTRICT 11-1","4639540","CHARLES MIX COUNTY","46023","46","1001 HIGH ST","LAKE ANDES","SD ","57356","0040","PO BOX 67","LAKE ANDES","SD ","57356","0040","6054875243","1-Regular school","43.157800","-98.530400","02","11001","4600","Prekindergarten","6th Grade","193"
"ANDES CENTRAL HIGH SCHOOL - 01","South Dakota","ANDES CENTRAL HIGH SCHOOL - 01","463954000360","ANDES CENTRAL SCHOOL DISTRICT 11-1","4639540","CHARLES MIX COUNTY","46023","46","400 SCHOOL ST","LAKE ANDES","SD ","57356","0040","PO BOX 40","LAKE ANDES","SD ","57356","0040","6054875207","1-Regular school","43.160000","-98.539200","01","11001","4600","9th Grade","12th Grade","77"
"ANDES CENTRAL JR. HIGH - 04","South Dakota","ANDES CENTRAL JR. HIGH - 04","463954000850","ANDES CENTRAL SCHOOL DISTRICT 11-1","4639540","CHARLES MIX COUNTY","46023","46","400 SCHOOL ST","LAKE ANDES","SD ","57356","0040","PO BOX 40","LAKE ANDES","SD ","57356","0040","6054875207","1-Regular school","43.160000","-98.539200","04","11001","4600","7th Grade","8th Grade","45"
"ANNE SULLIVAN ELEMENTARY - 20","South Dakota","ANNE SULLIVAN ELEMENTARY - 20","466627000770","SIOUX FALLS SCHOOL DISTRICT 49-5","4666270","MINNEHAHA COUNTY","46099","46","3701 EAST 3RD ST","SIOUX FALLS","SD ","57103","6629","3701 E 3RD ST","SIOUX FALLS","SD ","57103","6629","6053676084","1-Regular school","43.554000","-96.680900","20","49005","4600","Prekindergarten","5th Grade","660"
"ARLINGTON ELEMENTARY - 02","South Dakota","ARLINGTON ELEMENTARY - 02","460372000021","ARLINGTON SCHOOL DISTRICT 38-1","4603720","KINGSBURY COUNTY","46077","46","306 SOUTH MAIN","ARLINGTON","SD ","57212","9999","PO BOX 359","ARLINGTON","SD ","57212","9999","6059835741","1-Regular school","44.362100","-97.137300","02","38001","4600","Prekindergarten","6th Grade","166"
"ARLINGTON HIGH SCHOOL - 01","South Dakota","ARLINGTON HIGH SCHOOL - 01","460372000022","ARLINGTON SCHOOL DISTRICT 38-1","4603720","KINGSBURY COUNTY","46077","46","306 SOUTH MAIN","ARLINGTON","SD ","57212","9999","PO BOX 359","ARLINGTON","SD ","57212","9999","6059835598","1-Regular school","44.362100","-97.137300","01","38001","4600","9th Grade","12th Grade","98"
"ARLINGTON JR. HIGH - 03","South Dakota","ARLINGTON JR. HIGH - 03","460372000877","ARLINGTON SCHOOL DISTRICT 38-1","4603720","KINGSBURY COUNTY","46077","46","306 SOUTH MAIN","ARLINGTON","SD ","57212","9999","PO BOX 359","ARLINGTON","SD ","57212","9999","6059835598","1-Regular school","44.362100","-97.137300","03","38001","4600","7th Grade","8th Grade","39"
"ARMOUR ELEMENTARY - 02","South Dakota","ARMOUR ELEMENTARY - 02","460378000023","ARMOUR SCHOOL DISTRICT 21-1","4603780","DOUGLAS COUNTY","46043","46","905 DOBSON","ARMOUR","SD ","57313","0640","PO BOX 640","ARMOUR","SD ","57313","0640","6057242698","1-Regular school","43.320100","-98.348600","02","21001","4600","Prekindergarten","4th Grade","62"
"ARMOUR HIGH SCHOOL - 01","South Dakota","ARMOUR HIGH SCHOOL - 01","460378000024","ARMOUR SCHOOL DISTRICT 21-1","4603780","DOUGLAS COUNTY","46043","46","604 3RD ST","ARMOUR","SD ","57313","0640","PO BOX 640","ARMOUR","SD ","57313","0640","6057242153","1-Regular school","43.320100","-98.348300","01","21001","4600","9th Grade","12th Grade","53"
"ARMOUR MIDDLE SCHOOL - 03","South Dakota","ARMOUR MIDDLE SCHOOL - 03","460378000878","ARMOUR SCHOOL DISTRICT 21-1","4603780","DOUGLAS COUNTY","46043","46","905 DOBSON","ARMOUR","SD ","57313","0640","PO BOX 640","ARMOUR","SD ","57313","0640","6057242698","1-Regular school","43.320100","-98.348600","03","21001","4600","5th Grade","8th Grade","51"
"ATALL ELEMENTARY - 17","South Dakota","ATALL ELEMENTARY - 17","466993001236","MEADE SCHOOL DISTRICT 46-1","4669930","MEADE COUNTY","46093","46","16375 ATALL RD","UNION CENTER","SD ","57787","9999","603 GARFIELD","WHITEWOOD","SD ","57793","9999","6052692264","1-Regular school","44.640600","-102.788500","17","46001","4600","Kindergarten","8th Grade","10"
"AURORA PLAINS ACADEMY HIGH SCHOOL - 05","South Dakota","AURORA PLAINS ACADEMY HIGH SCHOOL - 05","465571001274","PLANKINTON SCHOOL DISTRICT 01-1","4655710","AURORA COUNTY","46003","46","1400 EAST 10TH ST","PLANKINTON","SD ","57368","0190","1400 E 10TH ST","PLANKINTON","SD ","57368","0190","6059425437","4-Alternative/other school","43.724900","-98.466700","05","01001","4600","9th Grade","12th Grade","38"
"AURORA PLAINS ACADEMY MIDDLE SCHOOL - 04","South Dakota","AURORA PLAINS ACADEMY MIDDLE SCHOOL - 04","465571001276","PLANKINTON SCHOOL DISTRICT 01-1","4655710","AURORA COUNTY","46003","46","1400 EAST 10TH ST","PLANKINTON","SD ","57368","0190","1400 E 10TH ST","PLANKINTON","SD ","57368","0190","6059425437","4-Alternative/other school","43.724900","-98.466700","04","01001","4600","5th Grade","8th Grade","18"
"AUSTIN ELEMENTARY - 03","South Dakota","AUSTIN ELEMENTARY - 03","467437000300","VERMILLION SCHOOL DISTRICT 13-1","4674370","CLAY COUNTY","46027","46","300 HIGH ST","VERMILLION","SD ","57069","2023","300 HIGH ST","VERMILLION","SD ","57069","2023","6056777010","1-Regular school","42.782800","-96.935600","03","13001","4600","Prekindergarten","1st Grade","214"
"AVON ELEMENTARY - 02","South Dakota","AVON ELEMENTARY - 02","460427000028","AVON SCHOOL DISTRICT 04-1","4604270","BON HOMME COUNTY","46009","46","210 PINE ST","AVON","SD ","57315","0407","PO BOX 407","AVON","SD ","57315","0407","6052863291","1-Regular school","43.005700","-98.056800","02","04001","4600","Kindergarten","6th Grade","135"
"AVON HIGH SCHOOL - 01","South Dakota","AVON HIGH SCHOOL - 01","460427000029","AVON SCHOOL DISTRICT 04-1","4604270","BON HOMME COUNTY","46009","46","210 PINE ST","AVON","SD ","57315","0407","PO BOX 407","AVON","SD ","57315","0407","6052863291","1-Regular school","43.005700","-98.056800","01","04001","4600","9th Grade","12th Grade","86"
"AVON JR. HIGH - 05","South Dakota","AVON JR. HIGH - 05","460427000829","AVON SCHOOL DISTRICT 04-1","4604270","BON HOMME COUNTY","46009","46","210 PINE ST","AVON","SD ","57315","0407","PO BOX 407","AVON","SD ","57315","0407","6052863291","1-Regular school","43.005700","-98.056800","05","04001","4600","7th Grade","8th Grade","39"
"AVON PK - 06","South Dakota","AVON PK - 06","460427001325","AVON SCHOOL DISTRICT 04-1","4604270","BON HOMME COUNTY","46009","46","210 PINE ST","AVON","SD ","57315","0407","PO BOX 407","AVON","SD ","57315","0407","6052863291","1-Regular school","43.005700","-98.056800","06","04001","4600","Prekindergarten","Prekindergarten","13"
