"School Name","State Name [Public School] Latest available year","School Name [Public School] 2013-14","School ID - NCES Assigned [Public School] Latest available year","Agency Name [Public School] 2013-14","Agency ID - NCES Assigned [Public School] Latest available year","County Name [Public School] 2013-14","County Number [Public School] 2013-14","ANSI/FIPS State Code [Public School] Latest available year","Location Address [Public School] 2013-14","Location City [Public School] 2013-14","Location State Abbr [Public School] 2013-14","Location ZIP [Public School] 2013-14","Location ZIP4 [Public School] 2013-14","Mailing Address [Public School] 2013-14","Mailing City [Public School] 2013-14","Mailing State Abbr [Public School] 2013-14","Mailing ZIP [Public School] 2013-14","Mailing ZIP4 [Public School] 2013-14","Phone Number [Public School] 2013-14","School Type [Public School] 2013-14","Latitude [Public School] 2013-14","Longitude [Public School] 2013-14","State School ID [Public School] 2013-14","State Agency ID [Public School] 2013-14","Congressional Code [Public School] 2013-14","Lowest Grade Offered [Public School] 2013-14","Highest Grade Offered [Public School] 2013-14","Total Students [Public School] 2013-14"
"A B HILL ELEMENTARY","Tennessee","A B HILL ELEMENTARY","470014801011","SHELBY CO","4700148","SHELBY COUNTY","47157","47","345 EAST OLIVE AV","MEMPHIS","TN ","38106","","345 E. OLIVE AV","MEMPHIS","TN ","38106","","9014167844","1-Regular school","35.109900","-90.050800","2005","792","4709","Prekindergarten","5th Grade","308"
"A H ROBERTS ELEMENTARY","Tennessee","A H ROBERTS ELEMENTARY","470333001977","OVERTON COUNTY","4703330","OVERTON COUNTY","47133","47","301 ZACHARY ST","LIVINGSTON","TN ","38570","1241","301 ZACHARY ST","LIVINGSTON","TN ","38570","1241","9318235551","1-Regular school","36.387200","-85.319600","0065","670","4706","Prekindergarten","4th Grade","477"
"A L LOTTS ELEMENTARY","Tennessee","A L LOTTS ELEMENTARY","470222000076","KNOX COUNTY","4702220","KNOX COUNTY","47093","47","9320 WESTLAND DR","KNOXVILLE","TN ","37922","5217","9320 WESTLAND DR","KNOXVILLE","TN ","37922","5217","8655398611","1-Regular school","35.882500","-84.083200","0066","470","4702","Kindergarten","5th Grade","850"
"A. MACEO WALKER MIDDLE SCHOOL","Tennessee","A. MACEO WALKER MIDDLE SCHOOL","470014801939","SHELBY CO","4700148","SHELBY COUNTY","47157","47","1900 EAST RAINES RD","MEMPHIS","TN ","38116","","1900 EAST RAINES RD","MEMPHIS","TN ","38116","","9014161030","1-Regular school","35.036500","-90.001100","2740","792","4709","6th Grade","8th Grade","448"
"A. Z. KELLEY ELEMENTARY SCHOOL","Tennessee","A. Z. KELLEY ELEMENTARY SCHOOL","470318002116","DAVIDSON COUNTY","4703180","DAVIDSON COUNTY","47037","47","5834 PETTUS RD","ANTIOCH","TN ","37013","","5834 PETTUS RD","ANTIOCH","TN ","37013","","6159417535","1-Regular school","36.021800","-86.659100","0001","190","4705","Kindergarten","4th Grade","722"
"ADAMSVILLE ELEMENTARY","Tennessee","ADAMSVILLE ELEMENTARY","470288000997","MCNAIRY COUNTY","4702880","MCNAIRY COUNTY","47109","47","220 SOUTH ELM","ADAMSVILLE","TN ","38310","0335","P. O. BOX 335","ADAMSVILLE","TN ","38310","0335","7316320934","1-Regular school","35.232600","-88.386900","0005","550","4707","Prekindergarten","6th Grade","616"
"ADAMSVILLE JUNIOR - SENIOR HIGH SCHOOL","Tennessee","ADAMSVILLE JUNIOR - SENIOR HIGH SCHOOL","470288000998","MCNAIRY COUNTY","4702880","MCNAIRY COUNTY","47109","47","815 WEST MAIN","ADAMSVILLE","TN ","38310","0407","P. O. BOX 407","ADAMSVILLE","TN ","38310","0407","7316323273","1-Regular school","35.221900","-88.417200","0010","550","4707","7th Grade","12th Grade","730"
"ADRIAN BURNETT ELEMENTARY","Tennessee","ADRIAN BURNETT ELEMENTARY","470222000717","KNOX COUNTY","4702220","KNOX COUNTY","47093","47","4521 BROWN GAP RD","KNOXVILLE","TN ","37918","5900","4521 BROWN GAP RD","KNOXVILLE","TN ","37918","5900","8656891474","1-Regular school","36.065800","-83.908200","0003","470","4702","Kindergarten","5th Grade","632"
"AIRWAYS MIDDLE SCHOOL","Tennessee","AIRWAYS MIDDLE SCHOOL","470014801012","SHELBY CO","4700148","SHELBY COUNTY","47157","47","2601 KETCHUM RD","MEMPHIS","TN ","38118","","2601 KETCHUM RD","MEMPHIS","TN ","38118","","9014165006","1-Regular school","35.078300","-89.975300","2010","792","4709","6th Grade","8th Grade","276"
"ALAMO ELEMENTARY","Tennessee","ALAMO ELEMENTARY","470003000001","ALAMO","4700030","CROCKETT COUNTY","47033","47","264 EAST PARK ST","ALAMO","TN ","38001","1723","264 E PARK ST","ALAMO","TN ","38001","1723","7316965515","1-Regular school","35.783700","-89.112400","0005","171","4708","Prekindergarten","6th Grade","654"
