"School Name","State Name [Public School] Latest available year","School Name [Public School] 2013-14","School ID - NCES Assigned [Public School] Latest available year","Agency Name [Public School] 2013-14","Agency ID - NCES Assigned [Public School] Latest available year","County Name [Public School] 2013-14","County Number [Public School] 2013-14","ANSI/FIPS State Code [Public School] Latest available year","Location Address [Public School] 2013-14","Location City [Public School] 2013-14","Location State Abbr [Public School] 2013-14","Location ZIP [Public School] 2013-14","Location ZIP4 [Public School] 2013-14","Mailing Address [Public School] 2013-14","Mailing City [Public School] 2013-14","Mailing State Abbr [Public School] 2013-14","Mailing ZIP [Public School] 2013-14","Mailing ZIP4 [Public School] 2013-14","Phone Number [Public School] 2013-14","School Type [Public School] 2013-14","Latitude [Public School] 2013-14","Longitude [Public School] 2013-14","State School ID [Public School] 2013-14","State Agency ID [Public School] 2013-14","Congressional Code [Public School] 2013-14","Lowest Grade Offered [Public School] 2013-14","Highest Grade Offered [Public School] 2013-14","Total Students [Public School] 2013-14"
"ACADEMY FOR MATH ENGINEERING & SCIENCE (AMES)","Utah","ACADEMY FOR MATH ENGINEERING & SCIENCE (AMES)","490001700904","ACADEMY FOR MATH ENGINEERING & SCIENCE (AMES)","4900017","SALT LAKE COUNTY","49035","49","5715 SOUTH 1300 EAST","SALT LAKE CITY","UT ","84121","1099","5715 S 1300 E","SALT LAKE CITY","UT ","84121","1099","8012789460","1-Regular school","40.646400","-111.852600","83700","83","4904","9th Grade","12th Grade","491"
"ACADEMY PARK SCHOOL","Utah","ACADEMY PARK SCHOOL","490036000196","GRANITE DISTRICT","4900360","SALT LAKE COUNTY","49035","49","4580 WESTPOINT DR","WEST VALLEY CITY","UT ","84120","5920","4580 WESTPOINT DR","WEST VALLEY CITY","UT ","84120","5920","3856464750","1-Regular school","40.670100","-112.000000","12102","12","4904","Kindergarten","6th Grade","563"
"ADAMS SCHOOL","Utah","ADAMS SCHOOL","490051000343","LOGAN CITY DISTRICT","4900510","CACHE COUNTY","49005","49","415 EAST 500 NORTH","LOGAN","UT ","84321","4127","415 E 500 N","LOGAN","UT ","84321","4127","4357552320","1-Regular school","41.741200","-111.823800","39104","39","4901","Kindergarten","5th Grade","352"
"ADAMS SCHOOL","Utah","ADAMS SCHOOL","490021000793","DAVIS DISTRICT","4900210","DAVIS COUNTY","49011","49","2200 EAST 2500 NORTH","LAYTON","UT ","84041","8165","2200 E 2500 N","LAYTON","UT ","84041","8165","8014023100","1-Regular school","41.095500","-111.925000","07102","07","4901","Kindergarten","6th Grade","612"
"ADELAIDE SCHOOL","Utah","ADELAIDE SCHOOL","490021000103","DAVIS DISTRICT","4900210","DAVIS COUNTY","49011","49","731 WEST 3600 SOUTH","BOUNTIFUL","UT ","84010","8340","731 W 3600 S","BOUNTIFUL","UT ","84010","8340","8014021250","1-Regular school","40.850000","-111.899400","07104","07","4902","Kindergarten","6th Grade","614"
"ALBERT R LYMAN MIDDLE","Utah","ALBERT R LYMAN MIDDLE","490090000526","SAN JUAN DISTRICT","4900900","SAN JUAN COUNTY","49037","49","535 NORTH 100 EAST","BLANDING","UT ","84511","2708","535 N 100 E","BLANDING","UT ","84511","2708","4356781398","1-Regular school","37.632800","-109.477300","25308","25","4903","6th Grade","8th Grade","322"
"ALBION MIDDLE","Utah","ALBION MIDDLE","490014200815","CANYONS DISTRICT","4900142","SALT LAKE COUNTY","49035","49","2755 EAST 8890 SOUTH","SANDY","UT ","84093","","2755 E NEWCASTLE DR","SANDY","UT ","84093","","8018266700","1-Regular school","40.589700","-111.796600","42401","42","4903","6th Grade","8th Grade","924"
"ALIANZA ACADEMY","Utah","ALIANZA ACADEMY","490014901395","ALIANZA ACADEMY","4900149","SALT LAKE COUNTY","49035","49","420 EAST SOUTH TEMPLE","SALT LAKE CITY","UT ","84111","","420 E SOUTH TEMPLE","SALT LAKE CITY","UT ","84111","","8019531157","1-Regular school","40.768800","-111.878900","9G100","9G","4902","Kindergarten","8th Grade","455"
"ALPINE ONLINE SCHOOL","Utah","ALPINE ONLINE SCHOOL","490003001154","ALPINE DISTRICT","4900030","UTAH COUNTY","49049","49","575 NORTH 100 EAST","AMERICAN FORK","UT ","84003","","575 N 100 E","AMERICAN FORK","UT ","84003","","8017568400","1-Regular school","40.388400","-111.796500","01299","01","4903","Kindergarten","8th Grade","336"
"ALPINE SCHOOL","Utah","ALPINE SCHOOL","490003000001","ALPINE DISTRICT","4900030","UTAH COUNTY","49049","49","400 EAST 300 NORTH","ALPINE","UT ","84004","1435","400 E 300 N","ALPINE","UT ","84004","1435","8017568525","1-Regular school","40.456400","-111.770300","01104","01","4903","Prekindergarten","6th Grade","714"
