"School Name","State Name [Public School] Latest available year","School Name [Public School] 2013-14","School ID - NCES Assigned [Public School] Latest available year","Agency Name [Public School] 2013-14","Agency ID - NCES Assigned [Public School] Latest available year","County Name [Public School] 2013-14","County Number [Public School] 2013-14","ANSI/FIPS State Code [Public School] Latest available year","Location Address [Public School] 2013-14","Location City [Public School] 2013-14","Location State Abbr [Public School] 2013-14","Location ZIP [Public School] 2013-14","Location ZIP4 [Public School] 2013-14","Mailing Address [Public School] 2013-14","Mailing City [Public School] 2013-14","Mailing State Abbr [Public School] 2013-14","Mailing ZIP [Public School] 2013-14","Mailing ZIP4 [Public School] 2013-14","Phone Number [Public School] 2013-14","School Type [Public School] 2013-14","Latitude [Public School] 2013-14","Longitude [Public School] 2013-14","State School ID [Public School] 2013-14","State Agency ID [Public School] 2013-14","Congressional Code [Public School] 2013-14","Lowest Grade Offered [Public School] 2013-14","Highest Grade Offered [Public School] 2013-14","Total Students [Public School] 2013-14"
"A G RICHARDSON ELEM","Virginia","A G RICHARDSON ELEM","510105000374","CULPEPER CO PBLC SCHS","5101050","CULPEPER COUNTY","51047","51","18370 SIMMS DR","CULPEPER","VA ","22701","4370","18370 SIMMS DR","CULPEPER","VA ","22701","4370","5408250616","1-Regular school","38.446900","-78.014200","0240240","024","5107","Prekindergarten","5th Grade","600"
"A M DAVIS ELEM","Virginia","A M DAVIS ELEM","510084000314","CHESTERFIELD CO PBLC SCHS","5100840","CHESTERFIELD COUNTY","51041","51","415 SOUTH PROVIDENCE RD","RICHMOND","VA ","23236","3343","415 S PROVIDENCE RD","RICHMOND","VA ","23236","3343","8046741310","1-Regular school","37.491800","-77.545700","0210620","021","5107","Prekindergarten","5th Grade","697"
"A. HENDERSON ELEM.","Virginia","A. HENDERSON ELEM.","510313002039","PRINCE WILLIAM CO PBLC SCHS","5103130","PRINCE WILLIAM COUNTY","51153","51","3799 WATERWAY DR","DUMFRIES","VA ","22025","","3799 WATERWAY DR","DUMFRIES","VA ","22025","","7036702885","1-Regular school","38.621900","-77.344000","0750330","075","5101","Prekindergarten","5th Grade","568"
"A. LINWOOD HOLTON GOV. SCH.","Virginia","A. LINWOOD HOLTON GOV. SCH.","510003301933","A. LINWOOD HOLTON GOV SCH","5100033","WASHINGTON COUNTY","51191","51","ONE PARTNERSHIP CIRCLE","ABINGDON","VA ","24210","","SOUTHWEST VA HIGHER ED CENTER","ABINGDON","VA ","24212","","2764694027","1-Regular school","36.698800","-82.002200","2680010","268","5109","†","†","†"
"A. R. WARE ELEM","Virginia","A. R. WARE ELEM","510369001610","STAUNTON CITY PBLC SCHS","5103690","STAUNTON CITY","51790","51","330 GRUBERT AVE","STAUNTON","VA ","24401","1709","330 GRUBERT AVENUE","STAUNTON","VA ","24401","1709","5403323938","1-Regular school","38.159100","-79.096900","1260040","126","5106","Kindergarten","5th Grade","404"
"A.P. HILL ELEM.","Virginia","A.P. HILL ELEM.","510291001202","PETERSBURG CITY PBLC SCHS","5102910","PETERSBURG CITY","51730","51","1450 TALLEY AVE","PETERSBURG","VA ","23803","5806","1450 TALLEY AVENUE","PETERSBURG","VA ","23803","5806","8048627002","1-Regular school","37.205400","-77.415800","1200110","120","5103","Kindergarten","5th Grade","509"
"A.S. RHODES ELEM.","Virginia","A.S. RHODES ELEM.","510387001729","WARREN CO PBLC SCHS","5103870","WARREN COUNTY","51187","51","224 WEST STRASBURG RD","FRONT ROYAL","VA ","22630","4642","224 W STRASBURG RD","FRONT ROYAL","VA ","22630","4642","5406354556","1-Regular school","38.948100","-78.206400","0930090","093","5106","Kindergarten","5th Grade","265"
"A.W.E. BASSETTE ELEM.","Virginia","A.W.E. BASSETTE ELEM.","510180000725","HAMPTON CITY PBLC SCHS","5101800","HAMPTON CITY","51650","51","671 BELL ST","HAMPTON","VA ","23661","1403","671 BELL ST","HAMPTON","VA ","23661","1403","7577271071","1-Regular school","37.016300","-76.375500","1120500","112","5103","Prekindergarten","5th Grade","388"
"ABBS VALLEY-BOISSEVAIN ELEM","Virginia","ABBS VALLEY-BOISSEVAIN ELEM","510381001645","TAZEWELL CO PBLC SCHS","5103810","TAZEWELL COUNTY","51185","51","7030 ABB'S VALLEY RD","BLUEFIELD","VA ","24605","0069","P. O. BOX 69","BOISSEVAIN","VA ","24606","0069","2769455969","1-Regular school","37.268800","-81.390900","0921020","092","5109","Prekindergarten","5th Grade","159"
"ABERDEEN ELEM.","Virginia","ABERDEEN ELEM.","510180000726","HAMPTON CITY PBLC SCHS","5101800","HAMPTON CITY","51650","51","1424 ABERDEEN RD","HAMPTON","VA ","23666","4028","1424 ABERDEEN RD","HAMPTON","VA ","23666","4028","7578254624","1-Regular school","37.033700","-76.404600","1120160","112","5103","Prekindergarten","5th Grade","540"
"ABINGDON ELEM","Virginia","ABINGDON ELEM","510027000081","ARLINGTON CO PBLC SCHS","5100270","ARLINGTON COUNTY","51013","51","3035 SOUTH ABINGDON ST","ARLINGTON","VA ","22206","1604","3035 S ABINGDON ST","ARLINGTON","VA ","22206","1604","7032286650","1-Regular school","38.839700","-77.095700","0070350","007","5108","Prekindergarten","5th Grade","579"
"ABINGDON ELEM.","Virginia","ABINGDON ELEM.","510162000677","GLOUCESTER CO PBLC SCHS","5101620","GLOUCESTER COUNTY","51073","51","7087 POWHATAN DRVIE","HAYES","VA ","23072","3306","7087 POWHATAN DRVIE","HAYES","VA ","23072","3306","8046429885","1-Regular school","37.291800","-76.513600","0360250","036","5101","Prekindergarten","5th Grade","608"
"ABINGDON ELEMENTARY","Virginia","ABINGDON ELEMENTARY","510390001735","WASHINGTON CO PBLC SCHS","5103900","WASHINGTON COUNTY","51191","51","19431 WOODLAND HILLS RD","ABINGDON","VA ","24210","9653","19431 WOODLAND HILLS RD","ABINGDON","VA ","24210","9653","2767393400","1-Regular school","36.713200","-82.016400","0941080","094","5109","Prekindergarten","5th Grade","487"
"ABINGDON HIGH","Virginia","ABINGDON HIGH","510390001736","WASHINGTON CO PBLC SCHS","5103900","WASHINGTON COUNTY","51191","51","705 THOMPSON DR","ABINGDON","VA ","24210","2345","705 THOMPSON DR","ABINGDON","VA ","24210","2345","2767393200","1-Regular school","36.720200","-81.954300","0941030","094","5109","9th Grade","12th Grade","868"
"ACADEMY AT VIRGINIA RANDOLPH","Virginia","ACADEMY AT VIRGINIA RANDOLPH","510189000805","HENRICO CO PBLC SCHS","5101890","HENRICO COUNTY","51087","51","2204 MOUNTAIN RD","GLEN ALLEN","VA ","23060","2232","2204 MOUNTAIN RD","GLEN ALLEN","VA ","23060","2232","8042615085","4-Alternative/other school","37.661600","-77.481700","0430040","043","5107","†","†","†"
"ACADEMY OF SCIENCE","Virginia","ACADEMY OF SCIENCE","510225002949","LOUDOUN CO PBLC SCHS","5102250","LOUDOUN COUNTY","51107","51","21326 AUGUST DR","STERLING","VA ","20164","","21326 AUGUST DRIVE","STERLING","VA ","20164","","5714344470","4-Alternative/other school","39.026200","-77.373600","0530032","053","5110","†","†","†"
"ACCAWMACKE ELEM","Virginia","ACCAWMACKE ELEM","510006001737","ACCOMACK CO PBLC SCHS","5100060","ACCOMACK COUNTY","51001","51","26230 DRUMMONDTOWN RD","ACCOMAC","VA ","23301","","P.O. BOX 389","ACCOMAC","VA ","23301","","7577878013","1-Regular school","37.679400","-75.667800","0010701","001","5102","Prekindergarten","5th Grade","551"
"ACHIEVABLE DREAM ACADEMY","Virginia","ACHIEVABLE DREAM ACADEMY","510264002343","NEWPORT NEWS CITY PBLC SCHS","5102640","NEWPORT NEWS CITY","51700","51","726 16TH ST","NEWPORT NEWS","VA ","23607","","726 16TH ST.","NEWPORT NEWS","VA ","23607","","7579286827","1-Regular school","36.976100","-76.413200","1171404","117","5103","Prekindergarten","5th Grade","706"
"ACHIEVABLE DREAM MIDDLE/HIGH","Virginia","ACHIEVABLE DREAM MIDDLE/HIGH","510264002344","NEWPORT NEWS CITY PBLC SCHS","5102640","NEWPORT NEWS CITY","51700","51","5720 MARSHALL AVE","NEWPORT NEWS","VA ","23605","","5720 MARSHALL AVE.","NEWPORT NEWS","VA ","23605","","7572837820","1-Regular school","37.003500","-76.426700","1171405","117","5103","6th Grade","12th Grade","483"
"ACHIEVEMENT, INTEGRITY AND MATURITY","Virginia","ACHIEVEMENT, INTEGRITY AND MATURITY","510126002674","FAIRFAX CO PBLC SCHS","5101260","FAIRFAX COUNTY","51059","51","C/O KATHRYN SALERNO","ALEXANDRIA","VA ","22306","","C/O KATHRYN SALERNO","ALEXANDRIA","VA ","22306","","7036602064","4-Alternative/other school","38.763800","-77.079400","0292244","029","5108","†","†","†"
"ACHILLES ELEM.","Virginia","ACHILLES ELEM.","510162000678","GLOUCESTER CO PBLC SCHS","5101620","GLOUCESTER COUNTY","51073","51","9306 GUINEA RD","HAYES","VA ","23072","4401","9306 GUINEA ROAD","HAYES","VA ","23072","4401","8046429140","1-Regular school","37.278300","-76.442200","0360240","036","5101","Prekindergarten","5th Grade","470"
"ACQUINTON ELEM.","Virginia","ACQUINTON ELEM.","510212002151","KING WILLIAM CO PBLC SCHS","5102120","KING WILLIAM COUNTY","51101","51","18550 KING WILLIAM RD","KING WILLIAM","VA ","23086","9755","18550 KING WILLIAM ROAD","KING WILLIAM","VA ","23086","9755","8047693434","1-Regular school","37.695200","-77.035500","0500180","050","5101","3rd Grade","5th Grade","546"
"ADAMS ELEM.","Virginia","ADAMS ELEM.","510189000813","HENRICO CO PBLC SCHS","5101890","HENRICO COUNTY","51087","51","600 SOUTH LABURNUM AVE","RICHMOND","VA ","23223","5802","600 S LABURNUM AVE","RICHMOND","VA ","23223","5802","8042268745","1-Regular school","37.536300","-77.366000","0430660","043","5103","Prekindergarten","5th Grade","462"
"ADDISON AEROSPACE MAGNET MIDDLE","Virginia","ADDISON AEROSPACE MAGNET MIDDLE","510330001412","ROANOKE CITY PBLC SCHS","5103300","ROANOKE CITY","51770","51","1220 5TH ST NW","ROANOKE","VA ","24016","1099","1220 5TH STREET NW","ROANOKE","VA ","24016","1099","5408532681","1-Regular school","37.284300","-79.947500","1240280","124","5106","6th Grade","8th Grade","628"
"ADMIRAL RICHARD E. BYRD MIDDLE","Virginia","ADMIRAL RICHARD E. BYRD MIDDLE","510147002437","FREDERICK CO PBLC SCHS","5101470","FREDERICK COUNTY","51069","51","134 ROSA LN","WINCHESTER","VA ","22602","","134 ROSA LANE","WINCHESTER","VA ","22602","","5406620500","1-Regular school","39.124600","-78.149100","0340586","034","5110","6th Grade","8th Grade","933"
"ADULT & CAREER  EDUCATION CTR","Virginia","ADULT & CAREER  EDUCATION CTR","510111002467","DANVILLE CITY PBLC SCHS","5101110","DANVILLE CITY","51590","51","141 GOODE ST","DANVILLE","VA ","24541","","141 GOODE STREET","DANVILLE","VA ","24541","","4347996471","4-Alternative/other school","36.588400","-79.407300","1081378","108","5105","†","†","†"
"ADULT EDUCATION CENTER","Virginia","ADULT EDUCATION CENTER","510189000537","HENRICO CO PBLC SCHS","5101890","HENRICO COUNTY","51087","51","201 EAST NINE MILE RD","HIGHLAND SPRINGS","VA ","23075","1835","201 EAST NINE MILE ROAD","HIGHLAND SPRINGS","VA ","23075","1835","8043284095","4-Alternative/other school","37.544100","-77.326700","0430460","043","5103","†","†","†"
"ADULT LEARNING CTR.","Virginia","ADULT LEARNING CTR.","510384000684","VA BEACH CITY PBLC SCHS","5103840","VIRGINIA BEACH CITY","51810","51","4160 VIRGINIA BEACH BLVD","VIRGINIA BEACH","VA ","23452","1768","4160 VIRGINIA BEACH BLVD","VIRGINIA BEACH","VA ","23452","1768","7576486050","4-Alternative/other school","36.843400","-76.118200","1281042","128","5102","†","†","†"
