"School Name","State Name [Public School] Latest available year","School Name [Public School] 2013-14","School ID - NCES Assigned [Public School] Latest available year","Agency Name [Public School] 2013-14","Agency ID - NCES Assigned [Public School] Latest available year","County Name [Public School] 2013-14","County Number [Public School] 2013-14","ANSI/FIPS State Code [Public School] Latest available year","Location Address [Public School] 2013-14","Location City [Public School] 2013-14","Location State Abbr [Public School] 2013-14","Location ZIP [Public School] 2013-14","Location ZIP4 [Public School] 2013-14","Mailing Address [Public School] 2013-14","Mailing City [Public School] 2013-14","Mailing State Abbr [Public School] 2013-14","Mailing ZIP [Public School] 2013-14","Mailing ZIP4 [Public School] 2013-14","Phone Number [Public School] 2013-14","School Type [Public School] 2013-14","Latitude [Public School] 2013-14","Longitude [Public School] 2013-14","State School ID [Public School] 2013-14","State Agency ID [Public School] 2013-14","Congressional Code [Public School] 2013-14","Lowest Grade Offered [Public School] 2013-14","Highest Grade Offered [Public School] 2013-14","Total Students [Public School] 2013-14"
"ACADEMY SCHOOL (BRATTLEBORO)","Vermont","ACADEMY SCHOOL (BRATTLEBORO)","500249000079","BRATTLEBORO SCHOOL DISTRICT","5002490","WINDHAM COUNTY","50025","50","860 WESTERN AVE","BRATTLEBORO","VT ","05301","2663","860 WESTERN AVENUE","BRATTLEBORO","VT ","05301","2663","8022543743","1-Regular school","42.851100","-72.598000","PS001","T027","5000","Kindergarten","6th Grade","400"
"ADDISON CENTRAL SCHOOL","Vermont","ADDISON CENTRAL SCHOOL","500171000001","ADDISON SCHOOL DISTRICT","5001710","ADDISON COUNTY","50001","50","121 VT ROUTE 17 WEST","ADDISON","VT ","05491","9511","121 VT ROUTE 17 WEST","ADDISON","VT ","05491","9511","8027592131","1-Regular school","44.087900","-73.305100","PS002","T001","5000","Prekindergarten","6th Grade","75"
"ALBANY COMMUNITY SCHOOL","Vermont","ALBANY COMMUNITY SCHOOL","500174000420","ALBANY SCHOOL DISTRICT","5001740","ORLEANS COUNTY","50019","50","351 MAIN ST","ALBANY","VT ","05820","7902","351 MAIN STREET","ALBANY","VT ","05820","7902","8027556168","1-Regular school","44.738200","-72.376800","PS007","T002","5000","Prekindergarten","8th Grade","95"
"ALBERT BRIDGE SCHOOL (WEST WINDSOR)","Vermont","ALBERT BRIDGE SCHOOL (WEST WINDSOR)","500888000371","WEST WINDSOR SCHOOL DISTRICT","5008880","WINDSOR COUNTY","50027","50","108 BROWNSVILLE HARTLAND RD","BROWNSVILLE","VT ","05037","","P.O. BOX 88","BROWNSVILLE","VT ","05037","","8024843344","1-Regular school","43.462500","-72.486900","PS008","T238","5000","Prekindergarten","6th Grade","85"
"ALBERT D. LAWTON SCHOOL","Vermont","ALBERT D. LAWTON SCHOOL","500381000115","ESSEX JUNCTION INCORPORATED SCHOOL DISTRICT","5003810","CHITTENDEN COUNTY","50007","50","104 MAPLE ST","ESSEX JUNCTION","VT ","05452","3795","104 MAPLE STREET","ESSEX JUNCTION","VT ","05452","3795","8028781388","1-Regular school","44.486800","-73.098600","PS009","T069","5000","6th Grade","8th Grade","355"
"ALBURG COMMUNITY EDUCATION CENTER","Vermont","ALBURG COMMUNITY EDUCATION CENTER","500177000004","ALBURG SCHOOL DISTRICT","5001770","GRAND ISLE COUNTY","50013","50","14 NORTH MAIN ST","ALBURG","VT ","05440","9634","14 NORTH MAIN STREET","ALBURG","VT ","05440","9634","8027963573","1-Regular school","44.979000","-73.298200","PS010","T003","5000","Prekindergarten","8th Grade","210"
"ARLINGTON MEMORIAL","Vermont","ARLINGTON MEMORIAL","500183000005","ARLINGTON SCHOOL DISTRICT","5001830","BENNINGTON COUNTY","50003","50","529 EAST ARLINGTON RD","ARLINGTON","VT ","05250","","529 EAST ARLINGTON ROAD","ARLINGTON","VT ","05250","","8023752589","1-Regular school","43.065900","-73.151100","PS011","T005","5000","6th Grade","12th Grade","218"
"BAKERSFIELD SCHOOL","Vermont","BAKERSFIELD SCHOOL","500189000009","BAKERSFIELD SCHOOL DISTRICT","5001890","FRANKLIN COUNTY","50011","50","82 ACADEMY DR","BAKERSFIELD","VT ","05441","0017","P.O. BOX 17","BAKERSFIELD","VT ","05441","0017","8028276611","1-Regular school","44.783900","-72.803000","PS015","T007","5000","Prekindergarten","8th Grade","159"
"BARNARD ACADEMY","Vermont","BARNARD ACADEMY","500195000011","BARNARD SCHOOL DISTRICT","5001950","WINDSOR COUNTY","50027","50","5979 ROUTE 12","BARNARD","VT ","05031","","P.O. BOX 157","BARNARD","VT ","05031","","8022349763","1-Regular school","43.728600","-72.619400","PS017","T009","5000","Prekindergarten","6th Grade","62"
"BARNET ELEMENTARY SCHOOL","Vermont","BARNET ELEMENTARY SCHOOL","500198000421","BARNET SCHOOL DISTRICT","5001980","CALEDONIA COUNTY","50005","50","163 KID ROW","BARNET","VT ","05821","0042","163 KID ROW","BARNET","VT ","05821","0042","8026334978","1-Regular school","44.306000","-72.080800","PS018","T010","5000","Prekindergarten","8th Grade","217"
