"School Name","State Name [Public School] Latest available year","School Name [Public School] 2013-14","School ID - NCES Assigned [Public School] Latest available year","Agency Name [Public School] 2013-14","Agency ID - NCES Assigned [Public School] Latest available year","County Name [Public School] 2013-14","County Number [Public School] 2013-14","ANSI/FIPS State Code [Public School] Latest available year","Location Address [Public School] 2013-14","Location City [Public School] 2013-14","Location State Abbr [Public School] 2013-14","Location ZIP [Public School] 2013-14","Location ZIP4 [Public School] 2013-14","Mailing Address [Public School] 2013-14","Mailing City [Public School] 2013-14","Mailing State Abbr [Public School] 2013-14","Mailing ZIP [Public School] 2013-14","Mailing ZIP4 [Public School] 2013-14","Phone Number [Public School] 2013-14","School Type [Public School] 2013-14","Latitude [Public School] 2013-14","Longitude [Public School] 2013-14","State School ID [Public School] 2013-14","State Agency ID [Public School] 2013-14","Congressional Code [Public School] 2013-14","Lowest Grade Offered [Public School] 2013-14","Highest Grade Offered [Public School] 2013-14","Total Students [Public School] 2013-14"
"10TH STREET SCHOOL","Washington","10TH STREET SCHOOL","530486002475","MARYSVILLE SCHOOL DISTRICT","5304860","SNOHOMISH COUNTY","53061","53","7204 27TH AVE NE","MARYSVILLE","WA ","98271","","7204 27TH AVE NE","MARYSVILLE","WA ","98271","","3606530665","1-Regular school","48.061900","-122.194900","1656","31025","5302","6th Grade","8th Grade","170"
"49TH STREET ACADEMY","Washington","49TH STREET ACADEMY","530270001270","EVERGREEN SCHOOL DISTRICT (CLARK)","5302700","CLARK COUNTY","53011","53","14619B NE 49TH ST","VANCOUVER","WA ","98682","6308","14619B NE 49TH STREET","VANCOUVER","WA ","98682","6308","3606046700","2-Special education school","45.656500","-122.522300","1646","06114","5303","Kindergarten","12th Grade","105"
"A G WEST BLACK HILLS HIGH SCHOOL","Washington","A G WEST BLACK HILLS HIGH SCHOOL","530910002602","TUMWATER SCHOOL DISTRICT","5309100","THURSTON COUNTY","53067","53","7741 LITTLEROCK RD SW","TUMWATER","WA ","98512","7427","7741 LITTLEROCK ROAD SW","TUMWATER","WA ","98512","7427","3607097800","1-Regular school","46.978100","-122.948100","4500","34033","5310","9th Grade","12th Grade","886"
"A J WEST ELEMENTARY","Washington","A J WEST ELEMENTARY","530003000001","ABERDEEN SCHOOL DISTRICT","5300030","GRAYS HARBOR COUNTY","53027","53","1801 BAY AVE","ABERDEEN","WA ","98520","5510","1801 BAY AVE.","ABERDEEN","WA ","98520","5510","3605382131","1-Regular school","46.972000","-123.837900","2834","14005","5306","Prekindergarten","6th Grade","400"
"A-3 MULTIAGENCY ADOLESCENT PROG","Washington","A-3 MULTIAGENCY ADOLESCENT PROG","530825002361","SPOKANE SCHOOL DISTRICT","5308250","SPOKANE COUNTY","53063","53","610 EAST NORTHFOOTHILLS DR","SPOKANE","WA ","99207","","610 E NORTHFOOTHILLS DRIVE","SPOKANE","WA ","99207","","5094587466","4-Alternative/other school","47.683100","-117.400500","1533","32081","5305","9th Grade","12th Grade","20"
"ABRAHAM LINCOLN ELEMENTARY","Washington","ABRAHAM LINCOLN ELEMENTARY","530966001632","WENATCHEE SCHOOL DISTRICT","5309660","CHELAN COUNTY","53007","53","1224 METHOW ST","WENATCHEE","WA ","98801","3552","1224 METHOW ST.","WENATCHEE","WA ","98801","3552","5096635710","1-Regular school","47.407000","-120.309900","3209","04246","5308","Kindergarten","5th Grade","502"
"ACADEMY OF CITIZENSHIP AND EMPOWERMENT","Washington","ACADEMY OF CITIZENSHIP AND EMPOWERMENT","530354003069","HIGHLINE SCHOOL DISTRICT","5303540","KING COUNTY","53033","53","4424 SOUTH 188TH ST","SEATAC","WA ","98188","","4424 SOUTH 188TH STREET","SEATAC","WA ","98188","","2066316500","1-Regular school","47.435500","-122.277500","5063","17401","5309","9th Grade","12th Grade","401"
"ACADEMY OF CONST AND ENGINEERING","Washington","ACADEMY OF CONST AND ENGINEERING","530486003325","MARYSVILLE SCHOOL DISTRICT","5304860","SNOHOMISH COUNTY","53061","53","8301 84TH ST NE","MARYSVILLE","WA ","98270","","8301 84TH STREET NE","MARYSVILLE","WA ","98270","","3606576373","1-Regular school","48.075400","-122.118000","5209","31025","5302","9th Grade","12th Grade","352"
"ACES HIGH SCHOOL","Washington","ACES HIGH SCHOOL","530543002063","MUKILTEO SCHOOL DISTRICT","5305430","SNOHOMISH COUNTY","53061","53","9700 HOLLY DR","EVERETT","WA ","98204","2678","9700 HOLLY DRIVE","EVERETT","WA ","98204","2678","4253663900","4-Alternative/other school","47.910700","-122.244300","4247","31006","5302","9th Grade","12th Grade","194"
"ACME ELEMENTARY","Washington","ACME ELEMENTARY","530531000799","MOUNT BAKER SCHOOL DISTRICT","5305310","WHATCOM COUNTY","53073","53","5200 TURKINGTON RD","ACME","WA ","98220","0009","5200 TURKINGTON RD","ACME","WA ","98220","0009","3603832045","1-Regular school","48.718800","-122.208800","2585","37507","5301","Kindergarten","6th Grade","175"
