"School Name","State Name [Public School] Latest available year","School Name [Public School] 2013-14","School ID - NCES Assigned [Public School] Latest available year","Agency Name [Public School] 2013-14","Agency ID - NCES Assigned [Public School] Latest available year","County Name [Public School] 2013-14","County Number [Public School] 2013-14","ANSI/FIPS State Code [Public School] Latest available year","Location Address [Public School] 2013-14","Location City [Public School] 2013-14","Location State Abbr [Public School] 2013-14","Location ZIP [Public School] 2013-14","Location ZIP4 [Public School] 2013-14","Mailing Address [Public School] 2013-14","Mailing City [Public School] 2013-14","Mailing State Abbr [Public School] 2013-14","Mailing ZIP [Public School] 2013-14","Mailing ZIP4 [Public School] 2013-14","Phone Number [Public School] 2013-14","School Type [Public School] 2013-14","Latitude [Public School] 2013-14","Longitude [Public School] 2013-14","State School ID [Public School] 2013-14","State Agency ID [Public School] 2013-14","Congressional Code [Public School] 2013-14","Lowest Grade Offered [Public School] 2013-14","Highest Grade Offered [Public School] 2013-14","Total Students [Public School] 2013-14"
"21ST CENTURY ESCHOOL","Wisconsin","21ST CENTURY ESCHOOL","550951002818","MIDDLETON-CROSS PLAINS AREA SCHOOL DISTRICT","5509510","DANE COUNTY","55025","55","2429 CLARK ST","MIDDLETON","WI ","53562","2619","2429 CLARK ST","MIDDLETON","WI ","53562","2619","6088299027","1-Regular school","43.099700","-89.507400","0800","3549","5502","Kindergarten","12th Grade","89"
"21ST CENTURY PREPARATORY SCHOOL","Wisconsin","21ST CENTURY PREPARATORY SCHOOL","550004502575","21ST CENTURY PREPARATORY SCHOOL AGENCY","5500045","RACINE COUNTY","55101","55","1220 MOUND AVE","RACINE","WI ","53404","","1220 MOUND AVE","RACINE","WI ","53404","","2625980026","1-Regular school","42.728700","-87.795900","0100","8110","5501","Prekindergarten","8th Grade","443"
"4K COMMUNITY-BASED","Wisconsin","4K COMMUNITY-BASED","551266002889","REEDSBURG SCHOOL DISTRICT","5512660","SAUK COUNTY","55111","55","401 ALEXANDER AVE","REEDSBURG","WI ","53959","1592","401 ALEXANDER AVE","REEDSBURG","WI ","53959","1592","6085244846","1-Regular school","43.529900","-90.024500","0150","4753","5502","Prekindergarten","Prekindergarten","69"
"4K MCFARLAND","Wisconsin","4K MCFARLAND","550891002902","MCFARLAND SCHOOL DISTRICT","5508910","DANE COUNTY","55025","55","5101 FARWELL ST","MCFARLAND","WI ","53558","9216","5101 FARWELL ST","MCFARLAND","WI ","53558","9216","6088384501","1-Regular school","43.012400","-89.296100","0150","3381","5502","Prekindergarten","Prekindergarten","122"
"4K PK OFF SITE","Wisconsin","4K PK OFF SITE","550852002475","MADISON METROPOLITAN SCHOOL DISTRICT","5508520","DANE COUNTY","55025","55","2237 ALLIED DR","MADISON","WI ","53711","4505","2237 ALLIED DR","MADISON","WI ","53711","4505","6082046561","1-Regular school","43.029700","-89.459200","0190","3269","5502","Prekindergarten","Prekindergarten","895"
"7 RIVERS COMMUNITY HIGH SCHOOL","Wisconsin","7 RIVERS COMMUNITY HIGH SCHOOL","550753002950","LA CROSSE SCHOOL DISTRICT","5507530","LA CROSSE COUNTY","55063","55","1500 RANGER DR","LA CROSSE","WI ","54603","2713","1500 RANGER DR","LA CROSSE","WI ","54603","2713","6087897700","4-Alternative/other school","43.844400","-91.233800","0440","2849","5503","†","†","†"
"A C KIEFER EDUCATIONAL CENTER","Wisconsin","A C KIEFER EDUCATIONAL CENTER","551590002455","WAUSAU SCHOOL DISTRICT","5515900","MARATHON COUNTY","55073","55","700 WEST STROWBRIDGE ST","WAUSAU","WI ","54401","2765","700 W STROWBRIDGE ST","WAUSAU","WI ","54401","2765","7152610265","1-Regular school","44.977500","-89.644400","0010","6223","5507","Prekindergarten","Kindergarten","406"
"ABBOTSFORD ELEMENTARY","Wisconsin","ABBOTSFORD ELEMENTARY","550003000001","ABBOTSFORD SCHOOL DISTRICT","5500030","CLARK COUNTY","55019","55","510 WEST HEMLOCK ST","ABBOTSFORD","WI ","54405","0901","PO BOX A","ABBOTSFORD","WI ","54405","0901","7152234281","1-Regular school","44.949200","-90.332100","0020","0007","5507","Prekindergarten","5th Grade","381"
"ABBOTSFORD MIDDLE/SENIOR HIGH","Wisconsin","ABBOTSFORD MIDDLE/SENIOR HIGH","550003000002","ABBOTSFORD SCHOOL DISTRICT","5500030","CLARK COUNTY","55019","55","307 NORTH 4TH AVE","ABBOTSFORD","WI ","54405","9521","PO BOX 70","ABBOTSFORD","WI ","54405","0070","7152232386","1-Regular school","44.950200","-90.330500","0040","0007","5507","6th Grade","12th Grade","329"
"ABRAHAM LINCOLN ELEMENTARY","Wisconsin","ABRAHAM LINCOLN ELEMENTARY","550984002771","MONROE SCHOOL DISTRICT","5509840","GREEN COUNTY","55045","55","2625 14TH AVE","MONROE","WI ","53566","3373","2625 14TH AVE","MONROE","WI ","53566","3373","6083287172","1-Regular school","42.586700","-89.642900","0010","3682","5502","Prekindergarten","5th Grade","445"
"ABRAMS ELEMENTARY","Wisconsin","ABRAMS ELEMENTARY","551095001431","OCONTO FALLS PUBLIC SCHOOL DISTRICT","5510950","OCONTO COUNTY","55083","55","3000 ELM ST","ABRAMS","WI ","54101","","3000 ELM ST","ABRAMS","WI ","54101","","9208265819","1-Regular school","44.782900","-88.055500","0020","4074","5508","Prekindergarten","5th Grade","288"
"ACADEMY OF ACCELERATED LEARNING","Wisconsin","ACADEMY OF ACCELERATED LEARNING","550960001239","MILWAUKEE SCHOOL DISTRICT","5509600","MILWAUKEE COUNTY","55079","55","3727 SOUTH 78TH ST","MILWAUKEE","WI ","53220","1603","3727 S 78TH ST","MILWAUKEE","WI ","53220","1603","4146047300","1-Regular school","42.977000","-88.010800","0316","3619","5504","Prekindergarten","5th Grade","614"
"ACCELERATED ADVANCED LEARNING PROGRAM","Wisconsin","ACCELERATED ADVANCED LEARNING PROGRAM","551119003364","OSHKOSH AREA SCHOOL DISTRICT","5511190","WINNEBAGO COUNTY","55139","55","108 WEST NEW YORK AVE","OSHKOSH","WI ","54901","3795","108 W NEW YORK AVE","OSHKOSH","WI ","54901","3795","9204240177","1-Regular school","44.033100","-88.539800","0170","4179","5506","6th Grade","8th Grade","26"
"ACE CHARTER SCHOOL","Wisconsin","ACE CHARTER SCHOOL","551032003366","NEENAH JOINT SCHOOL DISTRICT","5510320","WINNEBAGO COUNTY","55139","55","215 EAST FOREST AVE","NEENAH","WI ","54956","2765","215 E FOREST AVE","NEENAH","WI ","54956","2765","9207516970","1-Regular school","44.189900","-88.454200","0125","3892","5506","Kindergarten","5th Grade","126"
"ACHIEVEMENT CENTER","Wisconsin","ACHIEVEMENT CENTER","550960002935","MILWAUKEE SCHOOL DISTRICT","5509600","MILWAUKEE COUNTY","55079","55","3517 WEST COURTLAND AVE","MILWAUKEE","WI ","53209","5919","3517 W COURTLAND AVE","MILWAUKEE","WI ","53209","5919","4144758140","4-Alternative/other school","43.102100","-87.957400","0447","3619","5504","6th Grade","12th Grade","23"
"ADAMS ELEMENTARY","Wisconsin","ADAMS ELEMENTARY","550702000756","JANESVILLE SCHOOL DISTRICT","5507020","ROCK COUNTY","55105","55","1138 EAST MEMORIAL DR","JANESVILLE","WI ","53545","1800","1138 E MEMORIAL DR","JANESVILLE","WI ","53545","1800","6087436300","1-Regular school","42.692700","-89.011000","0020","2695","5501","Prekindergarten","5th Grade","398"
"ADAMS-FRIENDSHIP ELEMENTARY","Wisconsin","ADAMS-FRIENDSHIP ELEMENTARY","550006001433","ADAMS-FRIENDSHIP AREA SCHOOL DISTRICT","5500060","ADAMS COUNTY","55001","55","500 NORTH PIERCE ST","ADAMS","WI ","53910","9135","201 W 6TH ST","FRIENDSHIP","WI ","53934","9135","6083393016","1-Regular school","43.968100","-89.819900","0130","0014","5503","Prekindergarten","5th Grade","509"
"ADAMS-FRIENDSHIP HIGH","Wisconsin","ADAMS-FRIENDSHIP HIGH","550006000005","ADAMS-FRIENDSHIP AREA SCHOOL DISTRICT","5500060","ADAMS COUNTY","55001","55","1109 EAST NORTH ST","ADAMS","WI ","53910","9135","1109 E NORTH ST","ADAMS","WI ","53910","9135","6083393921","1-Regular school","43.963700","-89.817000","0040","0014","5503","9th Grade","12th Grade","515"
"ADAMS-FRIENDSHIP MIDDLE","Wisconsin","ADAMS-FRIENDSHIP MIDDLE","550006001454","ADAMS-FRIENDSHIP AREA SCHOOL DISTRICT","5500060","ADAMS COUNTY","55001","55","420 NORTH MAIN ST","ADAMS","WI ","53910","0346","201 W 6TH ST","FRIENDSHIP","WI ","53934","9135","6083394064","1-Regular school","43.965100","-89.810500","0210","0014","5503","6th Grade","8th Grade","344"
"ADDISON ELEMENTARY","Wisconsin","ADDISON ELEMENTARY","551395002540","SLINGER SCHOOL DISTRICT","5513950","WASHINGTON COUNTY","55131","55","5050 INDIAN RD","HARTFORD","WI ","53027","","5050 INDIAN RD","HARTFORD","WI ","53027","","2626448037","1-Regular school","43.375400","-88.298000","0100","5390","5505","Prekindergarten","5th Grade","443"
"ADVANCED LANGUAGE AND ACADEMIC STUDIES","Wisconsin","ADVANCED LANGUAGE AND ACADEMIC STUDIES","550960003372","MILWAUKEE SCHOOL DISTRICT","5509600","MILWAUKEE COUNTY","55079","55","1515 WEST LAPHAM BLVD","MILWAUKEE","WI ","53204","3236","1515 W LAPHAM BLVD","MILWAUKEE","WI ","53204","3236","4149027300","1-Regular school","43.013500","-87.930000","0412","3619","5504","9th Grade","12th Grade","247"
"ADVANCED LEARNING ACADEMY OF WISCONSIN","Wisconsin","ADVANCED LEARNING ACADEMY OF WISCONSIN","550087002864","BARRON AREA SCHOOL DISTRICT","5500870","BARRON COUNTY","55005","55","1050 EAST WOODLAND AVE","BARRON","WI ","54812","1052","1050 E WOODLAND AVE","BARRON","WI ","54812","1052","7155375627","1-Regular school","45.395800","-91.844800","0810","0308","5507","Prekindergarten","12th Grade","46"
"AL BEHRMAN ELEMENTARY","Wisconsin","AL BEHRMAN ELEMENTARY","550081000109","BARABOO SCHOOL DISTRICT","5500810","SAUK COUNTY","55111","55","400 MULBERRY ST","BARABOO","WI ","53913","3012","400 MULBERRY ST","BARABOO","WI ","53913","3012","6083553910","1-Regular school","43.458200","-89.738000","0180","0280","5502","Prekindergarten","5th Grade","367"
"ALBA - ACADEMIA DE LENGUAJE Y BELLAS ARTES","Wisconsin","ALBA - ACADEMIA DE LENGUAJE Y BELLAS ARTES","550960003371","MILWAUKEE SCHOOL DISTRICT","5509600","MILWAUKEE COUNTY","55079","55","1712 SOUTH 32ND ST","MILWAUKEE","WI ","53215","2104","1712 S 32ND ST","MILWAUKEE","WI ","53215","2104","4149027525","1-Regular school","43.011900","-87.953300","0162","3619","5504","Prekindergarten","5th Grade","407"
"ALBANY COMMUNITY MIDDLE","Wisconsin","ALBANY COMMUNITY MIDDLE","550012002357","ALBANY SCHOOL DISTRICT","5500120","GREEN COUNTY","55045","55","400 5TH ST","ALBANY","WI ","53502","0349","PO BOX 349","ALBANY","WI ","53502","0349","6088623135","1-Regular school","42.707000","-89.434000","0060","0063","5502","5th Grade","8th Grade","114"
"ALBANY ELEMENTARY","Wisconsin","ALBANY ELEMENTARY","550012000013","ALBANY SCHOOL DISTRICT","5500120","GREEN COUNTY","55045","55","400 5TH ST","ALBANY","WI ","53502","0349","PO BOX 349","ALBANY","WI ","53502","0349","6088623225","1-Regular school","42.707000","-89.434000","0020","0063","5502","Prekindergarten","4th Grade","152"
"ALBANY HIGH","Wisconsin","ALBANY HIGH","550012000014","ALBANY SCHOOL DISTRICT","5500120","GREEN COUNTY","55045","55","400 5TH ST","ALBANY","WI ","53502","0349","PO BOX 349","ALBANY","WI ","53502","0349","6088623135","1-Regular school","42.707000","-89.434100","0040","0063","5502","9th Grade","12th Grade","99"
"ALCOTT ELEMENTARY","Wisconsin","ALCOTT ELEMENTARY","550960001121","MILWAUKEE SCHOOL DISTRICT","5509600","MILWAUKEE COUNTY","55079","55","3563 SOUTH 97TH ST","MILWAUKEE","WI ","53228","1416","3563 S 97TH ST","MILWAUKEE","WI ","53228","1416","4146047400","1-Regular school","42.979300","-88.035300","0075","3619","5504","Prekindergarten","8th Grade","365"
