"School Name","State Name [Public School] Latest available year","School Name [Public School] 2013-14","School ID - NCES Assigned [Public School] Latest available year","Agency Name [Public School] 2013-14","Agency ID - NCES Assigned [Public School] Latest available year","County Name [Public School] 2013-14","County Number [Public School] 2013-14","ANSI/FIPS State Code [Public School] Latest available year","Location Address [Public School] 2013-14","Location City [Public School] 2013-14","Location State Abbr [Public School] 2013-14","Location ZIP [Public School] 2013-14","Location ZIP4 [Public School] 2013-14","Mailing Address [Public School] 2013-14","Mailing City [Public School] 2013-14","Mailing State Abbr [Public School] 2013-14","Mailing ZIP [Public School] 2013-14","Mailing ZIP4 [Public School] 2013-14","Phone Number [Public School] 2013-14","School Type [Public School] 2013-14","Latitude [Public School] 2013-14","Longitude [Public School] 2013-14","State School ID [Public School] 2013-14","State Agency ID [Public School] 2013-14","Congressional Code [Public School] 2013-14","Lowest Grade Offered [Public School] 2013-14","Highest Grade Offered [Public School] 2013-14","Total Students [Public School] 2013-14"
"""J.M. """"CHICK"""" BUCKBEE JUVENILE CENTER""","West Virginia","""J.M. """"CHICK"""" BUCKBEE JUVENILE CENTER""","540051101159","INSTITUTIONAL EDUCATIONAL PROGRAMS","5400511","HAMPSHIRE COUNTY","54027","54","1 JERRY LN","AUGUSTA","WV ","26704","","#1 JERRY LANE","AUGUSTA","WV ","26704","","3044961369","4-Alternative/other school","39.301300","-78.646400","34126","3400000","5402","7th Grade","12th Grade","15"
"""JAMES H. """"TIGER"""" MORTON JUVENILE CENTER""","West Virginia","""JAMES H. """"TIGER"""" MORTON JUVENILE CENTER""","540051101146","INSTITUTIONAL EDUCATIONAL PROGRAMS","5400511","KANAWHA COUNTY","54039","54","60 MANFRED HOLLAND WAY","DUNBAR","WV ","25064","","60 MANFRED HOLLAND WAY","DUNBAR","WV ","25064","","3047663502","4-Alternative/other school","38.374700","-81.760000","34125","3400000","5402","7th Grade","12th Grade","17"
"A. T. ALLISON ELEMENTARY SCHOOL","West Virginia","A. T. ALLISON ELEMENTARY SCHOOL","540045001186","HANCOCK COUNTY SCHOOLS","5400450","HANCOCK COUNTY","54029","54","600 RAILROAD ST","CHESTER","WV ","26034","1398","600 RAILROAD STREET","CHESTER","WV ","26034","1398","3043871915","1-Regular school","40.616100","-80.562000","29210","2900000","5401","Prekindergarten","4th Grade","465"
"ACADEMY OF CAREERS AND TECHNOLOGY","West Virginia","ACADEMY OF CAREERS AND TECHNOLOGY","540123000977","RALEIGH COUNTY SCHOOLS","5401230","RALEIGH COUNTY","54081","54","390 STANAFORD RD","BECKLEY","WV ","25801","3144","390 STANAFORD ROAD","BECKLEY","WV ","25801","3144","3042564615","3-Vocational school","37.798700","-81.164500","74701","7400000","5403","Prekindergarten","12th Grade","–"
"ADAMSTON ELEMENTARY SCHOOL","West Virginia","ADAMSTON ELEMENTARY SCHOOL","540051000282","HARRISON COUNTY SCHOOLS","5400510","HARRISON COUNTY","54033","54","1636 WEST PK ST","CLARKSBURG","WV ","26301","2361","1636 WEST PIKE STREET","CLARKSBURG","WV ","26301","2361","3043267070","1-Regular school","39.291100","-80.359300","33201","3300000","5401","Prekindergarten","5th Grade","306"
"ALBAN ELEMENTARY SCHOOL","West Virginia","ALBAN ELEMENTARY SCHOOL","540060000353","KANAWHA COUNTY SCHOOLS","5400600","KANAWHA COUNTY","54039","54","2030 HARRISON AVE","SAINT ALBANS","WV ","25177","1919","2030 HARRISON AVENUE","ST. ALBANS","WV ","25177","1919","3047220234","1-Regular school","38.385600","-81.812700","39201","3900000","5402","Prekindergarten","5th Grade","376"
"ALDERSON ELEMENTARY","West Virginia","ALDERSON ELEMENTARY","540039000224","GREENBRIER COUNTY SCHOOLS","5400390","GREENBRIER COUNTY","54025","54","ELMWOOD AVE AND CHASE ST","ALDERSON","WV ","24910","0489","RR1 BOX 162F","ALDERSON","WV ","24910","0489","3044457241","1-Regular school","37.727000","-80.636100","26201","2600000","5403","Prekindergarten","5th Grade","224"
"ALTERNATIVE EDUCATION HIGH SCHOOL","West Virginia","ALTERNATIVE EDUCATION HIGH SCHOOL","540018000884","CABELL COUNTY SCHOOLS","5400180","CABELL COUNTY","54011","54","2800 5TH AVE","HUNTINGTON","WV ","25702","","2800 5TH AVE","HUNTINGTON","WV ","25702","","3045285060","4-Alternative/other school","38.427300","-82.400300","12502","1200000","5403","6th Grade","12th Grade","44"
"ALTIZER ELEMENTARY SCHOOL","West Virginia","ALTIZER ELEMENTARY SCHOOL","540018000088","CABELL COUNTY SCHOOLS","5400180","CABELL COUNTY","54011","54","250 THIRD ST ALTIZER","HUNTINGTON","WV ","25705","1867","250 THIRD STREET  ALTIZER","HUNTINGTON","WV ","25705","1867","3045285100","1-Regular school","38.414600","-82.364000","12203","1200000","5403","Prekindergarten","5th Grade","279"
"ALUM BRIDGE ELEMENTARY SCHOOL","West Virginia","ALUM BRIDGE ELEMENTARY SCHOOL","540063000469","LEWIS COUNTY SCHOOLS","5400630","LEWIS COUNTY","54041","54","10949 US HWY 33 WEST","ALUM BRIDGE","WV ","26321","1086","PO DRAWER 1086","ALUM BRIDGE","WV ","26321","1086","3043048312","1-Regular school","39.015300","-80.697900","41201","4100000","5402","Prekindergarten","4th Grade","94"
"ALUM CREEK ELEMENTARY SCHOOL","West Virginia","ALUM CREEK ELEMENTARY SCHOOL","540060000354","KANAWHA COUNTY SCHOOLS","5400600","KANAWHA COUNTY","54039","54","RT 7 BOX 279A","SOUTH CHARLESTON","WV ","25309","9512","RT 7 BOX 279A","SO CHARLESTON","WV ","25309","9512","3043481935","1-Regular school","38.270700","-81.777100","39202","3900000","5402","Prekindergarten","5th Grade","202"
"ANAWALT ELEMENTARY SCHOOL","West Virginia","ANAWALT ELEMENTARY SCHOOL","540081000633","MCDOWELL COUNTY SCHOOLS","5400810","MCDOWELL COUNTY","54047","54","SCHOOL HOUSE RD","ANAWALT","WV ","24808","0280","BOX 230","ANAWALT","WV ","24808","0280","3043834849","1-Regular school","37.329300","-81.436600","60203","6000000","5403","Prekindergarten","5th Grade","107"
"ANDREW JACKSON MIDDLE SCHOOL","West Virginia","ANDREW JACKSON MIDDLE SCHOOL","540060000355","KANAWHA COUNTY SCHOOLS","5400600","KANAWHA COUNTY","54039","54","5445 BIG TYLER RD","CHARLESTON","WV ","25313","1133","5445 BIG TYLER ROAD","CHARLESTON","WV ","25313","1133","3047763310","1-Regular school","38.427000","-81.782900","39402","3900000","5402","6th Grade","8th Grade","643"
"ANDREWS HEIGHTS ELEMENTARY SCHOOL","West Virginia","ANDREWS HEIGHTS ELEMENTARY SCHOOL","540060000356","KANAWHA COUNTY SCHOOLS","5400600","KANAWHA COUNTY","54039","54","COAL RIVER RD","TORNADO","WV ","25202","0340","P O  BOX 340","TORNADO","WV ","25202","0340","3047220232","1-Regular school","38.335100","-81.842600","39203","3900000","5402","Prekindergarten","5th Grade","308"
"ANNA JARVIS ELEMENTARY SCHOOL","West Virginia","ANNA JARVIS ELEMENTARY SCHOOL","540138001050","TAYLOR COUNTY SCHOOLS","5401380","TAYLOR COUNTY","54091","54","650 NORTH PK ST","GRAFTON","WV ","26354","1220","650 N. PIKE STREET","GRAFTON","WV ","26354","1220","3043044090","1-Regular school","39.344000","-80.026200","83201","8300000","5401","Prekindergarten","4th Grade","618"
"ANNE BAILEY ELEMENTARY SCHOOL","West Virginia","ANNE BAILEY ELEMENTARY SCHOOL","540060000357","KANAWHA COUNTY SCHOOLS","5400600","KANAWHA COUNTY","54039","54","405 WINFIELD RD","SAINT ALBANS","WV ","25177","1551","405 WINFIELD ROAD","ST. ALBANS","WV ","25177","1551","3047220230","1-Regular school","38.400700","-81.857000","39204","3900000","5402","Prekindergarten","5th Grade","330"
"ANSTED ELEMENTARY","West Virginia","ANSTED ELEMENTARY","540030000167","FAYETTE COUNTY SCHOOLS","5400300","FAYETTE COUNTY","54019","54","118 CHURCH ST","ANSTED","WV ","25812","0609","PO BOX 609","ANSTED","WV ","25812","0609","3046585961","1-Regular school","38.133900","-81.096100","20201","2000000","5403","Prekindergarten","5th Grade","254"
