"School Name","State Name [Public School] Latest available year","School Name [Public School] 2013-14","School ID - NCES Assigned [Public School] Latest available year","Agency Name [Public School] 2013-14","Agency ID - NCES Assigned [Public School] Latest available year","County Name [Public School] 2013-14","County Number [Public School] 2013-14","ANSI/FIPS State Code [Public School] Latest available year","Location Address [Public School] 2013-14","Location City [Public School] 2013-14","Location State Abbr [Public School] 2013-14","Location ZIP [Public School] 2013-14","Location ZIP4 [Public School] 2013-14","Mailing Address [Public School] 2013-14","Mailing City [Public School] 2013-14","Mailing State Abbr [Public School] 2013-14","Mailing ZIP [Public School] 2013-14","Mailing ZIP4 [Public School] 2013-14","Phone Number [Public School] 2013-14","School Type [Public School] 2013-14","Latitude [Public School] 2013-14","Longitude [Public School] 2013-14","State School ID [Public School] 2013-14","State Agency ID [Public School] 2013-14","Congressional Code [Public School] 2013-14","Lowest Grade Offered [Public School] 2013-14","Highest Grade Offered [Public School] 2013-14","Total Students [Public School] 2013-14"
"4-J ELEMENTARY SCHOOL","Wyoming","4-J ELEMENTARY SCHOOL","560147000454","CAMPBELL COUNTY SCHOOL DISTRICT #1","5601470","CAMPBELL COUNTY","56005","56","2830 HWY 50A","GILLETTE","WY ","82717","3033","P.O. BOX 3033","GILLETTE","WY ","82717","3033","3076823076","1-Regular school","43.960200","-105.734900","0301002","0301000","5600","Kindergarten","6th Grade","40"
"AFFLERBACH ELEMENTARY","Wyoming","AFFLERBACH ELEMENTARY","560198000480","LARAMIE COUNTY SCHOOL DISTRICT #1","5601980","LARAMIE COUNTY","56021","56","400 WEST WALLICK RD","CHEYENNE","WY ","82007","9324","400 WEST WALLICK RD","CHEYENNE","WY ","82007","9324","3077712300","1-Regular school","41.088700","-104.804000","1101027","1101000","5600","Kindergarten","6th Grade","417"
"AFTON ELEMENTARY","Wyoming","AFTON ELEMENTARY","560406000204","LINCOLN COUNTY SCHOOL DISTRICT #2","5604060","LINCOLN COUNTY","56023","56","333 EAST 1ST AVE","AFTON","WY ","83110","8002","P.O. BOX 8002","AFTON","WY ","83110","8002","3078858002","1-Regular school","42.731500","-110.925400","1202001","1202000","5600","Kindergarten","3rd Grade","385"
"ALBIN ELEMENTARY","Wyoming","ALBIN ELEMENTARY","560412000208","LARAMIE COUNTY SCHOOL DISTRICT #2","5604120","LARAMIE COUNTY","56021","56","454 5TH AVE","ALBIN","WY ","82050","0038","P.O. BOX 38","ALBIN","WY ","82050","0038","3072454090","1-Regular school","41.417600","-104.097100","1102001","1102000","5600","Kindergarten","6th Grade","73"
"ALCOVA ELEMENTARY","Wyoming","ALCOVA ELEMENTARY","560451000235","NATRONA COUNTY SCHOOL DISTRICT #1","5604510","NATRONA COUNTY","56025","56","22000 RECLAMATION DR","ALCOVA","WY ","82620","0106","P.O. BOX 106","ALCOVA","WY ","82620","0106","3074722079","1-Regular school","42.550300","-106.714200","1301001","1301000","5600","Kindergarten","6th Grade","2"
"ALTA ELEMENTARY","Wyoming","ALTA ELEMENTARY","560583000337","TETON COUNTY SCHOOL DISTRICT #1","5605830","TETON COUNTY","56039","56","15 SCHOOL RD","ALTA","WY ","83414","0568","ROUTE 1, BOX 3480","ALTA","WY ","83414","0568","3073532472","1-Regular school","43.755600","-111.034900","2001001","2001000","5600","Kindergarten","6th Grade","51"
"ALTA VISTA ELEMENTARY","Wyoming","ALTA VISTA ELEMENTARY","560198000096","LARAMIE COUNTY SCHOOL DISTRICT #1","5601980","LARAMIE COUNTY","56021","56","1514 EAST 16TH ST","CHEYENNE","WY ","82001","4999","1514 EAST 16TH ST","CHEYENNE","WY ","82001","4999","3077712310","1-Regular school","41.140200","-104.796500","1101001","1101000","5600","Kindergarten","6th Grade","269"
"ANDERSON ELEMENTARY","Wyoming","ANDERSON ELEMENTARY","560198000438","LARAMIE COUNTY SCHOOL DISTRICT #1","5601980","LARAMIE COUNTY","56021","56","2204 PLAIN VIEW RD","CHEYENNE","WY ","82009","4433","2204 PLAIN VIEW RD","CHEYENNE","WY ","82009","4433","3077712606","1-Regular school","41.170000","-104.786900","1101026","1101000","5600","Kindergarten","6th Grade","497"
"ARAPAHOE CHARTER HIGH SCHOOL","Wyoming","ARAPAHOE CHARTER HIGH SCHOOL","560096000367","FREMONT COUNTY SCHOOL DISTRICT #38","5600960","FREMONT COUNTY","56013","56","189 LEFT HAND DITCH RD","RIVERTON","WY ","82501","","189 LEFT HAND DITCH RD","RIVERTON","WY ","82501","","3078563862","1-Regular school","42.975900","-108.479300","0738055","0738000","5600","9th Grade","12th Grade","38"
"ARAPAHOE ELEMENTARY","Wyoming","ARAPAHOE ELEMENTARY","560096000162","FREMONT COUNTY SCHOOL DISTRICT #38","5600960","FREMONT COUNTY","56013","56","445 LITTLE WIND RIVER BOTTOM","ARAPAHOE","WY ","82510","0211","445 LITTLE WIND RIVER BOTTOM","ARAPAHOE","WY ","82510","0211","3078569333","1-Regular school","42.963100","-108.491500","0738001","0738000","5600","Prekindergarten","8th Grade","408"
