"Agency Name","State Name [District] Latest available year","Agency ID - NCES Assigned [District] Latest available year","County Name [District] 2013-14","County Number [District] 2013-14","ANSI/FIPS State Code [District] Latest available year","Total Number Operational Schools [Public School] 2013-14","Location Address [District] 2013-14","Location City [District] 2013-14","Location State Abbr [District] 2013-14","Location ZIP [District] 2013-14","Location ZIP4 [District] 2013-14","Mailing Address [District] 2013-14","Mailing City [District] 2013-14","Mailing State Abbr [District] 2013-14","Mailing ZIP [District] 2013-14","Mailing ZIP4 [District] 2013-14","Phone Number [District] 2013-14","Agency Type [District] 2013-14","Latitude [District] 2013-14","Longitude [District] 2013-14","State Agency ID [District] 2013-14","Lowest Grade Offered [District] 2013-14","Highest Grade Offered [District] 2013-14","State Name [District] 2013-14","Total Students (UG, PK-12) [District] 2013-14"
"ALASKA GATEWAY SCHOOL DISTRICT","Alaska","0200050","SOUTHEAST FAIRBANKS CENSUS AREA","02240","02","8","1313.5 ALASKA HWY","TOK","AK ","99780","","P.O. BOX 226","TOK","AK ","99780","","9078835151","1-Local school district","63.311400","-142.602500","03","Prekindergarten","12th Grade","Alaska","404"
"ALEUTIAN REGION SCHOOL DISTRICT","Alaska","0200010","ANCHORAGE MUNICIPALITY","02020","02","2","118 EAST INTERNATIONAL AIRPORT","ANCHORAGE","AK ","99518","","P.O. BOX 92230","ANCHORAGE","AK ","99509","","9072772648","1-Local school district","61.173600","-149.882000","04","Prekindergarten","12th Grade","Alaska","35"
"ALEUTIANS EAST BOROUGH SCHOOL DISTRICT","Alaska","0200007","ALEUTIANS EAST BOROUGH","02013","02","6","100 MOSSBERRY LN","SAND POINT","AK ","99661","0429","P.O. BOX 429","SAND POINT","AK ","99661","0429","9073835222","1-Local school district","55.299900","-160.671400","56","Prekindergarten","12th Grade","Alaska","249"
"ANCHORAGE SCHOOL DISTRICT","Alaska","0200180","ANCHORAGE MUNICIPALITY","02020","02","97","5530 EAST NORTHERN LIGHTS BLVD","ANCHORAGE","AK ","99504","3135","5530 E. NORTHERN LIGHTS BLVD","ANCHORAGE","AK ","99504","3135","9077424312","1-Local school district","61.195100","-149.775900","05","Prekindergarten","12th Grade","Alaska","48159"
"ANNETTE ISLAND SCHOOL DISTRICT","Alaska","0200525","PRINCE OF WALES-HYDER CENSUS AREA","02198","02","3","4TH AND MILTON ST","METLAKATLA","AK ","99926","0007","P.O. BOX 7","METLAKATLA","AK ","99926","0007","9078866332","1-Local school district","55.128700","-131.575000","06","Prekindergarten","12th Grade","Alaska","292"
"BERING STRAIT SCHOOL DISTRICT","Alaska","0200020","NOME CENSUS AREA","02180","02","15","225 MAIN ST","UNALAKLEET","AK ","99684","0225","P.O. BOX 225","UNALAKLEET","AK ","99684","0225","9076244261","1-Local school district","63.875000","-160.789200","07","Prekindergarten","12th Grade","Alaska","1904"
"BRISTOL BAY BOROUGH SCHOOL DISTRICT","Alaska","0200030","BRISTOL BAY BOROUGH","02060","02","2","2 SCHOOL RD NORTH","NAKNEK","AK ","99633","0169","P.O. BOX 169","NAKNEK","AK ","99633","0169","9072464225","1-Local school district","58.733300","-157.004600","08","Prekindergarten","12th Grade","Alaska","151"
"CHATHAM SCHOOL DISTRICT","Alaska","0200730","HOONAH-ANGOON CENSUS AREA","02105","02","4","100 KOOTZNOOHOO RD","ANGOON","AK ","99820","","P.O. BOX 109","ANGOON","AK ","99820","","9077883302","1-Local school district","57.503000","-134.583500","09","Prekindergarten","12th Grade","Alaska","150"
"CHUGACH SCHOOL DISTRICT","Alaska","0200800","ANCHORAGE MUNICIPALITY","02020","02","4","9312 VANGUARD DR","ANCHORAGE","AK ","99507","5355","9312 VANGUARD DRIVE, SUITE 100","ANCHORAGE","AK ","99507","5355","9075227400","1-Local school district","61.136600","-149.847800","10","Prekindergarten","12th Grade","Alaska","308"
"COPPER RIVER SCHOOL DISTRICT","Alaska","0200070","VALDEZ-CORDOVA CENSUS AREA","02261","02","5","1976 AURORA DR","GLENNALLEN","AK ","99588","","P.O. BOX 108","GLENNALLEN","AK ","99588","","9078223234","1-Local school district","62.112600","-145.529700","11","Prekindergarten","12th Grade","Alaska","448"
"CORDOVA CITY SCHOOL DISTRICT","Alaska","0200060","VALDEZ-CORDOVA CENSUS AREA","02261","02","3","675 SECOND ST","CORDOVA","AK ","99574","0140","P.O. BOX 1330","CORDOVA","AK ","99574","0140","9074243265","1-Local school district","60.544800","-145.757100","12","Prekindergarten","12th Grade","Alaska","325"
"CRAIG CITY SCHOOL DISTRICT","Alaska","0200090","PRINCE OF WALES-HYDER CENSUS AREA","02198","02","5","100 SCHOOL RD","CRAIG","AK ","99921","","P.O. BOX 800","CRAIG","AK ","99921","","9078263274","1-Local school district","55.476800","-133.135900","13","Prekindergarten","12th Grade","Alaska","586"
"DELTA-GREELY SCHOOL DISTRICT","Alaska","0200100","SOUTHEAST FAIRBANKS CENSUS AREA","02240","02","6","1664 NORTH CLEARWATER","DELTA JUNCTION","AK ","99737","0527","P.O. BOX 527","DELTA JUNCTION","AK ","99737","0527","9078954657","1-Local school district","64.043500","-145.713200","14","Prekindergarten","12th Grade","Alaska","851"
