"Agency Name","State Name [District] Latest available year","Agency ID - NCES Assigned [District] Latest available year","County Name [District] 2013-14","County Number [District] 2013-14","ANSI/FIPS State Code [District] Latest available year","Total Number Operational Schools [Public School] 2013-14","Location Address [District] 2013-14","Location City [District] 2013-14","Location State Abbr [District] 2013-14","Location ZIP [District] 2013-14","Location ZIP4 [District] 2013-14","Mailing Address [District] 2013-14","Mailing City [District] 2013-14","Mailing State Abbr [District] 2013-14","Mailing ZIP [District] 2013-14","Mailing ZIP4 [District] 2013-14","Phone Number [District] 2013-14","Agency Type [District] 2013-14","Latitude [District] 2013-14","Longitude [District] 2013-14","State Agency ID [District] 2013-14","Lowest Grade Offered [District] 2013-14","Highest Grade Offered [District] 2013-14","State Name [District] 2013-14","Total Students (UG, PK-12) [District] 2013-14"
"AL INST DEAF AND BLIND","Alabama","0100009","TALLADEGA COUNTY","01121","01","4","P O DRAWER 698","TALLADEGA","AL ","35161","2411","P O DRAWER 698","TALLADEGA","AL ","35161","0698","2567613200","5-State-operated institution","33.435200","-86.102400","600","Kindergarten","12th Grade","Alabama","†"
"ALABAMA CLINICAL SCHOOL","Alabama","0100183","JEFFERSON COUNTY","01073","01","1","1221 ALTON DR","BIRMINGHAM","AL ","35210","","1221 ALTON DRIVE","BIRMINGHAM","AL ","35210","","2565466324","5-State-operated institution","33.584400","-86.646300","709","†","†","Alabama","†"
"ALABAMA CORRECTIONAL FACILITIES","Alabama","0100176","MONTGOMERY COUNTY","01101","01","4","301 SOUTH RIPLEY ST","MONTGOMERY","AL ","36104","","ROUTE 1 BOX 33","WETUMPKA","AL ","36092","","3343654054","5-State-operated institution","32.374400","-86.298000","640","†","†","Alabama","†"
"ALABAMA SCHOOL OF FINE ARTS","Alabama","0100018","JEFFERSON COUNTY","01073","01","1","1800 8TH AVE NORTH","BIRMINGHAM","AL ","35203","2203","1800 8TH AVE N","BIRMINGHAM","AL ","35203","2203","2052529241","1-Local school district","33.520300","-86.813300","207","7th Grade","12th Grade","Alabama","†"
"ALABAMA YOUTH SERVICES","Alabama","0100002","MONTGOMERY COUNTY","01101","01","7","1000 INDUSTRIAL SCHOOL ROAD","MT. MEIGS","AL ","36057","0066","P O BOX 66","MT MEIGS","AL ","36057","0066","3342153850","1-Local school district","32.377000","-86.083000","210","3rd Grade","12th Grade","Alabama","–"
"ALABASTER CITY","Alabama","0100190","SHELBY COUNTY","01117","01","7","201 1ST ST NORTH","ALABASTER","AL ","35007","","201 1ST STREET NORTH","ALABASTER","AL ","35007","","2056646840","1-Local school district","33.245800","-86.815800","103","Kindergarten","12th Grade","Alabama","6123"
"ALBERTVILLE CITY","Alabama","0100005","MARSHALL COUNTY","01095","01","6","107 WEST MAIN ST","ALBERTVILLE","AL ","35950","0025","107 WEST MAIN ST","ALBERTVILLE","AL ","35950","0025","2568911183","1-Local school district","34.267500","-86.208600","101","Prekindergarten","12th Grade","Alabama","4713"
"ALEXANDER CITY","Alabama","0100030","TALLAPOOSA COUNTY","01123","01","5","375 LEE ST","ALEXANDER CITY","AL ","35010","2053","375 LEE STREET","ALEXANDER CITY","AL ","35010","2053","2562348698","1-Local school district","32.941100","-85.958400","102","Prekindergarten","12th Grade","Alabama","3087"
"ANDALUSIA CITY","Alabama","0100060","COVINGTON COUNTY","01039","01","3","122 6TH AVE","ANDALUSIA","AL ","36420","3152","122 6TH AVE","ANDALUSIA","AL ","36420","3152","3342223186","1-Local school district","31.310400","-86.477200","104","Prekindergarten","12th Grade","Alabama","1754"
"ANNISTON CITY","Alabama","0100090","CALHOUN COUNTY","01015","01","9","4804 MCCLELLAN BLVD","ANNISTON","AL ","36206","1863","P O BOX 1500","ANNISTON","AL ","36202","1500","2562315000","1-Local school district","33.707100","-85.821600","105","Prekindergarten","12th Grade","Alabama","2039"
"ARAB CITY","Alabama","0100100","MARSHALL COUNTY","01095","01","4","750 ARABIAN DR NE","ARAB","AL ","35016","1161","750 ARABIAN DR NE","ARAB","AL ","35016","1161","2565866011","1-Local school district","34.327900","-86.488300","106","Prekindergarten","12th Grade","Alabama","2607"
"ATHENS CITY","Alabama","0100120","LIMESTONE COUNTY","01083","01","7","313 EAST WASHINGTON ST","ATHENS","AL ","35611","2653","313 E WASHINGTON ST","ATHENS","AL ","35611","2653","2562336600","1-Local school district","34.803600","-86.966700","107","Kindergarten","12th Grade","Alabama","3279"
"ATTALLA CITY","Alabama","0100180","ETOWAH COUNTY","01055","01","3","101 CASE AVE","ATTALLA","AL ","35954","3404","101 CASE AVE","ATTALLA","AL ","35954","3404","2565388051","1-Local school district","33.995600","-86.111100","109","Prekindergarten","12th Grade","Alabama","1747"
"AUBURN CITY","Alabama","0100210","LEE COUNTY","01081","01","11","855 EAST SAMFORD AVE","AUBURN","AL ","36830","","P O BOX 3270","AUBURN","AL ","36831","3270","3348872100","1-Local school district","32.598800","-85.464100","110","Prekindergarten","12th Grade","Alabama","7843"
"AUTAUGA COUNTY","Alabama","0100240","AUTAUGA COUNTY","01001","01","15","153 WEST 4TH ST","PRATTVILLE","AL ","36067","3011","153 W 4TH ST","PRATTVILLE","AL ","36067","3011","3343655706","1-Local school district","32.462800","-86.474200","001","Kindergarten","12th Grade","Alabama","9556"
"BALDWIN COUNTY","Alabama","0100270","BALDWIN COUNTY","01003","01","47","2600A NORTH HAND AVE","BAY MINETTE","AL ","36507","4180","2600-A N HAND AVE","BAY MINETTE","AL ","36507","4180","2519370308","1-Local school district","30.910800","-87.787200","002","Prekindergarten","12th Grade","Alabama","30281"
"BARBOUR COUNTY","Alabama","0100300","BARBOUR COUNTY","01005","01","4","100 COURTHOUSE COURTSQUARE","CLAYTON","AL ","36016","0429","P O BOX 429","CLAYTON","AL ","36016","0429","3347753453","1-Local school district","31.878100","-85.449800","003","Prekindergarten","12th Grade","Alabama","969"
"BAY POINT CENTER","Alabama","0100037","MOBILE COUNTY","01097","01","0","5800 SOUTHLAND DR","MOBILE","AL ","36693","","5800 SOUTHLAND DRIVE","MOBILE","AL ","36693","","3344502223","5-State-operated institution","30.623900","-88.178000","666","†","†","Alabama","†"
"BESSEMER CITY","Alabama","0100330","JEFFERSON COUNTY","01073","01","9","1621 5TH AVE NORTH","BESSEMER","AL ","35021","","P O BOX 1230","BESSEMER","AL ","35021","1230","2054323000","1-Local school district","33.400700","-86.958000","113","Prekindergarten","12th Grade","Alabama","3995"
"BIBB COUNTY","Alabama","0100360","BIBB COUNTY","01007","01","10","157 SW DAVIDSON DR","CENTREVILLE","AL ","35042","2277","157 SW DAVIDSON DR","CENTREVILLE","AL ","35042","2277","2059269881","1-Local school district","32.946100","-87.136200","004","Prekindergarten","12th Grade","Alabama","3448"
"BIRMINGHAM CITY","Alabama","0100390","JEFFERSON COUNTY","01073","01","83","2015 PARK PLACE","BIRMINGHAM","AL ","35203","2762","P O BOX 10007","BIRMINGHAM","AL ","35202","0007","2052314220","1-Local school district","33.520000","-86.809100","114","Prekindergarten","12th Grade","Alabama","24858"
"BLOUNT COUNTY","Alabama","0100420","BLOUNT COUNTY","01009","01","17","204 2ND AVE EAST","ONEONTA","AL ","35121","0007","P O BOX 578","ONEONTA","AL ","35121","0007","2056254102","1-Local school district","33.945600","-86.476400","005","Prekindergarten","12th Grade","Alabama","8261"
"BOAZ CITY","Alabama","0100012","MARSHALL COUNTY","01095","01","5","126 NEWT PARKER DR","BOAZ","AL ","35957","","P O BOX 721","BOAZ","AL ","35957","","2565938180","1-Local school district","34.212800","-86.161100","115","Prekindergarten","12th Grade","Alabama","2213"
"BOYD SCHOOL","Alabama","0100020","TUSCALOOSA COUNTY","01125","01","1","20856 EASTERN VALLEY RD","GREEN POND","AL ","35074","","P O BOX 127","GREEN POND","AL ","35074","","2059387663","5-State-operated institution","33.228200","-87.121300","618","†","†","Alabama","†"
"BRANTWOOD CHILDREN'S HOME","Alabama","0100040","MONTGOMERY COUNTY","01101","01","1","1309 UPPER WETUMPKA RD","MONTGOMERY","AL ","36107","","1309 UPPER WETUMPKA RD","MONTGOMERY","AL ","36107","","3348345512","5-State-operated institution","32.385100","-86.290300","681","†","†","Alabama","†"
"BREWERS PORCH CHILDRENS CENTER","Alabama","0100021","TUSCALOOSA COUNTY","01125","01","0","2501 WOODLAND RD","TUSCALOOSA","AL ","35404","5028","P O BOX 870156","TUSCALOOSA","AL ","35487","0156","2053489342","5-State-operated institution","33.186200","-87.490800","619","†","†","Alabama","†"
"BREWTON CITY","Alabama","0100450","ESCAMBIA COUNTY","01053","01","3","811 BELLEVILLE AVE","BREWTON","AL ","36426","1754","811 BELLEVILLE AVE","BREWTON","AL ","36426","1754","2518678400","1-Local school district","31.117700","-87.072300","116","Kindergarten","12th Grade","Alabama","1110"
"BRYCE ADOLESCENT SCHOOL","Alabama","0100016","TUSCALOOSA COUNTY","01125","01","1","200 UNIVERSITY","TUSCALOOSA","AL ","35401","","200 UNIVERSITY","TUSCALOOSA","AL ","35401","","2057590593","5-State-operated institution","33.208100","-87.537400","606","5th Grade","12th Grade","Alabama","†"
"BULLOCK COUNTY","Alabama","0100480","BULLOCK COUNTY","01011","01","5","108 HARDAWAY AVE WEST","UNION SPRINGS","AL ","36089","1547","P O BOX 231","UNION SPRINGS","AL ","36089","0231","3347382860","1-Local school district","32.144500","-85.716400","006","Kindergarten","12th Grade","Alabama","1506"
"BUTLER COUNTY","Alabama","0100510","BUTLER COUNTY","01013","01","7","215 ADMINISTRATIVE DR","GREENVILLE","AL ","36037","1833","215 ADMINISTRATIVE DR","GREENVILLE","AL ","36037","1833","3343822665","1-Local school district","31.831300","-86.639700","007","Prekindergarten","12th Grade","Alabama","3294"
"CALHOUN COUNTY","Alabama","0100540","CALHOUN COUNTY","01015","01","19","4400 MCCLELLAN BLVD","ANNISTON","AL ","36202","2809","P O BOX 2084","ANNISTON","AL ","36202","2084","2567417400","1-Local school district","33.697500","-85.824300","008","Prekindergarten","12th Grade","Alabama","9386"
"CHAMBERS COUNTY","Alabama","0100600","CHAMBERS COUNTY","01017","01","11","1298 VOCATIONAL DR","LAFAYETTE","AL ","36862","2102","BOX 408D","LAFAYETTE","AL ","36862","2102","3348649343","1-Local school district","32.891700","-85.381700","009","Prekindergarten","12th Grade","Alabama","3787"
"CHEROKEE COUNTY","Alabama","0100630","CHEROKEE COUNTY","01019","01","8","130 EAST MAIN ST","CENTRE","AL ","35960","1599","130 E MAIN ST","CENTRE","AL ","35960","1599","2569273362","1-Local school district","34.151800","-85.678400","010","Prekindergarten","12th Grade","Alabama","4049"
"CHICKASAW CITY","Alabama","0100188","MOBILE COUNTY","01097","01","2","224 NORTH CRAFT HWY","CHICKASAW","AL ","36671","","P O BOX 11493","CHICKASAW","AL ","36671","","2513808114","1-Local school district","30.764700","-88.074000","121","Prekindergarten","12th Grade","Alabama","882"
"CHILTON COUNTY","Alabama","0100660","CHILTON COUNTY","01021","01","13","1705 LAY DAM RD","CLANTON","AL ","35045","2032","1705 LAY DAM RD","CLANTON","AL ","35045","2032","2052803000","1-Local school district","32.869900","-86.621800","011","Prekindergarten","12th Grade","Alabama","7670"
"CHOCTAW COUNTY","Alabama","0100690","CHOCTAW COUNTY","01023","01","5","107 TOM ORR DR","BUTLER","AL ","36904","3504","107 TOM ORR DR","BUTLER","AL ","36904","3504","2054593031","1-Local school district","32.079700","-88.233000","012","Kindergarten","12th Grade","Alabama","1666"
"CLARKE COUNTY","Alabama","0100720","CLARKE COUNTY","01025","01","8","1055 COBB ST","GROVE HILL","AL ","36451","0936","BOX 936","GROVE HILL","AL ","36451","0936","2512753255","1-Local school district","31.708100","-87.796800","013","Prekindergarten","12th Grade","Alabama","3106"
