"Agency Name","State Name [District] Latest available year","Agency ID - NCES Assigned [District] Latest available year","County Name [District] 2013-14","County Number [District] 2013-14","ANSI/FIPS State Code [District] Latest available year","Total Number Operational Schools [Public School] 2013-14","Location Address [District] 2013-14","Location City [District] 2013-14","Location State Abbr [District] 2013-14","Location ZIP [District] 2013-14","Location ZIP4 [District] 2013-14","Mailing Address [District] 2013-14","Mailing City [District] 2013-14","Mailing State Abbr [District] 2013-14","Mailing ZIP [District] 2013-14","Mailing ZIP4 [District] 2013-14","Phone Number [District] 2013-14","Agency Type [District] 2013-14","Latitude [District] 2013-14","Longitude [District] 2013-14","State Agency ID [District] 2013-14","Lowest Grade Offered [District] 2013-14","Highest Grade Offered [District] 2013-14","State Name [District] 2013-14","Total Students (UG, PK-12) [District] 2013-14"
"ACADEMICS PLUS CHARTER SCHOOL","Arkansas","0500059","PULASKI COUNTY","05119","05","2","900 EDGEWOOD DR","MAUMELLE","AR ","72113","6275","900 EDGEWOOD DR","MAUMELLE","AR ","72113","6275","5018513333","7-Charter school agency","34.865300","-92.405800","6040700","Kindergarten","12th Grade","Arkansas","650"
"ALMA SCHOOL DISTRICT","Arkansas","0502250","CRAWFORD COUNTY","05033","05","4","916 HWY 64 EAST","ALMA","AR ","72921","2359","P O BOX 2359","ALMA","AR ","72921","2359","4796324791","1-Local school district","35.488400","-94.211300","1701000","Kindergarten","12th Grade","Arkansas","3278"
"ALPENA SCHOOL DISTRICT","Arkansas","0502280","BOONE COUNTY","05009","05","2","300 SOUTH DENVER","ALPENA","AR ","72611","0270","P O BOX 270","ALPENA","AR ","72611","0270","8704372220","1-Local school district","36.291500","-93.295000","0501000","Prekindergarten","12th Grade","Arkansas","535"
"ARCH FORD EDUC. SERVICE COOP","Arkansas","0500011","CONWAY COUNTY","05029","05","0","101 BULLDOG DR","PLUMERVILLE","AR ","72127","9701","101 BULLDOG DRIVE","PLUMERVILLE","AR ","72127","9701","5013542269","4-Regional education services agency","35.159800","-92.649800","1520000","†","†","Arkansas","†"
"ARK. RIVER EDUC  SERVICE COOP","Arkansas","0500024","JEFFERSON COUNTY","05069","05","1","912 WEST SIXTH AVE","PINE BLUFF","AR ","71601","4037","912 W SIXTH AVE","PINE BLUFF","AR ","71601","4037","8705346129","4-Regional education services agency","34.223800","-92.011800","3520000","9th Grade","12th Grade","Arkansas","†"
"ARK. SCHOOL FOR THE BLIND","Arkansas","0500035","PULASKI COUNTY","05119","05","2","2600 WEST MARKHAM ST","LITTLE ROCK","AR ","72203","0668","2600 W MARKHAM ST","LITTLE ROCK","AR ","72203","0668","5012961810","5-State-operated institution","34.750800","-92.302400","6091000","Prekindergarten","12th Grade","Arkansas","84"
"ARK. SCHOOL FOR THE DEAF","Arkansas","0500036","PULASKI COUNTY","05119","05","2","2400 WEST MARKHAM ST","LITTLE ROCK","AR ","72205","3811","P O BOX 3811","LITTLE ROCK","AR ","72203","3811","5013249506","5-State-operated institution","34.753000","-92.304700","6092000","Prekindergarten","12th Grade","Arkansas","132"
"ARKADELPHIA SCHOOL DISTRICT","Arkansas","0502430","CLARK COUNTY","05019","05","5","234 NORTH 11TH","ARKADELPHIA","AR ","71923","4903","235 NORTH 11TH","ARKADELPHIA","AR ","71923","4903","8702465564","1-Local school district","34.123700","-93.059800","1002000","Prekindergarten","12th Grade","Arkansas","2049"
"ARKANSAS CORRECTIONAL SCHOOLS","Arkansas","0500025","JEFFERSON COUNTY","05069","05","1","8000 CORRECTION CIRCLE","PINE BLUFF","AR ","71603","4601","8000 CORRECTION CIRCLE","PINE BLUFF","AR ","71603","4601","8702676725","5-State-operated institution","34.219700","-92.081900","3599000","9th Grade","12th Grade","Arkansas","0"
"ARKANSAS NORTHEASTERN COLLEGE TECHNICAL CENTER","Arkansas","0500080","MISSISSIPPI COUNTY","05093","05","1","2501 SOUTH DIVISION ST","BLYTHEVILLE","AR ","72315","","P O BOX 36","BURDETTE","AR ","72321","","8707631486","8-Other education agency","35.899000","-89.918700","4722000","9th Grade","12th Grade","Arkansas","0"
"ARKANSAS VIRTUAL ACADEMY","Arkansas","0500394","PULASKI COUNTY","05119","05","2","10802 EXECUTIVE CTR DR","LITTLE ROCK","AR ","72211","","10802 EXECUTIVE CTR DR STE 205","LITTLE ROCK","AR ","72211","","5016644225","7-Charter school agency","34.739800","-92.395200","6043700","Kindergarten","8th Grade","Arkansas","1334"
"ARKANSAS YOUTH SERVICES SCHOOL SYSTEM","Arkansas","0500390","PULASKI COUNTY","05119","05","6","701 MAIN ST","LITTLE ROCK","AR ","72203","","P O BOX 1437 SLOT 503","LITTLE ROCK","AR ","72203","","5016821711","5-State-operated institution","34.760200","-92.267500","6094000","6th Grade","12th Grade","Arkansas","287"
