"Agency Name","State Name [District] Latest available year","Agency ID - NCES Assigned [District] Latest available year","County Name [District] 2013-14","County Number [District] 2013-14","ANSI/FIPS State Code [District] Latest available year","Total Number Operational Schools [Public School] 2013-14","Location Address [District] 2013-14","Location City [District] 2013-14","Location State Abbr [District] 2013-14","Location ZIP [District] 2013-14","Location ZIP4 [District] 2013-14","Mailing Address [District] 2013-14","Mailing City [District] 2013-14","Mailing State Abbr [District] 2013-14","Mailing ZIP [District] 2013-14","Mailing ZIP4 [District] 2013-14","Phone Number [District] 2013-14","Agency Type [District] 2013-14","Latitude [District] 2013-14","Longitude [District] 2013-14","State Agency ID [District] 2013-14","Lowest Grade Offered [District] 2013-14","Highest Grade Offered [District] 2013-14","State Name [District] 2013-14","Total Students (UG, PK-12) [District] 2013-14"
"4-WINDS ACADEMY  INCORPORATED DBA 4-WINDS ACADEMY","Arizona","0400380","APACHE COUNTY","04001","04","0","725 EAST MAIN","SPRINGERVILLE","AZ ","85938","","P. O. BOX 1210","EAGAR","AZ ","85925","","9283331060","7-Charter school agency","34.133200","-109.277100","79998","Kindergarten","8th Grade","Arizona","†"
"A CENTER FOR CREATIVE EDUCATION","Arizona","0400328","YAVAPAI COUNTY","04025","04","2","215 SOUTH MAIN ST","COTTONWOOD","AZ ","86326","","P.O. BOX 2678","COTTONWOOD","AZ ","86326","","9286343288","7-Charter school agency","34.735200","-112.009500","79457","Kindergarten","6th Grade","Arizona","67"
"A CHILD'S VIEW SCHOOL  INC.","Arizona","0400431","PIMA COUNTY","04019","04","1","2846 WEST DREXEL RD","TUCSON","AZ ","85746","","2846 WEST DREXEL ROAD","TUCSON","AZ ","85746","","5205782075","7-Charter school agency","32.148300","-111.027500","87344","Kindergarten","5th Grade","Arizona","45"
"ACADEMIC AND PERSONAL EXCELLENCE  INC.","Arizona","0400654","PIMA COUNTY","04019","04","0","2859 EAST ELVIRA RD","TUCSON","AZ ","85706","","2859 E. ELVIRA RD","TUCSON","AZ ","85706","","5208894246","7-Charter school agency","32.128300","-110.930100","81183","6th Grade","12th Grade","Arizona","†"
"ACADEMY DEL SOL  INC.","Arizona","0400797","PIMA COUNTY","04019","04","2","4525 EAST BROADWAY BLVD","TUCSON","AZ ","85711","","4525 E BROADWAY BLVD","TUCSON","AZ ","85711","","5203252800","7-Charter school agency","32.222100","-110.896300","90199","Kindergarten","8th Grade","Arizona","496"
"ACADEMY OF BUILDING INDUSTRIES  INC.","Arizona","0400414","MOHAVE COUNTY","04015","04","1","1547 EAST LIPAN BLVD","FORT MOHAVE","AZ ","86426","","1547 E. LIPAN BOULEVARD","FORT MOHAVE","AZ ","86426","","9287882601","7-Charter school agency","34.983200","-114.596000","85540","9th Grade","12th Grade","Arizona","113"
"ACADEMY OF EXCELLENCE  INC.","Arizona","0400128","MARICOPA COUNTY","04013","04","2","425 NORTH 36TH ST","PHOENIX","AZ ","85008","","425 N 36TH STREET","PHOENIX","AZ ","85008","","6023894271","7-Charter school agency","33.453500","-112.003100","4296","Kindergarten","8th Grade","Arizona","113"
"ACADEMY OF MATHEMATICS AND SCIENCE  INC.","Arizona","0400368","PIMA COUNTY","04019","04","1","1557 WEST PRINCE RD","TUCSON","AZ ","85705","","1557 WEST PRINCE ROAD","TUCSON","AZ ","85705","","5202932676","7-Charter school agency","32.272000","-111.000000","79961","Kindergarten","12th Grade","Arizona","376"
"ACADEMY OF MATHEMATICS AND SCIENCE SOUTH  INC.","Arizona","0400891","PIMA COUNTY","04019","04","1","1557 WEST PRINCE RD","TUCSON","AZ ","85705","","1557 WEST PRINCE ROAD","TUCSON","AZ ","85705","","5202932676","7-Charter school agency","32.272000","-111.000000","90878","Kindergarten","8th Grade","Arizona","130"
"ACADEMY OF TUCSON  INC.","Arizona","0400202","PIMA COUNTY","04019","04","3","10720 EAST 22ND ST","TUCSON","AZ ","85748","","10720 E. 22ND STREET","TUCSON","AZ ","85748","","5207330096","7-Charter school agency","32.206100","-110.763600","78897","Kindergarten","12th Grade","Arizona","712"
"ACADEMY WITH COMMUNITY PARTNERS  INC","Arizona","0400276","MARICOPA COUNTY","04013","04","1","433 NORTH HALL","MESA","AZ ","85203","","433 NORTH HALL","MESA","AZ ","85203","","4808330068","7-Charter school agency","33.423800","-111.793100","79213","9th Grade","12th Grade","Arizona","176"
"ACCELERATED ELEMENTARY AND SECONDARY SCHOOLS","Arizona","0400129","PIMA COUNTY","04019","04","1","5245 NORTH CAMINO DE OESTE","TUCSON","AZ ","85745","","5245 N. CAMINO DE OESTE","TUCSON","AZ ","85745","","5207432256","7-Charter school agency","32.302800","-111.065600","6364","Kindergarten","12th Grade","Arizona","196"
"ACCELERATED LEARNING CENTER  INC.","Arizona","0400121","MARICOPA COUNTY","04013","04","1","4105 EAST SHEA BLVD","PHOENIX","AZ ","85028","3525","4105 E. SHEA BLVD","PHOENIX","AZ ","85028","3525","6024850309","7-Charter school agency","33.582100","-111.992400","4297","9th Grade","12th Grade","Arizona","166"
