"Agency Name","State Name [District] Latest available year","Agency ID - NCES Assigned [District] Latest available year","County Name [District] 2013-14","County Number [District] 2013-14","ANSI/FIPS State Code [District] Latest available year","Total Number Operational Schools [Public School] 2013-14","Location Address [District] 2013-14","Location City [District] 2013-14","Location State Abbr [District] 2013-14","Location ZIP [District] 2013-14","Location ZIP4 [District] 2013-14","Mailing Address [District] 2013-14","Mailing City [District] 2013-14","Mailing State Abbr [District] 2013-14","Mailing ZIP [District] 2013-14","Mailing ZIP4 [District] 2013-14","Phone Number [District] 2013-14","Agency Type [District] 2013-14","Latitude [District] 2013-14","Longitude [District] 2013-14","State Agency ID [District] 2013-14","Lowest Grade Offered [District] 2013-14","Highest Grade Offered [District] 2013-14","State Name [District] 2013-14","Total Students (UG, PK-12) [District] 2013-14"
"ACADEMY, SCHOOL DISTRICT NO. 20, IN THE COUNTY OF EL PASO AN","Colorado","0801920","EL PASO COUNTY","08041","08","32","1110 CHAPEL HILLS DR","COLORADO SPRINGS","CO ","80920","3923","1110 CHAPEL HILLS DRIVE","COLORADO SPRINGS","CO ","80920","3923","7192341200","1-Local school district","38.953800","-104.790600","1040","Prekindergarten","12th Grade","Colorado","24481"
"ADAMS 1 MAPLETON","Colorado","0800258","ADAMS COUNTY","08001","08","0","591 EAST 80TH AVE","DENVER","CO ","80229","","591 EAST 80TH AVENUE","DENVER","CO ","80229","","3038531128","4-Regional education services agency","39.841700","-104.979400","01010","Prekindergarten","12th Grade","Colorado","†"
"ADAMS 12 FIVE STAR SCHOOLS","Colorado","0806900","ADAMS COUNTY","08001","08","55","1500 EAST 128TH AVE","THORNTON","CO ","80241","","1500 E 128TH AVENUE","THORNTON","CO ","80241","","3038666600","1-Local school district","39.925700","-104.966500","0020","Prekindergarten","12th Grade","Colorado","42230"
"ADAMS 12 NORTHGLENN","Colorado","0800268","ADAMS COUNTY","08001","08","0","1500 EAST 128TH AVE","THORNTON","CO ","80241","","1500 EAST 128TH AVENUE","THORNTON","CO ","80241","","7209724778","4-Regional education services agency","39.928400","-104.967200","01020","Prekindergarten","12th Grade","Colorado","†"
"ADAMS 14 COMMERCE CITY","Colorado","0800272","ADAMS COUNTY","08001","08","0","5291 EAST 60TH AVE","COMMERCE CITY","CO ","80022","","5291 EAST 60TH AVENUE","COMMERCE CITY","CO ","80022","","3038533246","4-Regional education services agency","39.805500","-104.928000","01030","Prekindergarten","12th Grade","Colorado","†"
"ADAMS 27J BRIGHTON","Colorado","0800237","ADAMS COUNTY","08001","08","0","18551 EAST 160TH AVE","BRIGHTON","CO ","80601","","18551 EAST 160TH AVENUE","BRIGHTON","CO ","80601","","3036552925","4-Regional education services agency","39.986900","-104.769200","01040","Prekindergarten","12th Grade","Colorado","†"
"ADAMS 50 WESTMINSTER","Colorado","0800257","ADAMS COUNTY","08001","08","0","4476 WEST 68TH AVE","WESTMINSTER","CO ","80030","","4476 WEST 68TH AVENUE","WESTMINSTER","CO ","80030","","3036573861","4-Regional education services agency","39.816800","-105.045500","01070","Prekindergarten","12th Grade","Colorado","†"
"ADAMS COUNTY BOCES","Colorado","0800009","ADAMS COUNTY","08001","08","0","1400 WEST 122ND AVE","WESTMINSTER","CO ","80234","7294","1400 W. 122ND AVE","WESTMINSTER","CO ","80234","7294","3032867294","4-Regional education services agency","39.917400","-105.003100","9120","†","†","Colorado","†"
"ADAMS-ARAP 28J AURORA","Colorado","0800255","ARAPAHOE COUNTY","08005","08","0","15751 EAST FIRST AVE","AURORA","CO ","80011","","15751 EAST FIRST AVENUE","AURORA","CO ","80011","","3033400510","4-Regional education services agency","39.719800","-104.804100","03060","Prekindergarten","12th Grade","Colorado","†"
"AGATE SCHOOL DISTRICT NO. 300","Colorado","0801980","ELBERT COUNTY","08039","08","1","41032 2ND AVE","AGATE","CO ","80101","0118","PO BOX 118","AGATE","CO ","80101","0118","7197642741","1-Local school district","39.462800","-103.941200","0960","Kindergarten","5th Grade","Colorado","12"
