"Agency Name","State Name [District] Latest available year","Agency ID - NCES Assigned [District] Latest available year","County Name [District] 2013-14","County Number [District] 2013-14","ANSI/FIPS State Code [District] Latest available year","Total Number Operational Schools [Public School] 2013-14","Location Address [District] 2013-14","Location City [District] 2013-14","Location State Abbr [District] 2013-14","Location ZIP [District] 2013-14","Location ZIP4 [District] 2013-14","Mailing Address [District] 2013-14","Mailing City [District] 2013-14","Mailing State Abbr [District] 2013-14","Mailing ZIP [District] 2013-14","Mailing ZIP4 [District] 2013-14","Phone Number [District] 2013-14","Agency Type [District] 2013-14","Latitude [District] 2013-14","Longitude [District] 2013-14","State Agency ID [District] 2013-14","Lowest Grade Offered [District] 2013-14","Highest Grade Offered [District] 2013-14","State Name [District] 2013-14","Total Students (UG, PK-12) [District] 2013-14"
"ACHIEVEMENT FIRST HARTFORD AC","Connecticut","0900212","HARTFORD COUNTY","09003","09","1","395 LYME ST","HARTFORD","CT ","06112","1028","395 LYME STREET","HARTFORD","CT ","06112","1028","8606955280","7-Charter school agency","41.803400","-72.704100","288","Kindergarten","10th Grade","Connecticut","870"
"AMISTAD ACADEMY DISTRICT","Connecticut","0900024","NEW HAVEN COUNTY","09009","09","1","407 JAMES ST","NEW HAVEN","CT ","06513","","407 JAMES STREET","NEW HAVEN","CT ","06513","","2037730390","7-Charter school agency","41.313600","-72.903700","279","Kindergarten","12th Grade","Connecticut","937"
"ANDOVER SCHOOL DISTRICT","Connecticut","0900030","TOLLAND COUNTY","09013","09","1","35 SCHOOL RD","ANDOVER","CT ","06232","1526","35 SCHOOL ROAD","ANDOVER","CT ","06232","1526","8607427339","1-Local school district","41.728300","-72.366000","001","Prekindergarten","6th Grade","Connecticut","298"
"ANSONIA SCHOOL DISTRICT","Connecticut","0900060","NEW HAVEN COUNTY","09009","09","4","42 GROVE ST","ANSONIA","CT ","06401","1798","42 GROVE STREET","ANSONIA","CT ","06401","1798","2037365095","1-Local school district","41.342000","-73.086100","002","Prekindergarten","12th Grade","Connecticut","2322"
"AREA COOPERATIVE EDUCATIONAL","Connecticut","0900070","NEW HAVEN COUNTY","09009","09","8","350 STATE ST","NORTH HAVEN","CT ","06473","3108","350 STATE STREET","NORTH HAVEN","CT ","06473","3108","2034986817","4-Regional education services agency","41.369300","-72.886700","244","Prekindergarten","12th Grade","Connecticut","1933"
"ASHFORD SCHOOL DISTRICT","Connecticut","0900090","WINDHAM COUNTY","09015","09","1","440 WESTFORD RD","ASHFORD","CT ","06278","1113","P.O. BOX 128","ASHFORD","CT ","06278","1113","8604291927","1-Local school district","41.892700","-72.170100","003","Prekindergarten","8th Grade","Connecticut","422"
"AVON SCHOOL DISTRICT","Connecticut","0900120","HARTFORD COUNTY","09003","09","5","34 SIMSBURY RD","AVON","CT ","06001","3730","34 SIMSBURY ROAD","AVON","CT ","06001","3730","8604044700","1-Local school district","41.815200","-72.829900","004","Prekindergarten","12th Grade","Connecticut","3371"
"BARKHAMSTED SCHOOL DISTRICT","Connecticut","0900150","LITCHFIELD COUNTY","09005","09","2","65 RIPLEY HILL RD","BARKHAMSTED","CT ","06063","","65 RIPLEY HILL ROAD","BARKHAMSTED","CT ","06063","","8607384016","1-Local school district","41.910800","-72.992000","005","Prekindergarten","6th Grade","Connecticut","306"
"BERLIN SCHOOL DISTRICT","Connecticut","0900210","HARTFORD COUNTY","09003","09","5","238 KENSINGTON RD","BERLIN","CT ","06037","2648","238 KENSINGTON ROAD","BERLIN","CT ","06037","2648","8608286581","1-Local school district","41.627700","-72.770700","007","Prekindergarten","12th Grade","Connecticut","2951"
"BETHANY SCHOOL DISTRICT","Connecticut","0900240","NEW HAVEN COUNTY","09009","09","1","44 PECK RD","BETHANY","CT ","06524","3322","44 PECK ROAD","BETHANY","CT ","06524","3322","2033931170","1-Local school district","41.424600","-72.998600","008","Prekindergarten","6th Grade","Connecticut","436"
