"Agency Name","State Name [District] Latest available year","Agency ID - NCES Assigned [District] Latest available year","County Name [District] 2013-14","County Number [District] 2013-14","ANSI/FIPS State Code [District] Latest available year","Total Number Operational Schools [Public School] 2013-14","Location Address [District] 2013-14","Location City [District] 2013-14","Location State Abbr [District] 2013-14","Location ZIP [District] 2013-14","Location ZIP4 [District] 2013-14","Mailing Address [District] 2013-14","Mailing City [District] 2013-14","Mailing State Abbr [District] 2013-14","Mailing ZIP [District] 2013-14","Mailing ZIP4 [District] 2013-14","Phone Number [District] 2013-14","Agency Type [District] 2013-14","Latitude [District] 2013-14","Longitude [District] 2013-14","State Agency ID [District] 2013-14","Lowest Grade Offered [District] 2013-14","Highest Grade Offered [District] 2013-14","State Name [District] 2013-14","Total Students (UG, PK-12) [District] 2013-14"
"ACHIEVEMENT PREP ACADEMY PCS","District of Columbia","1100072","DISTRICT OF COLUMBIA","11001","11","2","908 WAHLER PLACE SE","WASHINGTON","DC ","20032","","908 WAHLER PL SE","WASHINGTON","DC ","20032","","2025621214","7-Charter school agency","38.833900","-76.992500","155","Kindergarten","8th Grade","District of Columbia","615"
"APPLETREE EARLY LEARNING CENTER PCS","District of Columbia","1100054","DISTRICT OF COLUMBIA","11001","11","5","415 MICHIGAN AVE NE","WASHINGTON","DC ","20017","","415 MICHIGAN AVE NE","WASHINGTON","DC ","20017","","2025261503","7-Charter school agency","38.931500","-77.000400","103","Prekindergarten","Prekindergarten","District of Columbia","647"
"ARTS AND TECHNOLOGY PCS","District of Columbia","1100001","DISTRICT OF COLUMBIA","11001","11","1","5300 BLAINE ST NE","WASHINGTON","DC ","20019","","5300 BLAINE ST NE","WASHINGTON","DC ","20019","","2023986811","7-Charter school agency","38.892400","-76.924700","104","Prekindergarten","5th Grade","District of Columbia","618"
"BASIS DC PCS","District of Columbia","1100083","DISTRICT OF COLUMBIA","11001","11","1","412 8TH ST NW","WASHINGTON","DC ","20004","","412 8TH ST NW","WASHINGTON","DC ","20004","","2023935437","7-Charter school agency","38.895300","-77.023300","168","5th Grade","9th Grade","District of Columbia","510"
"BOOKER T WASHINGTON PCS","District of Columbia","1100003","DISTRICT OF COLUMBIA","11001","11","1","1346 FLORIDA AVE NW","WASHINGTON","DC ","20009","","1346 FLORIDA AVE NW","WASHINGTON","DC ","20009","","2022326090","7-Charter school agency","38.920300","-77.030700","106","9th Grade","12th Grade","District of Columbia","177"
"BRIDGES PCS","District of Columbia","1100055","DISTRICT OF COLUMBIA","11001","11","1","1250 TAYLOR ST NW","WASHINGTON","DC ","20011","","1250 TAYLOR ST NW","WASHINGTON","DC ","20011","","2025450515","7-Charter school agency","38.940500","-77.028600","107","Prekindergarten","1st Grade","District of Columbia","211"
"BRIYA PCS","District of Columbia","1100016","DISTRICT OF COLUMBIA","11001","11","1","2333 ONTARIO RD NW","WASHINGTON","DC ","20009","","2333 ONTARIO RD NW","WASHINGTON","DC ","20009","","2024838196","7-Charter school agency","38.921000","-77.039800","119","Prekindergarten","Prekindergarten","District of Columbia","44"
"CAPITAL CITY PCS","District of Columbia","1100035","DISTRICT OF COLUMBIA","11001","11","3","100 PEABODY ST NW","WASHINGTON","DC ","20011","","100 PEABODY ST NW","WASHINGTON","DC ","20011","","2028089800","7-Charter school agency","38.961900","-77.012300","108","Prekindergarten","12th Grade","District of Columbia","984"
"CARLOS ROSARIO INTERNATIONAL PCS","District of Columbia","1100004","DISTRICT OF COLUMBIA","11001","11","1","1100 HARVARD ST NW","WASHINGTON","DC ","20009","","1100 HARVARD ST NW","WASHINGTON","DC ","20009","","2027974700","7-Charter school agency","38.926500","-77.028100","162","†","†","District of Columbia","†"
"CEDAR TREE PCS","District of Columbia","1100029","DISTRICT OF COLUMBIA","11001","11","1","2005 M L KING JR AVE SE","WASHINGTON","DC ","20020","","2005 M L KING JR AVE SE","WASHINGTON","DC ","20020","","2026104193","7-Charter school agency","38.866700","-76.989000","123","Prekindergarten","Kindergarten","District of Columbia","322"
