"Agency Name","State Name [District] Latest available year","Agency ID - NCES Assigned [District] Latest available year","County Name [District] 2013-14","County Number [District] 2013-14","ANSI/FIPS State Code [District] Latest available year","Total Number Operational Schools [Public School] 2013-14","Location Address [District] 2013-14","Location City [District] 2013-14","Location State Abbr [District] 2013-14","Location ZIP [District] 2013-14","Location ZIP4 [District] 2013-14","Mailing Address [District] 2013-14","Mailing City [District] 2013-14","Mailing State Abbr [District] 2013-14","Mailing ZIP [District] 2013-14","Mailing ZIP4 [District] 2013-14","Phone Number [District] 2013-14","Agency Type [District] 2013-14","Latitude [District] 2013-14","Longitude [District] 2013-14","State Agency ID [District] 2013-14","Lowest Grade Offered [District] 2013-14","Highest Grade Offered [District] 2013-14","State Name [District] 2013-14","Total Students (UG, PK-12) [District] 2013-14"
"ALACHUA","Florida","1200030","ALACHUA COUNTY","12001","12","69","620 EAST UNIVERSITY AVE","GAINESVILLE","FL ","32601","5448","620 E UNIVERSITY AVE","GAINESVILLE","FL ","32601","5448","3529557880","1-Local school district","29.652600","-82.319000","01","Prekindergarten","12th Grade","Florida","28157"
"BAKER","Florida","1200060","BAKER COUNTY","12003","12","9","270 SOUTH BLVD EAST","MACCLENNY","FL ","32063","2538","270 SOUTH BLVD E","MACCLENNY","FL ","32063","2538","9042590401","1-Local school district","30.277000","-82.128200","02","Prekindergarten","12th Grade","Florida","4985"
"BAY","Florida","1200090","BAY COUNTY","12005","12","51","1311 BALBOA AVE","PANAMA CITY","FL ","32401","2080","1311 BALBOA AVE","PANAMA CITY","FL ","32401","2080","8507674101","1-Local school district","30.172600","-85.676000","03","Prekindergarten","12th Grade","Florida","27053"
"BRADFORD","Florida","1200120","BRADFORD COUNTY","12007","12","12","501 WEST WASHINGTON ST","STARKE","FL ","32091","2525","501 W WASHINGTON ST","STARKE","FL ","32091","2525","9049666018","1-Local school district","29.950900","-82.112000","04","Prekindergarten","12th Grade","Florida","3239"
"BREVARD","Florida","1200150","BREVARD COUNTY","12009","12","123","2700 JUDGE FRAN JAMIESON WAY","VIERA","FL ","32940","6601","2700 JUDGE FRAN JAMIESON WAY","VIERA","FL ","32940","6601","3216331000","1-Local school district","28.248600","-80.736100","05","Prekindergarten","12th Grade","Florida","71232"
"BROWARD","Florida","1200180","BROWARD COUNTY","12011","12","349","600 SE 3RD AVE FL 10","FORT LAUDERDALE","FL ","33301","3125","600 SE 3RD AVE FL 10","FORT LAUDERDALE","FL ","33301","3125","7543212600","1-Local school district","26.114600","-80.140200","06","Prekindergarten","12th Grade","Florida","262666"
"CALHOUN","Florida","1200210","CALHOUN COUNTY","12013","12","9","20859 CENTRAL AVE EAST","BLOUNTSTOWN","FL ","32424","6202","20859 CENTRAL AVE E STE G20","BLOUNTSTOWN","FL ","32424","6202","8506745927","1-Local school district","30.443200","-85.041900","07","Prekindergarten","12th Grade","Florida","2278"
"CESA","Florida","1200005","LEON COUNTY","12073","12","0","2601 BLAIR STONE RD","TALLAHASSEE","FL ","32399","2500","2601 BLAIR STONE ROAD","TALLAHASSEE","FL ","32399","2500","8509222121","5-State-operated institution","30.425200","-84.249300","76","†","†","Florida","†"
"CHARLOTTE","Florida","1200240","CHARLOTTE COUNTY","12015","12","24","1445 EDUCATION WAY","PORT CHARLOTTE","FL ","33948","1052","1445 EDUCATION WAY","PORT CHARLOTTE","FL ","33948","1052","9412550808","1-Local school district","27.005300","-82.145300","08","Prekindergarten","12th Grade","Florida","16264"
"CITRUS","Florida","1200270","CITRUS COUNTY","12017","12","24","1007 WEST MAIN ST","INVERNESS","FL ","34450","4625","1007 W MAIN ST","INVERNESS","FL ","34450","4625","3527261931","1-Local school district","28.834800","-82.343000","09","Prekindergarten","12th Grade","Florida","15070"
