"Agency Name","State Name [District] Latest available year","Agency ID - NCES Assigned [District] Latest available year","County Name [District] 2013-14","County Number [District] 2013-14","ANSI/FIPS State Code [District] Latest available year","Total Number Operational Schools [Public School] 2013-14","Location Address [District] 2013-14","Location City [District] 2013-14","Location State Abbr [District] 2013-14","Location ZIP [District] 2013-14","Location ZIP4 [District] 2013-14","Mailing Address [District] 2013-14","Mailing City [District] 2013-14","Mailing State Abbr [District] 2013-14","Mailing ZIP [District] 2013-14","Mailing ZIP4 [District] 2013-14","Phone Number [District] 2013-14","Agency Type [District] 2013-14","Latitude [District] 2013-14","Longitude [District] 2013-14","State Agency ID [District] 2013-14","Lowest Grade Offered [District] 2013-14","Highest Grade Offered [District] 2013-14","State Name [District] 2013-14","Total Students (UG, PK-12) [District] 2013-14"
"APPLING COUNTY","Georgia","1300060","APPLING COUNTY","13001","13","6","249 BLACKSHEAR HWY","BAXLEY","GA ","31513","1513","249 BLACKSHEAR HIGHWAY","BAXLEY","GA ","31513","1513","9123678600","1-Local school district","31.761100","-82.353800","601","Prekindergarten","12th Grade","Georgia","3629"
"ATKINSON COUNTY","Georgia","1300090","ATKINSON COUNTY","13003","13","4","98 EAST ROBERTS AVE","PEARSON","GA ","31642","1642","98 EAST ROBERTS AVENUE","PEARSON","GA ","31642","1642","9124227373","1-Local school district","31.295500","-82.851300","602","Prekindergarten","12th Grade","Georgia","1756"
"ATLANTA PUBLIC SCHOOLS","Georgia","1300120","FULTON COUNTY","13121","13","103","130 TRINITY AVE S.W.","ATLANTA","GA ","30303","","130 TRINITY AVENUE S.W.","ATLANTA","GA ","30303","","4048023500","1-Local school district","33.748900","-84.392200","761","Prekindergarten","12th Grade","Georgia","50131"
"BACON COUNTY","Georgia","1300150","BACON COUNTY","13005","13","4","102 WEST 4TH ST","ALMA","GA ","31510","1510","102 W. 4TH STREET","ALMA","GA ","31510","1510","9126327363","1-Local school district","31.547100","-82.461900","603","Prekindergarten","12th Grade","Georgia","2091"
"BAKER COUNTY","Georgia","1300180","BAKER COUNTY","13007","13","1","400 HILLCREST DR","NEWTON","GA ","31770","1770","400 HILLCREST DRIVE","NEWTON","GA ","31770","1770","2297345346","1-Local school district","31.318000","-84.343000","604","Kindergarten","12th Grade","Georgia","319"
"BALDWIN COUNTY","Georgia","1300210","BALDWIN COUNTY","13009","13","7","110 NORTH ABC ST","MILLEDGEVILLE","GA ","31061","1061","110 N. ABC STREET","MILLEDGEVILLE","GA ","31061","1061","4784534176","1-Local school district","33.086900","-83.262700","605","Prekindergarten","12th Grade","Georgia","5789"
"BANKS COUNTY","Georgia","1300240","BANKS COUNTY","13011","13","4","102 HWY 51 SOUTH","HOMER","GA ","30547","0547","102 HWY 51 SOUTH","HOMER","GA ","30547","0547","7066772224","1-Local school district","34.329600","-83.504900","606","Prekindergarten","12th Grade","Georgia","2860"
"BARROW COUNTY","Georgia","1300290","BARROW COUNTY","13013","13","16","179 WEST ATHENS ST","WINDER","GA ","30680","0680","179 W. ATHENS STREET","WINDER","GA ","30680","0680","7708674527","1-Local school district","33.995400","-83.732700","607","Prekindergarten","12th Grade","Georgia","13165"
"BARTOW COUNTY","Georgia","1300330","BARTOW COUNTY","13015","13","21","65 GILREATH RD NW","CARTERSVILLE","GA ","30120","0120","65 GILREATH ROAD NW","CARTERSVILLE","GA ","30120","0120","7706065800","1-Local school district","34.222800","-84.815900","608","Prekindergarten","12th Grade","Georgia","14200"
"BEN HILL COUNTY","Georgia","1300360","BEN HILL COUNTY","13017","13","5","509 WEST PALM ST","FITZGERALD","GA ","31750","1750","509 WEST PALM STREET","FITZGERALD","GA ","31750","1750","2294095500","1-Local school district","31.710200","-83.248100","609","Prekindergarten","12th Grade","Georgia","3302"
"BERRIEN COUNTY","Georgia","1300390","BERRIEN COUNTY","13019","13","5","810 SOUTH DOGWOOD DR","NASHVILLE","GA ","31639","1639","810 SOUTH DOGWOOD DRIVE","NASHVILLE","GA ","31639","1639","2296862081","1-Local school district","31.200100","-83.257100","610","Prekindergarten","12th Grade","Georgia","3213"
"BIBB COUNTY","Georgia","1300420","BIBB COUNTY","13021","13","45","484 MULBERRY ST","MACON","GA ","31201","","484 MULBERRY ST","MACON","GA ","31201","","4787658711","1-Local school district","32.836500","-83.626000","611","Prekindergarten","12th Grade","Georgia","24180"
"BLECKLEY COUNTY","Georgia","1300440","BLECKLEY COUNTY","13023","13","4","242 EAST DYKES ST","COCHRAN","GA ","31014","1014","242 E DYKES ST.","COCHRAN","GA ","31014","1014","4789342821","1-Local school district","32.394000","-83.346000","612","Prekindergarten","12th Grade","Georgia","2425"
"BRANTLEY COUNTY","Georgia","1300480","BRANTLEY COUNTY","13025","13","7","272 SCHOOL CIRCLE","NAHUNTA","GA ","31553","1553","272 SCHOOL CIRCLE","NAHUNTA","GA ","31553","1553","9124626176","1-Local school district","31.193400","-81.981200","613","Prekindergarten","12th Grade","Georgia","3549"
