"Agency Name","State Name [District] Latest available year","Agency ID - NCES Assigned [District] Latest available year","County Name [District] 2013-14","County Number [District] 2013-14","ANSI/FIPS State Code [District] Latest available year","Total Number Operational Schools [Public School] 2013-14","Location Address [District] 2013-14","Location City [District] 2013-14","Location State Abbr [District] 2013-14","Location ZIP [District] 2013-14","Location ZIP4 [District] 2013-14","Mailing Address [District] 2013-14","Mailing City [District] 2013-14","Mailing State Abbr [District] 2013-14","Mailing ZIP [District] 2013-14","Mailing ZIP4 [District] 2013-14","Phone Number [District] 2013-14","Agency Type [District] 2013-14","Latitude [District] 2013-14","Longitude [District] 2013-14","State Agency ID [District] 2013-14","Lowest Grade Offered [District] 2013-14","Highest Grade Offered [District] 2013-14","State Name [District] 2013-14","Total Students (UG, PK-12) [District] 2013-14"
"ABERDEEN DISTRICT","Idaho","1600030","BINGHAM COUNTY","16011","16","3","318 WEST WASHINGTON","ABERDEEN","ID ","83210","0610","PO BOX 610","ABERDEEN","ID ","83210","0610","2083974113","1-Local school district","42.943100","-112.843400","058","Prekindergarten","12th Grade","Idaho","761"
"AMERICAN FALLS JOINT DISTRICT","Idaho","1600060","POWER COUNTY","16077","16","4","827 FORT HALL AVE","AMERICAN FALLS","ID ","83211","1463","827 FORT HALL AVENUE","AMERICAN FALLS","ID ","83211","1463","2082265173","1-Local school district","42.784700","-112.854400","381","Prekindergarten","12th Grade","Idaho","1472"
"AMERICAN HERITAGE CHARTER DISTRICT","Idaho","1600162","BONNEVILLE COUNTY","16019","16","1","1736 SOUTH 35TH WEST","IDAHO FALLS","ID ","83402","5538","1240 SOUTH 35TH WEST","IDAHO FALLS","ID ","83402","5538","2085397271","7-Charter school agency","43.481200","-112.103700","482","Prekindergarten","8th Grade","Idaho","226"
"ANOTHER CHOICE VIRTUAL CHARTER DISTRICT","Idaho","1600155","CANYON COUNTY","16027","16","1","1014 WEST HEMINGWAY BLVD","NAMPA","ID ","83651","1909","1014 W. HEMINGWAY BLVD.","NAMPA","ID ","83651","1909","2084754255","7-Charter school agency","43.601300","-116.593600","476","Prekindergarten","12th Grade","Idaho","370"
"ARBON ELEMENTARY DISTRICT","Idaho","1600090","POWER COUNTY","16077","16","1","4405 ARBON VALLEY HWY","ARBON","ID ","83212","5021","4405 ARBON VALLEY HIGHWAY","ARBON","ID ","83212","5021","2083352197","1-Local school district","42.563600","-112.554300","383","Kindergarten","6th Grade","Idaho","20"
"AVERY SCHOOL DISTRICT","Idaho","1600150","SHOSHONE COUNTY","16079","16","1","31 SCHOOL HOUSE HILL","AVERY","ID ","83802","0007","PO BOX 7","AVERY","ID ","83802","0007","2082452479","1-Local school district","47.250800","-115.807100","394","Kindergarten","8th Grade","Idaho","17"
"BASIN SCHOOL DISTRICT","Idaho","1600180","BOISE COUNTY","16015","16","2","100 CENTERVILLE RD","IDAHO CITY","ID ","83631","4126","PO BOX 227","IDAHO CITY","ID ","83631","4126","2083924183","1-Local school district","43.831500","-115.834700","072","Prekindergarten","12th Grade","Idaho","372"
"BEAR LAKE COUNTY DISTRICT","Idaho","1600240","BEAR LAKE COUNTY","16007","16","5","39 FIELDING ST","PARIS","ID ","83261","0300","PO BOX 300","PARIS","ID ","83261","0300","2089452891","1-Local school district","42.226000","-111.399500","033","Prekindergarten","12th Grade","Idaho","1119"
"BLACKFOOT CHARTER COMMUNITY LEARNING CENTER","Idaho","1600153","BINGHAM COUNTY","16011","16","1","2801 HUNTERS LOOP","BLACKFOOT","ID ","83221","6206","2801 HUNTERS LOOP","BLACKFOOT","ID ","83221","6206","2087820744","7-Charter school agency","43.211200","-112.320500","477","Prekindergarten","6th Grade","Idaho","300"
"BLACKFOOT DISTRICT","Idaho","1600270","BINGHAM COUNTY","16011","16","12","270 EAST BRIDGE ST","BLACKFOOT","ID ","83221","2865","270 E BRIDGE STREET","BLACKFOOT","ID ","83221","2865","2087858800","1-Local school district","43.186400","-112.341200","055","Prekindergarten","12th Grade","Idaho","4409"
