"Agency Name","State Name [District] Latest available year","Agency ID - NCES Assigned [District] Latest available year","County Name [District] 2013-14","County Number [District] 2013-14","ANSI/FIPS State Code [District] Latest available year","Total Number Operational Schools [Public School] 2013-14","Location Address [District] 2013-14","Location City [District] 2013-14","Location State Abbr [District] 2013-14","Location ZIP [District] 2013-14","Location ZIP4 [District] 2013-14","Mailing Address [District] 2013-14","Mailing City [District] 2013-14","Mailing State Abbr [District] 2013-14","Mailing ZIP [District] 2013-14","Mailing ZIP4 [District] 2013-14","Phone Number [District] 2013-14","Agency Type [District] 2013-14","Latitude [District] 2013-14","Longitude [District] 2013-14","State Agency ID [District] 2013-14","Lowest Grade Offered [District] 2013-14","Highest Grade Offered [District] 2013-14","State Name [District] 2013-14","Total Students (UG, PK-12) [District] 2013-14"
"A E R O  SPEC EDUC COOP","Illinois","1700024","COOK COUNTY","17031","17","2","7600 MASON AVE","BURBANK","IL ","60459","1200","7600 MASON AVE","BURBANK","IL ","60459","1200","7084963330","4-Regional education services agency","41.754800","-87.767900","07-016-8060-60","Prekindergarten","12th Grade","Illinois","–"
"A-C CENTRAL CUSD 262","Illinois","1700105","CASS COUNTY","17017","17","3","501 EAST BUCHANAN ST","ASHLAND","IL ","62612","7624","PO BOX 260","ASHLAND","IL ","62612","0260","2174768112","1-Local school district","39.892400","-90.002800","46-009-2620-26","Kindergarten","12th Grade","Illinois","448"
"ABINGDON CUSD 217","Illinois","1703090","KNOX COUNTY","17095","17","0","401 WEST LATIMER ST","ABINGDON","IL ","61410","1227","401 W LATIMER ST","ABINGDON","IL ","61410","1227","3094622301","1-Local school district","40.805700","-90.402900","33-048-2170-26","Prekindergarten","12th Grade","Illinois","†"
"ABINGDON-AVON CUSD 276","Illinois","1701413","KNOX COUNTY","17095","17","4","401 WEST LATIMER ST","ABINGDON","IL ","61410","1227","401 W LATIMER ST","ABINGDON","IL ","61410","1227","3094622301","1-Local school district","40.805700","-90.402900","33-048-2760-26","Prekindergarten","12th Grade","Illinois","989"
"ADAMS/PIKE ROE","Illinois","1700162","ADAMS COUNTY","17001","17","3","507 VERMONT ST","QUINCY","IL ","62301","2920","507 VERMONT ST","QUINCY","IL ","62301","2920","2172772080","4-Regional education services agency","39.934600","-91.407700","01-000-0000-00","6th Grade","12th Grade","Illinois","–"
"ADDISON SD 4","Illinois","1703150","DUPAGE COUNTY","17043","17","8","222 NORTH JF KENNEDY DR","ADDISON","IL ","60101","6602","222 N JF KENNEDY DR","ADDISON","IL ","60101","6602","6304582425","1-Local school district","41.933100","-87.996800","19-022-0040-02","Prekindergarten","8th Grade","Illinois","4369"
"ADLAI E STEVENSON HSD 125","Illinois","1732580","LAKE COUNTY","17097","17","1","2 STEVENSON DR","LINCOLNSHIRE","IL ","60069","2824","2 STEVENSON DR","LINCOLNSHIRE","IL ","60069","2824","8474154000","1-Local school district","42.196500","-87.945700","34-049-1250-13","9th Grade","12th Grade","Illinois","3830"
"AKIN CCSD 91","Illinois","1703210","FRANKLIN COUNTY","17055","17","1","21962 AKIN BLACKTOP","AKIN","IL ","62890","1304","21962 AKIN BLACKTOP","AKIN","IL ","62890","1304","6186272180","1-Local school district","37.987700","-88.750800","21-028-0910-04","Prekindergarten","8th Grade","Illinois","102"
"ALBERS SD 63","Illinois","1703270","CLINTON COUNTY","17027","17","1","206 NORTH BROADWAY","ALBERS","IL ","62215","1017","PO BOX 104","ALBERS","IL ","62215","0104","6182485146","1-Local school district","38.544600","-89.613500","13-014-0630-02","Prekindergarten","8th Grade","Illinois","190"
"ALDEN HEBRON SD 19","Illinois","1703300","MCHENRY COUNTY","17111","17","3","9604 ILLINOIS ST","HEBRON","IL ","60034","9618","9604 ILLINOIS ST","HEBRON","IL ","60034","9618","8156482886","1-Local school district","42.466300","-88.431600","44-063-0190-24","Prekindergarten","12th Grade","Illinois","450"
"ALLEN-OTTER CREEK CCSD 65","Illinois","1703420","LASALLE COUNTY","17099","17","1","400 SOUTH LN ST","RANSOM","IL ","60470","8087","400 S LANE ST","RANSOM","IL ","60470","8087","8155864611","1-Local school district","41.154100","-88.654100","35-050-0650-04","Kindergarten","8th Grade","Illinois","89"
"ALLENDALE CCSD 17","Illinois","1703450","WABASH COUNTY","17185","17","1","101 NORTH 3RD ST","ALLENDALE","IL ","62410","9569","PO BOX 130","ALLENDALE","IL ","62410","0130","6182993161","1-Local school district","38.525900","-87.706500","20-093-0170-24","Prekindergarten","8th Grade","Illinois","126"
"ALSIP-HAZLGRN-OAKLWN SD 126","Illinois","1703480","COOK COUNTY","17031","17","4","11900 SOUTH KOSTNER AVE","ALSIP","IL ","60803","2307","11900 S KOSTNER AVE","ALSIP","IL ","60803","2307","7083891900","1-Local school district","41.676400","-87.729500","07-016-1260-02","Prekindergarten","8th Grade","Illinois","1597"
"ALTAMONT CUSD 10","Illinois","1703510","EFFINGHAM COUNTY","17049","17","2","7 SOUTH EWING ST","ALTAMONT","IL ","62411","1265","7 S EWING ST","ALTAMONT","IL ","62411","1265","6184836195","1-Local school district","39.059700","-88.741200","03-025-0100-26","Prekindergarten","12th Grade","Illinois","779"
"ALTON CUSD 11","Illinois","1703600","MADISON COUNTY","17119","17","11","1854 EAST BROADWAY","ALTON","IL ","62002","6664","PO BOX 9028","ALTON","IL ","62002","9028","6184742600","1-Local school district","38.888000","-90.156700","41-057-0110-26","Prekindergarten","12th Grade","Illinois","6606"
"ALWOOD CUSD 225","Illinois","1703660","HENRY COUNTY","17073","17","2","301 EAST 5TH AVE","WOODHULL","IL ","61490","9684","301 E 5TH AVE","WOODHULL","IL ","61490","9684","3093342719","1-Local school district","41.181900","-90.311900","28-037-2250-26","Prekindergarten","12th Grade","Illinois","425"
"ALXNDR/JOHN/MASC/PULSKI/UNON ROE","Illinois","1700163","ALEXANDER COUNTY","17003","17","3","17 RUSTIC CAMPUS DR","ULLIN","IL ","62992","2226","17 RUSTIC CAMPUS DR","ULLIN","IL ","62992","2226","6186342292","4-Regional education services agency","37.005200","-89.171800","02-000-0000-00","6th Grade","12th Grade","Illinois","–"
"AMBOY CUSD 272","Illinois","1703690","LEE COUNTY","17103","17","3","11 EAST HAWLEY ST","AMBOY","IL ","61310","1430","11 E HAWLEY ST","AMBOY","IL ","61310","1430","8158572164","1-Local school district","41.720500","-89.333500","47-052-2720-26","Prekindergarten","12th Grade","Illinois","741"
"ANNA CCSD 37","Illinois","1703750","UNION COUNTY","17181","17","3","301 SOUTH GREEN ST","ANNA","IL ","62906","1126","301 S GREEN ST","ANNA","IL ","62906","1126","6188336812","1-Local school district","37.460700","-89.252100","02-091-0370-04","Prekindergarten","8th Grade","Illinois","740"
"ANNA JONESBORO CHSD 81","Illinois","1703780","UNION COUNTY","17181","17","1","608 SOUTH MAIN ST","ANNA","IL ","62906","1247","608 S MAIN ST","ANNA","IL ","62906","1247","6188338421","1-Local school district","37.457000","-89.254200","02-091-0810-16","9th Grade","12th Grade","Illinois","457"
"ANNAWAN CUSD 226","Illinois","1703810","HENRY COUNTY","17073","17","2","501 WEST SOUTH ST","ANNAWAN","IL ","61234","9715","501 W SOUTH ST","ANNAWAN","IL ","61234","9715","3099356781","1-Local school district","41.395300","-89.911400","28-037-2260-26","Prekindergarten","12th Grade","Illinois","416"
"ANTIOCH CCSD 34","Illinois","1703840","LAKE COUNTY","17097","17","5","964 SPAFFORD ST","ANTIOCH","IL ","60002","1459","964 SPAFFORD ST","ANTIOCH","IL ","60002","1459","8478388400","1-Local school district","42.476600","-88.099300","34-049-0340-04","Prekindergarten","8th Grade","Illinois","3064"
"APTAKISIC-TRIPP CCSD 102","Illinois","1703900","LAKE COUNTY","17097","17","4","1231 WEILAND RD","BUFFALO GROVE","IL ","60089","7040","1231 WEILAND RD","BUFFALO GROVE","IL ","60089","7040","8473535650","1-Local school district","42.174600","-87.947900","34-049-1020-04","Prekindergarten","8th Grade","Illinois","2090"
