"Agency Name","State Name [District] Latest available year","Agency ID - NCES Assigned [District] Latest available year","County Name [District] 2013-14","County Number [District] 2013-14","ANSI/FIPS State Code [District] Latest available year","Total Number Operational Schools [Public School] 2013-14","Location Address [District] 2013-14","Location City [District] 2013-14","Location State Abbr [District] 2013-14","Location ZIP [District] 2013-14","Location ZIP4 [District] 2013-14","Mailing Address [District] 2013-14","Mailing City [District] 2013-14","Mailing State Abbr [District] 2013-14","Mailing ZIP [District] 2013-14","Mailing ZIP4 [District] 2013-14","Phone Number [District] 2013-14","Agency Type [District] 2013-14","Latitude [District] 2013-14","Longitude [District] 2013-14","State Agency ID [District] 2013-14","Lowest Grade Offered [District] 2013-14","Highest Grade Offered [District] 2013-14","State Name [District] 2013-14","Total Students (UG, PK-12) [District] 2013-14"
"21ST CENTURY CHARTER SCH OF GARY","Indiana","1800046","LAKE COUNTY","18089","18","1","556 WASHINGTON ST","GARY","IN ","46402","","333 N PENNSYLVANIA SUITE 1000","INDIANAPOLIS","IN ","46202","","3175361027","7-Charter school agency","41.601000","-87.338500","9545","Kindergarten","12th Grade","Indiana","632"
"ADAMS CENTRAL COMMUNITY SCHOOLS","Indiana","1800060","ADAMS COUNTY","18001","18","3","222 WEST WASHINGTON ST","MONROE","IN ","46772","9436","222 W WASHINGTON ST","MONROE","IN ","46772","9436","2606926193","1-Local school district","40.747500","-84.944500","0015","Kindergarten","12th Grade","Indiana","1224"
"ADAMS-WELLS SPECIAL SERVICES COOP","Indiana","1800100","WELLS COUNTY","18179","18","0","925 NORTH MAIN ST","BLUFFTON","IN ","46714","","925 N MAIN ST","BLUFFTON","IN ","46714","","2608245880","4-Regional education services agency","40.753000","-85.167200","8455","Kindergarten","12th Grade","Indiana","†"
"ALEXANDRIA COM SCHOOL CORP","Indiana","1800120","MADISON COUNTY","18095","18","3","202 EAST WASHINGTON ST","ALEXANDRIA","IN ","46001","2005","202 E WASHINGTON ST","ALEXANDRIA","IN ","46001","2005","7657244496","1-Local school district","40.262700","-85.673000","5265","Prekindergarten","12th Grade","Indiana","1565"
"ANDERSON COMMUNITY SCHOOL CORP","Indiana","1800150","MADISON COUNTY","18095","18","9","1600 HILLCREST AVE","ANDERSON","IN ","46011","1479","1600 HILLCREST AVE","ANDERSON","IN ","46011","1479","7656412028","1-Local school district","40.125600","-85.697900","5275","Prekindergarten","12th Grade","Indiana","7062"
"ANDERSON PREPARATORY ACADEMY","Indiana","1800077","MADISON COUNTY","18095","18","1","101 WEST 29TH ST","ANDERSON","IN ","46016","","101 W 29TH ST","ANDERSON","IN ","46016","","7656498472","7-Charter school agency","40.087300","-85.680600","9790","Kindergarten","12th Grade","Indiana","906"
"ANDREW ACADEMY","Indiana","1800092","MARION COUNTY","18097","18","1","4050 EAST 38TH ST","INDIANAPOLIS","IN ","46218","","4050 E 38TH ST","INDIANAPOLIS","IN ","46218","","3172367324","7-Charter school agency","39.826000","-86.099200","9715","Kindergarten","8th Grade","Indiana","220"
"ANDREW J BROWN ACADEMY","Indiana","1800042","MARION COUNTY","18097","18","1","3600 NORTH GERMAN CHURCH RD","INDIANAPOLIS","IN ","46235","8504","3600 N GERMAN CHURCH RD","INDIANAPOLIS","IN ","46235","8504","3178910730","7-Charter school agency","39.822300","-85.973300","9615","Kindergarten","8th Grade","Indiana","677"
"AREA 30 CAREER CENTER EDU INTER","Indiana","1800034","PUTNAM COUNTY","18133","18","1","1 NORTH CALBERT WAY","GREENCASTLE","IN ","46135","0628","1 N CALBERT WAY SUITE A","GREENCASTLE","IN ","46135","0628","7656533515","4-Regional education services agency","39.640300","-86.855900","6700","9th Grade","12th Grade","Indiana","0"
"ARGOS COMMUNITY SCHOOLS","Indiana","1800180","MARSHALL COUNTY","18099","18","2","410 NORTH FIRST ST","ARGOS","IN ","46501","1014","410 N FIRST ST","ARGOS","IN ","46501","1014","5748925139","1-Local school district","41.240400","-86.248200","5470","Prekindergarten","12th Grade","Indiana","614"
"ASPIRE CHARTER ACADEMY","Indiana","1800071","LAKE COUNTY","18089","18","1","4900 WEST 15TH AVE","GARY","IN ","46406","","4900 W 15TH AVE","GARY","IN ","46406","","2199447400","7-Charter school agency","41.588800","-87.397300","9685","Kindergarten","8th Grade","Indiana","697"
"ATTICA CONSOLIDATED SCH CORP","Indiana","1800210","FOUNTAIN COUNTY","18045","18","2","205 EAST SYCAMORE ST","ATTICA","IN ","47918","1814","205 E SYCAMORE ST","ATTICA","IN ","47918","1814","7657627000","1-Local school district","40.279800","-87.253300","2435","Prekindergarten","12th Grade","Indiana","848"
"AVON COMMUNITY SCHOOL CORP","Indiana","1800270","HENDRICKS COUNTY","18063","18","12","7203 EAST US HWY 36","AVON","IN ","46123","7967","7203 E US HWY 36","AVON","IN ","46123","7967","3175446000","1-Local school district","39.762800","-86.395300","3315","Prekindergarten","12th Grade","Indiana","8886"
"BARR-REEVE COM SCHOOLS INC","Indiana","1800330","DAVIESS COUNTY","18027","18","3","373 NORTH MAIN ST","MONTGOMERY","IN ","47558","0097","BOX 97","MONTGOMERY","IN ","47558","0097","8124863220","1-Local school district","38.665300","-87.044400","1315","Kindergarten","12th Grade","Indiana","760"
"BARTHOLOMEW CON SCHOOL CORP","Indiana","1800360","BARTHOLOMEW COUNTY","18005","18","17","1200 CENTRAL AVE","COLUMBUS","IN ","47201","3152","1200 CENTRAL AVE","COLUMBUS","IN ","47201","3152","8123764220","1-Local school district","39.211100","-85.904100","0365","Prekindergarten","12th Grade","Indiana","11541"
"BATESVILLE COMMUNITY SCH CORP","Indiana","1800390","FRANKLIN COUNTY","18047","18","4","626 NORTH HUNTERSVILLE RD","BATESVILLE","IN ","47006","0121","PO BOX 121","BATESVILLE","IN ","47006","0121","8129342194","1-Local school district","39.304500","-85.232900","6895","Prekindergarten","12th Grade","Indiana","2174"
"BAUGO COMMUNITY SCHOOLS","Indiana","1800420","ELKHART COUNTY","18039","18","4","29125 CR 22 WEST","ELKHART","IN ","46517","9510","29125 CR 22 W","ELKHART","IN ","46517","9510","5742938583","1-Local school district","41.635500","-86.025000","2260","Kindergarten","12th Grade","Indiana","1898"
"BEACON ACADEMY","Indiana","1800075","TIPPECANOE COUNTY","18157","18","1","620 CUMBERLAND AVE","WEST LAFAYETTE","IN ","47906","","620 CUMBERLAND AVE","WEST LAFAYETTE","IN ","47906","","7658382045","7-Charter school agency","40.461100","-86.910300","9830","7th Grade","12th Grade","Indiana","31"
"BEECH GROVE CITY SCHOOLS","Indiana","1800450","MARION COUNTY","18097","18","5","5334 HORNET AVE","BEECH GROVE","IN ","46107","2306","5334 HORNET AVE","BEECH GROVE","IN ","46107","2306","3177884481","1-Local school district","39.711300","-86.078400","5380","Prekindergarten","12th Grade","Indiana","2878"
"BENTON COMMUNITY SCHOOL CORP","Indiana","1800480","BENTON COUNTY","18007","18","4","405 SOUTH GRANT AVE","FOWLER","IN ","47944","1635","PO BOX 512","FOWLER","IN ","47944","0512","7658840850","1-Local school district","40.614800","-87.314800","0395","Prekindergarten","12th Grade","Indiana","1890"
"BLACKFORD COUNTY SCHOOLS","Indiana","1800570","BLACKFORD COUNTY","18009","18","5","0668 WEST 200 SOUTH","HARTFORD CITY","IN ","47348","3018","0668 W 200 S","HARTFORD CITY","IN ","47348","3018","7653487550","1-Local school district","40.421600","-85.382900","0515","Kindergarten","12th Grade","Indiana","1807"
"BLOOMFIELD SCHOOL DISTRICT","Indiana","1800600","GREENE COUNTY","18055","18","2","500 WEST SOUTH ST","BLOOMFIELD","IN ","47424","0266","PO BOX 266 500 W SOUTH ST","BLOOMFIELD","IN ","47424","0266","8123844507","1-Local school district","39.024200","-86.945700","2920","Prekindergarten","12th Grade","Indiana","915"
"BLUE RIVER CAREER PROGRAMS","Indiana","1800009","SHELBY COUNTY","18145","18","1","801 ST JOSEPH ST","SHELBYVILLE","IN ","46176","3235","801 ST JOSEPH ST","SHELBYVILLE","IN ","46176","3235","3173924191","1-Local school district","39.511100","-85.788100","7375","9th Grade","12th Grade","Indiana","0"
"BLUE RIVER VALLEY SCHOOLS","Indiana","1800660","HENRY COUNTY","18065","18","2","303 SOUTH WALNUT ST","MOUNT SUMMIT","IN ","47361","0217","PO BOX 217","MOUNT SUMMIT","IN ","47361","0217","7658364816","1-Local school district","40.003600","-85.385000","3405","Kindergarten","12th Grade","Indiana","608"
"BREMEN PUBLIC SCHOOLS","Indiana","1800900","MARSHALL COUNTY","18099","18","2","512 WEST GRANT ST","BREMEN","IN ","46506","1698","512 W GRANT ST","BREMEN","IN ","46506","1698","5745463929","1-Local school district","41.443100","-86.151400","5480","Kindergarten","12th Grade","Indiana","1477"
"BROWN COUNTY SCHOOL CORPORATION","Indiana","1800960","BROWN COUNTY","18013","18","6","357 EAST MAIN ST","NASHVILLE","IN ","47448","0038","PO BOX 38","NASHVILLE","IN ","47448","0038","8129886601","1-Local school district","39.206500","-86.243900","0670","Prekindergarten","12th Grade","Indiana","2128"
"BROWNSBURG COMMUNITY SCH CORP","Indiana","1801020","HENDRICKS COUNTY","18063","18","10","310 STADIUM DR","BROWNSBURG","IN ","46112","1414","310 STADIUM DR","BROWNSBURG","IN ","46112","1414","3178525726","1-Local school district","39.838600","-86.389500","3305","Prekindergarten","12th Grade","Indiana","8032"
"BROWNSTOWN CNT COM SCH CORP","Indiana","1801050","JACKSON COUNTY","18071","18","4","608 WEST COMMERCE ST","BROWNSTOWN","IN ","47220","","608 W COMMERCE ST","BROWNSTOWN","IN ","47220","","8123584271","1-Local school district","38.878300","-86.049000","3695","Prekindergarten","12th Grade","Indiana","1659"
"BURRIS LABORATORY SCHOOL","Indiana","1800038","DELAWARE COUNTY","18035","18","1","2201 WEST UNIVERSITY AVE","MUNCIE","IN ","47306","0575","DEAN'S OFFICE-TEACHERS CLG BSU","MUNCIE","IN ","47306","0575","7652858488","8-Other education agency","40.197600","-85.411500","9620","Kindergarten","12th Grade","Indiana","619"
"C A BEARD MEMORIAL SCHOOL CORP","Indiana","1801060","HENRY COUNTY","18065","18","5","8139 WEST US 40","KNIGHTSTOWN","IN ","46148","1002","8139 W US 40","KNIGHTSTOWN","IN ","46148","1002","7653455101","1-Local school district","39.794000","-85.542500","3455","Prekindergarten","12th Grade","Indiana","1283"
