"Agency Name","State Name [District] Latest available year","Agency ID - NCES Assigned [District] Latest available year","County Name [District] 2013-14","County Number [District] 2013-14","ANSI/FIPS State Code [District] Latest available year","Total Number Operational Schools [Public School] 2013-14","Location Address [District] 2013-14","Location City [District] 2013-14","Location State Abbr [District] 2013-14","Location ZIP [District] 2013-14","Location ZIP4 [District] 2013-14","Mailing Address [District] 2013-14","Mailing City [District] 2013-14","Mailing State Abbr [District] 2013-14","Mailing ZIP [District] 2013-14","Mailing ZIP4 [District] 2013-14","Phone Number [District] 2013-14","Agency Type [District] 2013-14","Latitude [District] 2013-14","Longitude [District] 2013-14","State Agency ID [District] 2013-14","Lowest Grade Offered [District] 2013-14","Highest Grade Offered [District] 2013-14","State Name [District] 2013-14","Total Students (UG, PK-12) [District] 2013-14"
"A.E. PHILLIPS LABORATORY SCHOOL","Louisiana","2200056","LINCOLN PARISH","22061","22","1","HERGOT ST LA TECH CAMPUS","RUSTON","LA ","71272","","BOX 10168  TECH STATION","RUSTON","LA ","71272","","3182573469","8-Other education agency","32.527200","-92.649800","322","Kindergarten","8th Grade","Louisiana","382"
"ACADIA PARISH","Louisiana","2200030","ACADIA PARISH","22001","22","26","2402 NORTH PARKERSON AVE","CROWLEY","LA ","70526","2015","P.O. DRAWER 309","CROWLEY","LA ","70527","0309","3377833664","1-Local school district","30.232900","-92.383800","001","Prekindergarten","12th Grade","Louisiana","10094"
"ALLEN PARISH","Louisiana","2200060","ALLEN PARISH","22003","22","11","1111 WEST SEVENTH AVE","OBERLIN","LA ","70655","6102","P.O. DRAWER C","OBERLIN","LA ","70655","6102","3376394311","1-Local school district","30.622200","-92.774200","002","Prekindergarten","12th Grade","Louisiana","4342"
"AMIKIDS  INC.","Louisiana","2200057","LAFOURCHE PARISH","22057","22","0","942 HWY 90 EAST","RACELAND","LA ","70394","","P.O. BOX 755","RACELAND","LA ","70394","","2258063774","8-Other education agency","29.736900","-90.557100","311","4th Grade","12th Grade","Louisiana","†"
"ASCENSION PARISH","Louisiana","2200090","ASCENSION PARISH","22005","22","27","1100 WEBSTER ST","DONALDSONVILLE","LA ","70346","2754","P.O. BOX 189","DONALDSONVILLE","LA ","70346","0189","2254737981","1-Local school district","30.100100","-90.981500","003","Prekindergarten","12th Grade","Louisiana","21367"
"ASSUMPTION PARISH","Louisiana","2200120","ASSUMPTION PARISH","22007","22","10","4901 HWY 308","NAPOLEONVILLE","LA ","70390","2105","4901 HIGHWAY 308","NAPOLEONVILLE","LA ","70390","2105","9853697251","1-Local school district","29.946500","-91.027800","004","Prekindergarten","12th Grade","Louisiana","3854"
"AVOYELLES PARISH","Louisiana","2200150","AVOYELLES PARISH","22009","22","10","221 TUNICA DR WEST","MARKSVILLE","LA ","71351","2603","221 TUNICA DRIVE WEST","MARKSVILLE","LA ","71351","2603","3182535982","1-Local school district","31.125400","-92.071900","005","Prekindergarten","12th Grade","Louisiana","5862"
"AVOYELLES PUBLIC CHARTER SCHOOL","Louisiana","2200035","AVOYELLES PARISH","22009","22","1","201 LONGFELLOW RD","MANSURA","LA ","71350","9999","201 LONGFELLOW ROAD","MANSURA","LA ","71350","9999","3182408285","7-Charter school agency","31.079100","-92.053900","333","Kindergarten","12th Grade","Louisiana","722"
"BEAUREGARD PARISH","Louisiana","2200180","BEAUREGARD PARISH","22011","22","13","202 WEST THIRD ST","DERIDDER","LA ","70634","0938","P.O. DRAWER 938","DERIDDER","LA ","70634","0938","3374635551","1-Local school district","30.844700","-93.287600","006","Prekindergarten","12th Grade","Louisiana","6006"
"BELLE CHASSE ACADEMY  INC.","Louisiana","2200041","PLAQUEMINES PARISH","22075","22","1","100 FIFTH ST NASJRB","BELLE CHASSE","LA ","70037","9999","100 FIFTH ST. NAS-JRB","BELLE CHASSE","LA ","70037","9999","5044335850","7-Charter school agency","29.825000","-90.014900","337","Kindergarten","8th Grade","Louisiana","946"
