"Agency Name","State Name [District] Latest available year","Agency ID - NCES Assigned [District] Latest available year","County Name [District] 2013-14","County Number [District] 2013-14","ANSI/FIPS State Code [District] Latest available year","Total Number Operational Schools [Public School] 2013-14","Location Address [District] 2013-14","Location City [District] 2013-14","Location State Abbr [District] 2013-14","Location ZIP [District] 2013-14","Location ZIP4 [District] 2013-14","Mailing Address [District] 2013-14","Mailing City [District] 2013-14","Mailing State Abbr [District] 2013-14","Mailing ZIP [District] 2013-14","Mailing ZIP4 [District] 2013-14","Phone Number [District] 2013-14","Agency Type [District] 2013-14","Latitude [District] 2013-14","Longitude [District] 2013-14","State Agency ID [District] 2013-14","Lowest Grade Offered [District] 2013-14","Highest Grade Offered [District] 2013-14","State Name [District] 2013-14","Total Students (UG, PK-12) [District] 2013-14"
"ALLEGANY COUNTY PUBLIC SCHOOLS","Maryland","2400030","ALLEGANY COUNTY","24001","24","22","108 WASHINGTON ST","CUMBERLAND","MD ","21501","1724","P.O. BOX 1724","CUMBERLAND","MD ","21501","1724","3017592000","1-Local school district","39.650800","-78.768000","01","Prekindergarten","12th Grade","Maryland","8872"
"ANNE ARUNDEL COUNTY PUBLIC SCHOOLS","Maryland","2400060","ANNE ARUNDEL COUNTY","24003","24","121","2644 RIVA RD","ANNAPOLIS","MD ","21401","7305","2644 RIVA ROAD","ANNAPOLIS","MD ","21401","7305","4102225000","1-Local school district","38.975400","-76.558400","02","Prekindergarten","12th Grade","Maryland","78489"
"BALTIMORE CITY PUBLIC SCHOOLS","Maryland","2400090","BALTIMORE CITY","24510","24","189","200 EAST NORTH AVE","BALTIMORE","MD ","21202","5910","200 EAST NORTH AVENUE","BALTIMORE","MD ","21202","5910","4439842000","1-Local school district","39.311300","-76.613700","30","Prekindergarten","12th Grade","Maryland","84730"
"BALTIMORE COUNTY PUBLIC SCHOOLS","Maryland","2400120","BALTIMORE COUNTY","24005","24","173","6901 NORTH CHARLES ST","BALTIMORE","MD ","21204","3711","6901 NORTH CHARLES STREET","BALTIMORE","MD ","21204","3711","4108874554","1-Local school district","39.402800","-76.630900","03","Prekindergarten","12th Grade","Maryland","108191"
"CALVERT COUNTY PUBLIC SCHOOLS","Maryland","2400150","CALVERT COUNTY","24009","24","26","1305 DARES BEACH RD","PRINCE FREDERICK","MD ","20678","","1305 DARES BEACH ROAD","PRINCE FREDERICK","MD ","20678","","4105351700","1-Local school district","38.552700","-76.572100","04","Prekindergarten","12th Grade","Maryland","16221"
"CAROLINE COUNTY PUBLIC SCHOOLS","Maryland","2400180","CAROLINE COUNTY","24011","24","10","204 FRANKLIN ST","DENTON","MD ","21629","1035","204 FRANKLIN STREET","DENTON","MD ","21629","1035","4104791460","1-Local school district","38.885300","-75.832600","05","Prekindergarten","12th Grade","Maryland","5545"
"CARROLL COUNTY PUBLIC SCHOOLS","Maryland","2400210","CARROLL COUNTY","24013","24","47","125 NORTH COURT ST","WESTMINSTER","MD ","21157","5155","125 NORTH COURT STREET","WESTMINSTER","MD ","21157","5155","4107513000","1-Local school district","39.571900","-76.985900","06","Prekindergarten","12th Grade","Maryland","26331"
"CECIL COUNTY PUBLIC SCHOOLS","Maryland","2400240","CECIL COUNTY","24015","24","29","201 BOOTH ST","ELKTON","MD ","21921","5684","201 BOOTH STREET","ELKTON","MD ","21921","5684","4109965400","1-Local school district","39.613800","-75.827800","07","Prekindergarten","12th Grade","Maryland","15824"
"CHARLES COUNTY PUBLIC SCHOOLS","Maryland","2400270","CHARLES COUNTY","24017","24","37","5980 RADIO STATION RD","LA PLATA","MD ","20646","0170","P.O. BOX 2770","LA PLATA","MD ","20646","2770","3019326610","1-Local school district","38.545200","-76.948300","08","Prekindergarten","12th Grade","Maryland","26455"
"DORCHESTER COUNTY PUBLIC SCHOOLS","Maryland","2400300","DORCHESTER COUNTY","24019","24","13","700 GLASGOW ST","CAMBRIDGE","MD ","21613","1738","700 GLASGOW STREET","CAMBRIDGE","MD ","21613","0619","4102284747","1-Local school district","38.572100","-76.079700","09","Prekindergarten","12th Grade","Maryland","4766"
