"Agency Name","State Name [District] Latest available year","Agency ID - NCES Assigned [District] Latest available year","County Name [District] 2013-14","County Number [District] 2013-14","ANSI/FIPS State Code [District] Latest available year","Total Number Operational Schools [Public School] 2013-14","Location Address [District] 2013-14","Location City [District] 2013-14","Location State Abbr [District] 2013-14","Location ZIP [District] 2013-14","Location ZIP4 [District] 2013-14","Mailing Address [District] 2013-14","Mailing City [District] 2013-14","Mailing State Abbr [District] 2013-14","Mailing ZIP [District] 2013-14","Mailing ZIP4 [District] 2013-14","Phone Number [District] 2013-14","Agency Type [District] 2013-14","Latitude [District] 2013-14","Longitude [District] 2013-14","State Agency ID [District] 2013-14","Lowest Grade Offered [District] 2013-14","Highest Grade Offered [District] 2013-14","State Name [District] 2013-14","Total Students (UG, PK-12) [District] 2013-14"
"ACTON PUBLIC SCHOOLS","Maine","2302220","YORK COUNTY","23031","23","1","700 MILTON MILLS RD","ACTON","ME ","04001","5409","700 MILTON MILLS ROAD","ACTON","ME ","04001","5409","2076362100","1-Local school district","43.507100","-70.897300","1000","Kindergarten","12th Grade","Maine","318"
"AIRLINE CSD","Maine","2302500","PENOBSCOT COUNTY","23019","23","1","202 KIDDER HILL RD","HOLDEN","ME ","04429","6222","202 KIDDER HILL ROAD","HOLDEN","ME ","04429","6222","2078437851","1-Local school district","44.744700","-68.615900","1284","Prekindergarten","12th Grade","Maine","58"
"ALEXANDER PUBLIC SCHOOLS","Maine","2302280","WASHINGTON COUNTY","23029","23","1","NO PHYSICAL LOCATION AVAILABLE","EASTPORT","ME ","04631","1603","PO BOX 190","EASTPORT","ME ","04631","1603","2078532567","1-Local school district","45.164600","-67.242700","1001","Prekindergarten","12th Grade","Maine","71"
"AOS 77 - SCSS","Maine","2314798","WASHINGTON COUNTY","23029","23","0","32 BLUE DEVILL HILL","CALAIS","ME ","04619","","32 BLUE DEVILL HILL","CALAIS","ME ","04619","","2074547561","4-Regional education services agency","45.164700","-67.242700","3190","†","†","Maine","†"
"AOS 90 - EMASS","Maine","2314804","WASHINGTON COUNTY","23029","23","0","NO LOCATION AVAILABLE","BAILEYVILLE","ME ","04694","","PO BOX 580","BAILEYVILLE","ME ","04694","","2074276913","4-Regional education services agency","45.152800","-67.403100","3189","†","†","Maine","†"
"AOS 91 - MDIRSS","Maine","2314786","HANCOCK COUNTY","23009","23","0","1081 EAGLE LAKE RD","MOUNT DESERT","ME ","04660","","1081 EAGLE LAKE RD PO BOX 60","MOUNT DESERT","ME ","04660","","2072885049","4-Regional education services agency","44.364500","-68.305200","3176","†","†","Maine","†"
"AOS 92 - KVCS","Maine","2314792","KENNEBEC COUNTY","23011","23","0","25 MESSALONSKEE AVE","WATERVILLE","ME ","04901","","25 MESSALONSKEE AVENUE","WATERVILLE","ME ","04901","","2078734281","4-Regional education services agency","44.551400","-69.641700","3177","†","†","Maine","†"
"AOS 93 - CLCSS","Maine","2314774","LINCOLN COUNTY","23015","23","0","767 MAIN ST 1A","DAMARISCOTTA","ME ","04543","","767 MAIN STREET #1-A","DAMARISCOTTA","ME ","04543","","2075633044","4-Regional education services agency","44.052700","-69.501100","3178","†","†","Maine","†"
"AOS 94 - S46HRSD","Maine","2314781","PENOBSCOT COUNTY","23019","23","0","175 FERN RD","DEXTER","ME ","04930","","175 FERN ROAD  SUITE 1","DEXTER","ME ","04930","","2079245262","4-Regional education services agency","45.013100","-69.272100","3179","†","†","Maine","†"
"AOS 95 - SJVAOS","Maine","2314797","AROOSTOOK COUNTY","23003","23","0","84 PLEASANT ST","FORT KENT","ME ","04743","","84 PLEASANT STREET  SUITE 1","FORT KENT","ME ","04743","","2078343189","4-Regional education services agency","47.248800","-68.587200","3180","†","†","Maine","†"
"AOS 96 - MBASS","Maine","2314801","WASHINGTON COUNTY","23029","23","0","291 COURT ST","MACHIAS","ME ","04654","","291 COURT STREET","MACHIAS","ME ","04654","","2072556585","4-Regional education services agency","44.713700","-67.478300","3183","†","†","Maine","†"
"AOS 97 - WKCS","Maine","2314802","KENNEBEC COUNTY","23011","23","0","17A HIGHLAND AVE","WINTHROP","ME ","04364","","17A HIGHLAND AVENUE","WINTHROP","ME ","04364","","2073772296","4-Regional education services agency","44.306000","-69.967700","3185","†","†","Maine","†"
"AOS 98 - RCSS","Maine","2314800","LINCOLN COUNTY","23015","23","0","51 EMERY LN","BOOTHBAY HARBOR","ME ","04538","","51 EMERY LANE","BOOTHBAY HARBOR","ME ","04538","","2076332874","4-Regional education services agency","43.862000","-69.633000","3187","†","†","Maine","†"
"APPLETON PUBLIC SCHOOLS","Maine","2302510","KNOX COUNTY","23013","23","1","431 CAMDEN RD","HOPE","ME ","04847","9612","431 CAMDEN ROAD SUITE 2","HOPE","ME ","04847","9612","2077633818","1-Local school district","44.264200","-69.157000","1004","Prekindergarten","8th Grade","Maine","140"
"ARTHUR R. GOULD SCH--LCYDC","Maine","2300050","CUMBERLAND COUNTY","23005","23","1","675 WESTBROOK ST","SOUTH PORTLAND","ME ","04106","1930","675 WESTBROOK STREET","SOUTH PORTLAND","ME ","04106","1930","2078222617","5-State-operated institution","43.639600","-70.311100","1296","8th Grade","12th Grade","Maine","29"
"ATHENS PUBLIC SCHOOLS","Maine","2314817","SOMERSET COUNTY","23025","23","1","NO PHYSICAL LOCATION AVAILABLE","ATHENS","ME ","04912","","PO BOX 147","ATHENS","ME ","04912","","2076543471","1-Local school district","44.958100","-69.679000","3231","Prekindergarten","12th Grade","Maine","162"
"AUBURN PUBLIC SCHOOLS","Maine","2302610","ANDROSCOGGIN COUNTY","23001","23","8","60 COURT ST 4TH FLOOR  8","AUBURN","ME ","04210","0800","60 COURT ST 4TH FLOOR PO BOX 8","AUBURN","ME ","04210","0800","2077846431","1-Local school district","44.096900","-70.225700","1007","Prekindergarten","12th Grade","Maine","3583"
"AUGUSTA PUBLIC SCHOOLS","Maine","2302640","KENNEBEC COUNTY","23011","23","6","12 GEDNEY ST","AUGUSTA","ME ","04330","9105","12 GEDNEY STREET","AUGUSTA","ME ","04330","9105","2076262468","1-Local school district","44.321000","-69.762600","1008","Prekindergarten","12th Grade","Maine","2159"
"BAILEYVILLE PUBLIC SCHOOLS","Maine","2302730","WASHINGTON COUNTY","23029","23","2","63 BROADWAY","BAILEYVILLE","ME ","04694","0580","63 BROADWAY","BAILEYVILLE","ME ","04694","0580","2074276913","1-Local school district","45.152800","-67.403200","1009","Prekindergarten","12th Grade","Maine","217"
"BANCROFT PUBLIC SCHOOLS","Maine","2302790","WASHINGTON COUNTY","23029","23","0","31A HOULTON RD","DANFORTH","ME ","04424","9716","31A HOULTON ROAD","DANFORTH","ME ","04424","9716","2074482882","1-Local school district","45.660900","-67.865100","1010","Prekindergarten","12th Grade","Maine","13"
"BANGOR PUBLIC SCHOOLS","Maine","2302820","PENOBSCOT COUNTY","23019","23","10","73 HARLOW ST","BANGOR","ME ","04401","5118","73 HARLOW STREET","BANGOR","ME ","04401","5118","2079924152","1-Local school district","44.803500","-68.770700","1011","Prekindergarten","12th Grade","Maine","3683"
"BANGOR-REGION 4","Maine","2312370","PENOBSCOT COUNTY","23019","23","1","200 HOGAN RD","BANGOR","ME ","04401","5604","200 HOGAN ROAD","BANGOR","ME ","04401","5604","2079425296","4-Regional education services agency","44.820400","-68.739100","1274","†","†","Maine","†"
"BAR HARBOR PUBLIC SCHOOLS","Maine","2302850","HANCOCK COUNTY","23009","23","1","1081 EAGLE LAKE RD","MOUNT DESERT","ME ","04660","","PO BOX 60","MOUNT DESERT","ME ","04660","0060","2072885049","1-Local school district","44.372300","-68.301100","1012","Kindergarten","8th Grade","Maine","388"
"BARING PLT PUBLIC SCHOOLS","Maine","2302880","WASHINGTON COUNTY","23029","23","0","NO PHYSICAL LOCATION AVAILABLE","EASTPORT","ME ","04631","1603","PO BOX 190","EASTPORT","ME ","04631","1603","2078532567","1-Local school district","45.164600","-67.242700","1192","Prekindergarten","12th Grade","Maine","28"
"BAXTER ACADEMY FOR TECHNOLOGY AND SCIENCE","Maine","2314812","CUMBERLAND COUNTY","23005","23","1","54 YORK ST","PORTLAND","ME ","04101","","54 YORK STREET","PORTLAND","ME ","04101","","2076995500","7-Charter school agency","43.652500","-70.257100","3232","9th Grade","10th Grade","Maine","125"
"BEALS PUBLIC SCHOOLS","Maine","2302950","WASHINGTON COUNTY","23029","23","1","127 SNARE CREEK LN","JONESPORT","ME ","04649","0309","127 SNARE CREEK LANE","JONESPORT","ME ","04649","0309","2074972154","1-Local school district","44.555800","-67.616000","1014","Prekindergarten","8th Grade","Maine","50"
"BEAVER COVE PUBLIC SCHOOLS","Maine","2302960","PISCATAQUIS COUNTY","23021","23","0","130 PRITHAM AVE","GREENVILLE","ME ","04441","","PO BOX 100","GREENVILLE","ME ","04441","0100","2076953708","1-Local school district","45.459100","-69.598500","1195","2nd Grade","9th Grade","Maine","5"
"BEDDINGTON PUBLIC SCHOOLS","Maine","2302980","WASHINGTON COUNTY","23029","23","0","1020 SACARAP RD","HARRINGTON","ME ","04643","1531","1020 SACARAP ROAD","HARRINGTON","ME ","04643","1531","2074832734","1-Local school district","44.622900","-67.828500","1015","Kindergarten","6th Grade","Maine","6"
"BIDDEFORD PUBLIC SCHOOLS","Maine","2303150","YORK COUNTY","23031","23","6","18 MAPLEWOOD AVE","BIDDEFORD","ME ","04005","1865","18 MAPLEWOOD AVENUE","BIDDEFORD","ME ","04005","1865","2072828280","1-Local school district","43.496500","-70.470000","1016","Kindergarten","12th Grade","Maine","2464"
"BLUE HILL PUBLIC SCHOOLS","Maine","2303210","HANCOCK COUNTY","23009","23","1","20 HINCKLEY RIDGE RD","BLUE HILL","ME ","04614","","PO BOX 630","BLUE HILL","ME ","04614","0630","2073749927","1-Local school district","44.415600","-68.609800","1017","Kindergarten","12th Grade","Maine","341"
"BOOTHBAY-BOOTHBAY HBR CSD","Maine","2303290","LINCOLN COUNTY","23015","23","2","51 EMERY LN","BOOTHBAY HARBOR","ME ","04538","1834","51 EMERY LANE","BOOTHBAY HARBOR","ME ","04538","1834","2076332874","1-Local school district","43.862000","-69.633000","1281","Prekindergarten","12th Grade","Maine","543"
"BOWERBANK PUBLIC SCHOOLS","Maine","2303390","PISCATAQUIS COUNTY","23021","23","0","24 HAYES RD","PARKMAN","ME ","04443","9710","24 HAYES ROAD","PARKMAN","ME ","04443","9710","2078764418","1-Local school district","45.139900","-69.388300","1018","4th Grade","12th Grade","Maine","7"
"BREMEN PUBLIC SCHOOLS","Maine","2303480","LINCOLN COUNTY","23015","23","0","767 MAIN ST 1A","DAMARISCOTTA","ME ","04543","0907","767 MAIN STREET #1-A","DAMARISCOTTA","ME ","04543","0907","2075633044","1-Local school district","44.052700","-69.501100","1020","9th Grade","12th Grade","Maine","27"
"BREWER PUBLIC SCHOOLS","Maine","2303510","PENOBSCOT COUNTY","23019","23","2","261 CENTER ST","BREWER","ME ","04412","1362","261 CENTER STREET","BREWER","ME ","04412","1362","2079893160","1-Local school district","44.792200","-68.759200","1021","Prekindergarten","12th Grade","Maine","1350"
"BRIDGEWATER PUBLIC SCHOOLS","Maine","2300004","AROOSTOOK COUNTY","23003","23","0","35 PLEASANT ST","MARS HILL","ME ","04758","","PO BOX 1006","MARS HILL","ME ","04758","0205","2074253771","1-Local school district","46.514700","-67.860800","1022","Prekindergarten","12th Grade","Maine","75"
"BRIGHTON PLT SCHOOL DEPARTMENT","Maine","2314811","SOMERSET COUNTY","23025","23","0","72 DINSMORE RD","ANSON","ME ","04911","","72 DINSMORE RD","ANSON","ME ","04911","","2079695102","1-Local school district","44.805400","-69.943500","3235","5th Grade","10th Grade","Maine","9"
"BRISTOL PUBLIC SCHOOLS","Maine","2303600","LINCOLN COUNTY","23015","23","1","767 MAIN ST 1A","DAMARISCOTTA","ME ","04543","0907","767 MAIN STREET #1-A","DAMARISCOTTA","ME ","04543","0907","2075633044","1-Local school district","44.052700","-69.501100","1023","Prekindergarten","12th Grade","Maine","285"
"BROOKLIN PUBLIC SCHOOLS","Maine","2303610","HANCOCK COUNTY","23009","23","1","251 NORTH DEER ISLE RD 1","DEER ISLE","ME ","04627","0010","251 N DEER ISLE ROAD #1","DEER ISLE","ME ","04627","0010","2073489100","1-Local school district","44.241400","-68.681500","1024","Prekindergarten","12th Grade","Maine","96"
"BROOKSVILLE PUBLIC SCHOOLS","Maine","2303640","HANCOCK COUNTY","23009","23","1","20 HINCKLEY RIDGE RD","BLUE HILL","ME ","04614","","PO BOX 630","BLUE HILL","ME ","04614","0630","2073749927","1-Local school district","44.415600","-68.609800","1025","Prekindergarten","12th Grade","Maine","86"
"BRUNSWICK PUBLIC SCHOOLS","Maine","2303780","CUMBERLAND COUNTY","23005","23","4","46 FEDERAL ST","BRUNSWICK","ME ","04011","1922","46 FEDERAL STREET","BRUNSWICK","ME ","04011","1922","2073191900","1-Local school district","43.914100","-69.962100","1026","Kindergarten","12th Grade","Maine","2366"
"BRUNSWICK-REGION 10","Maine","2305300","CUMBERLAND COUNTY","23005","23","1","68 CHURCH RD","BRUNSWICK","ME ","04011","7300","68 CHURCH ROAD","BRUNSWICK","ME ","04011","7300","2077296622","4-Regional education services agency","43.907600","-69.991700","1279","†","†","Maine","†"
