"Agency Name","State Name [District] Latest available year","Agency ID - NCES Assigned [District] Latest available year","County Name [District] 2013-14","County Number [District] 2013-14","ANSI/FIPS State Code [District] Latest available year","Total Number Operational Schools [Public School] 2013-14","Location Address [District] 2013-14","Location City [District] 2013-14","Location State Abbr [District] 2013-14","Location ZIP [District] 2013-14","Location ZIP4 [District] 2013-14","Mailing Address [District] 2013-14","Mailing City [District] 2013-14","Mailing State Abbr [District] 2013-14","Mailing ZIP [District] 2013-14","Mailing ZIP4 [District] 2013-14","Phone Number [District] 2013-14","Agency Type [District] 2013-14","Latitude [District] 2013-14","Longitude [District] 2013-14","State Agency ID [District] 2013-14","Lowest Grade Offered [District] 2013-14","Highest Grade Offered [District] 2013-14","State Name [District] 2013-14","Total Students (UG, PK-12) [District] 2013-14"
"ACADEMIC AND CAREER EDUCATION ACADEMY","Michigan","2600330","MIDLAND COUNTY","26111","26","1","884 EAST ISABELLA RD","MIDLAND","MI ","48640","8326","884 EAST ISABELLA RD","MIDLAND","MI ","48640","8326","9896315202","7-Charter school agency","43.611800","-84.335100","56903","9th Grade","12th Grade","Michigan","115"
"ACADEMIC TRANSITIONAL ACADEMY","Michigan","2600334","ST. CLAIR COUNTY","26147","26","0","1520 MICHIGAN RD","PORT HURON","MI ","48060","4750","1520 MICHIGAN RD","PORT HURON","MI ","48060","4750","8103643449","7-Charter school agency","42.952800","-82.479200","74908","9th Grade","10th Grade","Michigan","†"
"ACADEMY FOR BUSINESS AND TECHNOLOGY","Michigan","2600166","WAYNE COUNTY","26163","26","2","19625 WOOD ST","MELVINDALE","MI ","48122","2201","19625 WOOD ST","MELVINDALE","MI ","48122","2201","3133833422","7-Charter school agency","42.275000","-83.196100","82921","Kindergarten","12th Grade","Michigan","660"
"ACADEMY OF ARIZONA","Arizona","0400234","OAKLAND COUNTY","26125","04","0","20820 GREENFIELD RD","OAK PARK","MI ","48237","","20820 GREENFIELD RD.","OAK PARK","MI ","48237","","2485697787","7-Charter school agency","42.446800","-83.200500","79052","Kindergarten","8th Grade","Arizona","†"
"ACADEMY OF FLINT","Michigan","2600198","GENESEE COUNTY","26049","26","0","4100 WEST COLDWATER RD","FLINT","MI ","48504","1102","PO BOX 310716","FLINT","MI ","48531","0716","8107899484","7-Charter school agency","43.091800","-83.756900","25908","Kindergarten","8th Grade","Michigan","†"
"ACADEMY OF INTERNATIONAL STUDIES","Michigan","2601002","WAYNE COUNTY","26163","26","1","3056 HANLEY ST","HAMTRAMCK","MI ","48212","3572","3056 HANLEY ST","HAMTRAMCK","MI ","48212","3572","3138739900","7-Charter school agency","42.393300","-83.052000","82738","Kindergarten","6th Grade","Michigan","128"
"ACADEMY OF SOUTHFIELD","Michigan","2600108","OAKLAND COUNTY","26125","26","1","18330 GEORGE WASHINGTON DR","SOUTHFIELD","MI ","48075","2785","18330 GEORGE WASHINGTON DR","SOUTHFIELD","MI ","48075","2785","2485576121","7-Charter school agency","42.471900","-83.224300","63903","Kindergarten","8th Grade","Michigan","318"
"ACADEMY OF WARREN","Michigan","2600308","MACOMB COUNTY","26099","26","1","13943 EAST 8 MILE RD","WARREN","MI ","48089","3351","13943 EAST 8 MILE RD","WARREN","MI ","48089","3351","5865528010","7-Charter school agency","42.452600","-82.981700","50911","Kindergarten","8th Grade","Michigan","605"
"ACADEMY OF WATERFORD","Michigan","2600290","OAKLAND COUNTY","26125","26","1","3000 SASHABAW RD","WATERFORD","MI ","48329","4040","3000 SASHABAW RD","WATERFORD","MI ","48329","4040","2486741649","7-Charter school agency","42.682500","-83.372600","63916","Kindergarten","8th Grade","Michigan","177"
"ACE ACADEMY (SDA)","Michigan","2600943","WAYNE COUNTY","26163","26","1","330 GLENDALE ST","HIGHLAND PARK","MI ","48203","3277","22620 WOODWARD AVE STE C","FERNDALE","MI ","48220","2899","2485828100","7-Charter school agency","42.395700","-83.104200","82998","6th Grade","12th Grade","Michigan","139"
