"Agency Name","State Name [District] Latest available year","Agency ID - NCES Assigned [District] Latest available year","County Name [District] 2013-14","County Number [District] 2013-14","ANSI/FIPS State Code [District] Latest available year","Total Number Operational Schools [Public School] 2013-14","Location Address [District] 2013-14","Location City [District] 2013-14","Location State Abbr [District] 2013-14","Location ZIP [District] 2013-14","Location ZIP4 [District] 2013-14","Mailing Address [District] 2013-14","Mailing City [District] 2013-14","Mailing State Abbr [District] 2013-14","Mailing ZIP [District] 2013-14","Mailing ZIP4 [District] 2013-14","Phone Number [District] 2013-14","Agency Type [District] 2013-14","Latitude [District] 2013-14","Longitude [District] 2013-14","State Agency ID [District] 2013-14","Lowest Grade Offered [District] 2013-14","Highest Grade Offered [District] 2013-14","State Name [District] 2013-14","Total Students (UG, PK-12) [District] 2013-14"
"A.C.G.C. PUBLIC SCHOOL DISTRICT","Minnesota","2700106","MEEKER COUNTY","27093","27","3","27250 MN HWY 4","GROVE CITY","MN ","56243","5003","27250 MN HWY 4","GROVE CITY","MN ","56243","5003","3202444712","1-Local school district","45.142200","-94.683600","012396","Prekindergarten","12th Grade","Minnesota","776"
"ACADEMIA CESAR CHAVEZ CHARTER SCH.","Minnesota","2700185","RAMSEY COUNTY","27123","27","1","1800 AMES AVE","SAINT PAUL","MN ","55119","4830","1800 AMES AVE","SAINT PAUL","MN ","55119","4830","6517782940","7-Charter school agency","44.971600","-93.024000","074073","Kindergarten","6th Grade","Minnesota","389"
"ACADEMIC ARTS HIGH SCHOOL","Minnesota","2700361","DAKOTA COUNTY","27037","27","1","60 EAST MARIE AVE","WEST SAINT PAUL","MN ","55118","5932","60 E MARIE AVE, STE #220","WEST SAINT PAUL","MN ","55118","5932","6514577427","7-Charter school agency","44.890400","-93.082400","074119","7th Grade","12th Grade","Minnesota","76"
"ACHIEVE LANGUAGE ACADEMY","Minnesota","2700118","RAMSEY COUNTY","27123","27","1","2169 STILLWATER AVE","SAINT PAUL","MN ","55119","3508","2169 STILLWATER AVE","SAINT PAUL","MN ","55119","3508","6517384875","7-Charter school agency","44.969700","-93.009200","074018","Prekindergarten","8th Grade","Minnesota","424"
"ADA-BORUP PUBLIC SCHOOL DISTRICT","Minnesota","2700126","NORMAN COUNTY","27107","27","3","604 THORPE AVE WEST","ADA","MN ","56510","0308","604 THORPE AVE W","ADA","MN ","56510","0308","2187845312","1-Local school district","47.296100","-96.524200","012854","Prekindergarten","12th Grade","Minnesota","487"
"ADRIAN PUBLIC SCHOOL DISTRICT","Minnesota","2702730","NOBLES COUNTY","27105","27","3","410 INDIANA AVE","ADRIAN","MN ","56110","0040","415 KENTUCKY AVE","ADRIAN","MN ","56110","0040","5074832266","1-Local school district","43.632900","-95.937400","010511","Prekindergarten","12th Grade","Minnesota","598"
"AFSA HIGH SCHOOL","Minnesota","2700186","RAMSEY COUNTY","27123","27","1","100 VADNAIS BLVD","VADNAIS HEIGHTS","MN ","55127","4036","100 VADNAIS BLVD","VADNAIS HEIGHTS","MN ","55127","4036","6512093910","7-Charter school agency","45.045800","-93.095600","074074","7th Grade","12th Grade","Minnesota","297"
"AGAMIM HEBREW LANGUAGE CHARTER SCHO","Minnesota","2700394","HENNEPIN COUNTY","27053","27","0","2828 DAKOTA AVE SOUTH","SAINT LOUIS PARK","MN ","55416","8888","2828 DAKOTA AVE S","SAINT LOUIS PARK","MN ","55416","8888","6127161760","7-Charter school agency","44.952300","-93.361000","074220","†","†","Minnesota","†"
"AITKIN PUBLIC SCHOOL DISTRICT","Minnesota","2702760","AITKIN COUNTY","27001","27","3","306 2ND ST NW","AITKIN","MN ","56431","1289","306 2ND ST NW","AITKIN","MN ","56431","1289","2189272115","1-Local school district","46.533400","-93.711300","010001","Prekindergarten","12th Grade","Minnesota","1262"
"ALBANY PUBLIC SCHOOL DISTRICT","Minnesota","2702930","STEARNS COUNTY","27145","27","4","30 FOREST AVE","ALBANY","MN ","56307","0040","PO BOX 40","ALBANY","MN ","56307","0040","3208452171","1-Local school district","45.632500","-94.560900","010745","Prekindergarten","12th Grade","Minnesota","1733"
