"Agency Name","State Name [District] Latest available year","Agency ID - NCES Assigned [District] Latest available year","County Name [District] 2013-14","County Number [District] 2013-14","ANSI/FIPS State Code [District] Latest available year","Total Number Operational Schools [Public School] 2013-14","Location Address [District] 2013-14","Location City [District] 2013-14","Location State Abbr [District] 2013-14","Location ZIP [District] 2013-14","Location ZIP4 [District] 2013-14","Mailing Address [District] 2013-14","Mailing City [District] 2013-14","Mailing State Abbr [District] 2013-14","Mailing ZIP [District] 2013-14","Mailing ZIP4 [District] 2013-14","Phone Number [District] 2013-14","Agency Type [District] 2013-14","Latitude [District] 2013-14","Longitude [District] 2013-14","State Agency ID [District] 2013-14","Lowest Grade Offered [District] 2013-14","Highest Grade Offered [District] 2013-14","State Name [District] 2013-14","Total Students (UG, PK-12) [District] 2013-14"
"ACADEMIE LAFAYETTE","Missouri","2900017","JACKSON COUNTY","29095","29","1","6903 OAK ST","KANSAS CITY","MO ","64113","2530","6903 OAK STREET","KANSAS CITY","MO ","64113","2530","8163617735","7-Charter school agency","39.002400","-94.584300","048914","Kindergarten","8th Grade","Missouri","830"
"ACADEMY FOR INTEGRATED ARTS","Missouri","2900604","JACKSON COUNTY","29095","29","1","5604 TROOST","KANSAS CITY","MO ","64110","2824","5604 TROOST","KANSAS CITY","MO ","64110","2824","8164441720","7-Charter school agency","39.024900","-94.574300","048927","Kindergarten","3rd Grade","Missouri","101"
"ADAIR CO. R-I","Missouri","2922980","ADAIR COUNTY","29001","29","2","600 ROMBAUER AVE","NOVINGER","MO ","63559","2477","600 ROMBAUER AVE","NOVINGER","MO ","63559","2477","6604886411","1-Local school district","40.233900","-92.702600","001090","Kindergarten","12th Grade","Missouri","279"
"ADAIR CO. R-II","Missouri","2905790","ADAIR COUNTY","29001","29","2","205 WEST DEWEY","BRASHEAR","MO ","63533","2429","205 W DEWEY","BRASHEAR","MO ","63533","2429","6603235272","1-Local school district","40.149900","-92.380800","001092","Kindergarten","12th Grade","Missouri","191"
"ADRIAN R-III","Missouri","2902850","BATES COUNTY","29013","29","2","601 NORTH HOUSTON","ADRIAN","MO ","64720","0098","PO BOX 98","ADRIAN","MO ","64720","0098","8162972710","1-Local school district","38.399500","-94.348800","007123","Prekindergarten","12th Grade","Missouri","726"
"ADVANCE R-IV","Missouri","2902880","STODDARD COUNTY","29207","29","2","201 EAST SCHOOL ST GYM ENTRANC","ADVANCE","MO ","63730","0370","PO BOX 370","ADVANCE","MO ","63730","0370","5737223581","1-Local school district","37.108700","-89.908100","103129","Prekindergarten","12th Grade","Missouri","405"
"AFFTON 101","Missouri","2902910","ST. LOUIS COUNTY","29189","29","4","8701 MACKENZIE RD","ST LOUIS","MO ","63123","3436","8701 MACKENZIE RD","ST LOUIS","MO ","63123","3436","3146388770","1-Local school district","38.554600","-90.323100","096098","Prekindergarten","12th Grade","Missouri","2522"
"ALBANY R-III","Missouri","2902970","GENTRY COUNTY","29075","29","3","101 WEST JEFFERSON ST","ALBANY","MO ","64402","1237","101 W JEFFERSON ST","ALBANY","MO ","64402","1237","6607263911","1-Local school district","40.250700","-94.332800","038046","Prekindergarten","12th Grade","Missouri","488"
"ALLEN VILLAGE","Missouri","2900025","JACKSON COUNTY","29095","29","2","706 WEST 42ND ST","KANSAS CITY","MO ","64111","3120","706 W 42ND ST","KANSAS CITY","MO ","64111","3120","8169310177","7-Charter school agency","39.052800","-94.595200","048909","Kindergarten","12th Grade","Missouri","603"
"ALTA VISTA CHARTER SCH.","Missouri","2900029","JACKSON COUNTY","29095","29","3","1722 HOLLY ST","KANSAS CITY","MO ","64108","2217","1722 HOLLY ST","KANSAS CITY","MO ","64108","2217","8164712582","7-Charter school agency","39.092400","-94.598100","048902","Kindergarten","12th Grade","Missouri","586"
