"Agency Name","State Name [District] Latest available year","Agency ID - NCES Assigned [District] Latest available year","County Name [District] 2013-14","County Number [District] 2013-14","ANSI/FIPS State Code [District] Latest available year","Total Number Operational Schools [Public School] 2013-14","Location Address [District] 2013-14","Location City [District] 2013-14","Location State Abbr [District] 2013-14","Location ZIP [District] 2013-14","Location ZIP4 [District] 2013-14","Mailing Address [District] 2013-14","Mailing City [District] 2013-14","Mailing State Abbr [District] 2013-14","Mailing ZIP [District] 2013-14","Mailing ZIP4 [District] 2013-14","Phone Number [District] 2013-14","Agency Type [District] 2013-14","Latitude [District] 2013-14","Longitude [District] 2013-14","State Agency ID [District] 2013-14","Lowest Grade Offered [District] 2013-14","Highest Grade Offered [District] 2013-14","State Name [District] 2013-14","Total Students (UG, PK-12) [District] 2013-14"
"ABERDEEN SCHOOL DIST","Mississippi","2800360","MONROE COUNTY","28095","28","4","205 HWY 145 NORTH","ABERDEEN","MS ","39730","","P.O. BOX 607","ABERDEEN","MS ","39730","","6623694682","1-Local school district","33.830200","-88.561800","4820","Prekindergarten","12th Grade","Mississippi","1380"
"ALCORN SCHOOL DIST","Mississippi","2800390","ALCORN COUNTY","28003","28","12","31 CR 401","CORINTH","MS ","38834","1420","31 CR 401","CORINTH","MS ","38834","1420","6622865591","1-Local school district","34.910800","-88.532100","0200","Prekindergarten","12th Grade","Mississippi","3414"
"AMITE CO SCHOOL DIST","Mississippi","2800420","AMITE COUNTY","28005","28","3","533 MAGGIE ST","LIBERTY","MS ","39645","0378","P.O. BOX 378","LIBERTY","MS ","39645","0378","6016574361","1-Local school district","31.154800","-90.801800","0300","Kindergarten","12th Grade","Mississippi","1064"
"AMORY SCHOOL DIST","Mississippi","2800450","MONROE COUNTY","28095","28","5","124 NORTH MAIN ST","AMORY","MS ","38821","0330","P.O. BOX 330","AMORY","MS ","38821","0330","6622565991","1-Local school district","33.985600","-88.489400","4821","Prekindergarten","12th Grade","Mississippi","1776"
"ATTALA CO SCHOOL DIST","Mississippi","2800510","ATTALA COUNTY","28007","28","5","100 COURTHOUSE","KOSCIUSKO","MS ","39090","3684","100 COURTHOUSE BLDG, SUITE 3","KOSCIUSKO","MS ","39090","3684","6622892801","1-Local school district","33.056700","-89.592000","0400","Prekindergarten","12th Grade","Mississippi","1131"
"BALDWYN SCHOOL DISTRICT","Mississippi","2800540","LEE COUNTY","28081","28","3","107 WEST MAIN ST","BALDWYN","MS ","38824","1500","107 WEST MAIN STREET","BALDWYN","MS ","38824","1500","6623651000","1-Local school district","34.509200","-88.633500","5920","Kindergarten","12th Grade","Mississippi","822"
"BAY ST LOUIS WAVELAND SCHOOL DIST","Mississippi","2800570","HANCOCK COUNTY","28045","28","4","201 CARROLL AVE","BAY ST LOUIS","MS ","39520","4513","201 CARROLL AVENUE","BAY ST LOUIS","MS ","39520","4513","2284676621","1-Local school district","30.314200","-89.327800","2320","Kindergarten","12th Grade","Mississippi","1954"
"BENOIT SCHOOL DISTRICT","Mississippi","2800690","BOLIVAR COUNTY","28011","28","1","1827 HWY 1","BENOIT","MS ","38725","0189","P O BOX 189","BENOIT","MS ","38725","0189","6627423287","1-Local school district","33.625900","-91.052700","0612","Prekindergarten","12th Grade","Mississippi","254"
"BENTON CO SCHOOL DIST","Mississippi","2800600","BENTON COUNTY","28009","28","5","31 MAIN ST","ASHLAND","MS ","38603","0247","P.O. BOX 247","ASHLAND","MS ","38603","0247","6622246252","1-Local school district","34.833700","-89.176300","0500","Prekindergarten","12th Grade","Mississippi","1234"
"BILOXI PUBLIC SCHOOL DIST","Mississippi","2800630","HARRISON COUNTY","28047","28","8","160 ST PETERS AVE","BILOXI","MS ","39530","","P.O. BOX 168","BILOXI","MS ","39533","3404","2283741810","1-Local school district","30.396500","-88.925100","2420","Kindergarten","12th Grade","Mississippi","5537"
"BOONEVILLE SCHOOL DIST","Mississippi","2800820","PRENTISS COUNTY","28117","28","4","201 NORTH FIRST ST","BOONEVILLE","MS ","38829","0358","201 NORTH FIRST STREET","BOONEVILLE","MS ","38829","0358","6627282171","1-Local school district","34.658300","-88.564600","5921","Kindergarten","12th Grade","Mississippi","1291"
"BROOKHAVEN SCHOOL DIST","Mississippi","2800840","LINCOLN COUNTY","28085","28","7","326 EAST COURT ST","BROOKHAVEN","MS ","39601","","P.O. BOX 540","BROOKHAVEN","MS ","39602","","6018336661","1-Local school district","31.582500","-90.446800","4320","Kindergarten","12th Grade","Mississippi","2985"
"CALHOUN CO SCHOOL DIST","Mississippi","2800870","CALHOUN COUNTY","28013","28","9","119 WEST MAIN","PITTSBORO","MS ","38951","0058","119 WEST MAIN STREET","PITTSBORO","MS ","38951","0058","6624123152","1-Local school district","33.939900","-89.340900","0700","Prekindergarten","12th Grade","Mississippi","2582"
"CANTON PUBLIC SCHOOL DIST","Mississippi","2800900","MADISON COUNTY","28089","28","9","403 EAST LINCOLN ST","CANTON","MS ","39046","3215","403 EAST LINCOLN STREET","CANTON","MS ","39046","3215","6018594110","1-Local school district","32.625600","-90.024200","4520","Prekindergarten","12th Grade","Mississippi","3388"
"CARROLL COUNTY SCHOOL DIST","Mississippi","2800930","CARROLL COUNTY","28015","28","3","603 LEXINGTON ST","CARROLLTON","MS ","38917","0256","PO BOX 256","CARROLLTON","MS ","38917","0256","6622379276","1-Local school district","33.504800","-89.919600","0800","Prekindergarten","12th Grade","Mississippi","1015"
"CHICKASAW CO SCHOOL DIST","Mississippi","2800960","CHICKASAW COUNTY","28017","28","1","501 GRIFFIN AVE","HOULKA","MS ","38850","0480","P.O. BOX 480","HOULKA","MS ","38850","0480","6625683333","1-Local school district","34.037200","-89.014700","0900","Prekindergarten","12th Grade","Mississippi","515"
